Facility Address,CITY,ZIP,County,License Category,Status,Status Date,Facility,Report
2025 MORSE AVENUE,SACRAMENTO,95825,SACRAMENTO,GENERAL ACUTE CARE HOSPITAL,OPEN,11-May-61,KAISER FOUNDATION HOSPITAL - SACRAMENTO #340913,Ambulatory Surgery
4647 ZION AVENUE,SAN DIEGO,92120,SAN DIEGO,GENERAL ACUTE CARE HOSPITAL,OPEN,18-Nov-75,KAISER FOUNDATION HOSPITAL - SAN DIEGO - ZION #370730,Ambulatory Surgery
2425 GEARY BOULEVARD,SAN FRANCISCO,94115,SAN FRANCISCO,GENERAL ACUTE CARE HOSPITAL,OPEN,16-Feb-54,KAISER FOUNDATION HOSPITAL - SAN FRANCISCO #380857,Ambulatory Surgery
250 HOSPITAL PARKWAY,SAN JOSE,95119,SANTA CLARA,GENERAL ACUTE CARE HOSPITAL,OPEN,1-Dec-73,KAISER FOUNDATION HOSPITAL - SAN JOSE #431506,Ambulatory Surgery
2500 MERCED STREET,SAN LEANDRO,94577,ALAMEDA,GENERAL ACUTE CARE HOSPITAL,OPEN,3-Jun-14,KAISER FOUNDATION HOSPITAL - SAN LEANDRO #014337,Ambulatory Surgery
360 RUSH DRIVE,SAN MARCOS,92078,SAN DIEGO,GENERAL ACUTE CARE HOSPITAL,OPEN,14-Jul-23,KAISER FOUNDATION HOSPITAL - SAN MARCOS #370028,Ambulatory Surgery
99 MONTECILLO ROAD,SAN RAFAEL,94903,MARIN,GENERAL ACUTE CARE HOSPITAL,OPEN,9-Dec-66,KAISER FOUNDATION HOSPITAL - SAN RAFAEL #210992,Ambulatory Surgery
700 LAWRENCE EXPRESSWAY,SANTA CLARA,95051,SANTA CLARA,GENERAL ACUTE CARE HOSPITAL,OPEN,24-Jul-07,KAISER FOUNDATION HOSPITAL - SANTA CLARA #434153,Ambulatory Surgery
401 BICENTENNIAL WAY,SANTA ROSA,95403,SONOMA,GENERAL ACUTE CARE HOSPITAL,OPEN,30-Mar-90,KAISER FOUNDATION HOSPITAL - SANTA ROSA #494019,Ambulatory Surgery
25825 SOUTH VERMONT AVENUE,HARBOR CITY,90710,LOS ANGELES,GENERAL ACUTE CARE HOSPITAL,OPEN,14-Jan-59,KAISER FOUNDATION HOSPITAL - SOUTH BAY #190431,Ambulatory Surgery
6600 BRUCEVILLE ROAD,SACRAMENTO,95823,SACRAMENTO,GENERAL ACUTE CARE HOSPITAL,OPEN,24-Oct-85,KAISER FOUNDATION HOSPITAL - SOUTH SACRAMENTO #342344,Ambulatory Surgery
1200 EL CAMINO REAL,SOUTH SAN FRANCISCO,94080,SAN MATEO,GENERAL ACUTE CARE HOSPITAL,OPEN,1-Jul-74,KAISER FOUNDATION HOSPITAL - SOUTH SAN FRANCISCO #410806,Ambulatory Surgery
1 QUALITY DRIVE,VACAVILLE,95688,SOLANO,GENERAL ACUTE CARE HOSPITAL,OPEN,16-Sep-09,KAISER FOUNDATION HOSPITAL - VACAVILLE #484044,Ambulatory Surgery
1425 SOUTH MAIN STREET,WALNUT CREEK,94596,CONTRA COSTA,GENERAL ACUTE CARE HOSPITAL,OPEN,11-Sep-53,KAISER FOUNDATION HOSPITAL - WALNUT CREEK #070990,Ambulatory Surgery
6041 CADILLAC AVENUE,LOS ANGELES,90034,LOS ANGELES,GENERAL ACUTE CARE HOSPITAL,OPEN,16-Sep-74,KAISER FOUNDATION HOSPITAL - WEST LA #190434,Ambulatory Surgery
5601 DE SOTO AVENUE,WOODLAND HILLS,91367,LOS ANGELES,GENERAL ACUTE CARE HOSPITAL,OPEN,8-Apr-86,KAISER FOUNDATION HOSPITAL - WOODLAND HILLS #191450,Ambulatory Surgery
44301 LORIMER AVE,LANCASTER,93534,LOS ANGELES,SURGICAL CLINIC,OPEN,13-Jun-24,"KAISER FOUNDATION HOSPITALS, AMBULATORY SURGERY CENTER, ANTE #190024",Ambulatory Surgery
400 WEST MINERAL KING,VISALIA,93291,TULARE,GENERAL ACUTE CARE HOSPITAL,OPEN,22-Jun-69,KAWEAH HEALTH MEDICAL CENTER #540734,Ambulatory Surgery
1500 SAN PABLO STREET,LOS ANGELES,90033,LOS ANGELES,GENERAL ACUTE CARE HOSPITAL,OPEN,17-May-91,KECK HOSPITAL OF USC #194219,Ambulatory Surgery
1700 MOUNT VERNON AVENUE,BAKERSFIELD,93306,KERN,GENERAL ACUTE CARE HOSPITAL,OPEN,1-Jul-53,KERN MEDICAL CENTER #150736,Ambulatory Surgery
9300 STOCKDALE HWY,BAKERSFIELD,93311,KERN,SURGICAL CLINIC,OPEN,2-Nov-18,"KERN MEDICAL SURGERY CENTER, LLC. #150421",Ambulatory Surgery
6412 LAUREL AVENUE,LAKE ISABELLA,93240,KERN,GENERAL ACUTE CARE HOSPITAL,OPEN,17-Jun-68,KERN VALLEY HEALTHCARE DISTRICT #150737,Ambulatory Surgery
1711 WEST TEMPLE STREET,LOS ANGELES,90026,LOS ANGELES,GENERAL ACUTE CARE HOSPITAL,OPEN,7-Jul-99,L.A. DOWNTOWN MEDICAL CENTER #190661,Ambulatory Surgery
7901 WALKER STREET,LA PALMA,90623,ORANGE,GENERAL ACUTE CARE HOSPITAL,OPEN,30-May-72,LA PALMA INTERCOMMUNITY HOSPITAL #301234,Ambulatory Surgery
1000 WEST CARSON STREET,TORRANCE,90502,LOS ANGELES,GENERAL ACUTE CARE HOSPITAL,OPEN,1-Jul-53,LAC/HARBOR-UCLA MEDICAL CENTER #191227,Ambulatory Surgery
7601 EAST IMPERIAL HIGHWAY,DOWNEY,90242,LOS ANGELES,GENERAL ACUTE CARE HOSPITAL,OPEN,1-Sep-66,LAC/RANCHO LOS AMIGOS NATIONAL REHAB CENTER #191306,Ambulatory Surgery
11234 ANDERSON ST.,LOMA LINDA,92354,SAN BERNARDINO,GENERAL ACUTE CARE HOSPITAL,OPEN,16-Nov-14,LOMA LINDA UNIVERSITY CHILDREN'S HOSPITAL #364502,Ambulatory Surgery
11234 ANDERSON STREET,LOMA LINDA,92354,SAN BERNARDINO,GENERAL ACUTE CARE HOSPITAL,OPEN,1-Jan-46,LOMA LINDA UNIVERSITY MEDICAL CENTER #361246,Ambulatory Surgery
28062 BAXTER ROAD,MURRIETA,92563,RIVERSIDE,GENERAL ACUTE CARE HOSPITAL,OPEN,12-Apr-11,LOMA LINDA UNIVERSITY MEDICAL CENTER-MURRIETA #334589,Ambulatory Surgery
1515 E. OCEAN AVENUE,LOMPOC,93436,SANTA BARBARA,GENERAL ACUTE CARE HOSPITAL,OPEN,1-Jan-46,LOMPOC VALLEY MEDICAL CENTER #420491,Ambulatory Surgery
4081 EAST OLYMPIC BOULEVARD,LOS ANGELES,90023,LOS ANGELES,GENERAL ACUTE CARE HOSPITAL,OPEN,24-Oct-57,LOS ANGELES COMMUNITY HOSPITAL #190198,Ambulatory Surgery
14445 OLIVE VIEW DRIVE,SYLMAR,91342,LOS ANGELES,GENERAL ACUTE CARE HOSPITAL,OPEN,20-Oct-59,LOS ANGELES COUNTY OLIVE VIEW-UCLA MEDICAL CENTER #191231,Ambulatory Surgery
2051 MARENGO STREET,LOS ANGELES,90033,LOS ANGELES,GENERAL ACUTE CARE HOSPITAL,OPEN,22-May-23,LOS ANGELES GENERAL MEDICAL CENTER #191228,Ambulatory Surgery
215 WEST JANSS ROAD,THOUSAND OAKS,91360,VENTURA,GENERAL ACUTE CARE HOSPITAL,OPEN,7-Nov-68,LOS ROBLES HOSPITAL & MEDICAL CENTER #560492,Ambulatory Surgery
725 WELCH ROAD,PALO ALTO,94304,SANTA CLARA,GENERAL ACUTE CARE HOSPITAL,OPEN,9-Jun-91,LUCILE PACKARD CHILDREN'S HOSPITAL STANFORD #434040,Ambulatory Surgery
3800 JANES ROAD,ARCATA,95521,HUMBOLDT,GENERAL ACUTE CARE HOSPITAL,OPEN,26-Oct-72,MAD RIVER COMMUNITY HOSPITAL #121002,Ambulatory Surgery
85 SIERRA PARK ROAD,MAMMOTH LAKES,93546,MONO,GENERAL ACUTE CARE HOSPITAL,OPEN,10-Feb-78,MAMMOTH HOSPITAL #260011,Ambulatory Surgery
1400 EAST CHURCH STREET,SANTA MARIA,93454,SANTA BARBARA,GENERAL ACUTE CARE HOSPITAL,OPEN,8-Mar-67,MARIAN REGIONAL MEDICAL CENTER #420493,Ambulatory Surgery
345 SOUTH HALCYON ROAD,ARROYO GRANDE,93420,SAN LUIS OBISPO,GENERAL ACUTE CARE HOSPITAL,OPEN,10-Jan-13,"MARIAN REGIONAL MEDICAL CENTER, ARROYO GRANDE #400466",Ambulatory Surgery
250 BON AIR ROAD,GREENBRAE,94904,MARIN,GENERAL ACUTE CARE HOSPITAL,OPEN,16-May-52,MARINHEALTH MEDICAL CENTER #211006,Ambulatory Surgery
768 MOUNTAIN RANCH ROAD,SAN ANDREAS,95249,CALAVERAS,GENERAL ACUTE CARE HOSPITAL,OPEN,21-Aug-51,MARK TWAIN MEDICAL CENTER #050932,Ambulatory Surgery
1100 MARSHALL WAY,PLACERVILLE,95667,EL DORADO,GENERAL ACUTE CARE HOSPITAL,OPEN,22-May-59,MARSHALL MEDICAL CENTER #090933,Ambulatory Surgery
1670 E 120TH ST,LOS ANGELES,90059,LOS ANGELES,SURGICAL CLINIC,OPEN,28-May-15,"MARTIN LUTHER KING, JR. AMBULATORY SURGERY CENTER #198064",Ambulatory Surgery
43563 STATE HWY. 299 E,FALL RIVER MILLS,96028,SHASTA,GENERAL ACUTE CARE HOSPITAL,OPEN,7-Jan-59,MAYERS MEMORIAL HOSPITAL #450936,Ambulatory Surgery
520 WEST I STREET,LOS BANOS,93635,MERCED,GENERAL ACUTE CARE HOSPITAL,OPEN,31-Aug-67,MEMORIAL HOSPITAL LOS BANOS #240924,Ambulatory Surgery
1145 W. REDONDO BEACH BLVD.,GARDENA,90247,LOS ANGELES,GENERAL ACUTE CARE HOSPITAL,OPEN,13-May-49,MEMORIAL HOSPITAL OF GARDENA #190521,Ambulatory Surgery
1700 COFFEE ROAD,MODESTO,95355,STANISLAUS,GENERAL ACUTE CARE HOSPITAL,OPEN,1-May-70,MEMORIAL MEDICAL CENTER - MODESTO #500939,Ambulatory Surgery
2801 ATLANTIC AVENUE,LONG BEACH,90806,LOS ANGELES,GENERAL ACUTE CARE HOSPITAL,OPEN,1-Jul-60,MEMORIALCARE LONG BEACH MEDICAL CENTER #190525,Ambulatory Surgery
2801 ATLANTIC AVENUE,LONG BEACH,90806,LOS ANGELES,GENERAL ACUTE CARE HOSPITAL,OPEN,30-Jun-00,MEMORIALCARE MILLER CHILDREN'S & WOMEN'S HOSPITAL LONG BEACH #196168,Ambulatory Surgery
9920 TALBERT AVENUE,FOUNTAIN VALLEY,92708,ORANGE,GENERAL ACUTE CARE HOSPITAL,OPEN,1-Feb-86,MEMORIALCARE ORANGE COAST MEDICAL CENTER #300225,Ambulatory Surgery
24451 HEALTH CENTER DRIVE,LAGUNA HILLS,92653,ORANGE,GENERAL ACUTE CARE HOSPITAL,OPEN,27-Jan-74,MEMORIALCARE SADDLEBACK MEDICAL CENTER #301317,Ambulatory Surgery
28400 MCCALL BOULEVARD,SUN CITY,92585,RIVERSIDE,GENERAL ACUTE CARE HOSPITAL,OPEN,5-Jun-89,MENIFEE GLOBAL MEDICAL CENTER #334018,Ambulatory Surgery
4001 J STREET,SACRAMENTO,95819,SACRAMENTO,GENERAL ACUTE CARE HOSPITAL,OPEN,1-Jan-46,MERCY GENERAL HOSPITAL #340947,Ambulatory Surgery
2215 TRUXTUN AVENUE,BAKERSFIELD,93301,KERN,GENERAL ACUTE CARE HOSPITAL,OPEN,1-Jan-47,MERCY HOSPITAL - BAKERSFIELD #150761,Ambulatory Surgery
1650 CREEKSIDE DRIVE,FOLSOM,95630,SACRAMENTO,GENERAL ACUTE CARE HOSPITAL,OPEN,17-Jun-89,MERCY HOSPITAL OF FOLSOM #344029,Ambulatory Surgery
333 MERCY AVENUE,MERCED,95340,MERCED,GENERAL ACUTE CARE HOSPITAL,OPEN,1-Jan-56,MERCY MEDICAL CENTER - MERCED #240942,Ambulatory Surgery
2175 ROSALINE AVENUE,REDDING,96001,SHASTA,GENERAL ACUTE CARE HOSPITAL,OPEN,9-Apr-53,MERCY MEDICAL CENTER - REDDING #450949,Ambulatory Surgery
914 PINE STREET,MOUNT SHASTA,96067,SISKIYOU,GENERAL ACUTE CARE HOSPITAL,OPEN,13-Apr-76,MERCY MEDICAL CENTER MT. SHASTA #470871,Ambulatory Surgery
6501 COYLE AVENUE,CARMICHAEL,95608,SACRAMENTO,GENERAL ACUTE CARE HOSPITAL,OPEN,3-Feb-67,MERCY SAN JUAN MEDICAL CENTER #340950,Ambulatory Surgery
7500 HOSPITAL DRIVE,SACRAMENTO,95823,SACRAMENTO,GENERAL ACUTE CARE HOSPITAL,OPEN,24-Oct-73,METHODIST HOSPITAL OF SACRAMENTO #340951,Ambulatory Surgery
1501 TROUSDALE DRIVE,BURLINGAME,94010,SAN MATEO,GENERAL ACUTE CARE HOSPITAL,OPEN,1-Mar-54,MILLS-PENINSULA MEDICAL CENTER #410852,Ambulatory Surgery
14850 ROSCOE BOULEVARD,PANORAMA CITY,91402,LOS ANGELES,GENERAL ACUTE CARE HOSPITAL,OPEN,13-Aug-65,MISSION COMMUNITY HOSPITAL - PANORAMA CAMPUS #190524,Ambulatory Surgery
1111 N. NAGLE ST,ALTURAS,96101,MODOC,GENERAL ACUTE CARE HOSPITAL,OPEN,18-Dec-20,MODOC MEDICAL CENTER #254005,Ambulatory Surgery
323 SOUTH HELIOTROPE AVENUE,MONROVIA,91016,LOS ANGELES,GENERAL ACUTE CARE HOSPITAL,OPEN,3-Oct-08,MONROVIA MEMORIAL HOSPITAL #190541,Ambulatory Surgery
5000 SAN BERNARDINO STREET,MONTCLAIR,91763,SAN BERNARDINO,GENERAL ACUTE CARE HOSPITAL,OPEN,7-Aug-72,MONTCLAIR HOSPITAL MEDICAL CENTER #361166,Ambulatory Surgery
900 SOUTH ATLANTIC BOULEVARD,MONTEREY PARK,91754,LOS ANGELES,GENERAL ACUTE CARE HOSPITAL,OPEN,4-Dec-72,MONTEREY PARK HOSPITAL #190547,Ambulatory Surgery
29101 HOSPITAL ROAD,LAKE ARROWHEAD,92352,SAN BERNARDINO,GENERAL ACUTE CARE HOSPITAL,OPEN,10-Oct-51,MOUNTAINS COMMUNITY HOSPITAL #361266,Ambulatory Surgery
1441 CONSTITUTION BOULEVARD,SALINAS,93906,MONTEREY,GENERAL ACUTE CARE HOSPITAL,OPEN,15-Jun-99,NATIVIDAD MEDICAL CENTER #274043,Ambulatory Surgery
1200 B. GALE WILSON BLVD.,FAIRFIELD,94533,SOLANO,GENERAL ACUTE CARE HOSPITAL,OPEN,11-Dec-59,NORTHBAY MEDICAL CENTER #481357,Ambulatory Surgery
150 PIONEER LANE,BISHOP,93514,INYO,GENERAL ACUTE CARE HOSPITAL,OPEN,14-May-48,NORTHERN INYO HOSPITAL #141273,Ambulatory Surgery
18300 ROSCOE BOULEVARD,NORTHRIDGE,91325,LOS ANGELES,GENERAL ACUTE CARE HOSPITAL,OPEN,7-Oct-55,NORTHRIDGE HOSPITAL MEDICAL CENTER #190568,Ambulatory Surgery
13222 BLOOMFIELD AVENUE,NORWALK,90650,LOS ANGELES,GENERAL ACUTE CARE HOSPITAL,OPEN,28-Feb-55,NORWALK COMMUNITY HOSPITAL #190570,Ambulatory Surgery
180 ROWLAND WAY,NOVATO,94945,MARIN,GENERAL ACUTE CARE HOSPITAL,OPEN,20-May-01,NOVATO COMMUNITY HOSPITAL #214034,Ambulatory Surgery
2105 FOREST AVENUE,SAN JOSE,95128,SANTA CLARA,GENERAL ACUTE CARE HOSPITAL,OPEN,1-Mar-19,O'CONNOR HOSPITAL #430837,Ambulatory Surgery
350 SOUTH OAK STREET,OAKDALE,95361,STANISLAUS,GENERAL ACUTE CARE HOSPITAL,OPEN,14-Mar-73,OAK VALLEY HOSPITAL DISTRICT #500967,Ambulatory Surgery
1001 NORTH TUSTIN AVENUE,SANTA ANA,92705,ORANGE,GENERAL ACUTE CARE HOSPITAL,OPEN,19-Apr-75,ORANGE COUNTY GLOBAL MEDICAL CENTER #301566,Ambulatory Surgery
2767 OLIVE HIGHWAY,OROVILLE,95966,BUTTE,GENERAL ACUTE CARE HOSPITAL,OPEN,1-Jan-62,OROVILLE HOSPITAL #040937,Ambulatory Surgery
9449 SAN FERNANDO ROAD,SUN VALLEY,91352,LOS ANGELES,GENERAL ACUTE CARE HOSPITAL,OPEN,30-Dec-46,PACIFICA HOSPITAL OF THE VALLEY #190696,Ambulatory Surgery
38600 MEDICAL CENTER DRIVE,PALMDALE,93551,LOS ANGELES,GENERAL ACUTE CARE HOSPITAL,OPEN,9-Dec-10,PALMDALE REGIONAL MEDICAL CENTER #196405,Ambulatory Surgery
250 NORTH FIRST STREET,BLYTHE,92225,RIVERSIDE,GENERAL ACUTE CARE HOSPITAL,OPEN,20-Mar-46,PALO VERDE HOSPITAL #331288,Ambulatory Surgery
2185 W. CITRACADO PARKWAY,ESCONDIDO,92029,SAN DIEGO,GENERAL ACUTE CARE HOSPITAL,OPEN,15-Aug-12,PALOMAR MEDICAL CENTER  #374382,Ambulatory Surgery
15615 POMERADO ROAD,POWAY,92064,SAN DIEGO,GENERAL ACUTE CARE HOSPITAL,OPEN,22-Jun-77,PALOMAR MEDICAL CENTER POWAY #370977,Ambulatory Surgery
2400 EAST FOURTH STREET,NATIONAL CITY,91950,SAN DIEGO,GENERAL ACUTE CARE HOSPITAL,OPEN,29-Mar-66,PARADISE VALLEY HOSPITAL #370759,Ambulatory Surgery
2900 EUREKA WAY,REDDING,96001,SHASTA,GENERAL ACUTE CARE HOSPITAL,OPEN,19-Oct-23,PATIENTS' HOSPITAL OF REDDING #454013,Ambulatory Surgery
1380 19TH HOLE DR,WINDSOR,95492,SONOMA,SURGICAL CLINIC,OPEN,10-Jan-08,PDI SURGERY CENTER #494103,Ambulatory Surgery
400 NORTH MCDOWELL BOULEVARD,PETALUMA,94954,SONOMA,GENERAL ACUTE CARE HOSPITAL,OPEN,5-Mar-80,PETALUMA VALLEY HOSPITAL #491001,Ambulatory Surgery
1225 WILSHIRE BOULEVARD,LOS ANGELES,90017,LOS ANGELES,GENERAL ACUTE CARE HOSPITAL,OPEN,1-Jan-46,PIH HEALTH GOOD SAMARITAN HOSPITAL #190392,Ambulatory Surgery
11500 BROOKSHIRE AVENUE,DOWNEY,90241,LOS ANGELES,GENERAL ACUTE CARE HOSPITAL,OPEN,18-Sep-69,PIH HEALTH HOSPITAL - DOWNEY #190243,Ambulatory Surgery
12401 WASHINGTON BLVD.,WHITTIER,90602,LOS ANGELES,GENERAL ACUTE CARE HOSPITAL,OPEN,15-Jan-59,PIH HEALTH WHITTIER HOSPITAL #190631,Ambulatory Surgery
207 WEST LEGION ROAD,BRAWLEY,92227,IMPERIAL,GENERAL ACUTE CARE HOSPITAL,OPEN,6-Nov-50,PIONEERS MEMORIAL HEALTHCARE DISTRICT #130760,Ambulatory Surgery
1065 BUCKS LAKE ROAD,QUINCY,95971,PLUMAS,GENERAL ACUTE CARE HOSPITAL,OPEN,14-Apr-59,PLUMAS DISTRICT HOSPITAL #320986,Ambulatory Surgery
1798 NORTH GAREY AVENUE,POMONA,91767,LOS ANGELES,GENERAL ACUTE CARE HOSPITAL,OPEN,1-Jan-46,POMONA VALLEY HOSPITAL MEDICAL CENTER #190630,Ambulatory Surgery
1001 POTRERO AVENUE,SAN FRANCISCO,94110,SAN FRANCISCO,GENERAL ACUTE CARE HOSPITAL,OPEN,1-Jul-53,PRISCILLA CHAN & MARK ZUCKERBERG SAN FRANCISCO GENERAL HOSPITAL & TRAUMA CENTER #380939,Ambulatory Surgery
18321 CLARK STREET,TARZANA,91356,LOS ANGELES,GENERAL ACUTE CARE HOSPITAL,OPEN,2-Oct-73,PROVIDENCE CEDARS-SINAI TARZANA MEDICAL CENTER #190517,Ambulatory Surgery
15031 RINALDI STREET,MISSION HILLS,91345,LOS ANGELES,GENERAL ACUTE CARE HOSPITAL,OPEN,21-Jun-61,PROVIDENCE HOLY CROSS MEDICAL CENTER #190385,Ambulatory Surgery
1300 WEST SEVENTH STREET,SAN PEDRO,90732,LOS ANGELES,GENERAL ACUTE CARE HOSPITAL,OPEN,1-Jan-46,PROVIDENCE LITTLE COMPANY OF MARY MC - SAN PEDRO #190680,Ambulatory Surgery
4101 TORRANCE BOULEVARD,TORRANCE,90503,LOS ANGELES,GENERAL ACUTE CARE HOSPITAL,OPEN,21-Dec-59,PROVIDENCE LITTLE COMPANY OF MARY MEDICAL CENTER TORRANCE #190470,Ambulatory Surgery
27700 MEDICAL CENTER ROAD,MISSION VIEJO,92691,ORANGE,GENERAL ACUTE CARE HOSPITAL,OPEN,10-Aug-71,PROVIDENCE MISSION HOSPITAL #301262,Ambulatory Surgery
31872 COAST HIGHWAY,LAGUNA BEACH,92651,ORANGE,GENERAL ACUTE CARE HOSPITAL,OPEN,1-Jul-09,PROVIDENCE MISSION HOSPITAL - LAGUNA BEACH #301337,Ambulatory Surgery
1000 TRANCAS STREET,NAPA,94558,NAPA,GENERAL ACUTE CARE HOSPITAL,OPEN,8-Mar-58,PROVIDENCE QUEEN OF THE VALLEY MEDICAL CENTER #281047,Ambulatory Surgery
3300 RENNER DRIVE,FORTUNA,95540,HUMBOLDT,GENERAL ACUTE CARE HOSPITAL,OPEN,19-Mar-57,PROVIDENCE REDWOOD MEMORIAL HOSPITAL #121051,Ambulatory Surgery
501 S BUENA VISTA STREET,BURBANK,91505,LOS ANGELES,GENERAL ACUTE CARE HOSPITAL,OPEN,1-Jan-46,PROVIDENCE SAINT JOSEPH MEDICAL CENTER #190758,Ambulatory Surgery
1165 MONTGOMERY DRIVE,SANTA ROSA,95405,SONOMA,GENERAL ACUTE CARE HOSPITAL,OPEN,7-Feb-50,PROVIDENCE SANTA ROSA MEMORIAL HOSPITAL-MONTGOMERY #491064,Ambulatory Surgery
1100 WEST STEWART DRIVE,ORANGE,92868,ORANGE,GENERAL ACUTE CARE HOSPITAL,OPEN,27-Oct-64,PROVIDENCE ST. JOSEPH HOSPITAL #301340,Ambulatory Surgery
2700 DOLBEER STREET,EUREKA,95501,HUMBOLDT,GENERAL ACUTE CARE HOSPITAL,OPEN,26-Jul-54,PROVIDENCE ST. JOSEPH HOSPITAL - EUREKA #121080,Ambulatory Surgery
101 EAST VALENCIA MESA DRIVE,FULLERTON,92835,ORANGE,GENERAL ACUTE CARE HOSPITAL,OPEN,13-May-57,PROVIDENCE ST. JUDE MEDICAL CENTER #301342,Ambulatory Surgery
18300 US HIGHWAY 18,APPLE VALLEY,92307,SAN BERNARDINO,GENERAL ACUTE CARE HOSPITAL,OPEN,16-Nov-56,PROVIDENCE ST. MARY MEDICAL CENTER #361343,Ambulatory Surgery
3020 CHILDREN'S WAY,SAN DIEGO,92123,SAN DIEGO,GENERAL ACUTE CARE HOSPITAL,OPEN,18-Aug-54,RADY CHILDREN'S HOSPITAL - SAN DIEGO #370673,Ambulatory Surgery
350 TERRACINA BOULEVARD,REDLANDS,92373,SAN BERNARDINO,GENERAL ACUTE CARE HOSPITAL,OPEN,1-Jan-46,REDLANDS COMMUNITY HOSPITAL #361308,Ambulatory Surgery
1180 NEVADA ST,REDLANDS,92374,SAN BERNARDINO,SURGICAL CLINIC,OPEN,26-Nov-21,REDLANDS DENTAL SURGERY CENTER #364122,Ambulatory Surgery
225 NORTH JACKSON AVENUE,SAN JOSE,95116,SANTA CLARA,GENERAL ACUTE CARE HOSPITAL,OPEN,1-Apr-25,REGIONAL MEDICAL CENTER OF SAN JOSE #430705,Ambulatory Surgery
1081 NORTH CHINA LAKE BLVD.,RIDGECREST,93555,KERN,GENERAL ACUTE CARE HOSPITAL,OPEN,30-Sep-46,RIDGECREST REGIONAL HOSPITAL #150782,Ambulatory Surgery
1111 N CHINA LAKE BLVD,RIDGECREST,93555,KERN,SURGICAL CLINIC,OPEN,20-Sep-23,RIDGECREST REGIONAL HOSPITAL AMBULATORY SURGERY CENTER #150798,Ambulatory Surgery
4445 MAGNOLIA AVENUE,RIVERSIDE,92501,RIVERSIDE,GENERAL ACUTE CARE HOSPITAL,OPEN,1-Jan-46,RIVERSIDE COMMUNITY HOSPITAL #331312,Ambulatory Surgery
26520 CACTUS AVENUE,MORENO VALLEY,92555,RIVERSIDE,GENERAL ACUTE CARE HOSPITAL,OPEN,1-Apr-98,RIVERSIDE UNIVERSITY HEALTH SYSTEM - MEDICAL CENTER #334487,Ambulatory Surgery
757 WESTWOOD PLAZA,LOS ANGELES,90095,LOS ANGELES,GENERAL ACUTE CARE HOSPITAL,OPEN,1-Jul-55,RONALD REAGAN UCLA MEDICAL CENTER #190796,Ambulatory Surgery
2121 SANTA MONICA BLVD.,SANTA MONICA,90404,LOS ANGELES,GENERAL ACUTE CARE HOSPITAL,OPEN,1-Jan-49,SAINT JOHN'S HEALTH CENTER #190756,Ambulatory Surgery
5712 PIRRONE RD,SALIDA,95368,STANISLAUS,SURGICAL CLINIC,OPEN,9-Mar-06,SALIDA SURGERY CENTER #504055,Ambulatory Surgery
450 EAST ROMIE LANE,SALINAS,93901,MONTEREY,GENERAL ACUTE CARE HOSPITAL,OPEN,10-Apr-53,SALINAS VALLEY HEALTH MEDICAL CENTER #270875,Ambulatory Surgery
999 SAN BERNARDINO ROAD,UPLAND,91786,SAN BERNARDINO,GENERAL ACUTE CARE HOSPITAL,OPEN,1-Jan-46,SAN ANTONIO REGIONAL HOSPITAL #361318,Ambulatory Surgery
1350 WEST COVINA BOULEVARD,SAN DIMAS,91773,LOS ANGELES,GENERAL ACUTE CARE HOSPITAL,OPEN,30-Oct-72,SAN DIMAS COMMUNITY HOSPITAL #190673,Ambulatory Surgery
438 W. LAS TUNAS DRIVE,SAN GABRIEL,91776,LOS ANGELES,GENERAL ACUTE CARE HOSPITAL,OPEN,17-Aug-60,SAN GABRIEL VALLEY MEDICAL CENTER #190200,Ambulatory Surgery
600 N. HIGHLAND SPRINGS AVENUE,BANNING,92220,RIVERSIDE,GENERAL ACUTE CARE HOSPITAL,OPEN,13-Mar-51,SAN GORGONIO MEMORIAL HOSPITAL #331326,Ambulatory Surgery
500 WEST HOSPITAL ROAD,FRENCH CAMP,95231,SAN JOAQUIN,GENERAL ACUTE CARE HOSPITAL,OPEN,1-Jul-53,SAN JOAQUIN GENERAL HOSPITAL #391010,Ambulatory Surgery
1998 ALUM ROCK AVE,SAN JOSE,95116,SANTA CLARA,SURGICAL CLINIC,OPEN,20-Jan-09,SAN JOSE DENTAL SURGERY CENTER #434201,Ambulatory Surgery
222 WEST 39TH AVENUE,SAN MATEO,94403,SAN MATEO,GENERAL ACUTE CARE HOSPITAL,OPEN,1-Jul-53,SAN MATEO MEDICAL CENTER #410782,Ambulatory Surgery
6001 NORRIS CANYON ROAD,SAN RAMON,94583,CONTRA COSTA,GENERAL ACUTE CARE HOSPITAL,OPEN,12-Feb-90,SAN RAMON REGIONAL MEDICAL CENTER #074017,Ambulatory Surgery
400 W. PUEBLO STREET,SANTA BARBARA,93105,SANTA BARBARA,GENERAL ACUTE CARE HOSPITAL,OPEN,1-Jan-46,SANTA BARBARA COTTAGE HOSPITAL #420514,Ambulatory Surgery
751 SOUTH BASCOM AVENUE,SAN JOSE,95128,SANTA CLARA,GENERAL ACUTE CARE HOSPITAL,OPEN,1-Jan-53,SANTA CLARA VALLEY MEDICAL CENTER #430883,Ambulatory Surgery
1250 16TH STREET,SANTA MONICA,90404,LOS ANGELES,GENERAL ACUTE CARE HOSPITAL,OPEN,1-Jan-46,SANTA MONICA - UCLA MEDICAL CENTER AND ORTHOPAEDIC HOSPITAL #190687,Ambulatory Surgery
