DISPOSITION,Q1 2024,Q2 2024,Q3 2024,Q4 2024,Facility,Report
Discharged/Transferred to a facility that provides custodial or supportive care (includes Intermediate Care Facility),3,3,1,3,EL CAMINO HEALTH #430763,Emergency Department
Discharged/Transferred to a Medicare certified long term care hospital (LTCH),2,1,0,1,EL CAMINO HEALTH #430763,Emergency Department
"Discharged/Transferred to a nursing facility certified under Medicaid (Medi-Cal), but not certified under Medicare",2,2,1,0,EL CAMINO HEALTH #430763,Emergency Department
Discharged/Transferred to a psychiatric hospital or psychiatric distinct part unit of a hospital,38,38,43,39,EL CAMINO HEALTH #430763,Emergency Department
Discharged/Transferred to a short term general hospital for inpatient care,133,144,144,154,EL CAMINO HEALTH #430763,Emergency Department
Discharged/Transferred to an inpatient rehabilitation facility (IRF) including rehabilitation distinct part unit of a hospital,2,1,1,1,EL CAMINO HEALTH #430763,Emergency Department
Discharged/Transferred to Court/Law Enforcement,19,15,20,19,EL CAMINO HEALTH #430763,Emergency Department
Discharged/Transferred to home under care of organized home health service organization in anticipation of covered skilled care,14,6,4,15,EL CAMINO HEALTH #430763,Emergency Department
Discharged/Transferred to skilled nursing facility (SNF) with Medicare certification in anticipation of covered skilled care,94,76,83,89,EL CAMINO HEALTH #430763,Emergency Department
Expired,17,11,16,18,EL CAMINO HEALTH #430763,Emergency Department
Left against medical advice or discontinued care,252,271,257,290,EL CAMINO HEALTH #430763,Emergency Department
Discharged home with hospice care,2,3,1,2,EL CENTRO REGIONAL MEDICAL CENTER #130699,Emergency Department
Discharged to a medical facility with hospice care,0,0,0,3,EL CENTRO REGIONAL MEDICAL CENTER #130699,Emergency Department
Discharged to home or self care (routine discharge),6771,7063,6993,6590,EL CENTRO REGIONAL MEDICAL CENTER #130699,Emergency Department
Discharged/Transferred to a Critical Access Hospital (CAH),4,2,11,14,EL CENTRO REGIONAL MEDICAL CENTER #130699,Emergency Department
Discharged/Transferred to a designated Cancer Center or Children's Hospital,38,35,29,10,EL CENTRO REGIONAL MEDICAL CENTER #130699,Emergency Department
Discharged/Transferred to a facility that provides custodial or supportive care (includes intermediate care facility) with a Planned Acute Care Hospital Inpatient Readmission,0,0,0,1,EL CENTRO REGIONAL MEDICAL CENTER #130699,Emergency Department
Discharged/Transferred to a federal health care facility,0,0,1,11,EL CENTRO REGIONAL MEDICAL CENTER #130699,Emergency Department
Discharged/Transferred to a Federal Health Care Facility with a Planned Acute Care Hospital Inpatient Readmission,0,0,0,1,EL CENTRO REGIONAL MEDICAL CENTER #130699,Emergency Department
Discharged/Transferred to a Medicare certified long term care hospital (LTCH),0,0,0,2,EL CENTRO REGIONAL MEDICAL CENTER #130699,Emergency Department
"Discharged/Transferred to a nursing facility certified under Medicaid (Medi-Cal), but not certified under Medicare",0,0,0,5,EL CENTRO REGIONAL MEDICAL CENTER #130699,Emergency Department
Discharged/Transferred to a psychiatric hospital or psychiatric distinct part unit of a hospital,1,0,1,17,EL CENTRO REGIONAL MEDICAL CENTER #130699,Emergency Department
Discharged/Transferred to a Psychiatric Hospital or Psychiatric Distinct Part Unit of a Hospital with a Planned Acute Care Hospital Inpatient Readmission,0,0,0,2,EL CENTRO REGIONAL MEDICAL CENTER #130699,Emergency Department
Discharged/Transferred to a short term general hospital for inpatient care,340,321,310,391,EL CENTRO REGIONAL MEDICAL CENTER #130699,Emergency Department
Discharged/Transferred to an inpatient rehabilitation facility (IRF) including rehabilitation distinct part unit of a hospital,0,0,0,4,EL CENTRO REGIONAL MEDICAL CENTER #130699,Emergency Department
Discharged/Transferred to another type of health care institution not defined elsewhere in this code list,0,0,0,10,EL CENTRO REGIONAL MEDICAL CENTER #130699,Emergency Department
Discharged/Transferred to another type of health care institution not defined elsewhere in this code list with a Planned Acute Care Hospital Inpatient Readmission,0,0,0,1,EL CENTRO REGIONAL MEDICAL CENTER #130699,Emergency Department
Discharged/Transferred to Court/Law Enforcement,4,3,5,108,EL CENTRO REGIONAL MEDICAL CENTER #130699,Emergency Department
Discharged/Transferred to Court/Law Enforcement with a Planned Acute Care Hospital Inpatient Readmission,0,0,0,1,EL CENTRO REGIONAL MEDICAL CENTER #130699,Emergency Department
Discharged/Transferred to Home or Self Care with a Planned Acute Care Hospital Inpatient Readmission,0,0,0,12,EL CENTRO REGIONAL MEDICAL CENTER #130699,Emergency Department
Discharged/Transferred to home under care of organized home health service organization in anticipation of covered skilled care,47,51,35,28,EL CENTRO REGIONAL MEDICAL CENTER #130699,Emergency Department
Discharged/Transferred to skilled nursing facility (SNF) with Medicare certification in anticipation of covered skilled care,23,23,30,37,EL CENTRO REGIONAL MEDICAL CENTER #130699,Emergency Department
Expired,19,17,20,26,EL CENTRO REGIONAL MEDICAL CENTER #130699,Emergency Department
Left against medical advice or discontinued care,368,376,400,785,EL CENTRO REGIONAL MEDICAL CENTER #130699,Emergency Department
Other,0,0,1,0,EL CENTRO REGIONAL MEDICAL CENTER #130699,Emergency Department
Discharged to home or self care (routine discharge),7792,8073,8181,8360,EMANATE HEALTH FOOTHILL PRESBYTERIAN HOSPITAL #190298,Emergency Department
Discharged/Transferred to a designated Cancer Center or Children's Hospital,21,18,25,32,EMANATE HEALTH FOOTHILL PRESBYTERIAN HOSPITAL #190298,Emergency Department
Discharged/Transferred to a facility that provides custodial or supportive care (includes Intermediate Care Facility),8,5,9,9,EMANATE HEALTH FOOTHILL PRESBYTERIAN HOSPITAL #190298,Emergency Department
Discharged/Transferred to a federal health care facility,0,0,2,0,EMANATE HEALTH FOOTHILL PRESBYTERIAN HOSPITAL #190298,Emergency Department
Discharged/Transferred to a psychiatric hospital or psychiatric distinct part unit of a hospital,93,91,84,75,EMANATE HEALTH FOOTHILL PRESBYTERIAN HOSPITAL #190298,Emergency Department
Discharged/Transferred to a short term general hospital for inpatient care,142,150,149,185,EMANATE HEALTH FOOTHILL PRESBYTERIAN HOSPITAL #190298,Emergency Department
Discharged/Transferred to an inpatient rehabilitation facility (IRF) including rehabilitation distinct part unit of a hospital,0,1,0,0,EMANATE HEALTH FOOTHILL PRESBYTERIAN HOSPITAL #190298,Emergency Department
Discharged/Transferred to Court/Law Enforcement,136,148,149,156,EMANATE HEALTH FOOTHILL PRESBYTERIAN HOSPITAL #190298,Emergency Department
Discharged/Transferred to skilled nursing facility (SNF) with Medicare certification in anticipation of covered skilled care,78,91,89,88,EMANATE HEALTH FOOTHILL PRESBYTERIAN HOSPITAL #190298,Emergency Department
Expired,9,2,1,6,EMANATE HEALTH FOOTHILL PRESBYTERIAN HOSPITAL #190298,Emergency Department
Left against medical advice or discontinued care,329,269,357,392,EMANATE HEALTH FOOTHILL PRESBYTERIAN HOSPITAL #190298,Emergency Department
Discharged to home or self care (routine discharge),7352,7708,7704,8331,EMANATE HEALTH INTER-COMMUNITY HOSPITAL #190413,Emergency Department
Discharged/Transferred to a Critical Access Hospital (CAH),0,0,0,2,EMANATE HEALTH INTER-COMMUNITY HOSPITAL #190413,Emergency Department
Discharged/Transferred to a designated Cancer Center or Children's Hospital,23,17,11,22,EMANATE HEALTH INTER-COMMUNITY HOSPITAL #190413,Emergency Department
Discharged/Transferred to a facility that provides custodial or supportive care (includes Intermediate Care Facility),5,15,11,10,EMANATE HEALTH INTER-COMMUNITY HOSPITAL #190413,Emergency Department
Discharged/Transferred to a Medicare certified long term care hospital (LTCH),1,1,0,0,EMANATE HEALTH INTER-COMMUNITY HOSPITAL #190413,Emergency Department
Discharged/Transferred to a psychiatric hospital or psychiatric distinct part unit of a hospital,61,61,85,51,EMANATE HEALTH INTER-COMMUNITY HOSPITAL #190413,Emergency Department
Discharged/Transferred to a short term general hospital for inpatient care,152,139,169,155,EMANATE HEALTH INTER-COMMUNITY HOSPITAL #190413,Emergency Department
Discharged/Transferred to Court/Law Enforcement,23,24,27,22,EMANATE HEALTH INTER-COMMUNITY HOSPITAL #190413,Emergency Department
Discharged/Transferred to skilled nursing facility (SNF) with Medicare certification in anticipation of covered skilled care,49,31,45,55,EMANATE HEALTH INTER-COMMUNITY HOSPITAL #190413,Emergency Department
Expired,19,15,24,9,EMANATE HEALTH INTER-COMMUNITY HOSPITAL #190413,Emergency Department
Left against medical advice or discontinued care,360,344,356,450,EMANATE HEALTH INTER-COMMUNITY HOSPITAL #190413,Emergency Department
Discharged to a medical facility with hospice care,1,1,0,0,EMANATE HEALTH QUEEN OF THE VALLEY HOSPITAL #190636,Emergency Department
Discharged to home or self care (routine discharge),12735,13094,12889,13266,EMANATE HEALTH QUEEN OF THE VALLEY HOSPITAL #190636,Emergency Department
Discharged/Transferred to a designated Cancer Center or Children's Hospital,75,69,63,73,EMANATE HEALTH QUEEN OF THE VALLEY HOSPITAL #190636,Emergency Department
Discharged/Transferred to a facility that provides custodial or supportive care (includes Intermediate Care Facility),6,9,14,6,EMANATE HEALTH QUEEN OF THE VALLEY HOSPITAL #190636,Emergency Department
Discharged/Transferred to a Medicare certified long term care hospital (LTCH),2,0,1,0,EMANATE HEALTH QUEEN OF THE VALLEY HOSPITAL #190636,Emergency Department
Discharged/Transferred to a psychiatric hospital or psychiatric distinct part unit of a hospital,121,106,101,90,EMANATE HEALTH QUEEN OF THE VALLEY HOSPITAL #190636,Emergency Department
Discharged/Transferred to a short term general hospital for inpatient care,248,239,233,253,EMANATE HEALTH QUEEN OF THE VALLEY HOSPITAL #190636,Emergency Department
Discharged/Transferred to an inpatient rehabilitation facility (IRF) including rehabilitation distinct part unit of a hospital,1,0,0,0,EMANATE HEALTH QUEEN OF THE VALLEY HOSPITAL #190636,Emergency Department
Discharged/Transferred to Court/Law Enforcement,157,142,173,204,EMANATE HEALTH QUEEN OF THE VALLEY HOSPITAL #190636,Emergency Department
Discharged/Transferred to home under care of organized home health service organization in anticipation of covered skilled care,0,1,1,0,EMANATE HEALTH QUEEN OF THE VALLEY HOSPITAL #190636,Emergency Department
Discharged/Transferred to skilled nursing facility (SNF) with Medicare certification in anticipation of covered skilled care,62,56,83,60,EMANATE HEALTH QUEEN OF THE VALLEY HOSPITAL #190636,Emergency Department
Error/Unknown,1,0,0,0,EMANATE HEALTH QUEEN OF THE VALLEY HOSPITAL #190636,Emergency Department
Expired,13,8,10,7,EMANATE HEALTH QUEEN OF THE VALLEY HOSPITAL #190636,Emergency Department
Left against medical advice or discontinued care,729,692,783,1059,EMANATE HEALTH QUEEN OF THE VALLEY HOSPITAL #190636,Emergency Department
Discharged home with hospice care,1,0,0,0,EMANUEL MEDICAL CENTER #500867,Emergency Department
Discharged to a medical facility with hospice care,1,0,0,0,EMANUEL MEDICAL CENTER #500867,Emergency Department
Discharged to home or self care (routine discharge),13027,13544,13056,12958,EMANUEL MEDICAL CENTER #500867,Emergency Department
Discharged/Transferred to a Critical Access Hospital (CAH),0,1,1,0,EMANUEL MEDICAL CENTER #500867,Emergency Department
Discharged/Transferred to a designated Cancer Center or Children's Hospital,1,1,0,0,EMANUEL MEDICAL CENTER #500867,Emergency Department
Discharged/Transferred to a designated Disaster Alternative Care Site.,1,0,0,0,EMANUEL MEDICAL CENTER #500867,Emergency Department
Discharged/Transferred to a psychiatric hospital or psychiatric distinct part unit of a hospital,75,79,90,85,EMANUEL MEDICAL CENTER #500867,Emergency Department
Discharged/Transferred to a short term general hospital for inpatient care,289,229,324,340,EMANUEL MEDICAL CENTER #500867,Emergency Department
Discharged/Transferred to an inpatient rehabilitation facility (IRF) including rehabilitation distinct part unit of a hospital,1,0,1,0,EMANUEL MEDICAL CENTER #500867,Emergency Department
Discharged/Transferred to home under care of organized home health service organization in anticipation of covered skilled care,28,31,31,27,EMANUEL MEDICAL CENTER #500867,Emergency Department
Discharged/Transferred to home under care of organized home health service organization with a Planned Acute Care Hospital Inpatient Readmission,1,0,1,0,EMANUEL MEDICAL CENTER #500867,Emergency Department
Discharged/Transferred to skilled nursing facility (SNF) with Medicare certification in anticipation of covered skilled care,63,51,50,52,EMANUEL MEDICAL CENTER #500867,Emergency Department
Expired,12,9,21,16,EMANUEL MEDICAL CENTER #500867,Emergency Department
Left against medical advice or discontinued care,677,568,688,498,EMANUEL MEDICAL CENTER #500867,Emergency Department
Discharged to a medical facility with hospice care,1,0,0,1,ENCINO HOSPITAL MEDICAL CENTER #190280,Emergency Department
Discharged to home or self care (routine discharge),1358,1440,1420,1562,ENCINO HOSPITAL MEDICAL CENTER #190280,Emergency Department
Discharged/Transferred to a designated Cancer Center or Children's Hospital,0,1,0,0,ENCINO HOSPITAL MEDICAL CENTER #190280,Emergency Department
Discharged/Transferred to a facility that provides custodial or supportive care (includes Intermediate Care Facility),4,3,8,14,ENCINO HOSPITAL MEDICAL CENTER #190280,Emergency Department
Discharged/Transferred to a Medicare certified long term care hospital (LTCH),0,0,1,2,ENCINO HOSPITAL MEDICAL CENTER #190280,Emergency Department
Discharged/Transferred to a psychiatric hospital or psychiatric distinct part unit of a hospital,7,12,14,12,ENCINO HOSPITAL MEDICAL CENTER #190280,Emergency Department
Discharged/Transferred to a short term general hospital for inpatient care,44,57,62,60,ENCINO HOSPITAL MEDICAL CENTER #190280,Emergency Department
Discharged/Transferred to an inpatient rehabilitation facility (IRF) including rehabilitation distinct part unit of a hospital,0,3,1,7,ENCINO HOSPITAL MEDICAL CENTER #190280,Emergency Department
Discharged/Transferred to another type of health care institution not defined elsewhere in this code list,1,0,0,0,ENCINO HOSPITAL MEDICAL CENTER #190280,Emergency Department
Discharged/Transferred to Court/Law Enforcement,3,2,5,6,ENCINO HOSPITAL MEDICAL CENTER #190280,Emergency Department
Discharged/Transferred to skilled nursing facility (SNF) with Medicare certification in anticipation of covered skilled care,15,14,12,21,ENCINO HOSPITAL MEDICAL CENTER #190280,Emergency Department
Expired,1,0,3,3,ENCINO HOSPITAL MEDICAL CENTER #190280,Emergency Department
Left against medical advice or discontinued care,117,81,70,83,ENCINO HOSPITAL MEDICAL CENTER #190280,Emergency Department
Discharged home with hospice care,0,1,0,0,ENLOE HEALTH #040962,Emergency Department
Discharged to home or self care (routine discharge),15411,15994,15475,15799,ENLOE HEALTH #040962,Emergency Department
Discharged/Transferred to a designated Cancer Center or Children's Hospital,1,1,2,2,ENLOE HEALTH #040962,Emergency Department
Discharged/Transferred to a facility that provides custodial or supportive care (includes Intermediate Care Facility),5,7,9,12,ENLOE HEALTH #040962,Emergency Department
Discharged/Transferred to a Medicare certified long term care hospital (LTCH),0,1,4,5,ENLOE HEALTH #040962,Emergency Department
Discharged/Transferred to a psychiatric hospital or psychiatric distinct part unit of a hospital,80,77,98,139,ENLOE HEALTH #040962,Emergency Department
Discharged/Transferred to a short term general hospital for inpatient care,114,128,107,107,ENLOE HEALTH #040962,Emergency Department
Discharged/Transferred to an inpatient rehabilitation facility (IRF) including rehabilitation distinct part unit of a hospital,2,4,2,3,ENLOE HEALTH #040962,Emergency Department
Discharged/Transferred to another type of health care institution not defined elsewhere in this code list,0,0,1,0,ENLOE HEALTH #040962,Emergency Department
Discharged/Transferred to Court/Law Enforcement,112,127,144,107,ENLOE HEALTH #040962,Emergency Department
Discharged/Transferred to home under care of organized home health service organization in anticipation of covered skilled care,0,0,2,1,ENLOE HEALTH #040962,Emergency Department
Discharged/Transferred to skilled nursing facility (SNF) with Medicare certification in anticipation of covered skilled care,18,13,14,11,ENLOE HEALTH #040962,Emergency Department
Expired,17,8,21,11,ENLOE HEALTH #040962,Emergency Department
Left against medical advice or discontinued care,281,352,328,261,ENLOE HEALTH #040962,Emergency Department
Other,1,1,1,2,ENLOE HEALTH #040962,Emergency Department
Discharged home with hospice care,4,6,4,2,FAIRCHILD MEDICAL CENTER #474007,Emergency Department
Discharged to a medical facility with hospice care,0,1,0,1,FAIRCHILD MEDICAL CENTER #474007,Emergency Department
Discharged to home or self care (routine discharge),2757,2924,2788,2578,FAIRCHILD MEDICAL CENTER #474007,Emergency Department
Discharged/Transferred to a designated Cancer Center or Children's Hospital,0,1,0,0,FAIRCHILD MEDICAL CENTER #474007,Emergency Department
Discharged/Transferred to a facility that provides custodial or supportive care (includes Intermediate Care Facility),0,1,1,1,FAIRCHILD MEDICAL CENTER #474007,Emergency Department
Discharged/Transferred to a psychiatric hospital or psychiatric distinct part unit of a hospital,7,18,18,9,FAIRCHILD MEDICAL CENTER #474007,Emergency Department
Discharged/Transferred to a short term general hospital for inpatient care,66,92,73,73,FAIRCHILD MEDICAL CENTER #474007,Emergency Department
Discharged/Transferred to an inpatient rehabilitation facility (IRF) including rehabilitation distinct part unit of a hospital,0,0,0,1,FAIRCHILD MEDICAL CENTER #474007,Emergency Department
Discharged/Transferred to another type of health care institution not defined elsewhere in this code list,0,0,4,0,FAIRCHILD MEDICAL CENTER #474007,Emergency Department
Discharged/Transferred to Court/Law Enforcement,23,23,38,34,FAIRCHILD MEDICAL CENTER #474007,Emergency Department
Discharged/Transferred to home under care of organized home health service organization in anticipation of covered skilled care,9,11,5,3,FAIRCHILD MEDICAL CENTER #474007,Emergency Department
Discharged/Transferred to skilled nursing facility (SNF) with Medicare certification in anticipation of covered skilled care,5,5,7,1,FAIRCHILD MEDICAL CENTER #474007,Emergency Department
Expired,5,4,5,8,FAIRCHILD MEDICAL CENTER #474007,Emergency Department
Left against medical advice or discontinued care,34,40,42,44,FAIRCHILD MEDICAL CENTER #474007,Emergency Department
Other,0,0,1,0,FAIRCHILD MEDICAL CENTER #474007,Emergency Department
Discharged home with hospice care,0,0,0,1,FOOTHILL REGIONAL MEDICAL CENTER #301357,Emergency Department
Discharged to home or self care (routine discharge),879,876,869,852,FOOTHILL REGIONAL MEDICAL CENTER #301357,Emergency Department
Discharged/Transferred to a Critical Access Hospital (CAH),0,2,0,2,FOOTHILL REGIONAL MEDICAL CENTER #301357,Emergency Department
Discharged/Transferred to a designated Cancer Center or Children's Hospital,1,1,1,1,FOOTHILL REGIONAL MEDICAL CENTER #301357,Emergency Department
Discharged/Transferred to a facility that provides custodial or supportive care (includes Intermediate Care Facility),4,11,6,5,FOOTHILL REGIONAL MEDICAL CENTER #301357,Emergency Department
Discharged/Transferred to a psychiatric hospital or psychiatric distinct part unit of a hospital,16,11,19,18,FOOTHILL REGIONAL MEDICAL CENTER #301357,Emergency Department
Discharged/Transferred to a short term general hospital for inpatient care,21,24,17,23,FOOTHILL REGIONAL MEDICAL CENTER #301357,Emergency Department
Discharged/Transferred to an inpatient rehabilitation facility (IRF) including rehabilitation distinct part unit of a hospital,37,38,60,66,FOOTHILL REGIONAL MEDICAL CENTER #301357,Emergency Department
Discharged/Transferred to another type of health care institution not defined elsewhere in this code list,18,12,15,13,FOOTHILL REGIONAL MEDICAL CENTER #301357,Emergency Department
Discharged/Transferred to Court/Law Enforcement,5,4,11,5,FOOTHILL REGIONAL MEDICAL CENTER #301357,Emergency Department
Discharged/Transferred to home under care of organized home health service organization in anticipation of covered skilled care,1,0,0,0,FOOTHILL REGIONAL MEDICAL CENTER #301357,Emergency Department
Discharged/Transferred to skilled nursing facility (SNF) with Medicare certification in anticipation of covered skilled care,12,12,11,8,FOOTHILL REGIONAL MEDICAL CENTER #301357,Emergency Department
Expired,2,2,1,1,FOOTHILL REGIONAL MEDICAL CENTER #301357,Emergency Department
Left against medical advice or discontinued care,219,89,115,130,FOOTHILL REGIONAL MEDICAL CENTER #301357,Emergency Department
Other,1,1,0,1,FOOTHILL REGIONAL MEDICAL CENTER #301357,Emergency Department
Discharged home with hospice care,8,3,3,6,FRENCH HOSPITAL MEDICAL CENTER #400480,Emergency Department
Discharged to a medical facility with hospice care,0,2,0,1,FRENCH HOSPITAL MEDICAL CENTER #400480,Emergency Department
Discharged to home or self care (routine discharge),5364,6088,6198,5759,FRENCH HOSPITAL MEDICAL CENTER #400480,Emergency Department
Discharged/Transferred to a Critical Access Hospital (CAH),2,5,5,4,FRENCH HOSPITAL MEDICAL CENTER #400480,Emergency Department
Discharged/Transferred to a designated Cancer Center or Children's Hospital,1,0,0,1,FRENCH HOSPITAL MEDICAL CENTER #400480,Emergency Department
Discharged/Transferred to a facility that provides custodial or supportive care (includes Intermediate Care Facility),10,13,6,13,FRENCH HOSPITAL MEDICAL CENTER #400480,Emergency Department
Discharged/Transferred to a psychiatric hospital or psychiatric distinct part unit of a hospital,140,127,118,113,FRENCH HOSPITAL MEDICAL CENTER #400480,Emergency Department
Discharged/Transferred to a short term general hospital for inpatient care,40,59,55,58,FRENCH HOSPITAL MEDICAL CENTER #400480,Emergency Department
Discharged/Transferred to a Short Term General Hospital for Inpatient Care with a Planned Acute Care Hospital Inpatient Readmission,4,2,1,1,FRENCH HOSPITAL MEDICAL CENTER #400480,Emergency Department
Discharged/Transferred to another type of health care institution not defined elsewhere in this code list,2,9,5,0,FRENCH HOSPITAL MEDICAL CENTER #400480,Emergency Department
Discharged/Transferred to Court/Law Enforcement,20,37,61,61,FRENCH HOSPITAL MEDICAL CENTER #400480,Emergency Department
Discharged/Transferred to Court/Law Enforcement with a Planned Acute Care Hospital Inpatient Readmission,2,4,2,1,FRENCH HOSPITAL MEDICAL CENTER #400480,Emergency Department
Discharged/Transferred to home under care of organized home health service organization in anticipation of covered skilled care,17,29,24,19,FRENCH HOSPITAL MEDICAL CENTER #400480,Emergency Department
Discharged/Transferred to skilled nursing facility (SNF) with Medicare certification in anticipation of covered skilled care,17,12,9,10,FRENCH HOSPITAL MEDICAL CENTER #400480,Emergency Department
Discharged/Transferred to Skilled Nursing Facility (SNF) with Medicare Certification with a Planned Acute Care Hospital Inpatient Readmission,0,0,1,0,FRENCH HOSPITAL MEDICAL CENTER #400480,Emergency Department
Expired,15,4,5,8,FRENCH HOSPITAL MEDICAL CENTER #400480,Emergency Department
Left against medical advice or discontinued care,79,75,126,127,FRENCH HOSPITAL MEDICAL CENTER #400480,Emergency Department
Discharged to a medical facility with hospice care,1,0,0,0,GARDEN GROVE HOSPITAL AND MEDICAL CENTER #301283,Emergency Department
Discharged to home or self care (routine discharge),4391,4400,4576,4387,GARDEN GROVE HOSPITAL AND MEDICAL CENTER #301283,Emergency Department
Discharged/Transferred to a Critical Access Hospital (CAH),16,2,2,2,GARDEN GROVE HOSPITAL AND MEDICAL CENTER #301283,Emergency Department
Discharged/Transferred to a designated Cancer Center or Children's Hospital,3,3,3,0,GARDEN GROVE HOSPITAL AND MEDICAL CENTER #301283,Emergency Department
Discharged/Transferred to a facility that provides custodial or supportive care (includes Intermediate Care Facility),6,4,6,7,GARDEN GROVE HOSPITAL AND MEDICAL CENTER #301283,Emergency Department
Discharged/Transferred to a federal health care facility,1,0,0,1,GARDEN GROVE HOSPITAL AND MEDICAL CENTER #301283,Emergency Department
Discharged/Transferred to a Medicare certified long term care hospital (LTCH),2,0,1,0,GARDEN GROVE HOSPITAL AND MEDICAL CENTER #301283,Emergency Department
"Discharged/Transferred to a nursing facility certified under Medicaid (Medi-Cal), but not certified under Medicare",4,0,0,0,GARDEN GROVE HOSPITAL AND MEDICAL CENTER #301283,Emergency Department
Discharged/Transferred to a psychiatric hospital or psychiatric distinct part unit of a hospital,10,18,14,10,GARDEN GROVE HOSPITAL AND MEDICAL CENTER #301283,Emergency Department
Discharged/Transferred to a short term general hospital for inpatient care,63,61,56,59,GARDEN GROVE HOSPITAL AND MEDICAL CENTER #301283,Emergency Department
Discharged/Transferred to a Short Term General Hospital for Inpatient Care with a Planned Acute Care Hospital Inpatient Readmission,2,1,0,1,GARDEN GROVE HOSPITAL AND MEDICAL CENTER #301283,Emergency Department
Discharged/Transferred to an inpatient rehabilitation facility (IRF) including rehabilitation distinct part unit of a hospital,2,1,2,2,GARDEN GROVE HOSPITAL AND MEDICAL CENTER #301283,Emergency Department
Discharged/Transferred to another type of health care institution not defined elsewhere in this code list,134,130,135,146,GARDEN GROVE HOSPITAL AND MEDICAL CENTER #301283,Emergency Department
Discharged/Transferred to Court/Law Enforcement,18,13,15,11,GARDEN GROVE HOSPITAL AND MEDICAL CENTER #301283,Emergency Department
Discharged/Transferred to Court/Law Enforcement with a Planned Acute Care Hospital Inpatient Readmission,1,2,1,0,GARDEN GROVE HOSPITAL AND MEDICAL CENTER #301283,Emergency Department
Discharged/Transferred to Home or Self Care with a Planned Acute Care Hospital Inpatient Readmission,1,0,0,0,GARDEN GROVE HOSPITAL AND MEDICAL CENTER #301283,Emergency Department
Discharged/Transferred to home under care of organized home health service organization in anticipation of covered skilled care,1,0,0,0,GARDEN GROVE HOSPITAL AND MEDICAL CENTER #301283,Emergency Department
Discharged/Transferred to skilled nursing facility (SNF) with Medicare certification in anticipation of covered skilled care,13,30,12,12,GARDEN GROVE HOSPITAL AND MEDICAL CENTER #301283,Emergency Department
Expired,11,14,5,11,GARDEN GROVE HOSPITAL AND MEDICAL CENTER #301283,Emergency Department
Left against medical advice or discontinued care,166,130,128,158,GARDEN GROVE HOSPITAL AND MEDICAL CENTER #301283,Emergency Department
Other,12,0,14,3,GARDEN GROVE HOSPITAL AND MEDICAL CENTER #301283,Emergency Department
Discharged home with hospice care,1,0,1,0,GARFIELD MEDICAL CENTER #190315,Emergency Department
Discharged to home or self care (routine discharge),4545,4769,5018,5552,GARFIELD MEDICAL CENTER #190315,Emergency Department
Discharged/Transferred to a Critical Access Hospital (CAH),0,1,0,0,GARFIELD MEDICAL CENTER #190315,Emergency Department
Discharged/Transferred to a designated Cancer Center or Children's Hospital,4,6,3,10,GARFIELD MEDICAL CENTER #190315,Emergency Department
Discharged/Transferred to a designated Cancer Center or Children's Hospital with a Planned Acute Care Hospital Inpatient Readmission,1,2,0,0,GARFIELD MEDICAL CENTER #190315,Emergency Department
Discharged/Transferred to a facility that provides custodial or supportive care (includes Intermediate Care Facility),0,0,0,1,GARFIELD MEDICAL CENTER #190315,Emergency Department
Discharged/Transferred to a facility that provides custodial or supportive care (includes intermediate care facility) with a Planned Acute Care Hospital Inpatient Readmission,0,0,1,1,GARFIELD MEDICAL CENTER #190315,Emergency Department
Discharged/Transferred to a hospital-based Medicare approved swing bed,0,1,0,0,GARFIELD MEDICAL CENTER #190315,Emergency Department
Discharged/Transferred to a Medicare certified long term care hospital (LTCH),1,1,0,0,GARFIELD MEDICAL CENTER #190315,Emergency Department
"Discharged/Transferred to a nursing facility certified under Medicaid (Medi-Cal), but not certified under Medicare",1,0,1,0,GARFIELD MEDICAL CENTER #190315,Emergency Department
Discharged/Transferred to a psychiatric hospital or psychiatric distinct part unit of a hospital,24,22,25,31,GARFIELD MEDICAL CENTER #190315,Emergency Department
Discharged/Transferred to a short term general hospital for inpatient care,76,91,102,113,GARFIELD MEDICAL CENTER #190315,Emergency Department
Discharged/Transferred to a Short Term General Hospital for Inpatient Care with a Planned Acute Care Hospital Inpatient Readmission,11,17,11,15,GARFIELD MEDICAL CENTER #190315,Emergency Department
Discharged/Transferred to Court/Law Enforcement,47,68,56,56,GARFIELD MEDICAL CENTER #190315,Emergency Department
Discharged/Transferred to home under care of organized home health service organization in anticipation of covered skilled care,4,3,1,0,GARFIELD MEDICAL CENTER #190315,Emergency Department
Discharged/Transferred to home under care of organized home health service organization with a Planned Acute Care Hospital Inpatient Readmission,1,1,1,1,GARFIELD MEDICAL CENTER #190315,Emergency Department
Discharged/Transferred to skilled nursing facility (SNF) with Medicare certification in anticipation of covered skilled care,14,19,28,25,GARFIELD MEDICAL CENTER #190315,Emergency Department
Discharged/Transferred to Skilled Nursing Facility (SNF) with Medicare Certification with a Planned Acute Care Hospital Inpatient Readmission,1,0,1,0,GARFIELD MEDICAL CENTER #190315,Emergency Department
Error/Unknown,0,2,0,0,GARFIELD MEDICAL CENTER #190315,Emergency Department
Expired,11,5,14,4,GARFIELD MEDICAL CENTER #190315,Emergency Department
Left against medical advice or discontinued care,206,214,176,188,GARFIELD MEDICAL CENTER #190315,Emergency Department
Other,3,3,0,0,GARFIELD MEDICAL CENTER #190315,Emergency Department
