SEX,Q1 2024,Q2 2024,Q3 2024,Q4 2024,Facility,Report
Male,6466,6934,6474,6634,JOHN MUIR MEDICAL CENTER-CONCORD CAMPUS #071018,Emergency Department
Unknown,1,3,3,3,JOHN MUIR MEDICAL CENTER-CONCORD CAMPUS #071018,Emergency Department
Female,7506,7379,7114,7242,JOHN MUIR MEDICAL CENTER-WALNUT CREEK CAMPUS #070988,Emergency Department
Male,5616,5879,5643,5666,JOHN MUIR MEDICAL CENTER-WALNUT CREEK CAMPUS #070988,Emergency Department
Unknown,0,0,1,0,JOHN MUIR MEDICAL CENTER-WALNUT CREEK CAMPUS #070988,Emergency Department
Female,7797,8127,7623,7565,KAISER FOUNDATION HOSPITAL & REHAB CENTER - VALLEJO #480989,Emergency Department
Male,6639,6703,6241,6354,KAISER FOUNDATION HOSPITAL & REHAB CENTER - VALLEJO #480989,Emergency Department
Unknown,5,11,9,10,KAISER FOUNDATION HOSPITAL & REHAB CENTER - VALLEJO #480989,Emergency Department
Female,9770,10283,9528,9503,KAISER FOUNDATION HOSPITAL - ANTIOCH  #074097,Emergency Department
Male,7827,8458,7417,7517,KAISER FOUNDATION HOSPITAL - ANTIOCH  #074097,Emergency Department
Unknown,2,8,5,8,KAISER FOUNDATION HOSPITAL - ANTIOCH  #074097,Emergency Department
Female,8738,9547,9084,8910,KAISER FOUNDATION HOSPITAL - BALDWIN PARK #196035,Emergency Department
Male,7245,7693,7539,7518,KAISER FOUNDATION HOSPITAL - BALDWIN PARK #196035,Emergency Department
Unknown,3,1,1,0,KAISER FOUNDATION HOSPITAL - BALDWIN PARK #196035,Emergency Department
Female,13393,13418,13896,13587,KAISER FOUNDATION HOSPITAL - DOWNEY #196403,Emergency Department
Male,10103,10246,10323,10377,KAISER FOUNDATION HOSPITAL - DOWNEY #196403,Emergency Department
Unknown,0,2,4,5,KAISER FOUNDATION HOSPITAL - DOWNEY #196403,Emergency Department
Female,21125,21601,21838,22250,KAISER FOUNDATION HOSPITAL - FONTANA #361223,Emergency Department
Male,16583,17075,17238,17598,KAISER FOUNDATION HOSPITAL - FONTANA #361223,Emergency Department
Unknown,8,2,7,6,KAISER FOUNDATION HOSPITAL - FONTANA #361223,Emergency Department
Female,5808,5656,5353,5379,KAISER FOUNDATION HOSPITAL - FREMONT #014132,Emergency Department
Male,5079,5186,4802,4916,KAISER FOUNDATION HOSPITAL - FREMONT #014132,Emergency Department
Unknown,3,2,9,6,KAISER FOUNDATION HOSPITAL - FREMONT #014132,Emergency Department
Female,6917,7224,7147,6753,KAISER FOUNDATION HOSPITAL - FRESNO #104062,Emergency Department
Male,5496,5651,5493,5229,KAISER FOUNDATION HOSPITAL - FRESNO #104062,Emergency Department
Not Provided/Blank,0,0,1,0,KAISER FOUNDATION HOSPITAL - FRESNO #104062,Emergency Department
Unknown,3,0,4,4,KAISER FOUNDATION HOSPITAL - FRESNO #104062,Emergency Department
Female,7063,7030,7201,7103,KAISER FOUNDATION HOSPITAL - LOS ANGELES #190429,Emergency Department
Male,6626,6484,6508,6609,KAISER FOUNDATION HOSPITAL - LOS ANGELES #190429,Emergency Department
Unknown,3,6,6,4,KAISER FOUNDATION HOSPITAL - LOS ANGELES #190429,Emergency Department
Female,15324,15752,14726,14586,KAISER FOUNDATION HOSPITAL - MANTECA #394009,Emergency Department
Male,13117,13358,12629,12707,KAISER FOUNDATION HOSPITAL - MANTECA #394009,Emergency Department
Unknown,6,2,8,16,KAISER FOUNDATION HOSPITAL - MANTECA #394009,Emergency Department
Female,7728,8250,8316,8773,KAISER FOUNDATION HOSPITAL - MORENO VALLEY #334048,Emergency Department
Male,5486,6008,6096,6335,KAISER FOUNDATION HOSPITAL - MORENO VALLEY #334048,Emergency Department
Unknown,2,1,2,1,KAISER FOUNDATION HOSPITAL - MORENO VALLEY #334048,Emergency Department
Female,17891,18703,17806,17699,KAISER FOUNDATION HOSPITAL - OAKLAND/RICHMOND #014326,Emergency Department
Male,14992,15654,14828,14955,KAISER FOUNDATION HOSPITAL - OAKLAND/RICHMOND #014326,Emergency Department
Unknown,28,21,30,1,KAISER FOUNDATION HOSPITAL - OAKLAND/RICHMOND #014326,Emergency Department
Female,16160,16674,16490,16553,KAISER FOUNDATION HOSPITAL - ORANGE COUNTY - ANAHEIM #304409,Emergency Department
Male,13064,13460,13103,13394,KAISER FOUNDATION HOSPITAL - ORANGE COUNTY - ANAHEIM #304409,Emergency Department
Unknown,6,11,8,6,KAISER FOUNDATION HOSPITAL - ORANGE COUNTY - ANAHEIM #304409,Emergency Department
Female,8946,9357,9135,9082,KAISER FOUNDATION HOSPITAL - PANORAMA CITY #190432,Emergency Department
Male,7529,7613,7563,7679,KAISER FOUNDATION HOSPITAL - PANORAMA CITY #190432,Emergency Department
Not Provided/Blank,1,0,0,0,KAISER FOUNDATION HOSPITAL - PANORAMA CITY #190432,Emergency Department
Unknown,5,3,2,1,KAISER FOUNDATION HOSPITAL - PANORAMA CITY #190432,Emergency Department
Female,4839,5041,4917,4873,KAISER FOUNDATION HOSPITAL - REDWOOD CITY #414139,Emergency Department
Male,4459,4545,4449,4343,KAISER FOUNDATION HOSPITAL - REDWOOD CITY #414139,Emergency Department
Unknown,0,5,2,3,KAISER FOUNDATION HOSPITAL - REDWOOD CITY #414139,Emergency Department
Female,8162,8831,8593,8896,KAISER FOUNDATION HOSPITAL - RIVERSIDE #334025,Emergency Department
Male,6257,6728,6690,6741,KAISER FOUNDATION HOSPITAL - RIVERSIDE #334025,Emergency Department
Unknown,2,1,3,7,KAISER FOUNDATION HOSPITAL - RIVERSIDE #334025,Emergency Department
Female,17276,17834,17088,16695,KAISER FOUNDATION HOSPITAL - ROSEVILLE #314024,Emergency Department
Male,13488,14264,13540,13168,KAISER FOUNDATION HOSPITAL - ROSEVILLE #314024,Emergency Department
Unknown,5,13,13,13,KAISER FOUNDATION HOSPITAL - ROSEVILLE #314024,Emergency Department
Female,13764,14315,14301,13883,KAISER FOUNDATION HOSPITAL - SACRAMENTO #340913,Emergency Department
Male,10923,11292,11073,11246,KAISER FOUNDATION HOSPITAL - SACRAMENTO #340913,Emergency Department
Unknown,1,10,7,14,KAISER FOUNDATION HOSPITAL - SACRAMENTO #340913,Emergency Department
Female,16028,16696,17106,17357,KAISER FOUNDATION HOSPITAL - SAN DIEGO - ZION #370730,Emergency Department
Male,12327,12645,12958,12948,KAISER FOUNDATION HOSPITAL - SAN DIEGO - ZION #370730,Emergency Department
Not Provided/Blank,1,0,0,0,KAISER FOUNDATION HOSPITAL - SAN DIEGO - ZION #370730,Emergency Department
Unknown,3,4,3,3,KAISER FOUNDATION HOSPITAL - SAN DIEGO - ZION #370730,Emergency Department
Female,4004,4069,4188,4115,KAISER FOUNDATION HOSPITAL - SAN FRANCISCO #380857,Emergency Department
Male,4018,4043,3946,4124,KAISER FOUNDATION HOSPITAL - SAN FRANCISCO #380857,Emergency Department
Unknown,3,0,0,0,KAISER FOUNDATION HOSPITAL - SAN FRANCISCO #380857,Emergency Department
Female,9775,10096,9486,9512,KAISER FOUNDATION HOSPITAL - SAN JOSE #431506,Emergency Department
Male,8443,9064,8027,7972,KAISER FOUNDATION HOSPITAL - SAN JOSE #431506,Emergency Department
Unknown,4,8,14,7,KAISER FOUNDATION HOSPITAL - SAN JOSE #431506,Emergency Department
Female,9960,9673,9373,9316,KAISER FOUNDATION HOSPITAL - SAN LEANDRO #014337,Emergency Department
Male,8261,8208,7649,7673,KAISER FOUNDATION HOSPITAL - SAN LEANDRO #014337,Emergency Department
Not Provided/Blank,0,0,1,0,KAISER FOUNDATION HOSPITAL - SAN LEANDRO #014337,Emergency Department
Unknown,6,7,7,10,KAISER FOUNDATION HOSPITAL - SAN LEANDRO #014337,Emergency Department
Female,5761,6103,6336,6604,KAISER FOUNDATION HOSPITAL - SAN MARCOS #370028,Emergency Department
Male,4334,4712,4804,4898,KAISER FOUNDATION HOSPITAL - SAN MARCOS #370028,Emergency Department
Unknown,1,3,4,1,KAISER FOUNDATION HOSPITAL - SAN MARCOS #370028,Emergency Department
Female,3828,4110,3941,3812,KAISER FOUNDATION HOSPITAL - SAN RAFAEL #210992,Emergency Department
Male,3451,3574,3305,3161,KAISER FOUNDATION HOSPITAL - SAN RAFAEL #210992,Emergency Department
Unknown,6,4,0,6,KAISER FOUNDATION HOSPITAL - SAN RAFAEL #210992,Emergency Department
Female,8990,9489,9336,9107,KAISER FOUNDATION HOSPITAL - SANTA CLARA #434153,Emergency Department
Male,7949,8556,8167,8269,KAISER FOUNDATION HOSPITAL - SANTA CLARA #434153,Emergency Department
Unknown,9,5,9,13,KAISER FOUNDATION HOSPITAL - SANTA CLARA #434153,Emergency Department
Female,8015,8530,8003,7685,KAISER FOUNDATION HOSPITAL - SANTA ROSA #494019,Emergency Department
Male,6977,7438,6969,6366,KAISER FOUNDATION HOSPITAL - SANTA ROSA #494019,Emergency Department
Unknown,3,14,14,10,KAISER FOUNDATION HOSPITAL - SANTA ROSA #494019,Emergency Department
Female,9182,9367,9101,9188,KAISER FOUNDATION HOSPITAL - SOUTH BAY #190431,Emergency Department
Male,7061,6891,6861,6939,KAISER FOUNDATION HOSPITAL - SOUTH BAY #190431,Emergency Department
Unknown,1,2,3,1,KAISER FOUNDATION HOSPITAL - SOUTH BAY #190431,Emergency Department
Female,14676,15525,15391,15183,KAISER FOUNDATION HOSPITAL - SOUTH SACRAMENTO #342344,Emergency Department
Male,11875,12777,12441,12684,KAISER FOUNDATION HOSPITAL - SOUTH SACRAMENTO #342344,Emergency Department
Not Provided/Blank,0,0,1,0,KAISER FOUNDATION HOSPITAL - SOUTH SACRAMENTO #342344,Emergency Department
Unknown,0,2,6,10,KAISER FOUNDATION HOSPITAL - SOUTH SACRAMENTO #342344,Emergency Department
Female,6259,6236,5989,6204,KAISER FOUNDATION HOSPITAL - SOUTH SAN FRANCISCO #410806,Emergency Department
Male,5503,5607,5394,5592,KAISER FOUNDATION HOSPITAL - SOUTH SAN FRANCISCO #410806,Emergency Department
Unknown,2,7,10,5,KAISER FOUNDATION HOSPITAL - SOUTH SAN FRANCISCO #410806,Emergency Department
Female,7412,7900,7104,7095,KAISER FOUNDATION HOSPITAL - VACAVILLE #484044,Emergency Department
Male,6096,6574,5928,5881,KAISER FOUNDATION HOSPITAL - VACAVILLE #484044,Emergency Department
Unknown,1,4,6,8,KAISER FOUNDATION HOSPITAL - VACAVILLE #484044,Emergency Department
Female,9591,10082,9330,9148,KAISER FOUNDATION HOSPITAL - WALNUT CREEK #070990,Emergency Department
Male,8061,8587,7848,7882,KAISER FOUNDATION HOSPITAL - WALNUT CREEK #070990,Emergency Department
Unknown,6,4,9,12,KAISER FOUNDATION HOSPITAL - WALNUT CREEK #070990,Emergency Department
Female,11999,12248,12193,12356,KAISER FOUNDATION HOSPITAL - WEST LA #190434,Emergency Department
Male,9341,9336,9183,9420,KAISER FOUNDATION HOSPITAL - WEST LA #190434,Emergency Department
Unknown,1,6,6,7,KAISER FOUNDATION HOSPITAL - WEST LA #190434,Emergency Department
Female,6116,6047,5666,5894,KAISER FOUNDATION HOSPITAL - WOODLAND HILLS #191450,Emergency Department
Male,4905,5148,4900,4930,KAISER FOUNDATION HOSPITAL - WOODLAND HILLS #191450,Emergency Department
Unknown,1,6,2,1,KAISER FOUNDATION HOSPITAL - WOODLAND HILLS #191450,Emergency Department
Female,10010,10229,9966,10601,KAWEAH HEALTH MEDICAL CENTER #540734,Emergency Department
Male,8083,8408,8633,9094,KAWEAH HEALTH MEDICAL CENTER #540734,Emergency Department
Unknown,1,2,4,5,KAWEAH HEALTH MEDICAL CENTER #540734,Emergency Department
Female,5594,5930,5973,5717,KERN MEDICAL CENTER #150736,Emergency Department
Male,5996,6468,6344,6067,KERN MEDICAL CENTER #150736,Emergency Department
Unknown,0,2,0,0,KERN MEDICAL CENTER #150736,Emergency Department
Female,887,980,999,957,KERN VALLEY HEALTHCARE DISTRICT #150737,Emergency Department
Male,852,919,986,877,KERN VALLEY HEALTHCARE DISTRICT #150737,Emergency Department
Female,1620,1631,1630,1837,LA PALMA INTERCOMMUNITY HOSPITAL #301234,Emergency Department
Male,1420,1386,1505,1532,LA PALMA INTERCOMMUNITY HOSPITAL #301234,Emergency Department
Unknown,1,1,0,0,LA PALMA INTERCOMMUNITY HOSPITAL #301234,Emergency Department
Female,9544,9769,9321,9448,LAC/HARBOR-UCLA MEDICAL CENTER #191227,Emergency Department
Male,9765,10121,9989,10157,LAC/HARBOR-UCLA MEDICAL CENTER #191227,Emergency Department
Not Provided/Blank,1,1,1,0,LAC/HARBOR-UCLA MEDICAL CENTER #191227,Emergency Department
Unknown,4,3,2,2,LAC/HARBOR-UCLA MEDICAL CENTER #191227,Emergency Department
Female,4441,4059,3970,4799,LOMA LINDA UNIVERSITY CHILDREN'S HOSPITAL #364502,Emergency Department
Male,4860,4600,4306,5453,LOMA LINDA UNIVERSITY CHILDREN'S HOSPITAL #364502,Emergency Department
Unknown,0,0,1,1,LOMA LINDA UNIVERSITY CHILDREN'S HOSPITAL #364502,Emergency Department
Female,6130,5705,5441,5736,LOMA LINDA UNIVERSITY MEDICAL CENTER #361246,Emergency Department
Male,4865,4645,4378,4602,LOMA LINDA UNIVERSITY MEDICAL CENTER #361246,Emergency Department
Unknown,0,1,1,0,LOMA LINDA UNIVERSITY MEDICAL CENTER #361246,Emergency Department
Female,6574,6147,6524,6817,LOMA LINDA UNIVERSITY MEDICAL CENTER-MURRIETA #334589,Emergency Department
Male,4793,4454,4838,5106,LOMA LINDA UNIVERSITY MEDICAL CENTER-MURRIETA #334589,Emergency Department
Unknown,0,0,1,2,LOMA LINDA UNIVERSITY MEDICAL CENTER-MURRIETA #334589,Emergency Department
Female,2718,2944,2772,2881,LOMPOC VALLEY MEDICAL CENTER #420491,Emergency Department
Male,2402,2345,2380,2559,LOMPOC VALLEY MEDICAL CENTER #420491,Emergency Department
Female,382,413,453,444,LOS ANGELES COMMUNITY HOSPITAL #190198,Emergency Department
Male,405,466,508,502,LOS ANGELES COMMUNITY HOSPITAL #190198,Emergency Department
Female,6937,7374,6891,6861,LOS ANGELES COUNTY OLIVE VIEW-UCLA MEDICAL CENTER #191231,Emergency Department
Male,7509,7777,7330,7461,LOS ANGELES COUNTY OLIVE VIEW-UCLA MEDICAL CENTER #191231,Emergency Department
Unknown,4,2,10,0,LOS ANGELES COUNTY OLIVE VIEW-UCLA MEDICAL CENTER #191231,Emergency Department
Female,11230,10913,11191,11533,LOS ANGELES GENERAL MEDICAL CENTER #191228,Emergency Department
Male,15048,14643,14938,15345,LOS ANGELES GENERAL MEDICAL CENTER #191228,Emergency Department
Not Provided/Blank,2,3,6,2,LOS ANGELES GENERAL MEDICAL CENTER #191228,Emergency Department
Unknown,8,11,9,13,LOS ANGELES GENERAL MEDICAL CENTER #191228,Emergency Department
Female,5685,5683,5998,6267,LOS ROBLES HOSPITAL & MEDICAL CENTER #560492,Emergency Department
Male,4567,4632,4962,5155,LOS ROBLES HOSPITAL & MEDICAL CENTER #560492,Emergency Department
Unknown,0,2,4,2,LOS ROBLES HOSPITAL & MEDICAL CENTER #560492,Emergency Department
Female,1502,1484,1471,1373,MAD RIVER COMMUNITY HOSPITAL #121002,Emergency Department
Male,1337,1489,1421,1275,MAD RIVER COMMUNITY HOSPITAL #121002,Emergency Department
Unknown,1,0,0,1,MAD RIVER COMMUNITY HOSPITAL #121002,Emergency Department
Female,1509,959,1235,993,MAMMOTH HOSPITAL #260011,Emergency Department
Male,1907,1255,1493,1183,MAMMOTH HOSPITAL #260011,Emergency Department
Unknown,1,0,2,0,MAMMOTH HOSPITAL #260011,Emergency Department
Female,6868,7420,7374,7131,MARIAN REGIONAL MEDICAL CENTER #420493,Emergency Department
Male,5869,6487,6491,6220,MARIAN REGIONAL MEDICAL CENTER #420493,Emergency Department
Unknown,2,3,1,4,MARIAN REGIONAL MEDICAL CENTER #420493,Emergency Department
Female,3944,4416,4227,4082,"MARIAN REGIONAL MEDICAL CENTER, ARROYO GRANDE #400466",Emergency Department
Male,3186,3690,3485,3487,"MARIAN REGIONAL MEDICAL CENTER, ARROYO GRANDE #400466",Emergency Department
Error/Unknown,0,2,2,0,MARINHEALTH MEDICAL CENTER #211006,Emergency Department
Female,4554,4917,4728,4842,MARINHEALTH MEDICAL CENTER #211006,Emergency Department
Male,3975,4387,4098,4231,MARINHEALTH MEDICAL CENTER #211006,Emergency Department
Unknown,5,4,0,4,MARINHEALTH MEDICAL CENTER #211006,Emergency Department
Female,1416,1398,1328,1380,MARK TWAIN MEDICAL CENTER #050932,Emergency Department
Male,1218,1291,1271,1233,MARK TWAIN MEDICAL CENTER #050932,Emergency Department
Error/Unknown,6,3,1,0,MARSHALL MEDICAL CENTER #090933,Emergency Department
Female,3607,3855,3683,4158,MARSHALL MEDICAL CENTER #090933,Emergency Department
Male,3182,3344,3459,3610,MARSHALL MEDICAL CENTER #090933,Emergency Department
Unknown,1,4,1,0,MARSHALL MEDICAL CENTER #090933,Emergency Department
Female,546,560,576,573,MAYERS MEMORIAL HOSPITAL #450936,Emergency Department
Male,477,542,513,533,MAYERS MEMORIAL HOSPITAL #450936,Emergency Department
Female,4129,4285,4113,4097,MEMORIAL HOSPITAL LOS BANOS #240924,Emergency Department
Male,3096,3342,3215,3361,MEMORIAL HOSPITAL LOS BANOS #240924,Emergency Department
Unknown,0,0,0,1,MEMORIAL HOSPITAL LOS BANOS #240924,Emergency Department
Female,4051,4159,4142,4047,MEMORIAL HOSPITAL OF GARDENA #190521,Emergency Department
Male,3645,3762,3772,3885,MEMORIAL HOSPITAL OF GARDENA #190521,Emergency Department
Unknown,1,2,2,0,MEMORIAL HOSPITAL OF GARDENA #190521,Emergency Department
Female,10322,10409,10180,9958,MEMORIAL MEDICAL CENTER - MODESTO #500939,Emergency Department
Male,8165,8121,7902,7953,MEMORIAL MEDICAL CENTER - MODESTO #500939,Emergency Department
Female,8774,9490,9648,10009,MEMORIALCARE LONG BEACH MEDICAL CENTER #190525,Emergency Department
Male,7667,8014,8030,8564,MEMORIALCARE LONG BEACH MEDICAL CENTER #190525,Emergency Department
Unknown,1,0,0,0,MEMORIALCARE LONG BEACH MEDICAL CENTER #190525,Emergency Department
Female,4641,5109,5164,5161,MEMORIALCARE ORANGE COAST MEDICAL CENTER #300225,Emergency Department
Male,3324,3630,3886,3797,MEMORIALCARE ORANGE COAST MEDICAL CENTER #300225,Emergency Department
Female,4042,4151,4230,4255,MEMORIALCARE SADDLEBACK MEDICAL CENTER #301317,Emergency Department
Male,3073,3163,3231,3289,MEMORIALCARE SADDLEBACK MEDICAL CENTER #301317,Emergency Department
Unknown,0,0,1,0,MEMORIALCARE SADDLEBACK MEDICAL CENTER #301317,Emergency Department
Female,2189,2365,2382,2333,MENIFEE GLOBAL MEDICAL CENTER #334018,Emergency Department
Male,1828,1988,2009,1989,MENIFEE GLOBAL MEDICAL CENTER #334018,Emergency Department
Female,4841,4971,4951,4714,MERCY GENERAL HOSPITAL #340947,Emergency Department
Male,3867,3972,3952,3782,MERCY GENERAL HOSPITAL #340947,Emergency Department
Unknown,1,0,1,1,MERCY GENERAL HOSPITAL #340947,Emergency Department
Female,10156,10939,11049,10842,MERCY HOSPITAL - BAKERSFIELD #150761,Emergency Department
Male,6978,7519,7677,7680,MERCY HOSPITAL - BAKERSFIELD #150761,Emergency Department
Female,6132,6612,6372,6290,MERCY HOSPITAL OF FOLSOM #344029,Emergency Department
Male,4791,4939,4884,4675,MERCY HOSPITAL OF FOLSOM #344029,Emergency Department
Female,8540,8933,8734,8325,MERCY MEDICAL CENTER - MERCED #240942,Emergency Department
Male,6953,7476,6928,6694,MERCY MEDICAL CENTER - MERCED #240942,Emergency Department
Unknown,0,1,0,1,MERCY MEDICAL CENTER - MERCED #240942,Emergency Department
Female,6371,6215,6445,6072,MERCY MEDICAL CENTER - REDDING #450949,Emergency Department
Male,5179,5266,5313,5057,MERCY MEDICAL CENTER - REDDING #450949,Emergency Department
Unknown,0,0,0,1,MERCY MEDICAL CENTER - REDDING #450949,Emergency Department
Female,1271,1325,1422,1259,MERCY MEDICAL CENTER MT. SHASTA #470871,Emergency Department
Male,1163,1219,1229,1039,MERCY MEDICAL CENTER MT. SHASTA #470871,Emergency Department
Unknown,1,1,0,0,MERCY MEDICAL CENTER MT. SHASTA #470871,Emergency Department
Female,7696,8475,8552,8371,MERCY SAN JUAN MEDICAL CENTER #340950,Emergency Department
Male,6985,7348,7286,7095,MERCY SAN JUAN MEDICAL CENTER #340950,Emergency Department
Unknown,1,2,1,1,MERCY SAN JUAN MEDICAL CENTER #340950,Emergency Department
Female,7636,8144,8004,7521,METHODIST HOSPITAL OF SACRAMENTO #340951,Emergency Department
Male,5420,5950,5731,5689,METHODIST HOSPITAL OF SACRAMENTO #340951,Emergency Department
Female,5912,5720,5660,5981,MILLS-PENINSULA MEDICAL CENTER #410852,Emergency Department
Male,5151,4976,4950,4946,MILLS-PENINSULA MEDICAL CENTER #410852,Emergency Department
Female,1140,1226,1268,1280,MISSION COMMUNITY HOSPITAL - PANORAMA CAMPUS #190524,Emergency Department
Male,1356,1431,1443,1367,MISSION COMMUNITY HOSPITAL - PANORAMA CAMPUS #190524,Emergency Department
Female,757,813,736,719,MODOC MEDICAL CENTER #254005,Emergency Department
Male,585,731,735,603,MODOC MEDICAL CENTER #254005,Emergency Department
Unknown,0,1,0,1,MODOC MEDICAL CENTER #254005,Emergency Department
Female,3082,3309,3249,3468,MONTCLAIR HOSPITAL MEDICAL CENTER #361166,Emergency Department
Male,2607,2803,2639,2826,MONTCLAIR HOSPITAL MEDICAL CENTER #361166,Emergency Department
Unknown,2,0,1,1,MONTCLAIR HOSPITAL MEDICAL CENTER #361166,Emergency Department
Female,2726,3135,2982,3275,MONTEREY PARK HOSPITAL #190547,Emergency Department
Male,2071,2195,2182,2287,MONTEREY PARK HOSPITAL #190547,Emergency Department
Not Provided/Blank,0,2,4,0,MONTEREY PARK HOSPITAL #190547,Emergency Department
Female,1035,1166,1237,1217,MOUNTAINS COMMUNITY HOSPITAL #361266,Emergency Department
Male,960,1060,1210,1143,MOUNTAINS COMMUNITY HOSPITAL #361266,Emergency Department
Unknown,0,2,0,0,MOUNTAINS COMMUNITY HOSPITAL #361266,Emergency Department
Female,6846,7374,7173,7318,NATIVIDAD MEDICAL CENTER #274043,Emergency Department
Male,6337,6668,6489,6705,NATIVIDAD MEDICAL CENTER #274043,Emergency Department
Unknown,0,2,0,1,NATIVIDAD MEDICAL CENTER #274043,Emergency Department
Female,8476,8840,8263,8341,NORTHBAY MEDICAL CENTER #481357,Emergency Department
Male,7109,7306,6867,6871,NORTHBAY MEDICAL CENTER #481357,Emergency Department
Unknown,0,1,0,1,NORTHBAY MEDICAL CENTER #481357,Emergency Department
Female,1097,1264,1225,1077,NORTHERN INYO HOSPITAL #141273,Emergency Department
Male,997,1106,1244,1120,NORTHERN INYO HOSPITAL #141273,Emergency Department
Unknown,0,0,1,0,NORTHERN INYO HOSPITAL #141273,Emergency Department
Female,6054,6970,7119,6319,NORTHRIDGE HOSPITAL MEDICAL CENTER #190568,Emergency Department
Male,5638,6197,6273,5686,NORTHRIDGE HOSPITAL MEDICAL CENTER #190568,Emergency Department
Unknown,1,0,0,0,NORTHRIDGE HOSPITAL MEDICAL CENTER #190568,Emergency Department
Female,606,640,605,659,NORWALK COMMUNITY HOSPITAL #190570,Emergency Department
Male,606,692,652,650,NORWALK COMMUNITY HOSPITAL #190570,Emergency Department
Unknown,1,1,0,0,NORWALK COMMUNITY HOSPITAL #190570,Emergency Department
Female,2176,2266,2124,2177,NOVATO COMMUNITY HOSPITAL #214034,Emergency Department
Male,1947,2029,1919,1816,NOVATO COMMUNITY HOSPITAL #214034,Emergency Department
Female,8198,8662,8239,8168,O'CONNOR HOSPITAL #430837,Emergency Department
Male,7038,7387,7001,7265,O'CONNOR HOSPITAL #430837,Emergency Department
Unknown,6,5,5,8,O'CONNOR HOSPITAL #430837,Emergency Department
Female,2894,2810,2733,2787,OAK VALLEY HOSPITAL DISTRICT #500967,Emergency Department
Male,2133,2111,2110,2108,OAK VALLEY HOSPITAL DISTRICT #500967,Emergency Department
Female,2409,2429,2475,2406,ORANGE COUNTY GLOBAL MEDICAL CENTER #301566,Emergency Department
Male,2460,2596,2641,2437,ORANGE COUNTY GLOBAL MEDICAL CENTER #301566,Emergency Department
Unknown,0,1,1,0,ORANGE COUNTY GLOBAL MEDICAL CENTER #301566,Emergency Department
Female,1453,1592,1546,1487,ORCHARD HOSPITAL #040802,Emergency Department
Male,1050,1213,1187,1115,ORCHARD HOSPITAL #040802,Emergency Department
Female,1323,1606,1504,1538,OROVILLE HOSPITAL #040937,Emergency Department
Male,1385,1579,1369,1401,OROVILLE HOSPITAL #040937,Emergency Department
Female,731,858,732,685,PACIFICA HOSPITAL OF THE VALLEY #190696,Emergency Department
Male,1006,1075,965,863,PACIFICA HOSPITAL OF THE VALLEY #190696,Emergency Department
Female,11556,12226,12633,13764,PALMDALE REGIONAL MEDICAL CENTER #196405,Emergency Department
Male,9052,9607,9985,10694,PALMDALE REGIONAL MEDICAL CENTER #196405,Emergency Department
Female,1171,1036,1125,3332,PALO VERDE HOSPITAL #331288,Emergency Department
Male,1240,1143,1148,3531,PALO VERDE HOSPITAL #331288,Emergency Department
Female,9574,9836,9764,9634,PALOMAR MEDICAL CENTER  #374382,Emergency Department
Male,7386,7926,7900,7804,PALOMAR MEDICAL CENTER  #374382,Emergency Department
Female,3885,4089,4004,3995,PALOMAR MEDICAL CENTER POWAY #370977,Emergency Department
Male,2944,3039,3071,2952,PALOMAR MEDICAL CENTER POWAY #370977,Emergency Department
Female,2028,2078,2062,1965,PARADISE VALLEY HOSPITAL #370759,Emergency Department
Male,1987,2063,2076,2067,PARADISE VALLEY HOSPITAL #370759,Emergency Department
Unknown,0,0,2,0,PARADISE VALLEY HOSPITAL #370759,Emergency Department
Female,2243,2400,2292,2406,PETALUMA VALLEY HOSPITAL #491001,Emergency Department
Male,1917,2175,1941,2090,PETALUMA VALLEY HOSPITAL #491001,Emergency Department
Unknown,1,2,0,2,PETALUMA VALLEY HOSPITAL #491001,Emergency Department
Female,4464,4667,4836,3974,PIH HEALTH GOOD SAMARITAN HOSPITAL #190392,Emergency Department
Male,4656,4802,4974,4161,PIH HEALTH GOOD SAMARITAN HOSPITAL #190392,Emergency Department
Unknown,6,5,6,6,PIH HEALTH GOOD SAMARITAN HOSPITAL #190392,Emergency Department
Female,7435,7673,7839,7069,PIH HEALTH HOSPITAL - DOWNEY #190243,Emergency Department
Male,5289,5563,5786,5094,PIH HEALTH HOSPITAL - DOWNEY #190243,Emergency Department
Unknown,1,2,2,5,PIH HEALTH HOSPITAL - DOWNEY #190243,Emergency Department
Female,8664,8941,9187,7946,PIH HEALTH WHITTIER HOSPITAL #190631,Emergency Department
Male,6695,6723,6883,6057,PIH HEALTH WHITTIER HOSPITAL #190631,Emergency Department
Not Provided/Blank,0,0,2,0,PIH HEALTH WHITTIER HOSPITAL #190631,Emergency Department
Unknown,4,2,2,6,PIH HEALTH WHITTIER HOSPITAL #190631,Emergency Department
Female,6180,5889,5693,6378,PIONEERS MEMORIAL HEALTHCARE DISTRICT #130760,Emergency Department
Male,4695,4675,4520,5057,PIONEERS MEMORIAL HEALTHCARE DISTRICT #130760,Emergency Department
Unknown,0,3,0,3,PIONEERS MEMORIAL HEALTHCARE DISTRICT #130760,Emergency Department
Female,561,614,613,507,PLUMAS DISTRICT HOSPITAL #320986,Emergency Department
Male,466,555,601,492,PLUMAS DISTRICT HOSPITAL #320986,Emergency Department
Unknown,0,0,0,1,PLUMAS DISTRICT HOSPITAL #320986,Emergency Department
