EXPECTED PAYER SOURCE,Q1 2024,Q2 2024,Q3 2024,Q4 2024,Facility,Report
Self Pay,15,17,51,39,COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA #270744,Ambulatory Surgery
Veterans Affairs Plan,19,17,14,12,COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA #270744,Ambulatory Surgery
Workers' Compensation Health Claim,16,9,14,7,COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA #270744,Ambulatory Surgery
Other federal program,57,60,17,21,COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA #270744,Ambulatory Surgery
Automobile Medical,0,1,2,0,COMMUNITY REGIONAL MEDICAL CENTER-FRESNO #100717,Ambulatory Surgery
CHAMPUS (TRICARE),79,98,93,73,COMMUNITY REGIONAL MEDICAL CENTER-FRESNO #100717,Ambulatory Surgery
Commercial Insurance Company,19,11,24,17,COMMUNITY REGIONAL MEDICAL CENTER-FRESNO #100717,Ambulatory Surgery
Exclusive Provider Organization (EPO),67,63,37,39,COMMUNITY REGIONAL MEDICAL CENTER-FRESNO #100717,Ambulatory Surgery
Health Maintenance Organization,295,228,246,196,COMMUNITY REGIONAL MEDICAL CENTER-FRESNO #100717,Ambulatory Surgery
Health Maintenance Organization (HMO) Medicare Risk,834,873,851,802,COMMUNITY REGIONAL MEDICAL CENTER-FRESNO #100717,Ambulatory Surgery
Medicaid (Medi-Cal),2170,2490,2394,2644,COMMUNITY REGIONAL MEDICAL CENTER-FRESNO #100717,Ambulatory Surgery
Medicare Part B,1385,1492,1441,1257,COMMUNITY REGIONAL MEDICAL CENTER-FRESNO #100717,Ambulatory Surgery
Point of Service (POS),17,15,18,29,COMMUNITY REGIONAL MEDICAL CENTER-FRESNO #100717,Ambulatory Surgery
Preferred Provider Organization (PPO),1238,1314,1292,1208,COMMUNITY REGIONAL MEDICAL CENTER-FRESNO #100717,Ambulatory Surgery
Self Pay,57,55,44,62,COMMUNITY REGIONAL MEDICAL CENTER-FRESNO #100717,Ambulatory Surgery
Title V,44,47,32,27,COMMUNITY REGIONAL MEDICAL CENTER-FRESNO #100717,Ambulatory Surgery
Veterans Affairs Plan,3,2,1,2,COMMUNITY REGIONAL MEDICAL CENTER-FRESNO #100717,Ambulatory Surgery
Workers' Compensation Health Claim,31,34,36,34,COMMUNITY REGIONAL MEDICAL CENTER-FRESNO #100717,Ambulatory Surgery
Other federal program,48,47,48,44,COMMUNITY REGIONAL MEDICAL CENTER-FRESNO #100717,Ambulatory Surgery
Other Non-federal programs,50,88,77,57,COMMUNITY REGIONAL MEDICAL CENTER-FRESNO #100717,Ambulatory Surgery
Health Maintenance Organization,126,115,94,97,CONTRA COSTA REGIONAL MEDICAL CENTER #070924,Ambulatory Surgery
Medicaid (Medi-Cal),617,714,728,686,CONTRA COSTA REGIONAL MEDICAL CENTER #070924,Ambulatory Surgery
Medicare Part A,0,0,1,0,CONTRA COSTA REGIONAL MEDICAL CENTER #070924,Ambulatory Surgery
Medicare Part B,224,242,243,188,CONTRA COSTA REGIONAL MEDICAL CENTER #070924,Ambulatory Surgery
Self Pay,4,1,3,1,CONTRA COSTA REGIONAL MEDICAL CENTER #070924,Ambulatory Surgery
Workers' Compensation Health Claim,1,2,0,0,CONTRA COSTA REGIONAL MEDICAL CENTER #070924,Ambulatory Surgery
Other Non-federal programs,134,130,158,136,CONTRA COSTA REGIONAL MEDICAL CENTER #070924,Ambulatory Surgery
Blue Cross/Blue Shield,52,40,41,38,CORONA REGIONAL MEDICAL CENTER-MAIN #331152,Ambulatory Surgery
CHAMPUS (TRICARE),7,10,14,18,CORONA REGIONAL MEDICAL CENTER-MAIN #331152,Ambulatory Surgery
Commercial Insurance Company,1,1,1,0,CORONA REGIONAL MEDICAL CENTER-MAIN #331152,Ambulatory Surgery
Health Maintenance Organization,212,216,219,219,CORONA REGIONAL MEDICAL CENTER-MAIN #331152,Ambulatory Surgery
Health Maintenance Organization (HMO) Medicare Risk,210,189,198,207,CORONA REGIONAL MEDICAL CENTER-MAIN #331152,Ambulatory Surgery
Medicaid (Medi-Cal),363,411,381,281,CORONA REGIONAL MEDICAL CENTER-MAIN #331152,Ambulatory Surgery
Medicare Part B,95,80,76,66,CORONA REGIONAL MEDICAL CENTER-MAIN #331152,Ambulatory Surgery
Preferred Provider Organization (PPO),12,14,9,14,CORONA REGIONAL MEDICAL CENTER-MAIN #331152,Ambulatory Surgery
Self Pay,0,2,1,0,CORONA REGIONAL MEDICAL CENTER-MAIN #331152,Ambulatory Surgery
Workers' Compensation Health Claim,10,2,5,8,CORONA REGIONAL MEDICAL CENTER-MAIN #331152,Ambulatory Surgery
CHAMPUS (TRICARE),2,3,0,7,DAMERON HOSPITAL #390846,Ambulatory Surgery
Commercial Insurance Company,12,14,18,16,DAMERON HOSPITAL #390846,Ambulatory Surgery
Health Maintenance Organization,99,109,109,132,DAMERON HOSPITAL #390846,Ambulatory Surgery
Health Maintenance Organization (HMO) Medicare Risk,112,156,137,154,DAMERON HOSPITAL #390846,Ambulatory Surgery
Medicaid (Medi-Cal),263,284,357,410,DAMERON HOSPITAL #390846,Ambulatory Surgery
Medicare Part B,212,247,203,269,DAMERON HOSPITAL #390846,Ambulatory Surgery
Preferred Provider Organization (PPO),119,127,129,165,DAMERON HOSPITAL #390846,Ambulatory Surgery
Self Pay,2,0,0,1,DAMERON HOSPITAL #390846,Ambulatory Surgery
Workers' Compensation Health Claim,14,12,16,5,DAMERON HOSPITAL #390846,Ambulatory Surgery
Other federal program,3,1,0,0,DAMERON HOSPITAL #390846,Ambulatory Surgery
Other Non-federal programs,22,51,42,12,DAMERON HOSPITAL #390846,Ambulatory Surgery
Blue Cross/Blue Shield,10,2,2,2,DELTA SURGICAL #394088,Ambulatory Surgery
Commercial Insurance Company,2,1,1,1,DELTA SURGICAL #394088,Ambulatory Surgery
Medicaid (Medi-Cal),415,347,416,335,DELTA SURGICAL #394088,Ambulatory Surgery
Self Pay,0,0,1,0,DELTA SURGICAL #394088,Ambulatory Surgery
Other,0,1,0,0,DELTA SURGICAL #394088,Ambulatory Surgery
Blue Cross/Blue Shield,0,1,1,5,DESERT REGIONAL MEDICAL CENTER #331164,Ambulatory Surgery
CHAMPUS (TRICARE),17,12,7,2,DESERT REGIONAL MEDICAL CENTER #331164,Ambulatory Surgery
Commercial Insurance Company,3,2,3,3,DESERT REGIONAL MEDICAL CENTER #331164,Ambulatory Surgery
Exclusive Provider Organization (EPO),2,1,1,1,DESERT REGIONAL MEDICAL CENTER #331164,Ambulatory Surgery
Health Maintenance Organization,103,147,137,136,DESERT REGIONAL MEDICAL CENTER #331164,Ambulatory Surgery
Health Maintenance Organization (HMO) Medicare Risk,359,435,367,288,DESERT REGIONAL MEDICAL CENTER #331164,Ambulatory Surgery
Medicaid (Medi-Cal),323,371,407,331,DESERT REGIONAL MEDICAL CENTER #331164,Ambulatory Surgery
Medicare Part B,137,149,139,122,DESERT REGIONAL MEDICAL CENTER #331164,Ambulatory Surgery
Point of Service (POS),7,8,1,8,DESERT REGIONAL MEDICAL CENTER #331164,Ambulatory Surgery
Preferred Provider Organization (PPO),119,130,133,130,DESERT REGIONAL MEDICAL CENTER #331164,Ambulatory Surgery
Self Pay,3,2,0,3,DESERT REGIONAL MEDICAL CENTER #331164,Ambulatory Surgery
Title V,0,3,0,0,DESERT REGIONAL MEDICAL CENTER #331164,Ambulatory Surgery
Veterans Affairs Plan,1,0,0,0,DESERT REGIONAL MEDICAL CENTER #331164,Ambulatory Surgery
Workers' Compensation Health Claim,5,3,2,7,DESERT REGIONAL MEDICAL CENTER #331164,Ambulatory Surgery
Other,1,1,1,0,DESERT REGIONAL MEDICAL CENTER #331164,Ambulatory Surgery
Other Non-federal programs,7,7,11,11,DESERT REGIONAL MEDICAL CENTER #331164,Ambulatory Surgery
Blue Cross/Blue Shield,11,10,11,23,DESERT VALLEY HOSPITAL #364144,Ambulatory Surgery
CHAMPUS (TRICARE),5,8,12,11,DESERT VALLEY HOSPITAL #364144,Ambulatory Surgery
Exclusive Provider Organization (EPO),20,10,24,16,DESERT VALLEY HOSPITAL #364144,Ambulatory Surgery
Health Maintenance Organization,119,137,157,187,DESERT VALLEY HOSPITAL #364144,Ambulatory Surgery
Health Maintenance Organization (HMO) Medicare Risk,146,169,146,160,DESERT VALLEY HOSPITAL #364144,Ambulatory Surgery
Medicaid (Medi-Cal),0,1,0,2,DESERT VALLEY HOSPITAL #364144,Ambulatory Surgery
Medicare Part B,91,101,99,68,DESERT VALLEY HOSPITAL #364144,Ambulatory Surgery
Preferred Provider Organization (PPO),19,11,23,13,DESERT VALLEY HOSPITAL #364144,Ambulatory Surgery
Self Pay,0,0,0,1,DESERT VALLEY HOSPITAL #364144,Ambulatory Surgery
Workers' Compensation Health Claim,3,8,1,4,DESERT VALLEY HOSPITAL #364144,Ambulatory Surgery
Other federal program,7,0,0,0,DESERT VALLEY HOSPITAL #364144,Ambulatory Surgery
Blue Cross/Blue Shield,0,0,1,0,DOCS SURGICAL HOSPITAL #190681,Ambulatory Surgery
Commercial Insurance Company,2,0,0,0,DOCS SURGICAL HOSPITAL #190681,Ambulatory Surgery
Medicare Part B,8,10,11,4,DOCS SURGICAL HOSPITAL #190681,Ambulatory Surgery
Preferred Provider Organization (PPO),12,13,6,8,DOCS SURGICAL HOSPITAL #190681,Ambulatory Surgery
Self Pay,7,7,6,3,DOCS SURGICAL HOSPITAL #190681,Ambulatory Surgery
Workers' Compensation Health Claim,2,1,1,2,DOCS SURGICAL HOSPITAL #190681,Ambulatory Surgery
CHAMPUS (TRICARE),3,0,2,2,DOCTORS HOSPITAL OF MANTECA #392287,Ambulatory Surgery
Commercial Insurance Company,2,0,0,0,DOCTORS HOSPITAL OF MANTECA #392287,Ambulatory Surgery
Exclusive Provider Organization (EPO),10,11,15,12,DOCTORS HOSPITAL OF MANTECA #392287,Ambulatory Surgery
Health Maintenance Organization,94,101,121,109,DOCTORS HOSPITAL OF MANTECA #392287,Ambulatory Surgery
Health Maintenance Organization (HMO) Medicare Risk,331,348,385,394,DOCTORS HOSPITAL OF MANTECA #392287,Ambulatory Surgery
Medicaid (Medi-Cal),226,234,309,302,DOCTORS HOSPITAL OF MANTECA #392287,Ambulatory Surgery
Medicare Part B,222,217,207,255,DOCTORS HOSPITAL OF MANTECA #392287,Ambulatory Surgery
Point of Service (POS),27,24,26,25,DOCTORS HOSPITAL OF MANTECA #392287,Ambulatory Surgery
Preferred Provider Organization (PPO),214,187,219,236,DOCTORS HOSPITAL OF MANTECA #392287,Ambulatory Surgery
Self Pay,2,2,2,4,DOCTORS HOSPITAL OF MANTECA #392287,Ambulatory Surgery
Title V,1,5,5,4,DOCTORS HOSPITAL OF MANTECA #392287,Ambulatory Surgery
Workers' Compensation Health Claim,11,15,14,12,DOCTORS HOSPITAL OF MANTECA #392287,Ambulatory Surgery
Other federal program,2,5,2,0,DOCTORS HOSPITAL OF MANTECA #392287,Ambulatory Surgery
Other Non-federal programs,2,2,3,1,DOCTORS HOSPITAL OF MANTECA #392287,Ambulatory Surgery
Blue Cross/Blue Shield,22,20,43,33,DOCTORS HOSPITAL OF RIVERSIDE #331293,Ambulatory Surgery
Commercial Insurance Company,74,74,103,78,DOCTORS HOSPITAL OF RIVERSIDE #331293,Ambulatory Surgery
Health Maintenance Organization (HMO) Medicare Risk,102,99,263,267,DOCTORS HOSPITAL OF RIVERSIDE #331293,Ambulatory Surgery
Medicaid (Medi-Cal),245,253,92,36,DOCTORS HOSPITAL OF RIVERSIDE #331293,Ambulatory Surgery
Medicare Part B,22,33,26,29,DOCTORS HOSPITAL OF RIVERSIDE #331293,Ambulatory Surgery
Self Pay,47,37,30,16,DOCTORS HOSPITAL OF RIVERSIDE #331293,Ambulatory Surgery
Workers' Compensation Health Claim,2,2,0,1,DOCTORS HOSPITAL OF RIVERSIDE #331293,Ambulatory Surgery
Blue Cross/Blue Shield,0,1,0,0,DOCTORS MEDICAL CENTER #500852,Ambulatory Surgery
CHAMPUS (TRICARE),1,4,5,4,DOCTORS MEDICAL CENTER #500852,Ambulatory Surgery
Commercial Insurance Company,6,6,8,12,DOCTORS MEDICAL CENTER #500852,Ambulatory Surgery
Exclusive Provider Organization (EPO),48,70,49,66,DOCTORS MEDICAL CENTER #500852,Ambulatory Surgery
Health Maintenance Organization,218,261,275,307,DOCTORS MEDICAL CENTER #500852,Ambulatory Surgery
Health Maintenance Organization (HMO) Medicare Risk,1015,1084,1055,1119,DOCTORS MEDICAL CENTER #500852,Ambulatory Surgery
Medicaid (Medi-Cal),964,1019,1107,1175,DOCTORS MEDICAL CENTER #500852,Ambulatory Surgery
Medicare Part B,626,725,621,766,DOCTORS MEDICAL CENTER #500852,Ambulatory Surgery
Point of Service (POS),43,54,60,38,DOCTORS MEDICAL CENTER #500852,Ambulatory Surgery
Preferred Provider Organization (PPO),570,626,639,682,DOCTORS MEDICAL CENTER #500852,Ambulatory Surgery
Self Pay,9,8,9,4,DOCTORS MEDICAL CENTER #500852,Ambulatory Surgery
Title V,4,3,1,5,DOCTORS MEDICAL CENTER #500852,Ambulatory Surgery
Veterans Affairs Plan,16,10,24,27,DOCTORS MEDICAL CENTER #500852,Ambulatory Surgery
Workers' Compensation Health Claim,69,65,78,72,DOCTORS MEDICAL CENTER #500852,Ambulatory Surgery
Other,2,2,1,2,DOCTORS MEDICAL CENTER #500852,Ambulatory Surgery
Other federal program,3,12,10,5,DOCTORS MEDICAL CENTER #500852,Ambulatory Surgery
Other Non-federal programs,1,4,3,0,DOCTORS MEDICAL CENTER #500852,Ambulatory Surgery
CHAMPUS (TRICARE),8,7,7,9,DOMINICAN HOSPITAL #440755,Ambulatory Surgery
Commercial Insurance Company,135,156,141,157,DOMINICAN HOSPITAL #440755,Ambulatory Surgery
Health Maintenance Organization,138,117,142,134,DOMINICAN HOSPITAL #440755,Ambulatory Surgery
Medicaid (Medi-Cal),184,184,206,211,DOMINICAN HOSPITAL #440755,Ambulatory Surgery
Medicare Part B,795,840,774,798,DOMINICAN HOSPITAL #440755,Ambulatory Surgery
Preferred Provider Organization (PPO),1,0,0,1,DOMINICAN HOSPITAL #440755,Ambulatory Surgery
Self Pay,1,2,1,0,DOMINICAN HOSPITAL #440755,Ambulatory Surgery
Workers' Compensation Health Claim,12,3,7,5,DOMINICAN HOSPITAL #440755,Ambulatory Surgery
Other,0,0,1,0,DOMINICAN HOSPITAL #440755,Ambulatory Surgery
Other Non-federal programs,17,4,14,17,DOMINICAN HOSPITAL #440755,Ambulatory Surgery
Blue Cross/Blue Shield,4,7,4,12,EAST LOS ANGELES DOCTORS HOSPITAL #190256,Ambulatory Surgery
Commercial Insurance Company,15,19,15,30,EAST LOS ANGELES DOCTORS HOSPITAL #190256,Ambulatory Surgery
Health Maintenance Organization,16,18,9,19,EAST LOS ANGELES DOCTORS HOSPITAL #190256,Ambulatory Surgery
Health Maintenance Organization (HMO) Medicare Risk,68,53,78,64,EAST LOS ANGELES DOCTORS HOSPITAL #190256,Ambulatory Surgery
Medicaid (Medi-Cal),206,213,223,202,EAST LOS ANGELES DOCTORS HOSPITAL #190256,Ambulatory Surgery
Medicare Part B,18,14,16,19,EAST LOS ANGELES DOCTORS HOSPITAL #190256,Ambulatory Surgery
Blue Cross/Blue Shield,8,8,12,9,EASTERN PLUMAS HOSPITAL-PORTOLA CAMPUS #320859,Ambulatory Surgery
CHAMPUS (TRICARE),0,0,0,2,EASTERN PLUMAS HOSPITAL-PORTOLA CAMPUS #320859,Ambulatory Surgery
Commercial Insurance Company,2,1,3,3,EASTERN PLUMAS HOSPITAL-PORTOLA CAMPUS #320859,Ambulatory Surgery
Medicaid (Medi-Cal),12,3,14,10,EASTERN PLUMAS HOSPITAL-PORTOLA CAMPUS #320859,Ambulatory Surgery
Medicare Part B,15,18,17,22,EASTERN PLUMAS HOSPITAL-PORTOLA CAMPUS #320859,Ambulatory Surgery
Preferred Provider Organization (PPO),3,0,0,0,EASTERN PLUMAS HOSPITAL-PORTOLA CAMPUS #320859,Ambulatory Surgery
Other federal program,2,0,0,0,EASTERN PLUMAS HOSPITAL-PORTOLA CAMPUS #320859,Ambulatory Surgery
Blue Cross/Blue Shield,2,1,2,0,EDEN MEDICAL CENTER #014233,Ambulatory Surgery
CHAMPUS (TRICARE),6,5,3,1,EDEN MEDICAL CENTER #014233,Ambulatory Surgery
Commercial Insurance Company,4,3,5,6,EDEN MEDICAL CENTER #014233,Ambulatory Surgery
Health Maintenance Organization,66,70,66,35,EDEN MEDICAL CENTER #014233,Ambulatory Surgery
Health Maintenance Organization (HMO) Medicare Risk,43,64,54,90,EDEN MEDICAL CENTER #014233,Ambulatory Surgery
Medicaid (Medi-Cal),120,134,150,138,EDEN MEDICAL CENTER #014233,Ambulatory Surgery
Medicare Part B,214,206,230,192,EDEN MEDICAL CENTER #014233,Ambulatory Surgery
Preferred Provider Organization (PPO),185,263,243,250,EDEN MEDICAL CENTER #014233,Ambulatory Surgery
Self Pay,4,0,1,6,EDEN MEDICAL CENTER #014233,Ambulatory Surgery
Veterans Affairs Plan,1,2,1,1,EDEN MEDICAL CENTER #014233,Ambulatory Surgery
Workers' Compensation Health Claim,5,3,3,1,EDEN MEDICAL CENTER #014233,Ambulatory Surgery
Other,0,0,1,0,EDEN MEDICAL CENTER #014233,Ambulatory Surgery
Other Non-federal programs,2,1,0,1,EDEN MEDICAL CENTER #014233,Ambulatory Surgery
Commercial Insurance Company,52,46,40,48,EISENHOWER MEDICAL CENTER #331168,Ambulatory Surgery
Exclusive Provider Organization (EPO),0,2,2,0,EISENHOWER MEDICAL CENTER #331168,Ambulatory Surgery
Health Maintenance Organization (HMO) Medicare Risk,1524,1622,1642,1667,EISENHOWER MEDICAL CENTER #331168,Ambulatory Surgery
Medicaid (Medi-Cal),517,602,660,587,EISENHOWER MEDICAL CENTER #331168,Ambulatory Surgery
Medicare Part B,3260,3254,2891,2914,EISENHOWER MEDICAL CENTER #331168,Ambulatory Surgery
Preferred Provider Organization (PPO),961,1023,1067,1073,EISENHOWER MEDICAL CENTER #331168,Ambulatory Surgery
Self Pay,109,68,20,59,EISENHOWER MEDICAL CENTER #331168,Ambulatory Surgery
Workers' Compensation Health Claim,7,17,15,9,EISENHOWER MEDICAL CENTER #331168,Ambulatory Surgery
Other federal program,35,43,24,27,EISENHOWER MEDICAL CENTER #331168,Ambulatory Surgery
CHAMPUS (TRICARE),4,11,14,7,EL CAMINO HEALTH #430763,Ambulatory Surgery
Exclusive Provider Organization (EPO),22,29,44,58,EL CAMINO HEALTH #430763,Ambulatory Surgery
Health Maintenance Organization,397,390,423,407,EL CAMINO HEALTH #430763,Ambulatory Surgery
Health Maintenance Organization (HMO) Medicare Risk,248,260,283,291,EL CAMINO HEALTH #430763,Ambulatory Surgery
Medicaid (Medi-Cal),136,212,190,209,EL CAMINO HEALTH #430763,Ambulatory Surgery
Medicare Part B,1799,1718,1864,1849,EL CAMINO HEALTH #430763,Ambulatory Surgery
Point of Service (POS),39,40,42,48,EL CAMINO HEALTH #430763,Ambulatory Surgery
Preferred Provider Organization (PPO),1647,1602,1603,1820,EL CAMINO HEALTH #430763,Ambulatory Surgery
Self Pay,15,20,22,12,EL CAMINO HEALTH #430763,Ambulatory Surgery
Veterans Affairs Plan,2,0,0,1,EL CAMINO HEALTH #430763,Ambulatory Surgery
Workers' Compensation Health Claim,18,13,11,17,EL CAMINO HEALTH #430763,Ambulatory Surgery
Other,6,11,3,2,EL CAMINO HEALTH #430763,Ambulatory Surgery
Other federal program,36,29,39,39,EL CAMINO HEALTH #430763,Ambulatory Surgery
Blue Cross/Blue Shield,107,117,107,112,EL CENTRO REGIONAL MEDICAL CENTER #130699,Ambulatory Surgery
CHAMPUS (TRICARE),12,17,8,15,EL CENTRO REGIONAL MEDICAL CENTER #130699,Ambulatory Surgery
Commercial Insurance Company,19,17,7,55,EL CENTRO REGIONAL MEDICAL CENTER #130699,Ambulatory Surgery
Health Maintenance Organization,26,30,23,7,EL CENTRO REGIONAL MEDICAL CENTER #130699,Ambulatory Surgery
Health Maintenance Organization (HMO) Medicare Risk,162,198,244,219,EL CENTRO REGIONAL MEDICAL CENTER #130699,Ambulatory Surgery
Medicaid (Medi-Cal),277,276,235,89,EL CENTRO REGIONAL MEDICAL CENTER #130699,Ambulatory Surgery
Medicare Part B,397,388,340,470,EL CENTRO REGIONAL MEDICAL CENTER #130699,Ambulatory Surgery
Preferred Provider Organization (PPO),65,44,33,17,EL CENTRO REGIONAL MEDICAL CENTER #130699,Ambulatory Surgery
Self Pay,1,1,0,0,EL CENTRO REGIONAL MEDICAL CENTER #130699,Ambulatory Surgery
Workers' Compensation Health Claim,6,1,1,2,EL CENTRO REGIONAL MEDICAL CENTER #130699,Ambulatory Surgery
Other federal program,3,3,2,0,EL CENTRO REGIONAL MEDICAL CENTER #130699,Ambulatory Surgery
Commercial Insurance Company,4,3,6,2,EMANATE HEALTH FOOTHILL PRESBYTERIAN HOSPITAL #190298,Ambulatory Surgery
Exclusive Provider Organization (EPO),29,38,39,32,EMANATE HEALTH FOOTHILL PRESBYTERIAN HOSPITAL #190298,Ambulatory Surgery
Health Maintenance Organization,135,125,122,123,EMANATE HEALTH FOOTHILL PRESBYTERIAN HOSPITAL #190298,Ambulatory Surgery
Health Maintenance Organization (HMO) Medicare Risk,147,169,169,145,EMANATE HEALTH FOOTHILL PRESBYTERIAN HOSPITAL #190298,Ambulatory Surgery
Medicaid (Medi-Cal),273,242,230,223,EMANATE HEALTH FOOTHILL PRESBYTERIAN HOSPITAL #190298,Ambulatory Surgery
Medicare Part B,141,162,159,148,EMANATE HEALTH FOOTHILL PRESBYTERIAN HOSPITAL #190298,Ambulatory Surgery
Point of Service (POS),26,22,28,44,EMANATE HEALTH FOOTHILL PRESBYTERIAN HOSPITAL #190298,Ambulatory Surgery
Preferred Provider Organization (PPO),146,113,122,111,EMANATE HEALTH FOOTHILL PRESBYTERIAN HOSPITAL #190298,Ambulatory Surgery
Self Pay,0,1,1,0,EMANATE HEALTH FOOTHILL PRESBYTERIAN HOSPITAL #190298,Ambulatory Surgery
Workers' Compensation Health Claim,3,2,2,2,EMANATE HEALTH FOOTHILL PRESBYTERIAN HOSPITAL #190298,Ambulatory Surgery
Other,1,2,2,3,EMANATE HEALTH FOOTHILL PRESBYTERIAN HOSPITAL #190298,Ambulatory Surgery
Commercial Insurance Company,2,1,8,3,EMANATE HEALTH INTER-COMMUNITY HOSPITAL #190413,Ambulatory Surgery
Exclusive Provider Organization (EPO),16,18,15,9,EMANATE HEALTH INTER-COMMUNITY HOSPITAL #190413,Ambulatory Surgery
Health Maintenance Organization,59,56,57,71,EMANATE HEALTH INTER-COMMUNITY HOSPITAL #190413,Ambulatory Surgery
Health Maintenance Organization (HMO) Medicare Risk,153,152,163,155,EMANATE HEALTH INTER-COMMUNITY HOSPITAL #190413,Ambulatory Surgery
Medicaid (Medi-Cal),192,180,197,194,EMANATE HEALTH INTER-COMMUNITY HOSPITAL #190413,Ambulatory Surgery
Medicare Part B,89,106,111,103,EMANATE HEALTH INTER-COMMUNITY HOSPITAL #190413,Ambulatory Surgery
Point of Service (POS),9,16,15,12,EMANATE HEALTH INTER-COMMUNITY HOSPITAL #190413,Ambulatory Surgery
Preferred Provider Organization (PPO),65,70,61,65,EMANATE HEALTH INTER-COMMUNITY HOSPITAL #190413,Ambulatory Surgery
Self Pay,1,0,0,1,EMANATE HEALTH INTER-COMMUNITY HOSPITAL #190413,Ambulatory Surgery
Workers' Compensation Health Claim,6,6,4,1,EMANATE HEALTH INTER-COMMUNITY HOSPITAL #190413,Ambulatory Surgery
Other,1,0,0,0,EMANATE HEALTH INTER-COMMUNITY HOSPITAL #190413,Ambulatory Surgery
Commercial Insurance Company,2,2,2,0,EMANATE HEALTH QUEEN OF THE VALLEY HOSPITAL #190636,Ambulatory Surgery
Exclusive Provider Organization (EPO),53,45,43,57,EMANATE HEALTH QUEEN OF THE VALLEY HOSPITAL #190636,Ambulatory Surgery
Health Maintenance Organization,206,227,233,229,EMANATE HEALTH QUEEN OF THE VALLEY HOSPITAL #190636,Ambulatory Surgery
Health Maintenance Organization (HMO) Medicare Risk,184,279,278,284,EMANATE HEALTH QUEEN OF THE VALLEY HOSPITAL #190636,Ambulatory Surgery
Medicaid (Medi-Cal),478,534,526,505,EMANATE HEALTH QUEEN OF THE VALLEY HOSPITAL #190636,Ambulatory Surgery
Medicare Part B,90,127,137,130,EMANATE HEALTH QUEEN OF THE VALLEY HOSPITAL #190636,Ambulatory Surgery
Point of Service (POS),21,19,16,22,EMANATE HEALTH QUEEN OF THE VALLEY HOSPITAL #190636,Ambulatory Surgery
Preferred Provider Organization (PPO),85,85,103,114,EMANATE HEALTH QUEEN OF THE VALLEY HOSPITAL #190636,Ambulatory Surgery
Self Pay,1,0,4,3,EMANATE HEALTH QUEEN OF THE VALLEY HOSPITAL #190636,Ambulatory Surgery
Workers' Compensation Health Claim,6,1,7,2,EMANATE HEALTH QUEEN OF THE VALLEY HOSPITAL #190636,Ambulatory Surgery
Other,1,2,1,1,EMANATE HEALTH QUEEN OF THE VALLEY HOSPITAL #190636,Ambulatory Surgery
Blue Cross/Blue Shield,10,4,7,6,EMANUEL MEDICAL CENTER #500867,Ambulatory Surgery
CHAMPUS (TRICARE),4,4,3,1,EMANUEL MEDICAL CENTER #500867,Ambulatory Surgery
Commercial Insurance Company,5,8,10,10,EMANUEL MEDICAL CENTER #500867,Ambulatory Surgery
Exclusive Provider Organization (EPO),82,84,69,64,EMANUEL MEDICAL CENTER #500867,Ambulatory Surgery
Health Maintenance Organization,79,89,89,69,EMANUEL MEDICAL CENTER #500867,Ambulatory Surgery
Health Maintenance Organization (HMO) Medicare Risk,263,244,286,264,EMANUEL MEDICAL CENTER #500867,Ambulatory Surgery
Medicaid (Medi-Cal),487,509,517,505,EMANUEL MEDICAL CENTER #500867,Ambulatory Surgery
Medicare Part B,384,396,405,386,EMANUEL MEDICAL CENTER #500867,Ambulatory Surgery
Point of Service (POS),22,20,15,9,EMANUEL MEDICAL CENTER #500867,Ambulatory Surgery
Preferred Provider Organization (PPO),335,382,370,389,EMANUEL MEDICAL CENTER #500867,Ambulatory Surgery
Self Pay,5,2,11,3,EMANUEL MEDICAL CENTER #500867,Ambulatory Surgery
Workers' Compensation Health Claim,78,56,85,83,EMANUEL MEDICAL CENTER #500867,Ambulatory Surgery
Other,3,7,1,4,EMANUEL MEDICAL CENTER #500867,Ambulatory Surgery
Other federal program,3,2,2,1,EMANUEL MEDICAL CENTER #500867,Ambulatory Surgery
Other Non-federal programs,2,8,5,11,EMANUEL MEDICAL CENTER #500867,Ambulatory Surgery
Medicaid (Medi-Cal),1,0,0,0,ENCINO HOSPITAL MEDICAL CENTER #190280,Ambulatory Surgery
Medicare Part B,13,10,14,4,ENCINO HOSPITAL MEDICAL CENTER #190280,Ambulatory Surgery
Preferred Provider Organization (PPO),12,8,13,8,ENCINO HOSPITAL MEDICAL CENTER #190280,Ambulatory Surgery
Automobile Medical,0,0,1,0,ENLOE HEALTH #040962,Ambulatory Surgery
Blue Cross/Blue Shield,1339,1330,1331,1480,ENLOE HEALTH #040962,Ambulatory Surgery
CHAMPUS (TRICARE),13,9,10,9,ENLOE HEALTH #040962,Ambulatory Surgery
Commercial Insurance Company,6,4,14,6,ENLOE HEALTH #040962,Ambulatory Surgery
Health Maintenance Organization (HMO) Medicare Risk,345,351,340,312,ENLOE HEALTH #040962,Ambulatory Surgery
Medicaid (Medi-Cal),717,873,987,968,ENLOE HEALTH #040962,Ambulatory Surgery
Medicare Part A,1,0,0,0,ENLOE HEALTH #040962,Ambulatory Surgery
