Q1 2024,Q2 2024,Q3 2024,Q4 2024,Facility,Report
1105,1183,1163,1049,ST. BERNARDINE MEDICAL CENTER #361339,Ambulatory Surgery
503,466,431,466,ST. ELIZABETH COMMUNITY HOSPITAL #521041,Ambulatory Surgery
195,216,206,173,ST. FRANCIS MEDICAL CENTER #190754,Ambulatory Surgery
406,385,420,494,ST. JOHN'S HOSPITAL CAMARILLO #560508,Ambulatory Surgery
1759,1877,1863,1817,ST. JOHNS REGIONAL MEDICAL CENTER #560529,Ambulatory Surgery
1930,1928,1890,1813,ST. JOSEPH'S MEDICAL CENTER OF STOCKTON #391042,Ambulatory Surgery
651,561,450,425,ST. LOUISE REGIONAL HOSPITAL #434138,Ambulatory Surgery
808,829,800,728,ST. MARY MEDICAL CENTER - LONG BEACH #190053,Ambulatory Surgery
216,188,176,190,ST. ROSE HOSPITAL #010967,Ambulatory Surgery
15033,15326,15062,15231,STANFORD HEALTH CARE #430905,Ambulatory Surgery
3225,3505,3497,3901,STANFORD HEALTH CARE TRI-VALLEY #014050,Ambulatory Surgery
810,365,342,1517,STANISLAUS SURGICAL HOSPITAL #504038,Ambulatory Surgery
1529,1730,1733,1506,STOCKTON SURGERY CENTER #394096,Ambulatory Surgery
3040,3332,3147,3408,SURGECENTER OF PALO ALTO #431040,Ambulatory Surgery
2614,2620,2601,2680,SURGERY CENTER FREMONT #014344,Ambulatory Surgery
255,232,208,246,SURGERY CENTER LOS ALTOS #434286,Ambulatory Surgery
4469,4505,4561,4769,SURGERY CENTER MOUNTAIN VIEW #434191,Ambulatory Surgery
1900,2017,1859,2160,SURGERY CENTER SAN CARLOS #414144,Ambulatory Surgery
414,400,341,272,SURGERY CENTER SAN JOSE #434271,Ambulatory Surgery
58,82,85,53,SUTTER AMADOR HOSPITAL #034002,Ambulatory Surgery
1133,1268,1241,1225,SUTTER AUBURN FAITH HOSPITAL #310791,Ambulatory Surgery
321,361,277,326,SUTTER COAST HOSPITAL #084001,Ambulatory Surgery
925,1024,980,1080,SUTTER DAVIS HOSPITAL #574010,Ambulatory Surgery
656,664,637,605,SUTTER DELTA MEDICAL CENTER #070934,Ambulatory Surgery
411,461,438,442,SUTTER LAKESIDE HOSPITAL #171395,Ambulatory Surgery
2880,2669,2613,2953,SUTTER MATERNITY AND SURGERY CENTER OF SANTA CRUZ #444012,Ambulatory Surgery
4333,4556,4586,4788,"SUTTER MEDICAL CENTER, SACRAMENTO #341051",Ambulatory Surgery
3409,3471,3417,3413,SUTTER ROSEVILLE MEDICAL CENTER #311000,Ambulatory Surgery
1892,2319,2425,6636,SUTTER SAMARITAN SURGERY CENTER #430021,Ambulatory Surgery
1460,1541,1551,1618,SUTTER SANTA ROSA REGIONAL HOSPITAL #494106,Ambulatory Surgery
517,464,474,468,SUTTER SOLANO MEDICAL CENTER #481094,Ambulatory Surgery
472,398,471,521,SUTTER SURGICAL HOSPITAL-NORTH VALLEY #514030,Ambulatory Surgery
876,1019,1162,1094,SUTTER TRACY COMMUNITY HOSPITAL #391056,Ambulatory Surgery
1738,1695,1648,2006,TAHOE FOREST HOSPITAL #291053,Ambulatory Surgery
446,453,520,425,TEMECULA VALLEY HOSPITAL #334564,Ambulatory Surgery
1492,1428,1562,1546,THE SURGERY CENTER AT NORTHBAY VACAVALLEY #484068,Ambulatory Surgery
7915,7117,5829,5869,TORRANCE MEMORIAL MEDICAL CENTER #190422,Ambulatory Surgery
1192,1341,1288,1295,TRI-CITY MEDICAL CENTER #370780,Ambulatory Surgery
49,128,100,48,TRINITY HOSPITAL #531059,Ambulatory Surgery
17400,18041,18465,17787,UC SAN DIEGO HEALTH HILLCREST - HILLCREST MEDICAL CENTER #370782,Ambulatory Surgery
897,1051,1008,1100,UCI HEALTH-FOUNTAIN VALLEY #301175,Ambulatory Surgery
1134,1210,1185,1255,UCI HEALTH-LAKEWOOD #190240,Ambulatory Surgery
1302,1331,1320,1230,UCI HEALTH-PLACENTIA LINDA #301297,Ambulatory Surgery
1608,1734,1587,1322,UCSF BENIOFF CHILDREN'S HOSPITAL OAKLAND #010776,Ambulatory Surgery
477,432,385,440,UCSF HEALTH - SAINT FRANCIS HOSPITAL #380960,Ambulatory Surgery
565,588,575,589,UCSF HEALTH - ST. MARY'S HOSPITAL #380965,Ambulatory Surgery
15029,15107,14386,13241,UCSF MEDICAL CENTER #381154,Ambulatory Surgery
7579,8008,7952,7786,UNIVERSITY OF CALIFORNIA DAVIS MEDICAL CENTER #341006,Ambulatory Surgery
7261,7439,8016,8351,UNIVERSITY OF CALIFORNIA IRVINE MEDICAL CENTER #301279,Ambulatory Surgery
1783,1783,1958,1978,USC ARCADIA HOSPITAL #190529,Ambulatory Surgery
777,716,795,713,USC KENNETH NORRIS JR. CANCER HOSPITAL #191216,Ambulatory Surgery
906,943,983,932,USC VERDUGO HILLS HOSPITAL #190818,Ambulatory Surgery
2630,2272,2435,2232,VALLEY CHILDREN'S HOSPITAL #204019,Ambulatory Surgery
1755,1913,1882,1840,VALLEY PRESBYTERIAN HOSPITAL #190812,Ambulatory Surgery
1685,1635,1655,1683,VENTURA COUNTY MEDICAL CENTER #560481,Ambulatory Surgery
10,7,8,3,VIBRA HOSPITAL OF SACRAMENTO #344035,Ambulatory Surgery
548,530,556,545,VICTOR VALLEY GLOBAL MEDICAL CENTER #361370,Ambulatory Surgery
531,538,557,480,"VISALIA CHILDREN'S DENTAL SURGERY CENTER, INC. #544082",Ambulatory Surgery
808,813,813,845,WASHINGTON HOSPITAL - FREMONT #010987,Ambulatory Surgery
920,909,809,739,WATSONVILLE COMMUNITY HOSPITAL #444013,Ambulatory Surgery
20,13,20,16,WEST ANAHEIM MEDICAL CENTER #301379,Ambulatory Surgery
460,462,520,446,WHITTIER HOSPITAL MEDICAL CENTER #190883,Ambulatory Surgery
1907,1739,1679,1659,WOODLAND MEMORIAL HOSPITAL #571086,Ambulatory Surgery
