ZIP CODE,Q1 2024,Q2 2024,Q3 2024,Q4 2024,Facility,Report
Does Not Reside in US,135,49,24,1,DESERT REGIONAL MEDICAL CENTER #331164,Emergency Department
Unknown,7,14,6,8,DESERT REGIONAL MEDICAL CENTER #331164,Emergency Department
Blank/Invalid,0,1,0,3,DESERT REGIONAL MEDICAL CENTER #331164,Emergency Department
California Resident,9718,9883,10088,10558,DESERT VALLEY HOSPITAL #364144,Emergency Department
Out of State,100,109,114,95,DESERT VALLEY HOSPITAL #364144,Emergency Department
Does Not Reside in US,1,12,3,0,DESERT VALLEY HOSPITAL #364144,Emergency Department
Unknown,59,89,55,36,DESERT VALLEY HOSPITAL #364144,Emergency Department
Blank/Invalid,0,0,1,2,DESERT VALLEY HOSPITAL #364144,Emergency Department
California Resident,6898,7370,6831,6787,DOCTORS HOSPITAL OF MANTECA #392287,Emergency Department
Out of State,38,41,59,55,DOCTORS HOSPITAL OF MANTECA #392287,Emergency Department
Does Not Reside in US,0,1,1,0,DOCTORS HOSPITAL OF MANTECA #392287,Emergency Department
Unknown,51,73,22,20,DOCTORS HOSPITAL OF MANTECA #392287,Emergency Department
California Resident,12198,12709,12698,13295,DOCTORS HOSPITAL OF RIVERSIDE #331293,Emergency Department
Out of State,77,59,66,61,DOCTORS HOSPITAL OF RIVERSIDE #331293,Emergency Department
Does Not Reside in US,3,0,0,0,DOCTORS HOSPITAL OF RIVERSIDE #331293,Emergency Department
Unknown,94,23,26,28,DOCTORS HOSPITAL OF RIVERSIDE #331293,Emergency Department
Blank/Invalid,0,0,2,1,DOCTORS HOSPITAL OF RIVERSIDE #331293,Emergency Department
California Resident,18817,19013,17332,17235,DOCTORS MEDICAL CENTER #500852,Emergency Department
Out of State,52,62,52,52,DOCTORS MEDICAL CENTER #500852,Emergency Department
Does Not Reside in US,0,3,2,0,DOCTORS MEDICAL CENTER #500852,Emergency Department
Unknown,45,39,27,39,DOCTORS MEDICAL CENTER #500852,Emergency Department
Blank/Invalid,0,2,0,1,DOCTORS MEDICAL CENTER #500852,Emergency Department
California Resident,10100,10949,10788,10527,DOMINICAN HOSPITAL #440755,Emergency Department
Out of State,142,189,220,156,DOMINICAN HOSPITAL #440755,Emergency Department
Does Not Reside in US,4,7,9,6,DOMINICAN HOSPITAL #440755,Emergency Department
Unknown,92,47,47,85,DOMINICAN HOSPITAL #440755,Emergency Department
Blank/Invalid,1,4,1,1,DOMINICAN HOSPITAL #440755,Emergency Department
California Resident,2269,2274,2515,2605,EAST LOS ANGELES DOCTORS HOSPITAL #190256,Emergency Department
Out of State,12,12,17,13,EAST LOS ANGELES DOCTORS HOSPITAL #190256,Emergency Department
Does Not Reside in US,1,0,2,1,EAST LOS ANGELES DOCTORS HOSPITAL #190256,Emergency Department
Unknown,116,119,114,135,EAST LOS ANGELES DOCTORS HOSPITAL #190256,Emergency Department
Blank/Invalid,2,0,0,0,EAST LOS ANGELES DOCTORS HOSPITAL #190256,Emergency Department
California Resident,853,921,1040,869,EASTERN PLUMAS HOSPITAL-PORTOLA CAMPUS #320859,Emergency Department
Out of State,18,63,88,36,EASTERN PLUMAS HOSPITAL-PORTOLA CAMPUS #320859,Emergency Department
California Resident,16342,16386,15954,16806,EISENHOWER MEDICAL CENTER #331168,Emergency Department
Out of State,1309,636,278,825,EISENHOWER MEDICAL CENTER #331168,Emergency Department
Does Not Reside in US,239,57,20,111,EISENHOWER MEDICAL CENTER #331168,Emergency Department
Unknown,4,2,2,0,EISENHOWER MEDICAL CENTER #331168,Emergency Department
Blank/Invalid,0,0,1,0,EISENHOWER MEDICAL CENTER #331168,Emergency Department
California Resident,16097,16326,15382,15639,EL CAMINO HEALTH #430763,Emergency Department
Out of State,186,250,235,201,EL CAMINO HEALTH #430763,Emergency Department
Does Not Reside in US,19,35,32,27,EL CAMINO HEALTH #430763,Emergency Department
Unknown,351,370,337,320,EL CAMINO HEALTH #430763,Emergency Department
California Resident,7382,7715,7634,7893,EL CENTRO REGIONAL MEDICAL CENTER #130699,Emergency Department
Out of State,150,128,109,126,EL CENTRO REGIONAL MEDICAL CENTER #130699,Emergency Department
Does Not Reside in US,51,21,19,18,EL CENTRO REGIONAL MEDICAL CENTER #130699,Emergency Department
Unknown,34,30,75,22,EL CENTRO REGIONAL MEDICAL CENTER #130699,Emergency Department
Blank/Invalid,0,0,0,2,EL CENTRO REGIONAL MEDICAL CENTER #130699,Emergency Department
California Resident,8362,8642,8816,9038,EMANATE HEALTH FOOTHILL PRESBYTERIAN HOSPITAL #190298,Emergency Department
Out of State,60,58,63,80,EMANATE HEALTH FOOTHILL PRESBYTERIAN HOSPITAL #190298,Emergency Department
Does Not Reside in US,4,1,1,1,EMANATE HEALTH FOOTHILL PRESBYTERIAN HOSPITAL #190298,Emergency Department
Unknown,165,143,162,184,EMANATE HEALTH FOOTHILL PRESBYTERIAN HOSPITAL #190298,Emergency Department
Blank/Invalid,17,4,4,0,EMANATE HEALTH FOOTHILL PRESBYTERIAN HOSPITAL #190298,Emergency Department
California Resident,7915,8178,8257,8958,EMANATE HEALTH INTER-COMMUNITY HOSPITAL #190413,Emergency Department
Out of State,33,48,53,43,EMANATE HEALTH INTER-COMMUNITY HOSPITAL #190413,Emergency Department
Does Not Reside in US,1,3,1,1,EMANATE HEALTH INTER-COMMUNITY HOSPITAL #190413,Emergency Department
Unknown,93,125,119,105,EMANATE HEALTH INTER-COMMUNITY HOSPITAL #190413,Emergency Department
Blank/Invalid,3,1,2,0,EMANATE HEALTH INTER-COMMUNITY HOSPITAL #190413,Emergency Department
California Resident,13957,14218,14110,14805,EMANATE HEALTH QUEEN OF THE VALLEY HOSPITAL #190636,Emergency Department
Out of State,47,54,80,72,EMANATE HEALTH QUEEN OF THE VALLEY HOSPITAL #190636,Emergency Department
Does Not Reside in US,12,6,10,3,EMANATE HEALTH QUEEN OF THE VALLEY HOSPITAL #190636,Emergency Department
Unknown,132,136,150,138,EMANATE HEALTH QUEEN OF THE VALLEY HOSPITAL #190636,Emergency Department
Blank/Invalid,3,3,1,0,EMANATE HEALTH QUEEN OF THE VALLEY HOSPITAL #190636,Emergency Department
California Resident,14073,14421,14143,13869,EMANUEL MEDICAL CENTER #500867,Emergency Department
Out of State,58,64,80,67,EMANUEL MEDICAL CENTER #500867,Emergency Department
Does Not Reside in US,1,1,1,0,EMANUEL MEDICAL CENTER #500867,Emergency Department
Unknown,45,27,38,40,EMANUEL MEDICAL CENTER #500867,Emergency Department
Blank/Invalid,0,0,1,0,EMANUEL MEDICAL CENTER #500867,Emergency Department
California Resident,1453,1517,1480,1664,ENCINO HOSPITAL MEDICAL CENTER #190280,Emergency Department
Out of State,66,63,100,82,ENCINO HOSPITAL MEDICAL CENTER #190280,Emergency Department
Does Not Reside in US,0,1,6,1,ENCINO HOSPITAL MEDICAL CENTER #190280,Emergency Department
Unknown,32,32,10,23,ENCINO HOSPITAL MEDICAL CENTER #190280,Emergency Department
Blank/Invalid,0,0,0,1,ENCINO HOSPITAL MEDICAL CENTER #190280,Emergency Department
California Resident,15558,16393,15843,16207,ENLOE HEALTH #040962,Emergency Department
Out of State,74,140,132,152,ENLOE HEALTH #040962,Emergency Department
Does Not Reside in US,2,1,0,2,ENLOE HEALTH #040962,Emergency Department
Unknown,408,179,233,99,ENLOE HEALTH #040962,Emergency Department
Blank/Invalid,0,1,0,0,ENLOE HEALTH #040962,Emergency Department
California Resident,2804,2969,2831,2680,FAIRCHILD MEDICAL CENTER #474007,Emergency Department
Out of State,103,153,149,75,FAIRCHILD MEDICAL CENTER #474007,Emergency Department
Does Not Reside in US,2,1,4,0,FAIRCHILD MEDICAL CENTER #474007,Emergency Department
Unknown,1,3,2,0,FAIRCHILD MEDICAL CENTER #474007,Emergency Department
California Resident,1176,1012,1029,1027,FOOTHILL REGIONAL MEDICAL CENTER #301357,Emergency Department
Out of State,31,26,36,36,FOOTHILL REGIONAL MEDICAL CENTER #301357,Emergency Department
Does Not Reside in US,3,0,4,3,FOOTHILL REGIONAL MEDICAL CENTER #301357,Emergency Department
Unknown,5,44,52,55,FOOTHILL REGIONAL MEDICAL CENTER #301357,Emergency Department
Blank/Invalid,1,1,4,5,FOOTHILL REGIONAL MEDICAL CENTER #301357,Emergency Department
California Resident,5462,6169,6451,6034,FRENCH HOSPITAL MEDICAL CENTER #400480,Emergency Department
Out of State,105,142,104,125,FRENCH HOSPITAL MEDICAL CENTER #400480,Emergency Department
Does Not Reside in US,1,3,11,5,FRENCH HOSPITAL MEDICAL CENTER #400480,Emergency Department
Unknown,152,153,53,18,FRENCH HOSPITAL MEDICAL CENTER #400480,Emergency Department
Blank/Invalid,1,2,0,0,FRENCH HOSPITAL MEDICAL CENTER #400480,Emergency Department
California Resident,4622,4637,4774,4635,GARDEN GROVE HOSPITAL AND MEDICAL CENTER #301283,Emergency Department
Out of State,98,128,110,113,GARDEN GROVE HOSPITAL AND MEDICAL CENTER #301283,Emergency Department
Does Not Reside in US,13,7,11,10,GARDEN GROVE HOSPITAL AND MEDICAL CENTER #301283,Emergency Department
Unknown,124,36,75,52,GARDEN GROVE HOSPITAL AND MEDICAL CENTER #301283,Emergency Department
Blank/Invalid,1,1,0,0,GARDEN GROVE HOSPITAL AND MEDICAL CENTER #301283,Emergency Department
California Resident,4901,5164,5373,5933,GARFIELD MEDICAL CENTER #190315,Emergency Department
Out of State,36,44,38,31,GARFIELD MEDICAL CENTER #190315,Emergency Department
Does Not Reside in US,0,3,3,1,GARFIELD MEDICAL CENTER #190315,Emergency Department
Unknown,8,11,17,26,GARFIELD MEDICAL CENTER #190315,Emergency Department
Blank/Invalid,6,3,8,6,GARFIELD MEDICAL CENTER #190315,Emergency Department
California Resident,3963,4584,3999,3866,GEORGE L. MEE MEMORIAL HOSPITAL #270777,Emergency Department
Out of State,23,93,33,16,GEORGE L. MEE MEMORIAL HOSPITAL #270777,Emergency Department
Does Not Reside in US,0,1,0,0,GEORGE L. MEE MEMORIAL HOSPITAL #270777,Emergency Department
Unknown,0,1,1,0,GEORGE L. MEE MEMORIAL HOSPITAL #270777,Emergency Department
Blank/Invalid,0,0,2,0,GEORGE L. MEE MEMORIAL HOSPITAL #270777,Emergency Department
California Resident,7007,7052,7137,7313,GLENDALE MEMORIAL HOSPITAL AND HEALTH CENTER #190522,Emergency Department
Out of State,98,88,111,96,GLENDALE MEMORIAL HOSPITAL AND HEALTH CENTER #190522,Emergency Department
Does Not Reside in US,2,7,2,1,GLENDALE MEMORIAL HOSPITAL AND HEALTH CENTER #190522,Emergency Department
Unknown,62,54,30,0,GLENDALE MEMORIAL HOSPITAL AND HEALTH CENTER #190522,Emergency Department
Blank/Invalid,14,10,8,17,GLENDALE MEMORIAL HOSPITAL AND HEALTH CENTER #190522,Emergency Department
California Resident,1469,1549,1461,1412,GLENN MEDICAL CENTER #110889,Emergency Department
Out of State,15,23,19,20,GLENN MEDICAL CENTER #110889,Emergency Department
Unknown,1,6,1,1,GLENN MEDICAL CENTER #110889,Emergency Department
California Resident,5862,6155,5914,6322,GOLETA VALLEY COTTAGE HOSPITAL #420483,Emergency Department
Out of State,155,157,169,163,GOLETA VALLEY COTTAGE HOSPITAL #420483,Emergency Department
Does Not Reside in US,2,6,12,2,GOLETA VALLEY COTTAGE HOSPITAL #420483,Emergency Department
Unknown,87,132,119,90,GOLETA VALLEY COTTAGE HOSPITAL #420483,Emergency Department
Blank/Invalid,12,13,17,9,GOLETA VALLEY COTTAGE HOSPITAL #420483,Emergency Department
California Resident,13569,14369,13877,14174,GOOD SAMARITAN HOSPITAL-SAN JOSE #430779,Emergency Department
Out of State,192,212,194,217,GOOD SAMARITAN HOSPITAL-SAN JOSE #430779,Emergency Department
Does Not Reside in US,7,5,3,0,GOOD SAMARITAN HOSPITAL-SAN JOSE #430779,Emergency Department
Unknown,11,10,9,22,GOOD SAMARITAN HOSPITAL-SAN JOSE #430779,Emergency Department
Blank/Invalid,8,6,8,2,GOOD SAMARITAN HOSPITAL-SAN JOSE #430779,Emergency Department
California Resident,5860,5998,5929,6109,GREATER EL MONTE COMMUNITY HOSPITAL #190352,Emergency Department
Out of State,19,30,27,24,GREATER EL MONTE COMMUNITY HOSPITAL #190352,Emergency Department
Does Not Reside in US,0,0,1,0,GREATER EL MONTE COMMUNITY HOSPITAL #190352,Emergency Department
Unknown,0,4,0,219,GREATER EL MONTE COMMUNITY HOSPITAL #190352,Emergency Department
Blank/Invalid,1,0,0,3,GREATER EL MONTE COMMUNITY HOSPITAL #190352,Emergency Department
California Resident,23435,28212,29024,29007,GROSSMONT HOSPITAL #370714,Emergency Department
Out of State,285,404,398,369,GROSSMONT HOSPITAL #370714,Emergency Department
Does Not Reside in US,9,11,12,12,GROSSMONT HOSPITAL #370714,Emergency Department
Unknown,714,63,32,18,GROSSMONT HOSPITAL #370714,Emergency Department
Blank/Invalid,1,1,0,0,GROSSMONT HOSPITAL #370714,Emergency Department
California Resident,5792,6447,5815,6318,HAZEL HAWKINS MEMORIAL HOSPITAL #350784,Emergency Department
Out of State,31,38,49,43,HAZEL HAWKINS MEMORIAL HOSPITAL #350784,Emergency Department
Does Not Reside in US,62,3,0,1,HAZEL HAWKINS MEMORIAL HOSPITAL #350784,Emergency Department
Unknown,1,21,18,15,HAZEL HAWKINS MEMORIAL HOSPITAL #350784,Emergency Department
Blank/Invalid,2,20,10,6,HAZEL HAWKINS MEMORIAL HOSPITAL #350784,Emergency Department
California Resident,2348,2635,2471,2230,HEALDSBURG HOSPITAL #490964,Emergency Department
Out of State,32,48,58,60,HEALDSBURG HOSPITAL #490964,Emergency Department
Does Not Reside in US,0,3,7,4,HEALDSBURG HOSPITAL #490964,Emergency Department
Unknown,3,1,0,0,HEALDSBURG HOSPITAL #490964,Emergency Department
California Resident,9930,10479,10438,10173,HEMET GLOBAL MEDICAL CENTER #331194,Emergency Department
Out of State,60,62,81,64,HEMET GLOBAL MEDICAL CENTER #331194,Emergency Department
Unknown,35,60,19,108,HEMET GLOBAL MEDICAL CENTER #331194,Emergency Department
Blank/Invalid,161,181,174,60,HEMET GLOBAL MEDICAL CENTER #331194,Emergency Department
California Resident,13317,13957,14078,14901,HENRY MAYO NEWHALL HOSPITAL #190949,Emergency Department
Out of State,168,220,240,210,HENRY MAYO NEWHALL HOSPITAL #190949,Emergency Department
Does Not Reside in US,7,3,9,11,HENRY MAYO NEWHALL HOSPITAL #190949,Emergency Department
Unknown,123,165,142,163,HENRY MAYO NEWHALL HOSPITAL #190949,Emergency Department
Blank/Invalid,7,4,4,4,HENRY MAYO NEWHALL HOSPITAL #190949,Emergency Department
California Resident,5969,6058,5937,6206,HI-DESERT MEDICAL CENTER #362041,Emergency Department
Out of State,171,139,120,180,HI-DESERT MEDICAL CENTER #362041,Emergency Department
Does Not Reside in US,0,2,0,3,HI-DESERT MEDICAL CENTER #362041,Emergency Department
Unknown,2,32,77,40,HI-DESERT MEDICAL CENTER #362041,Emergency Department
Blank/Invalid,36,21,2,4,HI-DESERT MEDICAL CENTER #362041,Emergency Department
California Resident,17833,18770,18412,18248,HIGHLAND HOSPITAL #010846,Emergency Department
Out of State,110,124,128,104,HIGHLAND HOSPITAL #010846,Emergency Department
Does Not Reside in US,2,0,0,0,HIGHLAND HOSPITAL #010846,Emergency Department
Unknown,650,624,543,579,HIGHLAND HOSPITAL #010846,Emergency Department
Blank/Invalid,35,25,39,60,HIGHLAND HOSPITAL #010846,Emergency Department
California Resident,25674,27035,27457,28008,HOAG MEMORIAL HOSPITAL PRESBYTERIAN #301205,Emergency Department
Out of State,849,814,998,889,HOAG MEMORIAL HOSPITAL PRESBYTERIAN #301205,Emergency Department
Does Not Reside in US,35,31,51,30,HOAG MEMORIAL HOSPITAL PRESBYTERIAN #301205,Emergency Department
Unknown,422,463,564,667,HOAG MEMORIAL HOSPITAL PRESBYTERIAN #301205,Emergency Department
Blank/Invalid,1,7,6,1,HOAG MEMORIAL HOSPITAL PRESBYTERIAN #301205,Emergency Department
California Resident,6917,7287,7521,7203,HOLLYWOOD PRESBYTERIAN MEDICAL CENTER #190382,Emergency Department
Out of State,113,102,104,98,HOLLYWOOD PRESBYTERIAN MEDICAL CENTER #190382,Emergency Department
Does Not Reside in US,13,8,17,9,HOLLYWOOD PRESBYTERIAN MEDICAL CENTER #190382,Emergency Department
Unknown,14,16,5,4,HOLLYWOOD PRESBYTERIAN MEDICAL CENTER #190382,Emergency Department
Blank/Invalid,17,10,10,18,HOLLYWOOD PRESBYTERIAN MEDICAL CENTER #190382,Emergency Department
California Resident,2561,2967,3062,2988,HUNTINGTON BEACH HOSPITAL #301209,Emergency Department
Out of State,91,103,142,94,HUNTINGTON BEACH HOSPITAL #301209,Emergency Department
Does Not Reside in US,2,3,3,4,HUNTINGTON BEACH HOSPITAL #301209,Emergency Department
Unknown,67,43,79,67,HUNTINGTON BEACH HOSPITAL #301209,Emergency Department
California Resident,13288,13534,13983,14559,HUNTINGTON HOSPITAL #190400,Emergency Department
Out of State,202,190,185,217,HUNTINGTON HOSPITAL #190400,Emergency Department
Does Not Reside in US,11,19,22,25,HUNTINGTON HOSPITAL #190400,Emergency Department
Blank/Invalid,4,1,2,9,HUNTINGTON HOSPITAL #190400,Emergency Department
California Resident,1557,1678,1687,1601,JOHN C FREMONT HEALTHCARE DISTRICT #220733,Emergency Department
Out of State,27,87,87,46,JOHN C FREMONT HEALTHCARE DISTRICT #220733,Emergency Department
Does Not Reside in US,5,36,71,21,JOHN C FREMONT HEALTHCARE DISTRICT #220733,Emergency Department
Blank/Invalid,15,2,3,0,JOHN C FREMONT HEALTHCARE DISTRICT #220733,Emergency Department
California Resident,11734,11848,11292,11888,JOHN F. KENNEDY MEMORIAL HOSPITAL #331216,Emergency Department
Out of State,335,213,136,223,JOHN F. KENNEDY MEMORIAL HOSPITAL #331216,Emergency Department
Does Not Reside in US,52,7,0,2,JOHN F. KENNEDY MEMORIAL HOSPITAL #331216,Emergency Department
Unknown,220,219,169,122,JOHN F. KENNEDY MEMORIAL HOSPITAL #331216,Emergency Department
Blank/Invalid,5,27,2,38,JOHN F. KENNEDY MEMORIAL HOSPITAL #331216,Emergency Department
California Resident,13924,14843,14006,14032,JOHN MUIR MEDICAL CENTER-CONCORD CAMPUS #071018,Emergency Department
Out of State,304,103,104,84,JOHN MUIR MEDICAL CENTER-CONCORD CAMPUS #071018,Emergency Department
Does Not Reside in US,1,0,1,1,JOHN MUIR MEDICAL CENTER-CONCORD CAMPUS #071018,Emergency Department
Unknown,35,251,269,291,JOHN MUIR MEDICAL CENTER-CONCORD CAMPUS #071018,Emergency Department
California Resident,12870,12958,12474,12609,JOHN MUIR MEDICAL CENTER-WALNUT CREEK CAMPUS #070988,Emergency Department
Out of State,216,205,176,200,JOHN MUIR MEDICAL CENTER-WALNUT CREEK CAMPUS #070988,Emergency Department
Does Not Reside in US,2,0,8,1,JOHN MUIR MEDICAL CENTER-WALNUT CREEK CAMPUS #070988,Emergency Department
Unknown,34,95,100,98,JOHN MUIR MEDICAL CENTER-WALNUT CREEK CAMPUS #070988,Emergency Department
California Resident,14349,14740,13752,13822,KAISER FOUNDATION HOSPITAL & REHAB CENTER - VALLEJO #480989,Emergency Department
Out of State,53,52,62,57,KAISER FOUNDATION HOSPITAL & REHAB CENTER - VALLEJO #480989,Emergency Department
Unknown,37,43,56,45,KAISER FOUNDATION HOSPITAL & REHAB CENTER - VALLEJO #480989,Emergency Department
Blank/Invalid,2,6,3,5,KAISER FOUNDATION HOSPITAL & REHAB CENTER - VALLEJO #480989,Emergency Department
California Resident,17513,18650,16842,16963,KAISER FOUNDATION HOSPITAL - ANTIOCH  #074097,Emergency Department
Out of State,34,45,59,49,KAISER FOUNDATION HOSPITAL - ANTIOCH  #074097,Emergency Department
Unknown,49,50,48,13,KAISER FOUNDATION HOSPITAL - ANTIOCH  #074097,Emergency Department
Blank/Invalid,3,4,1,3,KAISER FOUNDATION HOSPITAL - ANTIOCH  #074097,Emergency Department
California Resident,15873,17123,16516,16302,KAISER FOUNDATION HOSPITAL - BALDWIN PARK #196035,Emergency Department
Out of State,41,37,45,34,KAISER FOUNDATION HOSPITAL - BALDWIN PARK #196035,Emergency Department
Does Not Reside in US,0,1,0,0,KAISER FOUNDATION HOSPITAL - BALDWIN PARK #196035,Emergency Department
Unknown,69,79,61,92,KAISER FOUNDATION HOSPITAL - BALDWIN PARK #196035,Emergency Department
Blank/Invalid,3,1,2,0,KAISER FOUNDATION HOSPITAL - BALDWIN PARK #196035,Emergency Department
California Resident,23245,23334,23955,23763,KAISER FOUNDATION HOSPITAL - DOWNEY #196403,Emergency Department
Out of State,36,53,56,57,KAISER FOUNDATION HOSPITAL - DOWNEY #196403,Emergency Department
Does Not Reside in US,0,0,0,1,KAISER FOUNDATION HOSPITAL - DOWNEY #196403,Emergency Department
Unknown,214,279,209,144,KAISER FOUNDATION HOSPITAL - DOWNEY #196403,Emergency Department
Blank/Invalid,1,0,3,4,KAISER FOUNDATION HOSPITAL - DOWNEY #196403,Emergency Department
California Resident,37133,38156,38471,39360,KAISER FOUNDATION HOSPITAL - FONTANA #361223,Emergency Department
Out of State,164,161,168,152,KAISER FOUNDATION HOSPITAL - FONTANA #361223,Emergency Department
Unknown,407,351,426,333,KAISER FOUNDATION HOSPITAL - FONTANA #361223,Emergency Department
Blank/Invalid,12,10,18,9,KAISER FOUNDATION HOSPITAL - FONTANA #361223,Emergency Department
California Resident,10830,10793,10094,10238,KAISER FOUNDATION HOSPITAL - FREMONT #014132,Emergency Department
Out of State,31,22,44,41,KAISER FOUNDATION HOSPITAL - FREMONT #014132,Emergency Department
Does Not Reside in US,0,0,0,1,KAISER FOUNDATION HOSPITAL - FREMONT #014132,Emergency Department
Unknown,26,26,21,17,KAISER FOUNDATION HOSPITAL - FREMONT #014132,Emergency Department
Blank/Invalid,3,3,5,4,KAISER FOUNDATION HOSPITAL - FREMONT #014132,Emergency Department
California Resident,12341,12761,12494,11870,KAISER FOUNDATION HOSPITAL - FRESNO #104062,Emergency Department
Out of State,39,56,53,45,KAISER FOUNDATION HOSPITAL - FRESNO #104062,Emergency Department
Does Not Reside in US,1,1,0,0,KAISER FOUNDATION HOSPITAL - FRESNO #104062,Emergency Department
Unknown,33,53,96,71,KAISER FOUNDATION HOSPITAL - FRESNO #104062,Emergency Department
Blank/Invalid,2,4,2,0,KAISER FOUNDATION HOSPITAL - FRESNO #104062,Emergency Department
California Resident,12823,12736,12885,12894,KAISER FOUNDATION HOSPITAL - LOS ANGELES #190429,Emergency Department
Out of State,122,128,136,146,KAISER FOUNDATION HOSPITAL - LOS ANGELES #190429,Emergency Department
Does Not Reside in US,13,9,18,12,KAISER FOUNDATION HOSPITAL - LOS ANGELES #190429,Emergency Department
Unknown,734,647,671,664,KAISER FOUNDATION HOSPITAL - LOS ANGELES #190429,Emergency Department
Blank/Invalid,0,0,5,0,KAISER FOUNDATION HOSPITAL - LOS ANGELES #190429,Emergency Department
California Resident,28351,29014,27276,27143,KAISER FOUNDATION HOSPITAL - MANTECA #394009,Emergency Department
Out of State,55,85,70,73,KAISER FOUNDATION HOSPITAL - MANTECA #394009,Emergency Department
Does Not Reside in US,1,0,0,0,KAISER FOUNDATION HOSPITAL - MANTECA #394009,Emergency Department
Unknown,23,9,13,83,KAISER FOUNDATION HOSPITAL - MANTECA #394009,Emergency Department
Blank/Invalid,17,4,4,10,KAISER FOUNDATION HOSPITAL - MANTECA #394009,Emergency Department
California Resident,13143,14195,14348,15046,KAISER FOUNDATION HOSPITAL - MORENO VALLEY #334048,Emergency Department
Out of State,41,46,42,42,KAISER FOUNDATION HOSPITAL - MORENO VALLEY #334048,Emergency Department
Unknown,30,17,20,16,KAISER FOUNDATION HOSPITAL - MORENO VALLEY #334048,Emergency Department
Blank/Invalid,2,1,4,5,KAISER FOUNDATION HOSPITAL - MORENO VALLEY #334048,Emergency Department
California Resident,32454,33826,32172,32133,KAISER FOUNDATION HOSPITAL - OAKLAND/RICHMOND #014326,Emergency Department
Out of State,116,189,143,139,KAISER FOUNDATION HOSPITAL - OAKLAND/RICHMOND #014326,Emergency Department
Does Not Reside in US,0,0,1,0,KAISER FOUNDATION HOSPITAL - OAKLAND/RICHMOND #014326,Emergency Department
Unknown,336,344,340,373,KAISER FOUNDATION HOSPITAL - OAKLAND/RICHMOND #014326,Emergency Department
Blank/Invalid,5,19,8,10,KAISER FOUNDATION HOSPITAL - OAKLAND/RICHMOND #014326,Emergency Department
California Resident,28985,29894,29359,29704,KAISER FOUNDATION HOSPITAL - ORANGE COUNTY - ANAHEIM #304409,Emergency Department
Out of State,132,125,119,160,KAISER FOUNDATION HOSPITAL - ORANGE COUNTY - ANAHEIM #304409,Emergency Department
Does Not Reside in US,1,0,3,1,KAISER FOUNDATION HOSPITAL - ORANGE COUNTY - ANAHEIM #304409,Emergency Department
Unknown,107,123,114,85,KAISER FOUNDATION HOSPITAL - ORANGE COUNTY - ANAHEIM #304409,Emergency Department
Blank/Invalid,5,3,6,3,KAISER FOUNDATION HOSPITAL - ORANGE COUNTY - ANAHEIM #304409,Emergency Department
California Resident,16350,16764,16573,16630,KAISER FOUNDATION HOSPITAL - PANORAMA CITY #190432,Emergency Department
Out of State,41,68,61,54,KAISER FOUNDATION HOSPITAL - PANORAMA CITY #190432,Emergency Department
Does Not Reside in US,0,2,0,0,KAISER FOUNDATION HOSPITAL - PANORAMA CITY #190432,Emergency Department
Unknown,90,139,66,77,KAISER FOUNDATION HOSPITAL - PANORAMA CITY #190432,Emergency Department
Blank/Invalid,0,0,0,1,KAISER FOUNDATION HOSPITAL - PANORAMA CITY #190432,Emergency Department
California Resident,9245,9520,9313,9150,KAISER FOUNDATION HOSPITAL - REDWOOD CITY #414139,Emergency Department
Out of State,34,58,40,45,KAISER FOUNDATION HOSPITAL - REDWOOD CITY #414139,Emergency Department
Does Not Reside in US,3,0,0,0,KAISER FOUNDATION HOSPITAL - REDWOOD CITY #414139,Emergency Department
Unknown,11,10,10,21,KAISER FOUNDATION HOSPITAL - REDWOOD CITY #414139,Emergency Department
Blank/Invalid,5,3,5,3,KAISER FOUNDATION HOSPITAL - REDWOOD CITY #414139,Emergency Department
California Resident,14165,15283,14931,15317,KAISER FOUNDATION HOSPITAL - RIVERSIDE #334025,Emergency Department
Out of State,52,56,44,67,KAISER FOUNDATION HOSPITAL - RIVERSIDE #334025,Emergency Department
Unknown,200,219,309,257,KAISER FOUNDATION HOSPITAL - RIVERSIDE #334025,Emergency Department
Blank/Invalid,4,2,2,3,KAISER FOUNDATION HOSPITAL - RIVERSIDE #334025,Emergency Department
California Resident,30645,32000,30507,29739,KAISER FOUNDATION HOSPITAL - ROSEVILLE #314024,Emergency Department
Out of State,81,74,81,76,KAISER FOUNDATION HOSPITAL - ROSEVILLE #314024,Emergency Department
Does Not Reside in US,0,0,0,1,KAISER FOUNDATION HOSPITAL - ROSEVILLE #314024,Emergency Department
Unknown,25,29,42,45,KAISER FOUNDATION HOSPITAL - ROSEVILLE #314024,Emergency Department
Blank/Invalid,18,8,11,15,KAISER FOUNDATION HOSPITAL - ROSEVILLE #314024,Emergency Department
California Resident,24313,25220,24786,24596,KAISER FOUNDATION HOSPITAL - SACRAMENTO #340913,Emergency Department
Out of State,75,68,84,76,KAISER FOUNDATION HOSPITAL - SACRAMENTO #340913,Emergency Department
Does Not Reside in US,0,0,2,0,KAISER FOUNDATION HOSPITAL - SACRAMENTO #340913,Emergency Department
Unknown,291,322,501,468,KAISER FOUNDATION HOSPITAL - SACRAMENTO #340913,Emergency Department
Blank/Invalid,9,7,8,3,KAISER FOUNDATION HOSPITAL - SACRAMENTO #340913,Emergency Department
