AGE GROUPS,Q1 2024,Q2 2024,Q3 2024,Q4 2024,Facility,Report
50 - 59,266,321,324,330,GLENDALE MEMORIAL HOSPITAL AND HEALTH CENTER #190522,Ambulatory Surgery
60 - 69,371,404,388,386,GLENDALE MEMORIAL HOSPITAL AND HEALTH CENTER #190522,Ambulatory Surgery
70 - 79,223,252,234,250,GLENDALE MEMORIAL HOSPITAL AND HEALTH CENTER #190522,Ambulatory Surgery
80 Years +,95,108,109,108,GLENDALE MEMORIAL HOSPITAL AND HEALTH CENTER #190522,Ambulatory Surgery
0 - 9,3,2,0,1,GOLETA VALLEY COTTAGE HOSPITAL #420483,Ambulatory Surgery
10--19,7,11,4,8,GOLETA VALLEY COTTAGE HOSPITAL #420483,Ambulatory Surgery
20 - 29,20,14,22,19,GOLETA VALLEY COTTAGE HOSPITAL #420483,Ambulatory Surgery
30 - 39,27,29,21,19,GOLETA VALLEY COTTAGE HOSPITAL #420483,Ambulatory Surgery
40 - 49,33,38,47,35,GOLETA VALLEY COTTAGE HOSPITAL #420483,Ambulatory Surgery
50 - 59,73,82,60,66,GOLETA VALLEY COTTAGE HOSPITAL #420483,Ambulatory Surgery
60 - 69,159,147,126,150,GOLETA VALLEY COTTAGE HOSPITAL #420483,Ambulatory Surgery
70 - 79,205,190,164,162,GOLETA VALLEY COTTAGE HOSPITAL #420483,Ambulatory Surgery
80 Years +,66,55,58,62,GOLETA VALLEY COTTAGE HOSPITAL #420483,Ambulatory Surgery
10--19,0,0,0,1,GOOD SAMARITAN HOSPITAL-BAKERSFIELD #150775,Ambulatory Surgery
20 - 29,3,3,2,1,GOOD SAMARITAN HOSPITAL-BAKERSFIELD #150775,Ambulatory Surgery
30 - 39,6,5,6,4,GOOD SAMARITAN HOSPITAL-BAKERSFIELD #150775,Ambulatory Surgery
40 - 49,4,8,6,5,GOOD SAMARITAN HOSPITAL-BAKERSFIELD #150775,Ambulatory Surgery
50 - 59,4,0,5,5,GOOD SAMARITAN HOSPITAL-BAKERSFIELD #150775,Ambulatory Surgery
60 - 69,2,6,1,4,GOOD SAMARITAN HOSPITAL-BAKERSFIELD #150775,Ambulatory Surgery
70 - 79,2,2,1,3,GOOD SAMARITAN HOSPITAL-BAKERSFIELD #150775,Ambulatory Surgery
Under 1 Year,4,2,2,7,GOOD SAMARITAN HOSPITAL-SAN JOSE #430779,Ambulatory Surgery
0 - 9,20,21,20,21,GOOD SAMARITAN HOSPITAL-SAN JOSE #430779,Ambulatory Surgery
10--19,56,52,52,57,GOOD SAMARITAN HOSPITAL-SAN JOSE #430779,Ambulatory Surgery
20 - 29,51,52,63,68,GOOD SAMARITAN HOSPITAL-SAN JOSE #430779,Ambulatory Surgery
30 - 39,111,135,143,144,GOOD SAMARITAN HOSPITAL-SAN JOSE #430779,Ambulatory Surgery
40 - 49,189,208,214,256,GOOD SAMARITAN HOSPITAL-SAN JOSE #430779,Ambulatory Surgery
50 - 59,274,303,286,337,GOOD SAMARITAN HOSPITAL-SAN JOSE #430779,Ambulatory Surgery
60 - 69,492,499,517,519,GOOD SAMARITAN HOSPITAL-SAN JOSE #430779,Ambulatory Surgery
70 - 79,556,607,542,589,GOOD SAMARITAN HOSPITAL-SAN JOSE #430779,Ambulatory Surgery
80 Years +,396,415,326,317,GOOD SAMARITAN HOSPITAL-SAN JOSE #430779,Ambulatory Surgery
0 - 9,224,152,208,187,GRACE SURGERY CENTER #424085,Ambulatory Surgery
10--19,34,43,60,41,GRACE SURGERY CENTER #424085,Ambulatory Surgery
20 - 29,3,17,15,11,GRACE SURGERY CENTER #424085,Ambulatory Surgery
30 - 39,3,4,6,5,GRACE SURGERY CENTER #424085,Ambulatory Surgery
40 - 49,1,2,0,3,GRACE SURGERY CENTER #424085,Ambulatory Surgery
50 - 59,0,1,1,0,GRACE SURGERY CENTER #424085,Ambulatory Surgery
60 - 69,0,0,1,0,GRACE SURGERY CENTER #424085,Ambulatory Surgery
10--19,0,0,1,0,GREATER EL MONTE COMMUNITY HOSPITAL #190352,Ambulatory Surgery
20 - 29,2,1,2,1,GREATER EL MONTE COMMUNITY HOSPITAL #190352,Ambulatory Surgery
30 - 39,0,3,1,2,GREATER EL MONTE COMMUNITY HOSPITAL #190352,Ambulatory Surgery
40 - 49,2,3,5,0,GREATER EL MONTE COMMUNITY HOSPITAL #190352,Ambulatory Surgery
50 - 59,1,1,3,6,GREATER EL MONTE COMMUNITY HOSPITAL #190352,Ambulatory Surgery
60 - 69,0,1,1,2,GREATER EL MONTE COMMUNITY HOSPITAL #190352,Ambulatory Surgery
70 - 79,0,0,1,1,GREATER EL MONTE COMMUNITY HOSPITAL #190352,Ambulatory Surgery
80 Years +,1,0,1,0,GREATER EL MONTE COMMUNITY HOSPITAL #190352,Ambulatory Surgery
Under 1 Year,2,0,2,0,GROSSMONT HOSPITAL #370714,Ambulatory Surgery
10--19,19,23,16,22,GROSSMONT HOSPITAL #370714,Ambulatory Surgery
20 - 29,125,141,126,101,GROSSMONT HOSPITAL #370714,Ambulatory Surgery
30 - 39,250,219,229,207,GROSSMONT HOSPITAL #370714,Ambulatory Surgery
40 - 49,331,381,413,348,GROSSMONT HOSPITAL #370714,Ambulatory Surgery
50 - 59,580,602,596,627,GROSSMONT HOSPITAL #370714,Ambulatory Surgery
60 - 69,871,981,1031,994,GROSSMONT HOSPITAL #370714,Ambulatory Surgery
70 - 79,752,837,871,877,GROSSMONT HOSPITAL #370714,Ambulatory Surgery
80 Years +,327,423,410,381,GROSSMONT HOSPITAL #370714,Ambulatory Surgery
-,0,0,0,4,"HAPY BEAR SURGERY, LLC #544086",Ambulatory Surgery
Under 1 Year,0,0,0,2,"HAPY BEAR SURGERY, LLC #544086",Ambulatory Surgery
0 - 9,503,597,595,544,"HAPY BEAR SURGERY, LLC #544086",Ambulatory Surgery
10--19,127,161,147,130,"HAPY BEAR SURGERY, LLC #544086",Ambulatory Surgery
50 - 59,0,0,0,1,"HAPY BEAR SURGERY, LLC #544086",Ambulatory Surgery
0 - 9,2,2,2,1,HAZEL HAWKINS MEMORIAL HOSPITAL #350784,Ambulatory Surgery
10--19,5,10,9,8,HAZEL HAWKINS MEMORIAL HOSPITAL #350784,Ambulatory Surgery
20 - 29,18,18,21,13,HAZEL HAWKINS MEMORIAL HOSPITAL #350784,Ambulatory Surgery
30 - 39,29,40,42,40,HAZEL HAWKINS MEMORIAL HOSPITAL #350784,Ambulatory Surgery
40 - 49,60,53,63,68,HAZEL HAWKINS MEMORIAL HOSPITAL #350784,Ambulatory Surgery
50 - 59,75,103,91,98,HAZEL HAWKINS MEMORIAL HOSPITAL #350784,Ambulatory Surgery
60 - 69,75,91,96,97,HAZEL HAWKINS MEMORIAL HOSPITAL #350784,Ambulatory Surgery
70 - 79,59,62,70,67,HAZEL HAWKINS MEMORIAL HOSPITAL #350784,Ambulatory Surgery
80 Years +,13,13,12,10,HAZEL HAWKINS MEMORIAL HOSPITAL #350784,Ambulatory Surgery
0 - 9,0,0,0,1,HEALDSBURG HOSPITAL #490964,Ambulatory Surgery
10--19,6,3,11,5,HEALDSBURG HOSPITAL #490964,Ambulatory Surgery
20 - 29,5,2,7,7,HEALDSBURG HOSPITAL #490964,Ambulatory Surgery
30 - 39,16,16,22,12,HEALDSBURG HOSPITAL #490964,Ambulatory Surgery
40 - 49,34,36,27,27,HEALDSBURG HOSPITAL #490964,Ambulatory Surgery
50 - 59,40,59,53,44,HEALDSBURG HOSPITAL #490964,Ambulatory Surgery
60 - 69,64,74,53,50,HEALDSBURG HOSPITAL #490964,Ambulatory Surgery
70 - 79,35,58,44,41,HEALDSBURG HOSPITAL #490964,Ambulatory Surgery
80 Years +,13,16,7,10,HEALDSBURG HOSPITAL #490964,Ambulatory Surgery
0 - 9,0,1,0,0,HEMET GLOBAL MEDICAL CENTER #331194,Ambulatory Surgery
10--19,2,2,2,1,HEMET GLOBAL MEDICAL CENTER #331194,Ambulatory Surgery
20 - 29,8,7,9,5,HEMET GLOBAL MEDICAL CENTER #331194,Ambulatory Surgery
30 - 39,23,19,17,11,HEMET GLOBAL MEDICAL CENTER #331194,Ambulatory Surgery
40 - 49,20,24,18,18,HEMET GLOBAL MEDICAL CENTER #331194,Ambulatory Surgery
50 - 59,39,36,34,23,HEMET GLOBAL MEDICAL CENTER #331194,Ambulatory Surgery
60 - 69,77,60,61,44,HEMET GLOBAL MEDICAL CENTER #331194,Ambulatory Surgery
70 - 79,66,56,59,44,HEMET GLOBAL MEDICAL CENTER #331194,Ambulatory Surgery
80 Years +,33,30,28,21,HEMET GLOBAL MEDICAL CENTER #331194,Ambulatory Surgery
Under 1 Year,0,1,0,1,HENRY MAYO NEWHALL HOSPITAL #190949,Ambulatory Surgery
0 - 9,37,41,37,47,HENRY MAYO NEWHALL HOSPITAL #190949,Ambulatory Surgery
10--19,23,33,34,30,HENRY MAYO NEWHALL HOSPITAL #190949,Ambulatory Surgery
20 - 29,41,40,49,49,HENRY MAYO NEWHALL HOSPITAL #190949,Ambulatory Surgery
30 - 39,111,86,85,96,HENRY MAYO NEWHALL HOSPITAL #190949,Ambulatory Surgery
40 - 49,132,137,157,155,HENRY MAYO NEWHALL HOSPITAL #190949,Ambulatory Surgery
50 - 59,172,184,212,192,HENRY MAYO NEWHALL HOSPITAL #190949,Ambulatory Surgery
60 - 69,240,274,312,322,HENRY MAYO NEWHALL HOSPITAL #190949,Ambulatory Surgery
70 - 79,197,226,234,214,HENRY MAYO NEWHALL HOSPITAL #190949,Ambulatory Surgery
80 Years +,69,77,84,76,HENRY MAYO NEWHALL HOSPITAL #190949,Ambulatory Surgery
0 - 9,1,0,0,0,HI-DESERT MEDICAL CENTER #362041,Ambulatory Surgery
10--19,5,1,0,1,HI-DESERT MEDICAL CENTER #362041,Ambulatory Surgery
20 - 29,12,6,2,7,HI-DESERT MEDICAL CENTER #362041,Ambulatory Surgery
30 - 39,13,16,6,9,HI-DESERT MEDICAL CENTER #362041,Ambulatory Surgery
40 - 49,8,13,11,4,HI-DESERT MEDICAL CENTER #362041,Ambulatory Surgery
50 - 59,20,8,7,9,HI-DESERT MEDICAL CENTER #362041,Ambulatory Surgery
60 - 69,18,11,7,5,HI-DESERT MEDICAL CENTER #362041,Ambulatory Surgery
70 - 79,7,13,1,5,HI-DESERT MEDICAL CENTER #362041,Ambulatory Surgery
80 Years +,7,2,4,0,HI-DESERT MEDICAL CENTER #362041,Ambulatory Surgery
0 - 9,2,0,5,2,HIGH DESERT HEALTH SYSTEM AMBULATORY SURGICAL CENTER #197943,Ambulatory Surgery
10--19,4,4,6,2,HIGH DESERT HEALTH SYSTEM AMBULATORY SURGICAL CENTER #197943,Ambulatory Surgery
20 - 29,27,22,18,16,HIGH DESERT HEALTH SYSTEM AMBULATORY SURGICAL CENTER #197943,Ambulatory Surgery
30 - 39,40,49,36,31,HIGH DESERT HEALTH SYSTEM AMBULATORY SURGICAL CENTER #197943,Ambulatory Surgery
40 - 49,89,62,49,45,HIGH DESERT HEALTH SYSTEM AMBULATORY SURGICAL CENTER #197943,Ambulatory Surgery
50 - 59,123,131,100,93,HIGH DESERT HEALTH SYSTEM AMBULATORY SURGICAL CENTER #197943,Ambulatory Surgery
60 - 69,122,95,84,89,HIGH DESERT HEALTH SYSTEM AMBULATORY SURGICAL CENTER #197943,Ambulatory Surgery
70 - 79,28,23,21,26,HIGH DESERT HEALTH SYSTEM AMBULATORY SURGICAL CENTER #197943,Ambulatory Surgery
80 Years +,2,3,5,1,HIGH DESERT HEALTH SYSTEM AMBULATORY SURGICAL CENTER #197943,Ambulatory Surgery
10--19,20,14,13,27,HIGHLAND HOSPITAL #010846,Ambulatory Surgery
20 - 29,154,130,162,140,HIGHLAND HOSPITAL #010846,Ambulatory Surgery
30 - 39,270,257,314,251,HIGHLAND HOSPITAL #010846,Ambulatory Surgery
40 - 49,439,416,433,349,HIGHLAND HOSPITAL #010846,Ambulatory Surgery
50 - 59,467,445,469,447,HIGHLAND HOSPITAL #010846,Ambulatory Surgery
60 - 69,452,484,555,434,HIGHLAND HOSPITAL #010846,Ambulatory Surgery
70 - 79,180,157,229,211,HIGHLAND HOSPITAL #010846,Ambulatory Surgery
80 Years +,38,29,37,43,HIGHLAND HOSPITAL #010846,Ambulatory Surgery
0 - 9,0,0,8,46,HOAG MEMORIAL HOSPITAL PRESBYTERIAN #301205,Ambulatory Surgery
10--19,41,21,40,42,HOAG MEMORIAL HOSPITAL PRESBYTERIAN #301205,Ambulatory Surgery
20 - 29,255,172,179,194,HOAG MEMORIAL HOSPITAL PRESBYTERIAN #301205,Ambulatory Surgery
30 - 39,450,360,451,511,HOAG MEMORIAL HOSPITAL PRESBYTERIAN #301205,Ambulatory Surgery
40 - 49,622,570,609,725,HOAG MEMORIAL HOSPITAL PRESBYTERIAN #301205,Ambulatory Surgery
50 - 59,909,813,838,928,HOAG MEMORIAL HOSPITAL PRESBYTERIAN #301205,Ambulatory Surgery
60 - 69,1331,1222,1272,1302,HOAG MEMORIAL HOSPITAL PRESBYTERIAN #301205,Ambulatory Surgery
70 - 79,1469,1300,1449,1393,HOAG MEMORIAL HOSPITAL PRESBYTERIAN #301205,Ambulatory Surgery
80 Years +,1054,795,824,827,HOAG MEMORIAL HOSPITAL PRESBYTERIAN #301205,Ambulatory Surgery
10--19,2,3,3,3,HOAG ORTHOPEDIC INSTITUTE #304460,Ambulatory Surgery
20 - 29,10,8,10,5,HOAG ORTHOPEDIC INSTITUTE #304460,Ambulatory Surgery
30 - 39,9,13,17,15,HOAG ORTHOPEDIC INSTITUTE #304460,Ambulatory Surgery
40 - 49,34,40,28,30,HOAG ORTHOPEDIC INSTITUTE #304460,Ambulatory Surgery
50 - 59,126,120,100,157,HOAG ORTHOPEDIC INSTITUTE #304460,Ambulatory Surgery
60 - 69,347,297,291,356,HOAG ORTHOPEDIC INSTITUTE #304460,Ambulatory Surgery
70 - 79,409,344,331,330,HOAG ORTHOPEDIC INSTITUTE #304460,Ambulatory Surgery
80 Years +,140,113,117,121,HOAG ORTHOPEDIC INSTITUTE #304460,Ambulatory Surgery
10--19,14,7,7,11,HOLLYWOOD PRESBYTERIAN MEDICAL CENTER #190382,Ambulatory Surgery
20 - 29,64,57,44,49,HOLLYWOOD PRESBYTERIAN MEDICAL CENTER #190382,Ambulatory Surgery
30 - 39,102,124,100,134,HOLLYWOOD PRESBYTERIAN MEDICAL CENTER #190382,Ambulatory Surgery
40 - 49,149,161,184,172,HOLLYWOOD PRESBYTERIAN MEDICAL CENTER #190382,Ambulatory Surgery
50 - 59,311,300,303,280,HOLLYWOOD PRESBYTERIAN MEDICAL CENTER #190382,Ambulatory Surgery
60 - 69,377,400,376,409,HOLLYWOOD PRESBYTERIAN MEDICAL CENTER #190382,Ambulatory Surgery
70 - 79,235,211,220,245,HOLLYWOOD PRESBYTERIAN MEDICAL CENTER #190382,Ambulatory Surgery
80 Years +,97,94,81,90,HOLLYWOOD PRESBYTERIAN MEDICAL CENTER #190382,Ambulatory Surgery
30 - 39,3,0,0,3,HUNTINGTON BEACH HOSPITAL #301209,Ambulatory Surgery
40 - 49,2,1,1,4,HUNTINGTON BEACH HOSPITAL #301209,Ambulatory Surgery
50 - 59,2,1,1,4,HUNTINGTON BEACH HOSPITAL #301209,Ambulatory Surgery
60 - 69,3,0,0,3,HUNTINGTON BEACH HOSPITAL #301209,Ambulatory Surgery
70 - 79,1,2,0,3,HUNTINGTON BEACH HOSPITAL #301209,Ambulatory Surgery
Under 1 Year,3,5,2,4,HUNTINGTON HOSPITAL #190400,Ambulatory Surgery
0 - 9,15,10,18,17,HUNTINGTON HOSPITAL #190400,Ambulatory Surgery
10--19,16,23,35,32,HUNTINGTON HOSPITAL #190400,Ambulatory Surgery
20 - 29,68,60,78,76,HUNTINGTON HOSPITAL #190400,Ambulatory Surgery
30 - 39,156,169,172,185,HUNTINGTON HOSPITAL #190400,Ambulatory Surgery
40 - 49,210,242,240,289,HUNTINGTON HOSPITAL #190400,Ambulatory Surgery
50 - 59,302,319,332,443,HUNTINGTON HOSPITAL #190400,Ambulatory Surgery
60 - 69,520,497,512,620,HUNTINGTON HOSPITAL #190400,Ambulatory Surgery
70 - 79,519,486,541,529,HUNTINGTON HOSPITAL #190400,Ambulatory Surgery
80 Years +,237,237,278,255,HUNTINGTON HOSPITAL #190400,Ambulatory Surgery
Under 1 Year,0,0,0,1,INDIO SURGERY CENTER INC. #334578,Ambulatory Surgery
-,1,0,0,2,INDIO SURGERY CENTER INC. #334578,Ambulatory Surgery
0 - 9,481,538,567,512,INDIO SURGERY CENTER INC. #334578,Ambulatory Surgery
10--19,6,7,18,12,INDIO SURGERY CENTER INC. #334578,Ambulatory Surgery
20 - 29,1,1,0,0,JOHN C FREMONT HEALTHCARE DISTRICT #220733,Ambulatory Surgery
40 - 49,1,1,0,2,JOHN C FREMONT HEALTHCARE DISTRICT #220733,Ambulatory Surgery
50 - 59,7,4,5,4,JOHN C FREMONT HEALTHCARE DISTRICT #220733,Ambulatory Surgery
60 - 69,5,7,6,5,JOHN C FREMONT HEALTHCARE DISTRICT #220733,Ambulatory Surgery
70 - 79,6,2,6,9,JOHN C FREMONT HEALTHCARE DISTRICT #220733,Ambulatory Surgery
80 Years +,0,1,0,0,JOHN C FREMONT HEALTHCARE DISTRICT #220733,Ambulatory Surgery
0 - 9,2,0,2,2,JOHN F. KENNEDY MEMORIAL HOSPITAL #331216,Ambulatory Surgery
10--19,18,10,10,20,JOHN F. KENNEDY MEMORIAL HOSPITAL #331216,Ambulatory Surgery
20 - 29,47,57,64,52,JOHN F. KENNEDY MEMORIAL HOSPITAL #331216,Ambulatory Surgery
30 - 39,88,121,105,113,JOHN F. KENNEDY MEMORIAL HOSPITAL #331216,Ambulatory Surgery
40 - 49,158,172,200,165,JOHN F. KENNEDY MEMORIAL HOSPITAL #331216,Ambulatory Surgery
50 - 59,218,202,214,233,JOHN F. KENNEDY MEMORIAL HOSPITAL #331216,Ambulatory Surgery
60 - 69,209,196,198,178,JOHN F. KENNEDY MEMORIAL HOSPITAL #331216,Ambulatory Surgery
70 - 79,80,74,71,69,JOHN F. KENNEDY MEMORIAL HOSPITAL #331216,Ambulatory Surgery
80 Years +,31,26,22,25,JOHN F. KENNEDY MEMORIAL HOSPITAL #331216,Ambulatory Surgery
10--19,3,8,8,4,JOHN MUIR MEDICAL CENTER-CONCORD CAMPUS #071018,Ambulatory Surgery
20 - 29,55,49,56,57,JOHN MUIR MEDICAL CENTER-CONCORD CAMPUS #071018,Ambulatory Surgery
30 - 39,108,115,101,97,JOHN MUIR MEDICAL CENTER-CONCORD CAMPUS #071018,Ambulatory Surgery
40 - 49,198,189,162,173,JOHN MUIR MEDICAL CENTER-CONCORD CAMPUS #071018,Ambulatory Surgery
50 - 59,254,239,267,280,JOHN MUIR MEDICAL CENTER-CONCORD CAMPUS #071018,Ambulatory Surgery
60 - 69,404,412,416,433,JOHN MUIR MEDICAL CENTER-CONCORD CAMPUS #071018,Ambulatory Surgery
70 - 79,456,476,489,449,JOHN MUIR MEDICAL CENTER-CONCORD CAMPUS #071018,Ambulatory Surgery
80 Years +,232,242,251,264,JOHN MUIR MEDICAL CENTER-CONCORD CAMPUS #071018,Ambulatory Surgery
Under 1 Year,14,7,14,15,JOHN MUIR MEDICAL CENTER-WALNUT CREEK CAMPUS #070988,Ambulatory Surgery
0 - 9,75,77,80,82,JOHN MUIR MEDICAL CENTER-WALNUT CREEK CAMPUS #070988,Ambulatory Surgery
10--19,126,110,123,120,JOHN MUIR MEDICAL CENTER-WALNUT CREEK CAMPUS #070988,Ambulatory Surgery
20 - 29,46,60,57,48,JOHN MUIR MEDICAL CENTER-WALNUT CREEK CAMPUS #070988,Ambulatory Surgery
30 - 39,108,117,138,125,JOHN MUIR MEDICAL CENTER-WALNUT CREEK CAMPUS #070988,Ambulatory Surgery
40 - 49,201,192,192,212,JOHN MUIR MEDICAL CENTER-WALNUT CREEK CAMPUS #070988,Ambulatory Surgery
50 - 59,250,230,253,240,JOHN MUIR MEDICAL CENTER-WALNUT CREEK CAMPUS #070988,Ambulatory Surgery
60 - 69,289,337,338,331,JOHN MUIR MEDICAL CENTER-WALNUT CREEK CAMPUS #070988,Ambulatory Surgery
70 - 79,340,351,355,359,JOHN MUIR MEDICAL CENTER-WALNUT CREEK CAMPUS #070988,Ambulatory Surgery
80 Years +,185,203,213,226,JOHN MUIR MEDICAL CENTER-WALNUT CREEK CAMPUS #070988,Ambulatory Surgery
0 - 9,26,32,63,39,KAISER FOUNDATION HOSPITAL & REHAB CENTER - VALLEJO #480989,Ambulatory Surgery
10--19,61,98,90,96,KAISER FOUNDATION HOSPITAL & REHAB CENTER - VALLEJO #480989,Ambulatory Surgery
20 - 29,109,109,118,95,KAISER FOUNDATION HOSPITAL & REHAB CENTER - VALLEJO #480989,Ambulatory Surgery
30 - 39,187,204,211,197,KAISER FOUNDATION HOSPITAL & REHAB CENTER - VALLEJO #480989,Ambulatory Surgery
40 - 49,237,277,286,318,KAISER FOUNDATION HOSPITAL & REHAB CENTER - VALLEJO #480989,Ambulatory Surgery
50 - 59,325,316,326,320,KAISER FOUNDATION HOSPITAL & REHAB CENTER - VALLEJO #480989,Ambulatory Surgery
60 - 69,435,474,435,448,KAISER FOUNDATION HOSPITAL & REHAB CENTER - VALLEJO #480989,Ambulatory Surgery
70 - 79,363,317,295,328,KAISER FOUNDATION HOSPITAL & REHAB CENTER - VALLEJO #480989,Ambulatory Surgery
80 Years +,121,133,118,117,KAISER FOUNDATION HOSPITAL & REHAB CENTER - VALLEJO #480989,Ambulatory Surgery
0 - 9,22,37,27,29,KAISER FOUNDATION HOSPITAL - ANTIOCH  #074097,Ambulatory Surgery
10--19,23,31,41,38,KAISER FOUNDATION HOSPITAL - ANTIOCH  #074097,Ambulatory Surgery
20 - 29,55,57,53,39,KAISER FOUNDATION HOSPITAL - ANTIOCH  #074097,Ambulatory Surgery
30 - 39,140,129,121,140,KAISER FOUNDATION HOSPITAL - ANTIOCH  #074097,Ambulatory Surgery
40 - 49,173,192,188,200,KAISER FOUNDATION HOSPITAL - ANTIOCH  #074097,Ambulatory Surgery
50 - 59,284,285,267,285,KAISER FOUNDATION HOSPITAL - ANTIOCH  #074097,Ambulatory Surgery
60 - 69,437,458,431,444,KAISER FOUNDATION HOSPITAL - ANTIOCH  #074097,Ambulatory Surgery
70 - 79,396,369,379,378,KAISER FOUNDATION HOSPITAL - ANTIOCH  #074097,Ambulatory Surgery
80 Years +,148,149,137,113,KAISER FOUNDATION HOSPITAL - ANTIOCH  #074097,Ambulatory Surgery
0 - 9,73,96,90,78,KAISER FOUNDATION HOSPITAL - BALDWIN PARK #196035,Ambulatory Surgery
10--19,123,125,131,148,KAISER FOUNDATION HOSPITAL - BALDWIN PARK #196035,Ambulatory Surgery
20 - 29,252,279,249,258,KAISER FOUNDATION HOSPITAL - BALDWIN PARK #196035,Ambulatory Surgery
30 - 39,533,540,534,568,KAISER FOUNDATION HOSPITAL - BALDWIN PARK #196035,Ambulatory Surgery
40 - 49,902,883,925,907,KAISER FOUNDATION HOSPITAL - BALDWIN PARK #196035,Ambulatory Surgery
50 - 59,1295,1282,1187,1204,KAISER FOUNDATION HOSPITAL - BALDWIN PARK #196035,Ambulatory Surgery
60 - 69,1603,1660,1585,1563,KAISER FOUNDATION HOSPITAL - BALDWIN PARK #196035,Ambulatory Surgery
70 - 79,1472,1422,1538,1449,KAISER FOUNDATION HOSPITAL - BALDWIN PARK #196035,Ambulatory Surgery
80 Years +,461,452,496,496,KAISER FOUNDATION HOSPITAL - BALDWIN PARK #196035,Ambulatory Surgery
Under 1 Year,20,30,26,24,KAISER FOUNDATION HOSPITAL - DOWNEY #196403,Ambulatory Surgery
0 - 9,268,301,267,250,KAISER FOUNDATION HOSPITAL - DOWNEY #196403,Ambulatory Surgery
10--19,216,252,241,231,KAISER FOUNDATION HOSPITAL - DOWNEY #196403,Ambulatory Surgery
20 - 29,218,232,243,225,KAISER FOUNDATION HOSPITAL - DOWNEY #196403,Ambulatory Surgery
30 - 39,424,469,448,458,KAISER FOUNDATION HOSPITAL - DOWNEY #196403,Ambulatory Surgery
40 - 49,640,666,639,634,KAISER FOUNDATION HOSPITAL - DOWNEY #196403,Ambulatory Surgery
50 - 59,714,738,711,781,KAISER FOUNDATION HOSPITAL - DOWNEY #196403,Ambulatory Surgery
60 - 69,874,843,811,836,KAISER FOUNDATION HOSPITAL - DOWNEY #196403,Ambulatory Surgery
70 - 79,670,664,744,690,KAISER FOUNDATION HOSPITAL - DOWNEY #196403,Ambulatory Surgery
80 Years +,249,230,260,246,KAISER FOUNDATION HOSPITAL - DOWNEY #196403,Ambulatory Surgery
Under 1 Year,19,28,23,30,KAISER FOUNDATION HOSPITAL - FONTANA #361223,Ambulatory Surgery
0 - 9,287,320,303,355,KAISER FOUNDATION HOSPITAL - FONTANA #361223,Ambulatory Surgery
10--19,329,353,385,376,KAISER FOUNDATION HOSPITAL - FONTANA #361223,Ambulatory Surgery
20 - 29,389,342,369,351,KAISER FOUNDATION HOSPITAL - FONTANA #361223,Ambulatory Surgery
30 - 39,608,642,657,717,KAISER FOUNDATION HOSPITAL - FONTANA #361223,Ambulatory Surgery
40 - 49,1000,904,985,1009,KAISER FOUNDATION HOSPITAL - FONTANA #361223,Ambulatory Surgery
50 - 59,1148,1188,1127,1201,KAISER FOUNDATION HOSPITAL - FONTANA #361223,Ambulatory Surgery
60 - 69,1561,1518,1464,1558,KAISER FOUNDATION HOSPITAL - FONTANA #361223,Ambulatory Surgery
70 - 79,1278,1317,1344,1297,KAISER FOUNDATION HOSPITAL - FONTANA #361223,Ambulatory Surgery
80 Years +,382,438,393,423,KAISER FOUNDATION HOSPITAL - FONTANA #361223,Ambulatory Surgery
0 - 9,51,36,35,31,KAISER FOUNDATION HOSPITAL - FRESNO #104062,Ambulatory Surgery
10--19,53,74,57,60,KAISER FOUNDATION HOSPITAL - FRESNO #104062,Ambulatory Surgery
20 - 29,137,148,149,120,KAISER FOUNDATION HOSPITAL - FRESNO #104062,Ambulatory Surgery
30 - 39,281,281,307,319,KAISER FOUNDATION HOSPITAL - FRESNO #104062,Ambulatory Surgery
40 - 49,427,483,419,500,KAISER FOUNDATION HOSPITAL - FRESNO #104062,Ambulatory Surgery
50 - 59,540,558,550,592,KAISER FOUNDATION HOSPITAL - FRESNO #104062,Ambulatory Surgery
60 - 69,747,808,733,786,KAISER FOUNDATION HOSPITAL - FRESNO #104062,Ambulatory Surgery
70 - 79,621,720,744,688,KAISER FOUNDATION HOSPITAL - FRESNO #104062,Ambulatory Surgery
80 Years +,217,231,237,215,KAISER FOUNDATION HOSPITAL - FRESNO #104062,Ambulatory Surgery
Under 1 Year,47,58,53,40,KAISER FOUNDATION HOSPITAL - LOS ANGELES #190429,Ambulatory Surgery
0 - 9,279,241,264,222,KAISER FOUNDATION HOSPITAL - LOS ANGELES #190429,Ambulatory Surgery
10--19,192,189,196,187,KAISER FOUNDATION HOSPITAL - LOS ANGELES #190429,Ambulatory Surgery
20 - 29,239,203,204,201,KAISER FOUNDATION HOSPITAL - LOS ANGELES #190429,Ambulatory Surgery
30 - 39,426,411,443,479,KAISER FOUNDATION HOSPITAL - LOS ANGELES #190429,Ambulatory Surgery
40 - 49,524,482,500,524,KAISER FOUNDATION HOSPITAL - LOS ANGELES #190429,Ambulatory Surgery
50 - 59,723,809,698,772,KAISER FOUNDATION HOSPITAL - LOS ANGELES #190429,Ambulatory Surgery
60 - 69,1130,1156,1131,1139,KAISER FOUNDATION HOSPITAL - LOS ANGELES #190429,Ambulatory Surgery
70 - 79,1157,1153,1166,1042,KAISER FOUNDATION HOSPITAL - LOS ANGELES #190429,Ambulatory Surgery
