DISPOSITION,Q1 2024,Q2 2024,Q3 2024,Q4 2024,Facility,Report
Discharged/Transferred to skilled nursing facility (SNF) with Medicare certification in anticipation of covered skilled care,6,10,14,11,EDEN MEDICAL CENTER #014233,Ambulatory Surgery
Left against medical advice or discontinued care,0,1,0,0,EDEN MEDICAL CENTER #014233,Ambulatory Surgery
Discharged home with hospice care,3,0,5,3,EISENHOWER MEDICAL CENTER #331168,Ambulatory Surgery
Discharged to a medical facility with hospice care,0,0,1,0,EISENHOWER MEDICAL CENTER #331168,Ambulatory Surgery
Discharged to home or self care (routine discharge),5986,6200,5939,5935,EISENHOWER MEDICAL CENTER #331168,Ambulatory Surgery
Discharged/Transferred to a Federal Health Care Facility with a Planned Acute Care Hospital Inpatient Readmission,0,0,0,1,EISENHOWER MEDICAL CENTER #331168,Ambulatory Surgery
"Discharged/Transferred to a nursing facility certified under Medicaid (Medi-Cal), but not certified under Medicare",0,1,0,0,EISENHOWER MEDICAL CENTER #331168,Ambulatory Surgery
Discharged/Transferred to a short term general hospital for inpatient care,3,4,2,11,EISENHOWER MEDICAL CENTER #331168,Ambulatory Surgery
Discharged/Transferred to a Short Term General Hospital for Inpatient Care with a Planned Acute Care Hospital Inpatient Readmission,0,1,0,0,EISENHOWER MEDICAL CENTER #331168,Ambulatory Surgery
Discharged/Transferred to an inpatient rehabilitation facility (IRF) including rehabilitation distinct part unit of a hospital,7,5,3,7,EISENHOWER MEDICAL CENTER #331168,Ambulatory Surgery
Discharged/Transferred to Home or Self Care with a Planned Acute Care Hospital Inpatient Readmission,0,2,3,1,EISENHOWER MEDICAL CENTER #331168,Ambulatory Surgery
Discharged/Transferred to home under care of organized home health service organization in anticipation of covered skilled care,455,452,395,414,EISENHOWER MEDICAL CENTER #331168,Ambulatory Surgery
Discharged/Transferred to skilled nursing facility (SNF) with Medicare certification in anticipation of covered skilled care,11,12,13,12,EISENHOWER MEDICAL CENTER #331168,Ambulatory Surgery
Discharged home with hospice care,0,0,0,2,EL CAMINO HEALTH #430763,Ambulatory Surgery
Discharged to home or self care (routine discharge),4315,4304,4499,4574,EL CAMINO HEALTH #430763,Ambulatory Surgery
Discharged/Transferred to a Critical Access Hospital (CAH),1,0,0,0,EL CAMINO HEALTH #430763,Ambulatory Surgery
Discharged/Transferred to a Medicare certified long term care hospital (LTCH),2,1,2,1,EL CAMINO HEALTH #430763,Ambulatory Surgery
"Discharged/Transferred to a nursing facility certified under Medicaid (Medi-Cal), but not certified under Medicare",4,0,0,2,EL CAMINO HEALTH #430763,Ambulatory Surgery
Discharged/Transferred to a short term general hospital for inpatient care,0,0,0,1,EL CAMINO HEALTH #430763,Ambulatory Surgery
Discharged/Transferred to an inpatient rehabilitation facility (IRF) including rehabilitation distinct part unit of a hospital,2,0,2,2,EL CAMINO HEALTH #430763,Ambulatory Surgery
Discharged/Transferred to home under care of organized home health service organization in anticipation of covered skilled care,10,9,3,146,EL CAMINO HEALTH #430763,Ambulatory Surgery
Discharged/Transferred to skilled nursing facility (SNF) with Medicare certification in anticipation of covered skilled care,34,20,31,32,EL CAMINO HEALTH #430763,Ambulatory Surgery
Left against medical advice or discontinued care,1,1,1,0,EL CAMINO HEALTH #430763,Ambulatory Surgery
Discharged to home or self care (routine discharge),1075,1091,1000,975,EL CENTRO REGIONAL MEDICAL CENTER #130699,Ambulatory Surgery
Discharged/Transferred to a facility that provides custodial or supportive care (includes intermediate care facility) with a Planned Acute Care Hospital Inpatient Readmission,0,0,0,1,EL CENTRO REGIONAL MEDICAL CENTER #130699,Ambulatory Surgery
Discharged/Transferred to a federal health care facility,0,0,0,2,EL CENTRO REGIONAL MEDICAL CENTER #130699,Ambulatory Surgery
Discharged/Transferred to a short term general hospital for inpatient care,0,0,0,1,EL CENTRO REGIONAL MEDICAL CENTER #130699,Ambulatory Surgery
Discharged/Transferred to Court/Law Enforcement,0,1,0,2,EL CENTRO REGIONAL MEDICAL CENTER #130699,Ambulatory Surgery
Discharged/Transferred to Home or Self Care with a Planned Acute Care Hospital Inpatient Readmission,0,0,0,1,EL CENTRO REGIONAL MEDICAL CENTER #130699,Ambulatory Surgery
Discharged/Transferred to home under care of organized home health service organization in anticipation of covered skilled care,0,0,0,4,EL CENTRO REGIONAL MEDICAL CENTER #130699,Ambulatory Surgery
Discharged to home or self care (routine discharge),895,872,874,819,EMANATE HEALTH FOOTHILL PRESBYTERIAN HOSPITAL #190298,Ambulatory Surgery
Discharged/Transferred to a facility that provides custodial or supportive care (includes Intermediate Care Facility),5,0,0,0,EMANATE HEALTH FOOTHILL PRESBYTERIAN HOSPITAL #190298,Ambulatory Surgery
Discharged/Transferred to a short term general hospital for inpatient care,1,0,0,0,EMANATE HEALTH FOOTHILL PRESBYTERIAN HOSPITAL #190298,Ambulatory Surgery
Discharged/Transferred to home under care of organized home health service organization in anticipation of covered skilled care,4,6,6,11,EMANATE HEALTH FOOTHILL PRESBYTERIAN HOSPITAL #190298,Ambulatory Surgery
Discharged/Transferred to skilled nursing facility (SNF) with Medicare certification in anticipation of covered skilled care,0,1,0,1,EMANATE HEALTH FOOTHILL PRESBYTERIAN HOSPITAL #190298,Ambulatory Surgery
Left against medical advice or discontinued care,0,0,0,2,EMANATE HEALTH FOOTHILL PRESBYTERIAN HOSPITAL #190298,Ambulatory Surgery
Discharged to home or self care (routine discharge),579,575,589,584,EMANATE HEALTH INTER-COMMUNITY HOSPITAL #190413,Ambulatory Surgery
Discharged/Transferred to a facility that provides custodial or supportive care (includes Intermediate Care Facility),1,0,0,0,EMANATE HEALTH INTER-COMMUNITY HOSPITAL #190413,Ambulatory Surgery
Discharged/Transferred to a short term general hospital for inpatient care,0,0,2,0,EMANATE HEALTH INTER-COMMUNITY HOSPITAL #190413,Ambulatory Surgery
Discharged/Transferred to home under care of organized home health service organization in anticipation of covered skilled care,12,26,36,25,EMANATE HEALTH INTER-COMMUNITY HOSPITAL #190413,Ambulatory Surgery
Discharged/Transferred to skilled nursing facility (SNF) with Medicare certification in anticipation of covered skilled care,1,4,4,3,EMANATE HEALTH INTER-COMMUNITY HOSPITAL #190413,Ambulatory Surgery
Left against medical advice or discontinued care,0,0,0,2,EMANATE HEALTH INTER-COMMUNITY HOSPITAL #190413,Ambulatory Surgery
Discharged to home or self care (routine discharge),1109,1256,1280,1287,EMANATE HEALTH QUEEN OF THE VALLEY HOSPITAL #190636,Ambulatory Surgery
Discharged/Transferred to a facility that provides custodial or supportive care (includes Intermediate Care Facility),3,0,0,0,EMANATE HEALTH QUEEN OF THE VALLEY HOSPITAL #190636,Ambulatory Surgery
Discharged/Transferred to an inpatient rehabilitation facility (IRF) including rehabilitation distinct part unit of a hospital,0,0,2,0,EMANATE HEALTH QUEEN OF THE VALLEY HOSPITAL #190636,Ambulatory Surgery
Discharged/Transferred to home under care of organized home health service organization in anticipation of covered skilled care,11,64,63,59,EMANATE HEALTH QUEEN OF THE VALLEY HOSPITAL #190636,Ambulatory Surgery
Discharged/Transferred to skilled nursing facility (SNF) with Medicare certification in anticipation of covered skilled care,4,0,4,0,EMANATE HEALTH QUEEN OF THE VALLEY HOSPITAL #190636,Ambulatory Surgery
Left against medical advice or discontinued care,0,1,1,1,EMANATE HEALTH QUEEN OF THE VALLEY HOSPITAL #190636,Ambulatory Surgery
Discharged home with hospice care,0,0,0,1,EMANUEL MEDICAL CENTER #500867,Ambulatory Surgery
Discharged to home or self care (routine discharge),1751,1808,1869,1803,EMANUEL MEDICAL CENTER #500867,Ambulatory Surgery
Discharged/Transferred to a designated Cancer Center or Children's Hospital,0,1,0,0,EMANUEL MEDICAL CENTER #500867,Ambulatory Surgery
Discharged/Transferred to a short term general hospital for inpatient care,0,1,0,1,EMANUEL MEDICAL CENTER #500867,Ambulatory Surgery
Discharged/Transferred to home under care of organized home health service organization in anticipation of covered skilled care,5,5,4,0,EMANUEL MEDICAL CENTER #500867,Ambulatory Surgery
Discharged/Transferred to home under care of organized home health service organization with a Planned Acute Care Hospital Inpatient Readmission,1,0,1,0,EMANUEL MEDICAL CENTER #500867,Ambulatory Surgery
Discharged/Transferred to skilled nursing facility (SNF) with Medicare certification in anticipation of covered skilled care,2,0,0,0,EMANUEL MEDICAL CENTER #500867,Ambulatory Surgery
Error/Unknown,0,0,1,0,EMANUEL MEDICAL CENTER #500867,Ambulatory Surgery
Left against medical advice or discontinued care,3,0,0,0,EMANUEL MEDICAL CENTER #500867,Ambulatory Surgery
Discharged to home or self care (routine discharge),26,18,27,12,ENCINO HOSPITAL MEDICAL CENTER #190280,Ambulatory Surgery
Discharged home with hospice care,3,0,3,1,ENLOE HEALTH #040962,Ambulatory Surgery
Discharged to a medical facility with hospice care,0,1,1,0,ENLOE HEALTH #040962,Ambulatory Surgery
Discharged to home or self care (routine discharge),4330,4679,4840,4765,ENLOE HEALTH #040962,Ambulatory Surgery
Discharged/Transferred to a facility that provides custodial or supportive care (includes Intermediate Care Facility),4,3,2,2,ENLOE HEALTH #040962,Ambulatory Surgery
Discharged/Transferred to a Medicare certified long term care hospital (LTCH),0,1,1,3,ENLOE HEALTH #040962,Ambulatory Surgery
"Discharged/Transferred to a nursing facility certified under Medicaid (Medi-Cal), but not certified under Medicare",0,0,0,2,ENLOE HEALTH #040962,Ambulatory Surgery
Discharged/Transferred to a psychiatric hospital or psychiatric distinct part unit of a hospital,0,0,0,1,ENLOE HEALTH #040962,Ambulatory Surgery
Discharged/Transferred to a short term general hospital for inpatient care,3,3,4,6,ENLOE HEALTH #040962,Ambulatory Surgery
Discharged/Transferred to an inpatient rehabilitation facility (IRF) including rehabilitation distinct part unit of a hospital,1,1,1,0,ENLOE HEALTH #040962,Ambulatory Surgery
Discharged/Transferred to home under care of organized home health service organization in anticipation of covered skilled care,204,222,187,188,ENLOE HEALTH #040962,Ambulatory Surgery
Discharged/Transferred to skilled nursing facility (SNF) with Medicare certification in anticipation of covered skilled care,3,4,3,5,ENLOE HEALTH #040962,Ambulatory Surgery
Expired,0,0,1,1,ENLOE HEALTH #040962,Ambulatory Surgery
Other,2,2,2,4,ENLOE HEALTH #040962,Ambulatory Surgery
Discharged to home or self care (routine discharge),813,916,1020,1039,FAIRCHILD MEDICAL CENTER #474007,Ambulatory Surgery
Discharged/Transferred to a short term general hospital for inpatient care,2,0,3,0,FAIRCHILD MEDICAL CENTER #474007,Ambulatory Surgery
Discharged/Transferred to another type of health care institution not defined elsewhere in this code list,1,0,0,0,FAIRCHILD MEDICAL CENTER #474007,Ambulatory Surgery
Discharged/Transferred to home under care of organized home health service organization in anticipation of covered skilled care,18,3,6,9,FAIRCHILD MEDICAL CENTER #474007,Ambulatory Surgery
Left against medical advice or discontinued care,2,1,1,0,FAIRCHILD MEDICAL CENTER #474007,Ambulatory Surgery
Other,0,3,1,0,FAIRCHILD MEDICAL CENTER #474007,Ambulatory Surgery
Discharged to home or self care (routine discharge),366,324,274,277,FOOTHILL REGIONAL MEDICAL CENTER #301357,Ambulatory Surgery
Discharged/Transferred to another type of health care institution not defined elsewhere in this code list,0,0,2,0,FOOTHILL REGIONAL MEDICAL CENTER #301357,Ambulatory Surgery
Discharged/Transferred to skilled nursing facility (SNF) with Medicare certification in anticipation of covered skilled care,0,0,0,1,FOOTHILL REGIONAL MEDICAL CENTER #301357,Ambulatory Surgery
Discharged home with hospice care,1,0,0,0,FRENCH HOSPITAL MEDICAL CENTER #400480,Ambulatory Surgery
Discharged to home or self care (routine discharge),1602,1569,1470,1632,FRENCH HOSPITAL MEDICAL CENTER #400480,Ambulatory Surgery
Discharged/Transferred to a Medicare certified long term care hospital (LTCH),0,0,1,0,FRENCH HOSPITAL MEDICAL CENTER #400480,Ambulatory Surgery
Discharged/Transferred to a psychiatric hospital or psychiatric distinct part unit of a hospital,0,0,2,0,FRENCH HOSPITAL MEDICAL CENTER #400480,Ambulatory Surgery
Discharged/Transferred to a short term general hospital for inpatient care,4,2,2,2,FRENCH HOSPITAL MEDICAL CENTER #400480,Ambulatory Surgery
Discharged/Transferred to an inpatient rehabilitation facility (IRF) including rehabilitation distinct part unit of a hospital,1,0,0,0,FRENCH HOSPITAL MEDICAL CENTER #400480,Ambulatory Surgery
Discharged/Transferred to Court/Law Enforcement,1,1,0,1,FRENCH HOSPITAL MEDICAL CENTER #400480,Ambulatory Surgery
Discharged/Transferred to home under care of organized home health service organization in anticipation of covered skilled care,12,19,14,9,FRENCH HOSPITAL MEDICAL CENTER #400480,Ambulatory Surgery
Discharged/Transferred to skilled nursing facility (SNF) with Medicare certification in anticipation of covered skilled care,5,0,0,1,FRENCH HOSPITAL MEDICAL CENTER #400480,Ambulatory Surgery
Left against medical advice or discontinued care,1,3,2,0,FRENCH HOSPITAL MEDICAL CENTER #400480,Ambulatory Surgery
Discharged to home or self care (routine discharge),1430,1358,1396,1147,FRESNO DENTAL SURGERY CENTER - A VALLARINE DENTAL PRACTICE #105047,Ambulatory Surgery
Discharged to home or self care (routine discharge),1538,1540,1402,1430,FRESNO SURGICAL HOSPITAL #104047,Ambulatory Surgery
Discharged/Transferred to a Medicare certified long term care hospital (LTCH),0,1,0,0,FRESNO SURGICAL HOSPITAL #104047,Ambulatory Surgery
Discharged/Transferred to a short term general hospital for inpatient care,3,2,2,2,FRESNO SURGICAL HOSPITAL #104047,Ambulatory Surgery
Discharged/Transferred to an inpatient rehabilitation facility (IRF) including rehabilitation distinct part unit of a hospital,9,9,10,7,FRESNO SURGICAL HOSPITAL #104047,Ambulatory Surgery
Discharged/Transferred to home under care of organized home health service organization in anticipation of covered skilled care,5,9,5,8,FRESNO SURGICAL HOSPITAL #104047,Ambulatory Surgery
Discharged/Transferred to skilled nursing facility (SNF) with Medicare certification in anticipation of covered skilled care,3,6,7,1,FRESNO SURGICAL HOSPITAL #104047,Ambulatory Surgery
Left against medical advice or discontinued care,0,0,1,0,FRESNO SURGICAL HOSPITAL #104047,Ambulatory Surgery
Discharged to home or self care (routine discharge),48,18,16,12,GARDEN GROVE HOSPITAL AND MEDICAL CENTER #301283,Ambulatory Surgery
Discharged/Transferred to a facility that provides custodial or supportive care (includes Intermediate Care Facility),0,0,2,0,GARDEN GROVE HOSPITAL AND MEDICAL CENTER #301283,Ambulatory Surgery
Discharged/Transferred to another type of health care institution not defined elsewhere in this code list,0,0,1,0,GARDEN GROVE HOSPITAL AND MEDICAL CENTER #301283,Ambulatory Surgery
Discharged/Transferred to home under care of organized home health service organization in anticipation of covered skilled care,1,0,0,0,GARDEN GROVE HOSPITAL AND MEDICAL CENTER #301283,Ambulatory Surgery
Discharged/Transferred to skilled nursing facility (SNF) with Medicare certification in anticipation of covered skilled care,0,1,0,0,GARDEN GROVE HOSPITAL AND MEDICAL CENTER #301283,Ambulatory Surgery
Discharged to home or self care (routine discharge),828,889,896,813,GARFIELD MEDICAL CENTER #190315,Ambulatory Surgery
"Discharged/Transferred to a nursing facility certified under Medicaid (Medi-Cal), but not certified under Medicare",0,0,1,0,GARFIELD MEDICAL CENTER #190315,Ambulatory Surgery
Discharged/Transferred to Home or Self Care with a Planned Acute Care Hospital Inpatient Readmission,1,0,0,0,GARFIELD MEDICAL CENTER #190315,Ambulatory Surgery
Discharged/Transferred to home under care of organized home health service organization in anticipation of covered skilled care,7,7,2,6,GARFIELD MEDICAL CENTER #190315,Ambulatory Surgery
Discharged/Transferred to home under care of organized home health service organization with a Planned Acute Care Hospital Inpatient Readmission,2,3,0,0,GARFIELD MEDICAL CENTER #190315,Ambulatory Surgery
Discharged/Transferred to skilled nursing facility (SNF) with Medicare certification in anticipation of covered skilled care,4,5,1,2,GARFIELD MEDICAL CENTER #190315,Ambulatory Surgery
Left against medical advice or discontinued care,1,2,1,1,GARFIELD MEDICAL CENTER #190315,Ambulatory Surgery
Discharged to home or self care (routine discharge),292,246,312,318,GEORGE L. MEE MEMORIAL HOSPITAL #270777,Ambulatory Surgery
Discharged/Transferred to a Federal Health Care Facility with a Planned Acute Care Hospital Inpatient Readmission,0,5,1,5,GEORGE L. MEE MEMORIAL HOSPITAL #270777,Ambulatory Surgery
Discharged/Transferred to Court/Law Enforcement,16,12,14,0,GEORGE L. MEE MEMORIAL HOSPITAL #270777,Ambulatory Surgery
Discharged/Transferred to home under care of organized home health service organization in anticipation of covered skilled care,0,0,0,1,GEORGE L. MEE MEMORIAL HOSPITAL #270777,Ambulatory Surgery
Discharged/Transferred to skilled nursing facility (SNF) with Medicare certification in anticipation of covered skilled care,0,0,1,3,GEORGE L. MEE MEMORIAL HOSPITAL #270777,Ambulatory Surgery
Not Provided/Blank,0,0,0,1,GEORGE L. MEE MEMORIAL HOSPITAL #270777,Ambulatory Surgery
Other,1,0,0,0,GEORGE L. MEE MEMORIAL HOSPITAL #270777,Ambulatory Surgery
Discharged home with hospice care,1,0,0,0,GLENDALE MEMORIAL HOSPITAL AND HEALTH CENTER #190522,Ambulatory Surgery
Discharged to home or self care (routine discharge),1250,1363,1407,1413,GLENDALE MEMORIAL HOSPITAL AND HEALTH CENTER #190522,Ambulatory Surgery
Discharged/Transferred to a short term general hospital for inpatient care,2,1,1,0,GLENDALE MEMORIAL HOSPITAL AND HEALTH CENTER #190522,Ambulatory Surgery
Discharged/Transferred to an inpatient rehabilitation facility (IRF) including rehabilitation distinct part unit of a hospital,3,1,1,0,GLENDALE MEMORIAL HOSPITAL AND HEALTH CENTER #190522,Ambulatory Surgery
Discharged/Transferred to another type of health care institution not defined elsewhere in this code list,0,0,2,0,GLENDALE MEMORIAL HOSPITAL AND HEALTH CENTER #190522,Ambulatory Surgery
Discharged/Transferred to home under care of organized home health service organization in anticipation of covered skilled care,30,31,20,22,GLENDALE MEMORIAL HOSPITAL AND HEALTH CENTER #190522,Ambulatory Surgery
Discharged/Transferred to skilled nursing facility (SNF) with Medicare certification in anticipation of covered skilled care,11,5,8,4,GLENDALE MEMORIAL HOSPITAL AND HEALTH CENTER #190522,Ambulatory Surgery
Left against medical advice or discontinued care,2,2,3,2,GLENDALE MEMORIAL HOSPITAL AND HEALTH CENTER #190522,Ambulatory Surgery
Discharged to a medical facility with hospice care,0,1,0,1,GOLETA VALLEY COTTAGE HOSPITAL #420483,Ambulatory Surgery
Discharged to home or self care (routine discharge),489,454,396,410,GOLETA VALLEY COTTAGE HOSPITAL #420483,Ambulatory Surgery
Discharged/Transferred to a facility that provides custodial or supportive care (includes Intermediate Care Facility),1,0,0,0,GOLETA VALLEY COTTAGE HOSPITAL #420483,Ambulatory Surgery
"Discharged/Transferred to a nursing facility certified under Medicaid (Medi-Cal), but not certified under Medicare",0,1,0,0,GOLETA VALLEY COTTAGE HOSPITAL #420483,Ambulatory Surgery
Discharged/Transferred to a short term general hospital for inpatient care,1,2,0,4,GOLETA VALLEY COTTAGE HOSPITAL #420483,Ambulatory Surgery
Discharged/Transferred to an inpatient rehabilitation facility (IRF) including rehabilitation distinct part unit of a hospital,3,0,4,2,GOLETA VALLEY COTTAGE HOSPITAL #420483,Ambulatory Surgery
Discharged/Transferred to home under care of organized home health service organization in anticipation of covered skilled care,96,104,93,102,GOLETA VALLEY COTTAGE HOSPITAL #420483,Ambulatory Surgery
Discharged/Transferred to skilled nursing facility (SNF) with Medicare certification in anticipation of covered skilled care,3,6,9,3,GOLETA VALLEY COTTAGE HOSPITAL #420483,Ambulatory Surgery
Discharged to home or self care (routine discharge),21,24,20,22,GOOD SAMARITAN HOSPITAL-BAKERSFIELD #150775,Ambulatory Surgery
Discharged/Transferred to a Medicare certified long term care hospital (LTCH),0,0,0,1,GOOD SAMARITAN HOSPITAL-BAKERSFIELD #150775,Ambulatory Surgery
Discharged/Transferred to a short term general hospital for inpatient care,0,0,1,0,GOOD SAMARITAN HOSPITAL-BAKERSFIELD #150775,Ambulatory Surgery
Discharged to home or self care (routine discharge),2146,2290,2153,2307,GOOD SAMARITAN HOSPITAL-SAN JOSE #430779,Ambulatory Surgery
Discharged/Transferred to a facility that provides custodial or supportive care (includes Intermediate Care Facility),0,2,0,0,GOOD SAMARITAN HOSPITAL-SAN JOSE #430779,Ambulatory Surgery
Discharged/Transferred to Home or Self Care with a Planned Acute Care Hospital Inpatient Readmission,1,1,3,0,GOOD SAMARITAN HOSPITAL-SAN JOSE #430779,Ambulatory Surgery
Discharged/Transferred to home under care of organized home health service organization in anticipation of covered skilled care,0,1,5,1,GOOD SAMARITAN HOSPITAL-SAN JOSE #430779,Ambulatory Surgery
Discharged/Transferred to skilled nursing facility (SNF) with Medicare certification in anticipation of covered skilled care,1,0,4,5,GOOD SAMARITAN HOSPITAL-SAN JOSE #430779,Ambulatory Surgery
Expired,1,0,0,1,GOOD SAMARITAN HOSPITAL-SAN JOSE #430779,Ambulatory Surgery
Other,0,0,0,1,GOOD SAMARITAN HOSPITAL-SAN JOSE #430779,Ambulatory Surgery
Discharged to home or self care (routine discharge),265,219,291,247,GRACE SURGERY CENTER #424085,Ambulatory Surgery
Discharged to home or self care (routine discharge),6,9,15,12,GREATER EL MONTE COMMUNITY HOSPITAL #190352,Ambulatory Surgery
Discharged to home or self care (routine discharge),3244,3595,3682,3539,GROSSMONT HOSPITAL #370714,Ambulatory Surgery
Discharged/Transferred to a facility that provides custodial or supportive care (includes Intermediate Care Facility),0,0,0,1,GROSSMONT HOSPITAL #370714,Ambulatory Surgery
Discharged/Transferred to a Medicare certified long term care hospital (LTCH),1,0,0,0,GROSSMONT HOSPITAL #370714,Ambulatory Surgery
"Discharged/Transferred to a nursing facility certified under Medicaid (Medi-Cal), but not certified under Medicare",1,0,0,0,GROSSMONT HOSPITAL #370714,Ambulatory Surgery
Discharged/Transferred to a psychiatric hospital or psychiatric distinct part unit of a hospital,2,0,0,0,GROSSMONT HOSPITAL #370714,Ambulatory Surgery
Discharged/Transferred to a short term general hospital for inpatient care,1,0,1,0,GROSSMONT HOSPITAL #370714,Ambulatory Surgery
Discharged/Transferred to an inpatient rehabilitation facility (IRF) including rehabilitation distinct part unit of a hospital,0,0,0,1,GROSSMONT HOSPITAL #370714,Ambulatory Surgery
Discharged/Transferred to another type of health care institution not defined elsewhere in this code list with a Planned Acute Care Hospital Inpatient Readmission,4,0,0,0,GROSSMONT HOSPITAL #370714,Ambulatory Surgery
Discharged/Transferred to home under care of organized home health service organization in anticipation of covered skilled care,1,1,2,6,GROSSMONT HOSPITAL #370714,Ambulatory Surgery
Discharged/Transferred to skilled nursing facility (SNF) with Medicare certification in anticipation of covered skilled care,3,6,8,8,GROSSMONT HOSPITAL #370714,Ambulatory Surgery
Error/Unknown,0,1,0,0,GROSSMONT HOSPITAL #370714,Ambulatory Surgery
Left against medical advice or discontinued care,0,4,1,2,GROSSMONT HOSPITAL #370714,Ambulatory Surgery
Discharged to home or self care (routine discharge),630,758,742,681,"HAPY BEAR SURGERY, LLC #544086",Ambulatory Surgery
Discharged to home or self care (routine discharge),336,391,406,402,HAZEL HAWKINS MEMORIAL HOSPITAL #350784,Ambulatory Surgery
Other,0,1,0,0,HAZEL HAWKINS MEMORIAL HOSPITAL #350784,Ambulatory Surgery
Discharged to home or self care (routine discharge),206,256,221,193,HEALDSBURG HOSPITAL #490964,Ambulatory Surgery
Discharged/Transferred to a hospital-based Medicare approved swing bed,0,1,0,0,HEALDSBURG HOSPITAL #490964,Ambulatory Surgery
Discharged/Transferred to home under care of organized home health service organization in anticipation of covered skilled care,6,7,3,4,HEALDSBURG HOSPITAL #490964,Ambulatory Surgery
Discharged/Transferred to skilled nursing facility (SNF) with Medicare certification in anticipation of covered skilled care,1,0,0,0,HEALDSBURG HOSPITAL #490964,Ambulatory Surgery
Discharged to home or self care (routine discharge),256,224,217,164,HEMET GLOBAL MEDICAL CENTER #331194,Ambulatory Surgery
Discharged/Transferred to a facility that provides custodial or supportive care (includes Intermediate Care Facility),1,1,0,0,HEMET GLOBAL MEDICAL CENTER #331194,Ambulatory Surgery
Discharged/Transferred to a Medicare certified long term care hospital (LTCH),0,1,0,1,HEMET GLOBAL MEDICAL CENTER #331194,Ambulatory Surgery
Discharged/Transferred to a short term general hospital for inpatient care,0,2,1,0,HEMET GLOBAL MEDICAL CENTER #331194,Ambulatory Surgery
Discharged/Transferred to another type of health care institution not defined elsewhere in this code list,0,1,0,0,HEMET GLOBAL MEDICAL CENTER #331194,Ambulatory Surgery
Discharged/Transferred to home under care of organized home health service organization in anticipation of covered skilled care,2,2,1,0,HEMET GLOBAL MEDICAL CENTER #331194,Ambulatory Surgery
Discharged/Transferred to skilled nursing facility (SNF) with Medicare certification in anticipation of covered skilled care,8,4,9,2,HEMET GLOBAL MEDICAL CENTER #331194,Ambulatory Surgery
Not Provided/Blank,1,0,0,0,HEMET GLOBAL MEDICAL CENTER #331194,Ambulatory Surgery
Discharged home with hospice care,0,0,0,1,HENRY MAYO NEWHALL HOSPITAL #190949,Ambulatory Surgery
Discharged to home or self care (routine discharge),1016,1096,1201,1174,HENRY MAYO NEWHALL HOSPITAL #190949,Ambulatory Surgery
Discharged/Transferred to a facility that provides custodial or supportive care (includes Intermediate Care Facility),2,1,0,1,HENRY MAYO NEWHALL HOSPITAL #190949,Ambulatory Surgery
Discharged/Transferred to a short term general hospital for inpatient care,2,1,1,6,HENRY MAYO NEWHALL HOSPITAL #190949,Ambulatory Surgery
Discharged/Transferred to an inpatient rehabilitation facility (IRF) including rehabilitation distinct part unit of a hospital,1,0,1,0,HENRY MAYO NEWHALL HOSPITAL #190949,Ambulatory Surgery
Discharged/Transferred to Home or Self Care with a Planned Acute Care Hospital Inpatient Readmission,0,0,1,0,HENRY MAYO NEWHALL HOSPITAL #190949,Ambulatory Surgery
Left against medical advice or discontinued care,1,1,0,0,HENRY MAYO NEWHALL HOSPITAL #190949,Ambulatory Surgery
Discharged to home or self care (routine discharge),91,69,37,39,HI-DESERT MEDICAL CENTER #362041,Ambulatory Surgery
Left against medical advice or discontinued care,0,1,1,1,HI-DESERT MEDICAL CENTER #362041,Ambulatory Surgery
Discharged to home or self care (routine discharge),435,386,323,305,HIGH DESERT HEALTH SYSTEM AMBULATORY SURGICAL CENTER #197943,Ambulatory Surgery
Discharged/Transferred to a designated Disaster Alternative Care Site.,0,2,0,0,HIGH DESERT HEALTH SYSTEM AMBULATORY SURGICAL CENTER #197943,Ambulatory Surgery
Discharged/Transferred to a short term general hospital for inpatient care,2,0,0,0,HIGH DESERT HEALTH SYSTEM AMBULATORY SURGICAL CENTER #197943,Ambulatory Surgery
Discharged/Transferred to home under care of organized home health service organization in anticipation of covered skilled care,0,1,1,0,HIGH DESERT HEALTH SYSTEM AMBULATORY SURGICAL CENTER #197943,Ambulatory Surgery
Discharged home with hospice care,1,0,0,0,HIGHLAND HOSPITAL #010846,Ambulatory Surgery
Discharged to home or self care (routine discharge),1992,1911,2173,1870,HIGHLAND HOSPITAL #010846,Ambulatory Surgery
Discharged/Transferred to a psychiatric hospital or psychiatric distinct part unit of a hospital,1,0,1,0,HIGHLAND HOSPITAL #010846,Ambulatory Surgery
Discharged/Transferred to a short term general hospital for inpatient care,8,1,5,2,HIGHLAND HOSPITAL #010846,Ambulatory Surgery
Discharged/Transferred to an inpatient rehabilitation facility (IRF) including rehabilitation distinct part unit of a hospital,2,0,1,2,HIGHLAND HOSPITAL #010846,Ambulatory Surgery
Discharged/Transferred to another type of health care institution not defined elsewhere in this code list,0,0,0,1,HIGHLAND HOSPITAL #010846,Ambulatory Surgery
Discharged/Transferred to Court/Law Enforcement,8,13,12,13,HIGHLAND HOSPITAL #010846,Ambulatory Surgery
Discharged/Transferred to home under care of organized home health service organization in anticipation of covered skilled care,4,3,7,6,HIGHLAND HOSPITAL #010846,Ambulatory Surgery
Discharged/Transferred to skilled nursing facility (SNF) with Medicare certification in anticipation of covered skilled care,4,4,12,7,HIGHLAND HOSPITAL #010846,Ambulatory Surgery
