PREFERRED LANGUAGE SPOKEN,PREFERRED LANGUAGE SPOKEN_1,Q1 2024,Q2 2024,Q3 2024,Q4 2024,Facility,Report
SPA,Spanish,1,1,1,0,EASTERN PLUMAS HOSPITAL-PORTOLA CAMPUS #320859,Ambulatory Surgery
ARA,Arabic,1,1,3,3,EDEN MEDICAL CENTER #014233,Ambulatory Surgery
BUR,Burmese,0,1,0,0,EDEN MEDICAL CENTER #014233,Ambulatory Surgery
YUE,Cantonese; Yue Chinese,18,30,34,26,EDEN MEDICAL CENTER #014233,Ambulatory Surgery
CHI,Chinese,2,0,2,0,EDEN MEDICAL CENTER #014233,Ambulatory Surgery
ENG,English,554,626,615,590,EDEN MEDICAL CENTER #014233,Ambulatory Surgery
PES,Farsi,5,3,6,2,EDEN MEDICAL CENTER #014233,Ambulatory Surgery
FRE,French,0,1,0,1,EDEN MEDICAL CENTER #014233,Ambulatory Surgery
GER,German,0,0,0,2,EDEN MEDICAL CENTER #014233,Ambulatory Surgery
GUJ,Gujarati,0,0,1,0,EDEN MEDICAL CENTER #014233,Ambulatory Surgery
HIN,Hindi,2,1,4,4,EDEN MEDICAL CENTER #014233,Ambulatory Surgery
JPN,Japanese,1,0,0,3,EDEN MEDICAL CENTER #014233,Ambulatory Surgery
KOR,Korean,1,0,1,0,EDEN MEDICAL CENTER #014233,Ambulatory Surgery
MAL,Malayalam,0,1,0,0,EDEN MEDICAL CENTER #014233,Ambulatory Surgery
CMN,Mandarin,9,9,9,11,EDEN MEDICAL CENTER #014233,Ambulatory Surgery
MKH,Mon-Khmer,1,0,0,1,EDEN MEDICAL CENTER #014233,Ambulatory Surgery
NEP,Nepali,0,0,1,0,EDEN MEDICAL CENTER #014233,Ambulatory Surgery
PAN,Panjabi; Punjabi,5,4,2,3,EDEN MEDICAL CENTER #014233,Ambulatory Surgery
PER,Persian,0,0,2,0,EDEN MEDICAL CENTER #014233,Ambulatory Surgery
POR,Portuguese,0,0,1,0,EDEN MEDICAL CENTER #014233,Ambulatory Surgery
RUM,Romanian,0,0,1,0,EDEN MEDICAL CENTER #014233,Ambulatory Surgery
RUS,Russian,4,2,1,2,EDEN MEDICAL CENTER #014233,Ambulatory Surgery
SGN,Sign Language,0,0,0,1,EDEN MEDICAL CENTER #014233,Ambulatory Surgery
SPA,Spanish,42,60,66,55,EDEN MEDICAL CENTER #014233,Ambulatory Surgery
TGL,Tagalog,1,2,1,5,EDEN MEDICAL CENTER #014233,Ambulatory Surgery
TEL,Telugu,2,1,0,1,EDEN MEDICAL CENTER #014233,Ambulatory Surgery
URD,Urdu,0,2,1,1,EDEN MEDICAL CENTER #014233,Ambulatory Surgery
VIE,Vietnamese,4,7,8,6,EDEN MEDICAL CENTER #014233,Ambulatory Surgery
YOR,Yoruba,0,0,0,1,EDEN MEDICAL CENTER #014233,Ambulatory Surgery
999,Unknown,0,1,0,3,EDEN MEDICAL CENTER #014233,Ambulatory Surgery
AMH,Amharic,0,0,0,1,EISENHOWER MEDICAL CENTER #331168,Ambulatory Surgery
ARA,Arabic,4,0,1,1,EISENHOWER MEDICAL CENTER #331168,Ambulatory Surgery
BAQ,Basque,1,0,0,0,EISENHOWER MEDICAL CENTER #331168,Ambulatory Surgery
BUL,Bulgarian,1,0,0,0,EISENHOWER MEDICAL CENTER #331168,Ambulatory Surgery
CHI,Chinese,2,2,1,1,EISENHOWER MEDICAL CENTER #331168,Ambulatory Surgery
ENG,English,6113,6279,5916,5976,EISENHOWER MEDICAL CENTER #331168,Ambulatory Surgery
FRE,French,0,0,0,2,EISENHOWER MEDICAL CENTER #331168,Ambulatory Surgery
GRE,Greek,0,1,0,0,EISENHOWER MEDICAL CENTER #331168,Ambulatory Surgery
GUJ,Gujarati,0,1,0,1,EISENHOWER MEDICAL CENTER #331168,Ambulatory Surgery
HUN,Hungarian,2,1,0,0,EISENHOWER MEDICAL CENTER #331168,Ambulatory Surgery
KOR,Korean,3,3,0,0,EISENHOWER MEDICAL CENTER #331168,Ambulatory Surgery
PAN,Panjabi; Punjabi,0,1,2,0,EISENHOWER MEDICAL CENTER #331168,Ambulatory Surgery
PER,Persian,1,1,0,1,EISENHOWER MEDICAL CENTER #331168,Ambulatory Surgery
RUM,Romanian,1,1,0,0,EISENHOWER MEDICAL CENTER #331168,Ambulatory Surgery
RUS,Russian,1,0,1,0,EISENHOWER MEDICAL CENTER #331168,Ambulatory Surgery
SGN,Sign Language,2,5,5,4,EISENHOWER MEDICAL CENTER #331168,Ambulatory Surgery
SPA,Spanish,325,376,429,394,EISENHOWER MEDICAL CENTER #331168,Ambulatory Surgery
TGL,Tagalog,2,0,2,1,EISENHOWER MEDICAL CENTER #331168,Ambulatory Surgery
THA,Thai,0,0,1,0,EISENHOWER MEDICAL CENTER #331168,Ambulatory Surgery
UKR,Ukrainian,1,1,1,0,EISENHOWER MEDICAL CENTER #331168,Ambulatory Surgery
URD,Urdu,0,1,0,0,EISENHOWER MEDICAL CENTER #331168,Ambulatory Surgery
VIE,Vietnamese,3,3,2,2,EISENHOWER MEDICAL CENTER #331168,Ambulatory Surgery
999,Unknown,3,1,0,0,EISENHOWER MEDICAL CENTER #331168,Ambulatory Surgery
AMH,Amharic,1,0,2,1,EL CAMINO HEALTH #430763,Ambulatory Surgery
ARA,Arabic,6,1,4,2,EL CAMINO HEALTH #430763,Ambulatory Surgery
BUR,Burmese,2,0,1,0,EL CAMINO HEALTH #430763,Ambulatory Surgery
YUE,Cantonese; Yue Chinese,11,10,15,18,EL CAMINO HEALTH #430763,Ambulatory Surgery
CHI,Chinese,29,24,25,18,EL CAMINO HEALTH #430763,Ambulatory Surgery
HRV,Croatian,0,1,0,0,EL CAMINO HEALTH #430763,Ambulatory Surgery
ENG,English,3971,3934,4034,4267,EL CAMINO HEALTH #430763,Ambulatory Surgery
EPO,Esperanto,0,0,1,0,EL CAMINO HEALTH #430763,Ambulatory Surgery
PES,Farsi,9,8,12,27,EL CAMINO HEALTH #430763,Ambulatory Surgery
FIL,Filipino,1,0,3,0,EL CAMINO HEALTH #430763,Ambulatory Surgery
GER,German,0,0,0,1,EL CAMINO HEALTH #430763,Ambulatory Surgery
GRE,Greek,0,0,0,1,EL CAMINO HEALTH #430763,Ambulatory Surgery
GUJ,Gujarati,0,1,2,0,EL CAMINO HEALTH #430763,Ambulatory Surgery
HEB,Hebrew,0,0,0,1,EL CAMINO HEALTH #430763,Ambulatory Surgery
HIN,Hindi,7,7,10,7,EL CAMINO HEALTH #430763,Ambulatory Surgery
HUN,Hungarian,0,1,0,0,EL CAMINO HEALTH #430763,Ambulatory Surgery
IBO,Igbo,0,0,1,0,EL CAMINO HEALTH #430763,Ambulatory Surgery
ILO,Ilocano; Iloko,0,0,2,0,EL CAMINO HEALTH #430763,Ambulatory Surgery
IND,Indonesian,2,1,0,0,EL CAMINO HEALTH #430763,Ambulatory Surgery
ITA,Italian,1,0,3,0,EL CAMINO HEALTH #430763,Ambulatory Surgery
JPN,Japanese,13,4,15,12,EL CAMINO HEALTH #430763,Ambulatory Surgery
KOR,Korean,8,18,17,16,EL CAMINO HEALTH #430763,Ambulatory Surgery
LAO,Lao,0,1,0,0,EL CAMINO HEALTH #430763,Ambulatory Surgery
MAL,Malayalam,0,1,0,0,EL CAMINO HEALTH #430763,Ambulatory Surgery
CMN,Mandarin,49,55,101,81,EL CAMINO HEALTH #430763,Ambulatory Surgery
MAR,Marathi,0,0,1,1,EL CAMINO HEALTH #430763,Ambulatory Surgery
MKH,Mon-Khmer,1,2,4,1,EL CAMINO HEALTH #430763,Ambulatory Surgery
PAN,Panjabi; Punjabi,3,5,2,3,EL CAMINO HEALTH #430763,Ambulatory Surgery
PUS,Pashto,0,0,1,0,EL CAMINO HEALTH #430763,Ambulatory Surgery
PER,Persian,3,4,1,3,EL CAMINO HEALTH #430763,Ambulatory Surgery
POL,Polish,1,0,2,0,EL CAMINO HEALTH #430763,Ambulatory Surgery
POR,Portuguese,6,6,7,9,EL CAMINO HEALTH #430763,Ambulatory Surgery
RUM,Romanian,1,0,0,0,EL CAMINO HEALTH #430763,Ambulatory Surgery
RUS,Russian,36,29,37,41,EL CAMINO HEALTH #430763,Ambulatory Surgery
SGN,Sign Language,1,0,0,2,EL CAMINO HEALTH #430763,Ambulatory Surgery
SPA,Spanish,118,108,121,133,EL CAMINO HEALTH #430763,Ambulatory Surgery
TGL,Tagalog,9,10,7,13,EL CAMINO HEALTH #430763,Ambulatory Surgery
TEL,Telugu,1,3,3,0,EL CAMINO HEALTH #430763,Ambulatory Surgery
THA,Thai,1,0,1,2,EL CAMINO HEALTH #430763,Ambulatory Surgery
TIR,Tigrinya,1,0,2,1,EL CAMINO HEALTH #430763,Ambulatory Surgery
TUR,Turkish,0,0,3,0,EL CAMINO HEALTH #430763,Ambulatory Surgery
UKR,Ukrainian,6,5,4,4,EL CAMINO HEALTH #430763,Ambulatory Surgery
URD,Urdu,1,1,2,3,EL CAMINO HEALTH #430763,Ambulatory Surgery
VIE,Vietnamese,56,78,71,74,EL CAMINO HEALTH #430763,Ambulatory Surgery
999,Unknown,14,17,21,18,EL CAMINO HEALTH #430763,Ambulatory Surgery
ENG,English,456,406,374,385,EL CENTRO REGIONAL MEDICAL CENTER #130699,Ambulatory Surgery
SPA,Spanish,616,685,625,601,EL CENTRO REGIONAL MEDICAL CENTER #130699,Ambulatory Surgery
999,Unknown,3,1,1,0,EL CENTRO REGIONAL MEDICAL CENTER #130699,Ambulatory Surgery
ARA,Arabic,13,2,8,5,EMANATE HEALTH FOOTHILL PRESBYTERIAN HOSPITAL #190298,Ambulatory Surgery
ARM,Armenian,4,0,2,4,EMANATE HEALTH FOOTHILL PRESBYTERIAN HOSPITAL #190298,Ambulatory Surgery
BUR,Burmese,3,3,2,3,EMANATE HEALTH FOOTHILL PRESBYTERIAN HOSPITAL #190298,Ambulatory Surgery
YUE,Cantonese; Yue Chinese,4,3,2,3,EMANATE HEALTH FOOTHILL PRESBYTERIAN HOSPITAL #190298,Ambulatory Surgery
CHI,Chinese,3,6,4,14,EMANATE HEALTH FOOTHILL PRESBYTERIAN HOSPITAL #190298,Ambulatory Surgery
ENG,English,730,716,716,669,EMANATE HEALTH FOOTHILL PRESBYTERIAN HOSPITAL #190298,Ambulatory Surgery
FIL,Filipino,0,1,1,2,EMANATE HEALTH FOOTHILL PRESBYTERIAN HOSPITAL #190298,Ambulatory Surgery
HIN,Hindi,0,1,0,2,EMANATE HEALTH FOOTHILL PRESBYTERIAN HOSPITAL #190298,Ambulatory Surgery
IND,Indonesian,0,1,0,0,EMANATE HEALTH FOOTHILL PRESBYTERIAN HOSPITAL #190298,Ambulatory Surgery
JPN,Japanese,0,0,0,1,EMANATE HEALTH FOOTHILL PRESBYTERIAN HOSPITAL #190298,Ambulatory Surgery
KOR,Korean,0,1,0,0,EMANATE HEALTH FOOTHILL PRESBYTERIAN HOSPITAL #190298,Ambulatory Surgery
NEP,Nepali,1,0,0,0,EMANATE HEALTH FOOTHILL PRESBYTERIAN HOSPITAL #190298,Ambulatory Surgery
PER,Persian,1,2,0,0,EMANATE HEALTH FOOTHILL PRESBYTERIAN HOSPITAL #190298,Ambulatory Surgery
RUS,Russian,0,0,0,1,EMANATE HEALTH FOOTHILL PRESBYTERIAN HOSPITAL #190298,Ambulatory Surgery
SPA,Spanish,140,139,137,126,EMANATE HEALTH FOOTHILL PRESBYTERIAN HOSPITAL #190298,Ambulatory Surgery
TGL,Tagalog,3,2,5,0,EMANATE HEALTH FOOTHILL PRESBYTERIAN HOSPITAL #190298,Ambulatory Surgery
VIE,Vietnamese,2,1,1,3,EMANATE HEALTH FOOTHILL PRESBYTERIAN HOSPITAL #190298,Ambulatory Surgery
999,Unknown,1,1,2,0,EMANATE HEALTH FOOTHILL PRESBYTERIAN HOSPITAL #190298,Ambulatory Surgery
ARA,Arabic,3,2,7,2,EMANATE HEALTH INTER-COMMUNITY HOSPITAL #190413,Ambulatory Surgery
BUR,Burmese,1,0,0,1,EMANATE HEALTH INTER-COMMUNITY HOSPITAL #190413,Ambulatory Surgery
YUE,Cantonese; Yue Chinese,1,1,1,1,EMANATE HEALTH INTER-COMMUNITY HOSPITAL #190413,Ambulatory Surgery
CHI,Chinese,7,4,6,7,EMANATE HEALTH INTER-COMMUNITY HOSPITAL #190413,Ambulatory Surgery
ENG,English,469,470,480,459,EMANATE HEALTH INTER-COMMUNITY HOSPITAL #190413,Ambulatory Surgery
FIL,Filipino,3,1,1,4,EMANATE HEALTH INTER-COMMUNITY HOSPITAL #190413,Ambulatory Surgery
KOR,Korean,1,0,1,1,EMANATE HEALTH INTER-COMMUNITY HOSPITAL #190413,Ambulatory Surgery
PAN,Panjabi; Punjabi,0,0,0,1,EMANATE HEALTH INTER-COMMUNITY HOSPITAL #190413,Ambulatory Surgery
SPA,Spanish,106,122,127,134,EMANATE HEALTH INTER-COMMUNITY HOSPITAL #190413,Ambulatory Surgery
TGL,Tagalog,1,1,2,0,EMANATE HEALTH INTER-COMMUNITY HOSPITAL #190413,Ambulatory Surgery
THA,Thai,0,2,1,0,EMANATE HEALTH INTER-COMMUNITY HOSPITAL #190413,Ambulatory Surgery
URD,Urdu,0,0,0,1,EMANATE HEALTH INTER-COMMUNITY HOSPITAL #190413,Ambulatory Surgery
VIE,Vietnamese,0,2,3,2,EMANATE HEALTH INTER-COMMUNITY HOSPITAL #190413,Ambulatory Surgery
999,Unknown,1,0,2,1,EMANATE HEALTH INTER-COMMUNITY HOSPITAL #190413,Ambulatory Surgery
ARA,Arabic,6,5,1,7,EMANATE HEALTH QUEEN OF THE VALLEY HOSPITAL #190636,Ambulatory Surgery
ARM,Armenian,3,6,7,6,EMANATE HEALTH QUEEN OF THE VALLEY HOSPITAL #190636,Ambulatory Surgery
BUR,Burmese,0,4,1,0,EMANATE HEALTH QUEEN OF THE VALLEY HOSPITAL #190636,Ambulatory Surgery
YUE,Cantonese; Yue Chinese,3,5,7,9,EMANATE HEALTH QUEEN OF THE VALLEY HOSPITAL #190636,Ambulatory Surgery
CHI,Chinese,22,20,16,16,EMANATE HEALTH QUEEN OF THE VALLEY HOSPITAL #190636,Ambulatory Surgery
ENG,English,831,953,980,990,EMANATE HEALTH QUEEN OF THE VALLEY HOSPITAL #190636,Ambulatory Surgery
FIL,Filipino,1,5,4,2,EMANATE HEALTH QUEEN OF THE VALLEY HOSPITAL #190636,Ambulatory Surgery
GUJ,Gujarati,0,0,3,0,EMANATE HEALTH QUEEN OF THE VALLEY HOSPITAL #190636,Ambulatory Surgery
HIN,Hindi,0,1,2,1,EMANATE HEALTH QUEEN OF THE VALLEY HOSPITAL #190636,Ambulatory Surgery
IND,Indonesian,0,0,0,2,EMANATE HEALTH QUEEN OF THE VALLEY HOSPITAL #190636,Ambulatory Surgery
ITA,Italian,0,0,0,1,EMANATE HEALTH QUEEN OF THE VALLEY HOSPITAL #190636,Ambulatory Surgery
KOR,Korean,1,3,0,1,EMANATE HEALTH QUEEN OF THE VALLEY HOSPITAL #190636,Ambulatory Surgery
NEP,Nepali,0,0,1,0,EMANATE HEALTH QUEEN OF THE VALLEY HOSPITAL #190636,Ambulatory Surgery
POL,Polish,0,0,0,1,EMANATE HEALTH QUEEN OF THE VALLEY HOSPITAL #190636,Ambulatory Surgery
RUS,Russian,0,1,1,0,EMANATE HEALTH QUEEN OF THE VALLEY HOSPITAL #190636,Ambulatory Surgery
SPA,Spanish,249,308,310,303,EMANATE HEALTH QUEEN OF THE VALLEY HOSPITAL #190636,Ambulatory Surgery
TGL,Tagalog,5,4,6,3,EMANATE HEALTH QUEEN OF THE VALLEY HOSPITAL #190636,Ambulatory Surgery
THA,Thai,1,0,1,0,EMANATE HEALTH QUEEN OF THE VALLEY HOSPITAL #190636,Ambulatory Surgery
TUR,Turkish,0,0,1,0,EMANATE HEALTH QUEEN OF THE VALLEY HOSPITAL #190636,Ambulatory Surgery
URD,Urdu,0,1,3,0,EMANATE HEALTH QUEEN OF THE VALLEY HOSPITAL #190636,Ambulatory Surgery
VIE,Vietnamese,5,3,3,3,EMANATE HEALTH QUEEN OF THE VALLEY HOSPITAL #190636,Ambulatory Surgery
999,Unknown,0,2,3,2,EMANATE HEALTH QUEEN OF THE VALLEY HOSPITAL #190636,Ambulatory Surgery
ARA,Arabic,2,7,5,4,EMANUEL MEDICAL CENTER #500867,Ambulatory Surgery
CHI,Chinese,0,2,2,0,EMANUEL MEDICAL CENTER #500867,Ambulatory Surgery
ENG,English,1377,1416,1410,1364,EMANUEL MEDICAL CENTER #500867,Ambulatory Surgery
PES,Farsi,10,11,8,8,EMANUEL MEDICAL CENTER #500867,Ambulatory Surgery
FIL,Filipino,1,0,0,1,EMANUEL MEDICAL CENTER #500867,Ambulatory Surgery
FRE,French,1,0,0,1,EMANUEL MEDICAL CENTER #500867,Ambulatory Surgery
HMN,Hmong,1,0,1,1,EMANUEL MEDICAL CENTER #500867,Ambulatory Surgery
KOR,Korean,0,0,0,1,EMANUEL MEDICAL CENTER #500867,Ambulatory Surgery
LAO,Lao,0,0,2,1,EMANUEL MEDICAL CENTER #500867,Ambulatory Surgery
POR,Portuguese,20,4,16,10,EMANUEL MEDICAL CENTER #500867,Ambulatory Surgery
RUS,Russian,0,0,0,1,EMANUEL MEDICAL CENTER #500867,Ambulatory Surgery
SPA,Spanish,347,365,423,404,EMANUEL MEDICAL CENTER #500867,Ambulatory Surgery
TGL,Tagalog,0,0,1,0,EMANUEL MEDICAL CENTER #500867,Ambulatory Surgery
VIE,Vietnamese,3,1,0,0,EMANUEL MEDICAL CENTER #500867,Ambulatory Surgery
999,Unknown,0,9,7,9,EMANUEL MEDICAL CENTER #500867,Ambulatory Surgery
ENG,English,26,18,25,12,ENCINO HOSPITAL MEDICAL CENTER #190280,Ambulatory Surgery
NAV,Navajo,0,0,1,0,ENCINO HOSPITAL MEDICAL CENTER #190280,Ambulatory Surgery
SPA,Spanish,0,0,1,0,ENCINO HOSPITAL MEDICAL CENTER #190280,Ambulatory Surgery
ARA,Arabic,2,4,0,5,ENLOE HEALTH #040962,Ambulatory Surgery
ARM,Armenian,0,0,1,0,ENLOE HEALTH #040962,Ambulatory Surgery
BEN,Bengali,1,1,0,1,ENLOE HEALTH #040962,Ambulatory Surgery
YUE,Cantonese; Yue Chinese,0,0,0,1,ENLOE HEALTH #040962,Ambulatory Surgery
CHI,Chinese,2,2,5,3,ENLOE HEALTH #040962,Ambulatory Surgery
DUT,Dutch,0,0,0,1,ENLOE HEALTH #040962,Ambulatory Surgery
ENG,English,4279,4622,4689,4621,ENLOE HEALTH #040962,Ambulatory Surgery
FIL,Filipino,0,1,0,0,ENLOE HEALTH #040962,Ambulatory Surgery
GRE,Greek,0,0,0,1,ENLOE HEALTH #040962,Ambulatory Surgery
GUJ,Gujarati,0,2,0,2,ENLOE HEALTH #040962,Ambulatory Surgery
HIN,Hindi,1,0,0,0,ENLOE HEALTH #040962,Ambulatory Surgery
HMN,Hmong,5,4,10,15,ENLOE HEALTH #040962,Ambulatory Surgery
JPN,Japanese,1,0,0,0,ENLOE HEALTH #040962,Ambulatory Surgery
KOR,Korean,1,2,1,0,ENLOE HEALTH #040962,Ambulatory Surgery
LAO,Lao,1,2,2,2,ENLOE HEALTH #040962,Ambulatory Surgery
CMN,Mandarin,0,0,0,3,ENLOE HEALTH #040962,Ambulatory Surgery
IUM,Mien; lu Mien,1,0,0,0,ENLOE HEALTH #040962,Ambulatory Surgery
PAN,Panjabi; Punjabi,5,3,10,6,ENLOE HEALTH #040962,Ambulatory Surgery
PUS,Pashto,0,0,0,1,ENLOE HEALTH #040962,Ambulatory Surgery
PER,Persian,4,2,2,1,ENLOE HEALTH #040962,Ambulatory Surgery
POR,Portuguese,1,0,3,4,ENLOE HEALTH #040962,Ambulatory Surgery
RUS,Russian,0,1,2,2,ENLOE HEALTH #040962,Ambulatory Surgery
SGN,Sign Language,1,0,0,1,ENLOE HEALTH #040962,Ambulatory Surgery
SPA,Spanish,242,259,308,295,ENLOE HEALTH #040962,Ambulatory Surgery
TGL,Tagalog,0,0,0,1,ENLOE HEALTH #040962,Ambulatory Surgery
TEL,Telugu,0,0,1,0,ENLOE HEALTH #040962,Ambulatory Surgery
URD,Urdu,0,0,1,0,ENLOE HEALTH #040962,Ambulatory Surgery
VIE,Vietnamese,1,1,1,2,ENLOE HEALTH #040962,Ambulatory Surgery
999,Unknown,2,10,9,10,ENLOE HEALTH #040962,Ambulatory Surgery
ENG,English,822,908,1006,1027,FAIRCHILD MEDICAL CENTER #474007,Ambulatory Surgery
HMN,Hmong,1,0,7,4,FAIRCHILD MEDICAL CENTER #474007,Ambulatory Surgery
CMN,Mandarin,1,0,0,0,FAIRCHILD MEDICAL CENTER #474007,Ambulatory Surgery
RUS,Russian,1,0,1,1,FAIRCHILD MEDICAL CENTER #474007,Ambulatory Surgery
SGN,Sign Language,1,0,0,1,FAIRCHILD MEDICAL CENTER #474007,Ambulatory Surgery
SPA,Spanish,6,14,12,10,FAIRCHILD MEDICAL CENTER #474007,Ambulatory Surgery
THA,Thai,0,1,0,1,FAIRCHILD MEDICAL CENTER #474007,Ambulatory Surgery
999,Unknown,4,0,5,4,FAIRCHILD MEDICAL CENTER #474007,Ambulatory Surgery
ARA,Arabic,1,0,0,2,FOOTHILL REGIONAL MEDICAL CENTER #301357,Ambulatory Surgery
CHI,Chinese,0,0,0,1,FOOTHILL REGIONAL MEDICAL CENTER #301357,Ambulatory Surgery
ENG,English,269,217,167,175,FOOTHILL REGIONAL MEDICAL CENTER #301357,Ambulatory Surgery
RUS,Russian,2,1,0,1,FOOTHILL REGIONAL MEDICAL CENTER #301357,Ambulatory Surgery
SPA,Spanish,86,102,109,92,FOOTHILL REGIONAL MEDICAL CENTER #301357,Ambulatory Surgery
TGL,Tagalog,1,0,0,0,FOOTHILL REGIONAL MEDICAL CENTER #301357,Ambulatory Surgery
VIE,Vietnamese,6,4,0,7,FOOTHILL REGIONAL MEDICAL CENTER #301357,Ambulatory Surgery
999,Unknown,1,0,0,0,FOOTHILL REGIONAL MEDICAL CENTER #301357,Ambulatory Surgery
ARA,Arabic,0,1,0,0,FRENCH HOSPITAL MEDICAL CENTER #400480,Ambulatory Surgery
BEN,Bengali,0,1,0,0,FRENCH HOSPITAL MEDICAL CENTER #400480,Ambulatory Surgery
CHI,Chinese,0,0,1,1,FRENCH HOSPITAL MEDICAL CENTER #400480,Ambulatory Surgery
ENG,English,1596,1554,1449,1604,FRENCH HOSPITAL MEDICAL CENTER #400480,Ambulatory Surgery
FRE,French,0,0,1,0,FRENCH HOSPITAL MEDICAL CENTER #400480,Ambulatory Surgery
HIN,Hindi,1,0,0,0,FRENCH HOSPITAL MEDICAL CENTER #400480,Ambulatory Surgery
CMN,Mandarin,1,0,0,0,FRENCH HOSPITAL MEDICAL CENTER #400480,Ambulatory Surgery
MKH,Mon-Khmer,0,0,0,1,FRENCH HOSPITAL MEDICAL CENTER #400480,Ambulatory Surgery
POR,Portuguese,0,0,1,0,FRENCH HOSPITAL MEDICAL CENTER #400480,Ambulatory Surgery
RUS,Russian,1,1,0,1,FRENCH HOSPITAL MEDICAL CENTER #400480,Ambulatory Surgery
SPA,Spanish,25,32,33,37,FRENCH HOSPITAL MEDICAL CENTER #400480,Ambulatory Surgery
TGL,Tagalog,0,1,1,0,FRENCH HOSPITAL MEDICAL CENTER #400480,Ambulatory Surgery
THA,Thai,0,0,1,0,FRENCH HOSPITAL MEDICAL CENTER #400480,Ambulatory Surgery
999,Unknown,3,4,4,1,FRENCH HOSPITAL MEDICAL CENTER #400480,Ambulatory Surgery
ARA,Arabic,0,0,5,0,FRESNO DENTAL SURGERY CENTER - A VALLARINE DENTAL PRACTICE #105047,Ambulatory Surgery
ENG,English,953,978,899,709,FRESNO DENTAL SURGERY CENTER - A VALLARINE DENTAL PRACTICE #105047,Ambulatory Surgery
HIN,Hindi,0,1,1,0,FRESNO DENTAL SURGERY CENTER - A VALLARINE DENTAL PRACTICE #105047,Ambulatory Surgery
JPN,Japanese,0,0,1,0,FRESNO DENTAL SURGERY CENTER - A VALLARINE DENTAL PRACTICE #105047,Ambulatory Surgery
RUS,Russian,4,1,0,0,FRESNO DENTAL SURGERY CENTER - A VALLARINE DENTAL PRACTICE #105047,Ambulatory Surgery
SPA,Spanish,470,374,489,435,FRESNO DENTAL SURGERY CENTER - A VALLARINE DENTAL PRACTICE #105047,Ambulatory Surgery
VIE,Vietnamese,0,0,0,2,FRESNO DENTAL SURGERY CENTER - A VALLARINE DENTAL PRACTICE #105047,Ambulatory Surgery
999,Unknown,3,4,1,1,FRESNO DENTAL SURGERY CENTER - A VALLARINE DENTAL PRACTICE #105047,Ambulatory Surgery
AMH,Amharic,0,1,0,0,FRESNO SURGICAL HOSPITAL #104047,Ambulatory Surgery
ARA,Arabic,0,2,0,0,FRESNO SURGICAL HOSPITAL #104047,Ambulatory Surgery
ARM,Armenian,2,2,1,3,FRESNO SURGICAL HOSPITAL #104047,Ambulatory Surgery
CHI,Chinese,0,0,1,0,FRESNO SURGICAL HOSPITAL #104047,Ambulatory Surgery
ENG,English,1430,1447,1305,1356,FRESNO SURGICAL HOSPITAL #104047,Ambulatory Surgery
PES,Farsi,2,0,0,1,FRESNO SURGICAL HOSPITAL #104047,Ambulatory Surgery
HIN,Hindi,2,0,0,2,FRESNO SURGICAL HOSPITAL #104047,Ambulatory Surgery
HMN,Hmong,2,0,2,1,FRESNO SURGICAL HOSPITAL #104047,Ambulatory Surgery
ITA,Italian,0,1,0,0,FRESNO SURGICAL HOSPITAL #104047,Ambulatory Surgery
JPN,Japanese,0,1,0,0,FRESNO SURGICAL HOSPITAL #104047,Ambulatory Surgery
KOR,Korean,0,0,1,0,FRESNO SURGICAL HOSPITAL #104047,Ambulatory Surgery
PAN,Panjabi; Punjabi,12,10,4,9,FRESNO SURGICAL HOSPITAL #104047,Ambulatory Surgery
POR,Portuguese,3,0,1,2,FRESNO SURGICAL HOSPITAL #104047,Ambulatory Surgery
RUS,Russian,0,2,0,0,FRESNO SURGICAL HOSPITAL #104047,Ambulatory Surgery
SGN,Sign Language,0,0,2,0,FRESNO SURGICAL HOSPITAL #104047,Ambulatory Surgery
SPA,Spanish,104,98,109,74,FRESNO SURGICAL HOSPITAL #104047,Ambulatory Surgery
TGL,Tagalog,0,0,1,0,FRESNO SURGICAL HOSPITAL #104047,Ambulatory Surgery
UKR,Ukrainian,0,1,0,0,FRESNO SURGICAL HOSPITAL #104047,Ambulatory Surgery
VIE,Vietnamese,1,1,0,0,FRESNO SURGICAL HOSPITAL #104047,Ambulatory Surgery
999,Unknown,0,1,0,0,FRESNO SURGICAL HOSPITAL #104047,Ambulatory Surgery
ENG,English,30,10,13,4,GARDEN GROVE HOSPITAL AND MEDICAL CENTER #301283,Ambulatory Surgery
KOR,Korean,6,8,4,7,GARDEN GROVE HOSPITAL AND MEDICAL CENTER #301283,Ambulatory Surgery
SPA,Spanish,13,1,2,0,GARDEN GROVE HOSPITAL AND MEDICAL CENTER #301283,Ambulatory Surgery
VIE,Vietnamese,0,0,0,1,GARDEN GROVE HOSPITAL AND MEDICAL CENTER #301283,Ambulatory Surgery
BUR,Burmese,1,0,0,0,GARFIELD MEDICAL CENTER #190315,Ambulatory Surgery
CHI,Chinese,282,325,328,284,GARFIELD MEDICAL CENTER #190315,Ambulatory Surgery
ENG,English,424,427,424,405,GARFIELD MEDICAL CENTER #190315,Ambulatory Surgery
PES,Farsi,0,1,0,0,GARFIELD MEDICAL CENTER #190315,Ambulatory Surgery
KOR,Korean,0,1,0,2,GARFIELD MEDICAL CENTER #190315,Ambulatory Surgery
LAO,Lao,0,1,0,0,GARFIELD MEDICAL CENTER #190315,Ambulatory Surgery
