ETHNICITY,Q1 2024,Q2 2024,Q3 2024,Q4 2024,Facility,Report
Non Hispanic or Latino Ethnicity,573,509,552,561,FOOTHILL REGIONAL MEDICAL CENTER #301357,Emergency Department
Unknown,57,52,58,63,FOOTHILL REGIONAL MEDICAL CENTER #301357,Emergency Department
Hispanic or Latino,940,1182,1162,1043,FRENCH HOSPITAL MEDICAL CENTER #400480,Emergency Department
Non Hispanic or Latino Ethnicity,4736,5244,5413,5083,FRENCH HOSPITAL MEDICAL CENTER #400480,Emergency Department
Unknown,45,43,44,56,FRENCH HOSPITAL MEDICAL CENTER #400480,Emergency Department
Hispanic or Latino,2817,2781,2884,2851,GARDEN GROVE HOSPITAL AND MEDICAL CENTER #301283,Emergency Department
Non Hispanic or Latino Ethnicity,2027,2016,2073,1930,GARDEN GROVE HOSPITAL AND MEDICAL CENTER #301283,Emergency Department
Unknown,14,12,13,29,GARDEN GROVE HOSPITAL AND MEDICAL CENTER #301283,Emergency Department
Error/Unknown,0,0,0,1,GARFIELD MEDICAL CENTER #190315,Emergency Department
Hispanic or Latino,2135,2247,2372,2664,GARFIELD MEDICAL CENTER #190315,Emergency Department
Non Hispanic or Latino Ethnicity,2766,2912,2991,3223,GARFIELD MEDICAL CENTER #190315,Emergency Department
Not Provided/Blank,18,12,16,27,GARFIELD MEDICAL CENTER #190315,Emergency Department
Unknown,32,54,60,82,GARFIELD MEDICAL CENTER #190315,Emergency Department
Hispanic or Latino,3567,4182,3587,3482,GEORGE L. MEE MEMORIAL HOSPITAL #270777,Emergency Department
Non Hispanic or Latino Ethnicity,409,487,439,382,GEORGE L. MEE MEMORIAL HOSPITAL #270777,Emergency Department
Unknown,10,10,9,18,GEORGE L. MEE MEMORIAL HOSPITAL #270777,Emergency Department
Hispanic or Latino,3191,3150,3072,3141,GLENDALE MEMORIAL HOSPITAL AND HEALTH CENTER #190522,Emergency Department
Non Hispanic or Latino Ethnicity,3941,4028,4186,4239,GLENDALE MEMORIAL HOSPITAL AND HEALTH CENTER #190522,Emergency Department
Unknown,51,33,30,47,GLENDALE MEMORIAL HOSPITAL AND HEALTH CENTER #190522,Emergency Department
Hispanic or Latino,397,437,453,405,GLENN MEDICAL CENTER #110889,Emergency Department
Non Hispanic or Latino Ethnicity,1082,1133,1017,1023,GLENN MEDICAL CENTER #110889,Emergency Department
Unknown,6,8,11,5,GLENN MEDICAL CENTER #110889,Emergency Department
Hispanic or Latino,2224,2343,2098,2279,GOLETA VALLEY COTTAGE HOSPITAL #420483,Emergency Department
Non Hispanic or Latino Ethnicity,3799,4000,4040,4205,GOLETA VALLEY COTTAGE HOSPITAL #420483,Emergency Department
Not Provided/Blank,2,1,0,1,GOLETA VALLEY COTTAGE HOSPITAL #420483,Emergency Department
Unknown,93,119,93,101,GOLETA VALLEY COTTAGE HOSPITAL #420483,Emergency Department
Hispanic or Latino,3790,4065,3851,3903,GOOD SAMARITAN HOSPITAL-SAN JOSE #430779,Emergency Department
Non Hispanic or Latino Ethnicity,9763,10271,10035,10242,GOOD SAMARITAN HOSPITAL-SAN JOSE #430779,Emergency Department
Unknown,234,266,205,270,GOOD SAMARITAN HOSPITAL-SAN JOSE #430779,Emergency Department
Hispanic or Latino,5127,5267,5178,5583,GREATER EL MONTE COMMUNITY HOSPITAL #190352,Emergency Department
Non Hispanic or Latino Ethnicity,748,757,773,764,GREATER EL MONTE COMMUNITY HOSPITAL #190352,Emergency Department
Unknown,5,8,6,8,GREATER EL MONTE COMMUNITY HOSPITAL #190352,Emergency Department
Hispanic or Latino,13184,27144,28450,8740,GROSSMONT HOSPITAL #370714,Emergency Department
Non Hispanic or Latino Ethnicity,10666,543,3,19703,GROSSMONT HOSPITAL #370714,Emergency Department
Unknown,594,1004,1013,963,GROSSMONT HOSPITAL #370714,Emergency Department
Hispanic or Latino,3675,4244,3709,4055,HAZEL HAWKINS MEMORIAL HOSPITAL #350784,Emergency Department
Non Hispanic or Latino Ethnicity,2156,2220,2164,2300,HAZEL HAWKINS MEMORIAL HOSPITAL #350784,Emergency Department
Unknown,57,65,19,28,HAZEL HAWKINS MEMORIAL HOSPITAL #350784,Emergency Department
Hispanic or Latino,948,1126,1023,945,HEALDSBURG HOSPITAL #490964,Emergency Department
Non Hispanic or Latino Ethnicity,1284,1370,1369,1217,HEALDSBURG HOSPITAL #490964,Emergency Department
Unknown,151,191,144,132,HEALDSBURG HOSPITAL #490964,Emergency Department
Hispanic or Latino,4544,4818,4914,4920,HEMET GLOBAL MEDICAL CENTER #331194,Emergency Department
Non Hispanic or Latino Ethnicity,5604,5918,5743,5417,HEMET GLOBAL MEDICAL CENTER #331194,Emergency Department
Not Provided/Blank,1,1,0,0,HEMET GLOBAL MEDICAL CENTER #331194,Emergency Department
Unknown,37,45,55,68,HEMET GLOBAL MEDICAL CENTER #331194,Emergency Department
Hispanic or Latino,4456,4619,4238,4575,HENRY MAYO NEWHALL HOSPITAL #190949,Emergency Department
Non Hispanic or Latino Ethnicity,9098,9655,10198,10656,HENRY MAYO NEWHALL HOSPITAL #190949,Emergency Department
Unknown,68,75,37,58,HENRY MAYO NEWHALL HOSPITAL #190949,Emergency Department
Hispanic or Latino,1627,1623,1643,1735,HI-DESERT MEDICAL CENTER #362041,Emergency Department
Non Hispanic or Latino Ethnicity,4372,4458,4310,4510,HI-DESERT MEDICAL CENTER #362041,Emergency Department
Unknown,179,171,183,188,HI-DESERT MEDICAL CENTER #362041,Emergency Department
Hispanic or Latino,7256,7977,7864,7640,HIGHLAND HOSPITAL #010846,Emergency Department
Non Hispanic or Latino Ethnicity,11206,11449,11215,11292,HIGHLAND HOSPITAL #010846,Emergency Department
Unknown,168,117,43,59,HIGHLAND HOSPITAL #010846,Emergency Department
Hispanic or Latino,4798,5256,5421,5622,HOAG MEMORIAL HOSPITAL PRESBYTERIAN #301205,Emergency Department
Non Hispanic or Latino Ethnicity,21019,22249,23038,23616,HOAG MEMORIAL HOSPITAL PRESBYTERIAN #301205,Emergency Department
Not Provided/Blank,53,1,46,4,HOAG MEMORIAL HOSPITAL PRESBYTERIAN #301205,Emergency Department
Unknown,1111,844,571,353,HOAG MEMORIAL HOSPITAL PRESBYTERIAN #301205,Emergency Department
Hispanic or Latino,3418,3614,3707,3664,HOLLYWOOD PRESBYTERIAN MEDICAL CENTER #190382,Emergency Department
Non Hispanic or Latino Ethnicity,3515,3680,3844,3595,HOLLYWOOD PRESBYTERIAN MEDICAL CENTER #190382,Emergency Department
Unknown,141,129,106,73,HOLLYWOOD PRESBYTERIAN MEDICAL CENTER #190382,Emergency Department
Hispanic or Latino,828,1006,1006,972,HUNTINGTON BEACH HOSPITAL #301209,Emergency Department
Non Hispanic or Latino Ethnicity,1877,2054,2189,2135,HUNTINGTON BEACH HOSPITAL #301209,Emergency Department
Unknown,16,56,91,46,HUNTINGTON BEACH HOSPITAL #301209,Emergency Department
Hispanic or Latino,5608,5802,5982,6090,HUNTINGTON HOSPITAL #190400,Emergency Department
Non Hispanic or Latino Ethnicity,7591,7656,7943,8400,HUNTINGTON HOSPITAL #190400,Emergency Department
Unknown,306,286,267,320,HUNTINGTON HOSPITAL #190400,Emergency Department
Hispanic or Latino,170,177,190,152,JOHN C FREMONT HEALTHCARE DISTRICT #220733,Emergency Department
Non Hispanic or Latino Ethnicity,1344,1542,1555,1427,JOHN C FREMONT HEALTHCARE DISTRICT #220733,Emergency Department
Unknown,90,84,103,89,JOHN C FREMONT HEALTHCARE DISTRICT #220733,Emergency Department
Hispanic or Latino,9678,9890,9389,9949,JOHN F. KENNEDY MEMORIAL HOSPITAL #331216,Emergency Department
Non Hispanic or Latino Ethnicity,2637,2393,2183,2308,JOHN F. KENNEDY MEMORIAL HOSPITAL #331216,Emergency Department
Unknown,31,31,27,16,JOHN F. KENNEDY MEMORIAL HOSPITAL #331216,Emergency Department
Hispanic or Latino,5943,6548,5987,5955,JOHN MUIR MEDICAL CENTER-CONCORD CAMPUS #071018,Emergency Department
Non Hispanic or Latino Ethnicity,8213,8528,8305,8365,JOHN MUIR MEDICAL CENTER-CONCORD CAMPUS #071018,Emergency Department
Unknown,108,121,88,88,JOHN MUIR MEDICAL CENTER-CONCORD CAMPUS #071018,Emergency Department
Hispanic or Latino,3104,3116,2863,2992,JOHN MUIR MEDICAL CENTER-WALNUT CREEK CAMPUS #070988,Emergency Department
Non Hispanic or Latino Ethnicity,9519,9604,9474,9441,JOHN MUIR MEDICAL CENTER-WALNUT CREEK CAMPUS #070988,Emergency Department
Unknown,499,538,421,475,JOHN MUIR MEDICAL CENTER-WALNUT CREEK CAMPUS #070988,Emergency Department
Hispanic or Latino,3398,3612,3367,3490,KAISER FOUNDATION HOSPITAL & REHAB CENTER - VALLEJO #480989,Emergency Department
Non Hispanic or Latino Ethnicity,10510,10736,10052,10047,KAISER FOUNDATION HOSPITAL & REHAB CENTER - VALLEJO #480989,Emergency Department
Unknown,533,493,454,392,KAISER FOUNDATION HOSPITAL & REHAB CENTER - VALLEJO #480989,Emergency Department
Hispanic or Latino,4992,5371,4744,4609,KAISER FOUNDATION HOSPITAL - ANTIOCH  #074097,Emergency Department
Non Hispanic or Latino Ethnicity,11899,12610,11660,11793,KAISER FOUNDATION HOSPITAL - ANTIOCH  #074097,Emergency Department
Unknown,708,768,546,626,KAISER FOUNDATION HOSPITAL - ANTIOCH  #074097,Emergency Department
Error/Unknown,0,0,0,1,KAISER FOUNDATION HOSPITAL - BALDWIN PARK #196035,Emergency Department
Hispanic or Latino,10369,11436,11081,10742,KAISER FOUNDATION HOSPITAL - BALDWIN PARK #196035,Emergency Department
Non Hispanic or Latino Ethnicity,5247,5451,5164,5250,KAISER FOUNDATION HOSPITAL - BALDWIN PARK #196035,Emergency Department
Unknown,370,354,379,435,KAISER FOUNDATION HOSPITAL - BALDWIN PARK #196035,Emergency Department
Error/Unknown,0,1,0,0,KAISER FOUNDATION HOSPITAL - DOWNEY #196403,Emergency Department
Hispanic or Latino,15640,15594,16176,15992,KAISER FOUNDATION HOSPITAL - DOWNEY #196403,Emergency Department
Non Hispanic or Latino Ethnicity,7373,7572,7496,7373,KAISER FOUNDATION HOSPITAL - DOWNEY #196403,Emergency Department
Unknown,483,499,551,604,KAISER FOUNDATION HOSPITAL - DOWNEY #196403,Emergency Department
Error/Unknown,0,0,1,0,KAISER FOUNDATION HOSPITAL - FONTANA #361223,Emergency Department
Hispanic or Latino,20008,20674,20674,21286,KAISER FOUNDATION HOSPITAL - FONTANA #361223,Emergency Department
Non Hispanic or Latino Ethnicity,15793,15792,16036,16240,KAISER FOUNDATION HOSPITAL - FONTANA #361223,Emergency Department
Unknown,1915,2212,2372,2328,KAISER FOUNDATION HOSPITAL - FONTANA #361223,Emergency Department
Error/Unknown,1,0,1,2,KAISER FOUNDATION HOSPITAL - FREMONT #014132,Emergency Department
Hispanic or Latino,2791,2697,2499,2552,KAISER FOUNDATION HOSPITAL - FREMONT #014132,Emergency Department
Non Hispanic or Latino Ethnicity,7755,7744,7395,7472,KAISER FOUNDATION HOSPITAL - FREMONT #014132,Emergency Department
Unknown,343,403,269,275,KAISER FOUNDATION HOSPITAL - FREMONT #014132,Emergency Department
Error/Unknown,0,1,2,0,KAISER FOUNDATION HOSPITAL - FRESNO #104062,Emergency Department
Hispanic or Latino,5402,5571,5362,5238,KAISER FOUNDATION HOSPITAL - FRESNO #104062,Emergency Department
Non Hispanic or Latino Ethnicity,6752,7001,6983,6494,KAISER FOUNDATION HOSPITAL - FRESNO #104062,Emergency Department
Unknown,262,302,298,254,KAISER FOUNDATION HOSPITAL - FRESNO #104062,Emergency Department
Error/Unknown,1,0,0,0,KAISER FOUNDATION HOSPITAL - LOS ANGELES #190429,Emergency Department
Hispanic or Latino,6233,6075,6184,6034,KAISER FOUNDATION HOSPITAL - LOS ANGELES #190429,Emergency Department
Non Hispanic or Latino Ethnicity,6364,6235,6470,6340,KAISER FOUNDATION HOSPITAL - LOS ANGELES #190429,Emergency Department
Unknown,1094,1210,1061,1342,KAISER FOUNDATION HOSPITAL - LOS ANGELES #190429,Emergency Department
Error/Unknown,0,1,0,1,KAISER FOUNDATION HOSPITAL - MANTECA #394009,Emergency Department
Hispanic or Latino,12356,12798,11753,12021,KAISER FOUNDATION HOSPITAL - MANTECA #394009,Emergency Department
Non Hispanic or Latino Ethnicity,15465,15713,15074,14700,KAISER FOUNDATION HOSPITAL - MANTECA #394009,Emergency Department
Unknown,626,600,536,587,KAISER FOUNDATION HOSPITAL - MANTECA #394009,Emergency Department
Error/Unknown,0,1,0,0,KAISER FOUNDATION HOSPITAL - MORENO VALLEY #334048,Emergency Department
Hispanic or Latino,6795,7446,7610,7966,KAISER FOUNDATION HOSPITAL - MORENO VALLEY #334048,Emergency Department
Non Hispanic or Latino Ethnicity,6243,6685,6675,6993,KAISER FOUNDATION HOSPITAL - MORENO VALLEY #334048,Emergency Department
Unknown,178,127,129,150,KAISER FOUNDATION HOSPITAL - MORENO VALLEY #334048,Emergency Department
Error/Unknown,0,4,1,7,KAISER FOUNDATION HOSPITAL - OAKLAND/RICHMOND #014326,Emergency Department
Hispanic or Latino,10028,10666,9597,9573,KAISER FOUNDATION HOSPITAL - OAKLAND/RICHMOND #014326,Emergency Department
Non Hispanic or Latino Ethnicity,22200,22939,22345,22278,KAISER FOUNDATION HOSPITAL - OAKLAND/RICHMOND #014326,Emergency Department
Unknown,683,769,721,797,KAISER FOUNDATION HOSPITAL - OAKLAND/RICHMOND #014326,Emergency Department
Error/Unknown,0,0,0,2,KAISER FOUNDATION HOSPITAL - ORANGE COUNTY - ANAHEIM #304409,Emergency Department
Hispanic or Latino,10410,10930,10840,11145,KAISER FOUNDATION HOSPITAL - ORANGE COUNTY - ANAHEIM #304409,Emergency Department
Non Hispanic or Latino Ethnicity,17848,18320,17945,18084,KAISER FOUNDATION HOSPITAL - ORANGE COUNTY - ANAHEIM #304409,Emergency Department
Unknown,972,895,816,722,KAISER FOUNDATION HOSPITAL - ORANGE COUNTY - ANAHEIM #304409,Emergency Department
Hispanic or Latino,9131,9342,9293,9326,KAISER FOUNDATION HOSPITAL - PANORAMA CITY #190432,Emergency Department
Non Hispanic or Latino Ethnicity,7161,7446,7197,7161,KAISER FOUNDATION HOSPITAL - PANORAMA CITY #190432,Emergency Department
Unknown,189,185,210,275,KAISER FOUNDATION HOSPITAL - PANORAMA CITY #190432,Emergency Department
Error/Unknown,0,0,1,0,KAISER FOUNDATION HOSPITAL - REDWOOD CITY #414139,Emergency Department
Hispanic or Latino,3257,3272,3206,3156,KAISER FOUNDATION HOSPITAL - REDWOOD CITY #414139,Emergency Department
Non Hispanic or Latino Ethnicity,5644,5937,5747,5662,KAISER FOUNDATION HOSPITAL - REDWOOD CITY #414139,Emergency Department
Unknown,397,382,414,401,KAISER FOUNDATION HOSPITAL - REDWOOD CITY #414139,Emergency Department
Error/Unknown,0,0,0,1,KAISER FOUNDATION HOSPITAL - RIVERSIDE #334025,Emergency Department
Hispanic or Latino,6493,7077,6902,7267,KAISER FOUNDATION HOSPITAL - RIVERSIDE #334025,Emergency Department
Non Hispanic or Latino Ethnicity,7284,7763,7640,7618,KAISER FOUNDATION HOSPITAL - RIVERSIDE #334025,Emergency Department
Unknown,644,720,744,758,KAISER FOUNDATION HOSPITAL - RIVERSIDE #334025,Emergency Department
Error/Unknown,2,0,0,4,KAISER FOUNDATION HOSPITAL - ROSEVILLE #314024,Emergency Department
Hispanic or Latino,4870,5025,4830,4781,KAISER FOUNDATION HOSPITAL - ROSEVILLE #314024,Emergency Department
Non Hispanic or Latino Ethnicity,24033,25106,24084,23474,KAISER FOUNDATION HOSPITAL - ROSEVILLE #314024,Emergency Department
Unknown,1864,1980,1727,1617,KAISER FOUNDATION HOSPITAL - ROSEVILLE #314024,Emergency Department
Error/Unknown,0,2,3,5,KAISER FOUNDATION HOSPITAL - SACRAMENTO #340913,Emergency Department
Hispanic or Latino,4764,4919,4946,4785,KAISER FOUNDATION HOSPITAL - SACRAMENTO #340913,Emergency Department
Non Hispanic or Latino Ethnicity,19612,20369,20151,20079,KAISER FOUNDATION HOSPITAL - SACRAMENTO #340913,Emergency Department
Unknown,312,327,281,274,KAISER FOUNDATION HOSPITAL - SACRAMENTO #340913,Emergency Department
Error/Unknown,3,1,1,3,KAISER FOUNDATION HOSPITAL - SAN DIEGO - ZION #370730,Emergency Department
Hispanic or Latino,9605,10185,10470,10615,KAISER FOUNDATION HOSPITAL - SAN DIEGO - ZION #370730,Emergency Department
Non Hispanic or Latino Ethnicity,18472,18858,19249,19311,KAISER FOUNDATION HOSPITAL - SAN DIEGO - ZION #370730,Emergency Department
Unknown,279,301,347,379,KAISER FOUNDATION HOSPITAL - SAN DIEGO - ZION #370730,Emergency Department
Error/Unknown,0,0,2,3,KAISER FOUNDATION HOSPITAL - SAN FRANCISCO #380857,Emergency Department
Hispanic or Latino,1645,1625,1635,1689,KAISER FOUNDATION HOSPITAL - SAN FRANCISCO #380857,Emergency Department
Non Hispanic or Latino Ethnicity,6152,6220,6294,6334,KAISER FOUNDATION HOSPITAL - SAN FRANCISCO #380857,Emergency Department
Unknown,228,267,203,213,KAISER FOUNDATION HOSPITAL - SAN FRANCISCO #380857,Emergency Department
Hispanic or Latino,8255,8718,7841,7932,KAISER FOUNDATION HOSPITAL - SAN JOSE #431506,Emergency Department
Non Hispanic or Latino Ethnicity,9454,9928,9169,9104,KAISER FOUNDATION HOSPITAL - SAN JOSE #431506,Emergency Department
Unknown,513,522,517,455,KAISER FOUNDATION HOSPITAL - SAN JOSE #431506,Emergency Department
Error/Unknown,1,2,12,10,KAISER FOUNDATION HOSPITAL - SAN LEANDRO #014337,Emergency Department
Hispanic or Latino,6400,6210,5894,5884,KAISER FOUNDATION HOSPITAL - SAN LEANDRO #014337,Emergency Department
Non Hispanic or Latino Ethnicity,11185,11063,10654,10544,KAISER FOUNDATION HOSPITAL - SAN LEANDRO #014337,Emergency Department
Unknown,641,613,470,561,KAISER FOUNDATION HOSPITAL - SAN LEANDRO #014337,Emergency Department
Hispanic or Latino,3004,3339,3394,3517,KAISER FOUNDATION HOSPITAL - SAN MARCOS #370028,Emergency Department
Non Hispanic or Latino Ethnicity,6799,7217,7425,7673,KAISER FOUNDATION HOSPITAL - SAN MARCOS #370028,Emergency Department
Unknown,293,262,325,313,KAISER FOUNDATION HOSPITAL - SAN MARCOS #370028,Emergency Department
Hispanic or Latino,1163,1227,1052,1147,KAISER FOUNDATION HOSPITAL - SAN RAFAEL #210992,Emergency Department
Non Hispanic or Latino Ethnicity,5707,6005,5815,5493,KAISER FOUNDATION HOSPITAL - SAN RAFAEL #210992,Emergency Department
Unknown,415,456,379,339,KAISER FOUNDATION HOSPITAL - SAN RAFAEL #210992,Emergency Department
Error/Unknown,1,0,3,3,KAISER FOUNDATION HOSPITAL - SANTA CLARA #434153,Emergency Department
Hispanic or Latino,5295,5594,5346,5365,KAISER FOUNDATION HOSPITAL - SANTA CLARA #434153,Emergency Department
Non Hispanic or Latino Ethnicity,11276,12006,11695,11566,KAISER FOUNDATION HOSPITAL - SANTA CLARA #434153,Emergency Department
Unknown,376,450,468,455,KAISER FOUNDATION HOSPITAL - SANTA CLARA #434153,Emergency Department
Hispanic or Latino,4195,4657,3996,3922,KAISER FOUNDATION HOSPITAL - SANTA ROSA #494019,Emergency Department
Non Hispanic or Latino Ethnicity,10223,10714,10392,9614,KAISER FOUNDATION HOSPITAL - SANTA ROSA #494019,Emergency Department
Unknown,577,611,598,525,KAISER FOUNDATION HOSPITAL - SANTA ROSA #494019,Emergency Department
Hispanic or Latino,5869,5881,5848,5813,KAISER FOUNDATION HOSPITAL - SOUTH BAY #190431,Emergency Department
Non Hispanic or Latino Ethnicity,9472,9462,9279,9400,KAISER FOUNDATION HOSPITAL - SOUTH BAY #190431,Emergency Department
Unknown,903,917,838,915,KAISER FOUNDATION HOSPITAL - SOUTH BAY #190431,Emergency Department
Error/Unknown,0,0,0,2,KAISER FOUNDATION HOSPITAL - SOUTH SACRAMENTO #342344,Emergency Department
Hispanic or Latino,7064,7629,7257,7421,KAISER FOUNDATION HOSPITAL - SOUTH SACRAMENTO #342344,Emergency Department
Non Hispanic or Latino Ethnicity,18945,20091,20000,19936,KAISER FOUNDATION HOSPITAL - SOUTH SACRAMENTO #342344,Emergency Department
Unknown,542,584,582,518,KAISER FOUNDATION HOSPITAL - SOUTH SACRAMENTO #342344,Emergency Department
Error/Unknown,0,0,0,4,KAISER FOUNDATION HOSPITAL - SOUTH SAN FRANCISCO #410806,Emergency Department
Hispanic or Latino,3488,3431,3376,3543,KAISER FOUNDATION HOSPITAL - SOUTH SAN FRANCISCO #410806,Emergency Department
Non Hispanic or Latino Ethnicity,7786,7813,7413,7525,KAISER FOUNDATION HOSPITAL - SOUTH SAN FRANCISCO #410806,Emergency Department
Unknown,490,606,604,729,KAISER FOUNDATION HOSPITAL - SOUTH SAN FRANCISCO #410806,Emergency Department
Hispanic or Latino,3382,3745,3244,3372,KAISER FOUNDATION HOSPITAL - VACAVILLE #484044,Emergency Department
Non Hispanic or Latino Ethnicity,9901,10521,9581,9405,KAISER FOUNDATION HOSPITAL - VACAVILLE #484044,Emergency Department
Unknown,226,212,213,207,KAISER FOUNDATION HOSPITAL - VACAVILLE #484044,Emergency Department
Error/Unknown,0,0,2,0,KAISER FOUNDATION HOSPITAL - WALNUT CREEK #070990,Emergency Department
Hispanic or Latino,2906,3090,2859,2753,KAISER FOUNDATION HOSPITAL - WALNUT CREEK #070990,Emergency Department
Non Hispanic or Latino Ethnicity,13954,14719,13527,13485,KAISER FOUNDATION HOSPITAL - WALNUT CREEK #070990,Emergency Department
Unknown,798,864,799,804,KAISER FOUNDATION HOSPITAL - WALNUT CREEK #070990,Emergency Department
Error/Unknown,0,0,0,2,KAISER FOUNDATION HOSPITAL - WEST LA #190434,Emergency Department
Hispanic or Latino,7408,7608,7426,7690,KAISER FOUNDATION HOSPITAL - WEST LA #190434,Emergency Department
Non Hispanic or Latino Ethnicity,13299,13439,13404,13642,KAISER FOUNDATION HOSPITAL - WEST LA #190434,Emergency Department
Unknown,634,543,552,449,KAISER FOUNDATION HOSPITAL - WEST LA #190434,Emergency Department
Error/Unknown,0,1,1,1,KAISER FOUNDATION HOSPITAL - WOODLAND HILLS #191450,Emergency Department
Hispanic or Latino,3311,3384,3303,3327,KAISER FOUNDATION HOSPITAL - WOODLAND HILLS #191450,Emergency Department
Non Hispanic or Latino Ethnicity,7570,7677,7166,7394,KAISER FOUNDATION HOSPITAL - WOODLAND HILLS #191450,Emergency Department
Unknown,141,139,98,103,KAISER FOUNDATION HOSPITAL - WOODLAND HILLS #191450,Emergency Department
Hispanic or Latino,11562,12007,11945,12603,KAWEAH HEALTH MEDICAL CENTER #540734,Emergency Department
Non Hispanic or Latino Ethnicity,6236,6351,6399,6835,KAWEAH HEALTH MEDICAL CENTER #540734,Emergency Department
Unknown,296,281,259,262,KAWEAH HEALTH MEDICAL CENTER #540734,Emergency Department
Hispanic or Latino,7456,8211,7979,7673,KERN MEDICAL CENTER #150736,Emergency Department
Non Hispanic or Latino Ethnicity,4004,4100,4224,4004,KERN MEDICAL CENTER #150736,Emergency Department
Unknown,130,89,114,107,KERN MEDICAL CENTER #150736,Emergency Department
Hispanic or Latino,213,215,265,257,KERN VALLEY HEALTHCARE DISTRICT #150737,Emergency Department
Non Hispanic or Latino Ethnicity,1373,1497,1524,1449,KERN VALLEY HEALTHCARE DISTRICT #150737,Emergency Department
Unknown,153,187,196,128,KERN VALLEY HEALTHCARE DISTRICT #150737,Emergency Department
Hispanic or Latino,1213,1327,1262,1442,LA PALMA INTERCOMMUNITY HOSPITAL #301234,Emergency Department
Non Hispanic or Latino Ethnicity,1803,1675,1858,1908,LA PALMA INTERCOMMUNITY HOSPITAL #301234,Emergency Department
Unknown,25,16,15,19,LA PALMA INTERCOMMUNITY HOSPITAL #301234,Emergency Department
Hispanic or Latino,12693,13042,12316,12394,LAC/HARBOR-UCLA MEDICAL CENTER #191227,Emergency Department
Non Hispanic or Latino Ethnicity,6109,6381,6504,6651,LAC/HARBOR-UCLA MEDICAL CENTER #191227,Emergency Department
Not Provided/Blank,25,25,11,10,LAC/HARBOR-UCLA MEDICAL CENTER #191227,Emergency Department
Unknown,487,446,482,552,LAC/HARBOR-UCLA MEDICAL CENTER #191227,Emergency Department
Hispanic or Latino,6659,6104,5876,7417,LOMA LINDA UNIVERSITY CHILDREN'S HOSPITAL #364502,Emergency Department
Non Hispanic or Latino Ethnicity,2496,2289,2225,2683,LOMA LINDA UNIVERSITY CHILDREN'S HOSPITAL #364502,Emergency Department
Unknown,146,266,176,153,LOMA LINDA UNIVERSITY CHILDREN'S HOSPITAL #364502,Emergency Department
Hispanic or Latino,5615,5267,5065,5227,LOMA LINDA UNIVERSITY MEDICAL CENTER #361246,Emergency Department
Non Hispanic or Latino Ethnicity,5298,4935,4602,5027,LOMA LINDA UNIVERSITY MEDICAL CENTER #361246,Emergency Department
Unknown,82,149,153,84,LOMA LINDA UNIVERSITY MEDICAL CENTER #361246,Emergency Department
Hispanic or Latino,4633,4288,4609,4950,LOMA LINDA UNIVERSITY MEDICAL CENTER-MURRIETA #334589,Emergency Department
Non Hispanic or Latino Ethnicity,6599,6148,6591,6895,LOMA LINDA UNIVERSITY MEDICAL CENTER-MURRIETA #334589,Emergency Department
Unknown,135,165,163,80,LOMA LINDA UNIVERSITY MEDICAL CENTER-MURRIETA #334589,Emergency Department
Hispanic or Latino,2575,2626,2537,2684,LOMPOC VALLEY MEDICAL CENTER #420491,Emergency Department
Non Hispanic or Latino Ethnicity,2358,2531,2504,2608,LOMPOC VALLEY MEDICAL CENTER #420491,Emergency Department
Unknown,187,132,111,148,LOMPOC VALLEY MEDICAL CENTER #420491,Emergency Department
Hispanic or Latino,554,634,734,687,LOS ANGELES COMMUNITY HOSPITAL #190198,Emergency Department
Non Hispanic or Latino Ethnicity,233,201,227,259,LOS ANGELES COMMUNITY HOSPITAL #190198,Emergency Department
Unknown,0,44,0,0,LOS ANGELES COMMUNITY HOSPITAL #190198,Emergency Department
Hispanic or Latino,10285,10854,10321,10210,LOS ANGELES COUNTY OLIVE VIEW-UCLA MEDICAL CENTER #191231,Emergency Department
Non Hispanic or Latino Ethnicity,3129,3199,2909,3129,LOS ANGELES COUNTY OLIVE VIEW-UCLA MEDICAL CENTER #191231,Emergency Department
Unknown,1036,1100,1001,983,LOS ANGELES COUNTY OLIVE VIEW-UCLA MEDICAL CENTER #191231,Emergency Department
Error/Unknown,0,2,0,0,LOS ANGELES GENERAL MEDICAL CENTER #191228,Emergency Department
Hispanic or Latino,18423,17930,18500,19246,LOS ANGELES GENERAL MEDICAL CENTER #191228,Emergency Department
Non Hispanic or Latino Ethnicity,7371,6991,6668,7383,LOS ANGELES GENERAL MEDICAL CENTER #191228,Emergency Department
Not Provided/Blank,0,8,13,1,LOS ANGELES GENERAL MEDICAL CENTER #191228,Emergency Department
Unknown,494,639,963,263,LOS ANGELES GENERAL MEDICAL CENTER #191228,Emergency Department
Hispanic or Latino,2487,2523,2590,2781,LOS ROBLES HOSPITAL & MEDICAL CENTER #560492,Emergency Department
Non Hispanic or Latino Ethnicity,7563,7569,8157,8349,LOS ROBLES HOSPITAL & MEDICAL CENTER #560492,Emergency Department
Unknown,202,225,217,294,LOS ROBLES HOSPITAL & MEDICAL CENTER #560492,Emergency Department
Hispanic or Latino,368,416,361,356,MAD RIVER COMMUNITY HOSPITAL #121002,Emergency Department
Non Hispanic or Latino Ethnicity,2399,2486,2417,2215,MAD RIVER COMMUNITY HOSPITAL #121002,Emergency Department
Unknown,73,71,114,78,MAD RIVER COMMUNITY HOSPITAL #121002,Emergency Department
