ETHNICITY,Q1 2024,Q2 2024,Q3 2024,Q4 2024,Facility,Report
Non Hispanic or Latino Ethnicity,3694,3965,4001,4028,ENLOE HEALTH #040962,Ambulatory Surgery
Unknown,220,306,288,278,ENLOE HEALTH #040962,Ambulatory Surgery
Hispanic or Latino,50,68,53,55,FAIRCHILD MEDICAL CENTER #474007,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,736,817,908,896,FAIRCHILD MEDICAL CENTER #474007,Ambulatory Surgery
Unknown,50,38,70,97,FAIRCHILD MEDICAL CENTER #474007,Ambulatory Surgery
Hispanic or Latino,120,121,74,44,FOOTHILL REGIONAL MEDICAL CENTER #301357,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,246,203,202,234,FOOTHILL REGIONAL MEDICAL CENTER #301357,Ambulatory Surgery
Hispanic or Latino,125,136,111,133,FRENCH HOSPITAL MEDICAL CENTER #400480,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,1482,1432,1345,1471,FRENCH HOSPITAL MEDICAL CENTER #400480,Ambulatory Surgery
Unknown,20,26,35,41,FRENCH HOSPITAL MEDICAL CENTER #400480,Ambulatory Surgery
Hispanic or Latino,1009,1018,1052,876,FRESNO DENTAL SURGERY CENTER - A VALLARINE DENTAL PRACTICE #105047,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,360,338,344,271,FRESNO DENTAL SURGERY CENTER - A VALLARINE DENTAL PRACTICE #105047,Ambulatory Surgery
Unknown,61,2,0,0,FRESNO DENTAL SURGERY CENTER - A VALLARINE DENTAL PRACTICE #105047,Ambulatory Surgery
Hispanic or Latino,459,463,421,394,FRESNO SURGICAL HOSPITAL #104047,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,1099,1104,1006,1054,FRESNO SURGICAL HOSPITAL #104047,Ambulatory Surgery
Hispanic or Latino,24,4,5,0,GARDEN GROVE HOSPITAL AND MEDICAL CENTER #301283,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,24,15,14,12,GARDEN GROVE HOSPITAL AND MEDICAL CENTER #301283,Ambulatory Surgery
Unknown,1,0,0,0,GARDEN GROVE HOSPITAL AND MEDICAL CENTER #301283,Ambulatory Surgery
Hispanic or Latino,258,278,274,246,GARFIELD MEDICAL CENTER #190315,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,581,622,624,572,GARFIELD MEDICAL CENTER #190315,Ambulatory Surgery
Not Provided/Blank,2,0,2,1,GARFIELD MEDICAL CENTER #190315,Ambulatory Surgery
Unknown,2,6,1,3,GARFIELD MEDICAL CENTER #190315,Ambulatory Surgery
Hispanic or Latino,227,188,259,270,GEORGE L. MEE MEMORIAL HOSPITAL #270777,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,82,75,67,58,GEORGE L. MEE MEMORIAL HOSPITAL #270777,Ambulatory Surgery
Unknown,0,0,2,0,GEORGE L. MEE MEMORIAL HOSPITAL #270777,Ambulatory Surgery
Hispanic or Latino,424,447,474,494,GLENDALE MEMORIAL HOSPITAL AND HEALTH CENTER #190522,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,871,937,952,935,GLENDALE MEMORIAL HOSPITAL AND HEALTH CENTER #190522,Ambulatory Surgery
Unknown,4,19,16,12,GLENDALE MEMORIAL HOSPITAL AND HEALTH CENTER #190522,Ambulatory Surgery
Hispanic or Latino,117,127,112,111,GOLETA VALLEY COTTAGE HOSPITAL #420483,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,460,432,374,397,GOLETA VALLEY COTTAGE HOSPITAL #420483,Ambulatory Surgery
Unknown,16,9,16,14,GOLETA VALLEY COTTAGE HOSPITAL #420483,Ambulatory Surgery
Hispanic or Latino,11,12,9,9,GOOD SAMARITAN HOSPITAL-BAKERSFIELD #150775,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,10,12,12,14,GOOD SAMARITAN HOSPITAL-BAKERSFIELD #150775,Ambulatory Surgery
Hispanic or Latino,269,329,314,342,GOOD SAMARITAN HOSPITAL-SAN JOSE #430779,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,1713,1829,1715,1800,GOOD SAMARITAN HOSPITAL-SAN JOSE #430779,Ambulatory Surgery
Unknown,167,136,136,173,GOOD SAMARITAN HOSPITAL-SAN JOSE #430779,Ambulatory Surgery
Hispanic or Latino,216,166,223,192,GRACE SURGERY CENTER #424085,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,49,52,68,53,GRACE SURGERY CENTER #424085,Ambulatory Surgery
Unknown,0,1,0,2,GRACE SURGERY CENTER #424085,Ambulatory Surgery
Hispanic or Latino,3,7,10,9,GREATER EL MONTE COMMUNITY HOSPITAL #190352,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,3,2,5,3,GREATER EL MONTE COMMUNITY HOSPITAL #190352,Ambulatory Surgery
Hispanic or Latino,1553,3464,3563,660,GROSSMONT HOSPITAL #370714,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,1637,16,0,2710,GROSSMONT HOSPITAL #370714,Ambulatory Surgery
Unknown,67,127,131,187,GROSSMONT HOSPITAL #370714,Ambulatory Surgery
Hispanic or Latino,537,653,637,586,"HAPY BEAR SURGERY, LLC #544086",Ambulatory Surgery
Non Hispanic or Latino Ethnicity,92,105,105,95,"HAPY BEAR SURGERY, LLC #544086",Ambulatory Surgery
Unknown,1,0,0,0,"HAPY BEAR SURGERY, LLC #544086",Ambulatory Surgery
Hispanic or Latino,167,200,212,202,HAZEL HAWKINS MEMORIAL HOSPITAL #350784,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,168,191,191,198,HAZEL HAWKINS MEMORIAL HOSPITAL #350784,Ambulatory Surgery
Unknown,1,1,3,2,HAZEL HAWKINS MEMORIAL HOSPITAL #350784,Ambulatory Surgery
Hispanic or Latino,43,65,45,43,HEALDSBURG HOSPITAL #490964,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,152,176,164,137,HEALDSBURG HOSPITAL #490964,Ambulatory Surgery
Unknown,18,23,15,17,HEALDSBURG HOSPITAL #490964,Ambulatory Surgery
Hispanic or Latino,93,103,85,67,HEMET GLOBAL MEDICAL CENTER #331194,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,172,129,141,98,HEMET GLOBAL MEDICAL CENTER #331194,Ambulatory Surgery
Unknown,3,3,2,2,HEMET GLOBAL MEDICAL CENTER #331194,Ambulatory Surgery
Hispanic or Latino,121,203,198,180,HENRY MAYO NEWHALL HOSPITAL #190949,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,901,896,1006,1002,HENRY MAYO NEWHALL HOSPITAL #190949,Ambulatory Surgery
Hispanic or Latino,12,15,10,13,HI-DESERT MEDICAL CENTER #362041,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,78,54,28,26,HI-DESERT MEDICAL CENTER #362041,Ambulatory Surgery
Unknown,1,1,0,1,HI-DESERT MEDICAL CENTER #362041,Ambulatory Surgery
Hispanic or Latino,303,261,229,200,HIGH DESERT HEALTH SYSTEM AMBULATORY SURGICAL CENTER #197943,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,112,119,83,95,HIGH DESERT HEALTH SYSTEM AMBULATORY SURGICAL CENTER #197943,Ambulatory Surgery
Unknown,22,9,12,10,HIGH DESERT HEALTH SYSTEM AMBULATORY SURGICAL CENTER #197943,Ambulatory Surgery
Hispanic or Latino,983,893,993,940,HIGHLAND HOSPITAL #010846,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,1021,1035,1217,961,HIGHLAND HOSPITAL #010846,Ambulatory Surgery
Unknown,16,4,2,1,HIGHLAND HOSPITAL #010846,Ambulatory Surgery
Hispanic or Latino,645,543,607,675,HOAG MEMORIAL HOSPITAL PRESBYTERIAN #301205,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,5293,4489,4902,5232,HOAG MEMORIAL HOSPITAL PRESBYTERIAN #301205,Ambulatory Surgery
Unknown,193,221,161,61,HOAG MEMORIAL HOSPITAL PRESBYTERIAN #301205,Ambulatory Surgery
Hispanic or Latino,52,54,58,63,HOAG ORTHOPEDIC INSTITUTE #304460,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,970,844,786,894,HOAG ORTHOPEDIC INSTITUTE #304460,Ambulatory Surgery
Unknown,55,40,53,60,HOAG ORTHOPEDIC INSTITUTE #304460,Ambulatory Surgery
Hispanic or Latino,518,486,451,464,HOLLYWOOD PRESBYTERIAN MEDICAL CENTER #190382,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,799,854,854,885,HOLLYWOOD PRESBYTERIAN MEDICAL CENTER #190382,Ambulatory Surgery
Unknown,32,14,10,41,HOLLYWOOD PRESBYTERIAN MEDICAL CENTER #190382,Ambulatory Surgery
Hispanic or Latino,2,2,1,5,HUNTINGTON BEACH HOSPITAL #301209,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,9,2,1,12,HUNTINGTON BEACH HOSPITAL #301209,Ambulatory Surgery
Hispanic or Latino,599,562,664,649,HUNTINGTON HOSPITAL #190400,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,1420,1456,1507,1762,HUNTINGTON HOSPITAL #190400,Ambulatory Surgery
Unknown,27,30,37,39,HUNTINGTON HOSPITAL #190400,Ambulatory Surgery
Hispanic or Latino,370,444,435,382,INDIO SURGERY CENTER INC. #334578,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,118,101,150,145,INDIO SURGERY CENTER INC. #334578,Ambulatory Surgery
Hispanic or Latino,1,0,1,0,JOHN C FREMONT HEALTHCARE DISTRICT #220733,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,18,16,15,20,JOHN C FREMONT HEALTHCARE DISTRICT #220733,Ambulatory Surgery
Unknown,1,0,1,0,JOHN C FREMONT HEALTHCARE DISTRICT #220733,Ambulatory Surgery
Hispanic or Latino,531,568,594,560,JOHN F. KENNEDY MEMORIAL HOSPITAL #331216,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,283,264,250,266,JOHN F. KENNEDY MEMORIAL HOSPITAL #331216,Ambulatory Surgery
Unknown,37,26,42,31,JOHN F. KENNEDY MEMORIAL HOSPITAL #331216,Ambulatory Surgery
Hispanic or Latino,322,323,338,351,JOHN MUIR MEDICAL CENTER-CONCORD CAMPUS #071018,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,1377,1383,1394,1382,JOHN MUIR MEDICAL CENTER-CONCORD CAMPUS #071018,Ambulatory Surgery
Unknown,11,24,18,24,JOHN MUIR MEDICAL CENTER-CONCORD CAMPUS #071018,Ambulatory Surgery
Hispanic or Latino,281,292,308,287,JOHN MUIR MEDICAL CENTER-WALNUT CREEK CAMPUS #070988,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,1309,1351,1406,1427,JOHN MUIR MEDICAL CENTER-WALNUT CREEK CAMPUS #070988,Ambulatory Surgery
Unknown,44,41,49,44,JOHN MUIR MEDICAL CENTER-WALNUT CREEK CAMPUS #070988,Ambulatory Surgery
Hispanic or Latino,363,389,408,413,KAISER FOUNDATION HOSPITAL & REHAB CENTER - VALLEJO #480989,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,1493,1567,1530,1534,KAISER FOUNDATION HOSPITAL & REHAB CENTER - VALLEJO #480989,Ambulatory Surgery
Unknown,8,4,4,11,KAISER FOUNDATION HOSPITAL & REHAB CENTER - VALLEJO #480989,Ambulatory Surgery
Hispanic or Latino,274,288,300,279,KAISER FOUNDATION HOSPITAL - ANTIOCH  #074097,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,1390,1409,1336,1367,KAISER FOUNDATION HOSPITAL - ANTIOCH  #074097,Ambulatory Surgery
Unknown,14,10,8,20,KAISER FOUNDATION HOSPITAL - ANTIOCH  #074097,Ambulatory Surgery
Hispanic or Latino,3747,3767,3832,3700,KAISER FOUNDATION HOSPITAL - BALDWIN PARK #196035,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,2841,2866,2786,2845,KAISER FOUNDATION HOSPITAL - BALDWIN PARK #196035,Ambulatory Surgery
Unknown,126,106,117,126,KAISER FOUNDATION HOSPITAL - BALDWIN PARK #196035,Ambulatory Surgery
Hispanic or Latino,2774,2839,2809,2780,KAISER FOUNDATION HOSPITAL - DOWNEY #196403,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,1481,1538,1544,1548,KAISER FOUNDATION HOSPITAL - DOWNEY #196403,Ambulatory Surgery
Unknown,38,48,37,47,KAISER FOUNDATION HOSPITAL - DOWNEY #196403,Ambulatory Surgery
Error/Unknown,2,0,0,0,KAISER FOUNDATION HOSPITAL - FONTANA #361223,Ambulatory Surgery
Hispanic or Latino,2949,3078,3022,3207,KAISER FOUNDATION HOSPITAL - FONTANA #361223,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,3912,3840,3891,3960,KAISER FOUNDATION HOSPITAL - FONTANA #361223,Ambulatory Surgery
Unknown,138,132,137,150,KAISER FOUNDATION HOSPITAL - FONTANA #361223,Ambulatory Surgery
Hispanic or Latino,1128,1167,1196,1163,KAISER FOUNDATION HOSPITAL - FRESNO #104062,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,1930,2158,2028,2133,KAISER FOUNDATION HOSPITAL - FRESNO #104062,Ambulatory Surgery
Unknown,16,14,7,15,KAISER FOUNDATION HOSPITAL - FRESNO #104062,Ambulatory Surgery
Error/Unknown,0,1,0,2,KAISER FOUNDATION HOSPITAL - LOS ANGELES #190429,Ambulatory Surgery
Hispanic or Latino,2029,2094,2093,2070,KAISER FOUNDATION HOSPITAL - LOS ANGELES #190429,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,3108,3058,3007,2960,KAISER FOUNDATION HOSPITAL - LOS ANGELES #190429,Ambulatory Surgery
Unknown,47,44,40,45,KAISER FOUNDATION HOSPITAL - LOS ANGELES #190429,Ambulatory Surgery
Hispanic or Latino,1181,1219,1248,1164,KAISER FOUNDATION HOSPITAL - MANTECA #394009,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,2346,2400,2396,2356,KAISER FOUNDATION HOSPITAL - MANTECA #394009,Ambulatory Surgery
Unknown,30,35,49,33,KAISER FOUNDATION HOSPITAL - MANTECA #394009,Ambulatory Surgery
Error/Unknown,0,0,1,0,KAISER FOUNDATION HOSPITAL - MORENO VALLEY #334048,Ambulatory Surgery
Hispanic or Latino,907,945,946,934,KAISER FOUNDATION HOSPITAL - MORENO VALLEY #334048,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,1492,1482,1500,1497,KAISER FOUNDATION HOSPITAL - MORENO VALLEY #334048,Ambulatory Surgery
Unknown,16,9,10,24,KAISER FOUNDATION HOSPITAL - MORENO VALLEY #334048,Ambulatory Surgery
Error/Unknown,0,0,0,4,KAISER FOUNDATION HOSPITAL - OAKLAND/RICHMOND #014326,Ambulatory Surgery
Hispanic or Latino,898,961,1071,1045,KAISER FOUNDATION HOSPITAL - OAKLAND/RICHMOND #014326,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,4379,4764,4617,4439,KAISER FOUNDATION HOSPITAL - OAKLAND/RICHMOND #014326,Ambulatory Surgery
Unknown,101,118,138,134,KAISER FOUNDATION HOSPITAL - OAKLAND/RICHMOND #014326,Ambulatory Surgery
Hispanic or Latino,1614,1635,1670,1662,KAISER FOUNDATION HOSPITAL - ORANGE COUNTY - ANAHEIM #304409,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,3812,4091,4047,4004,KAISER FOUNDATION HOSPITAL - ORANGE COUNTY - ANAHEIM #304409,Ambulatory Surgery
Unknown,63,61,57,38,KAISER FOUNDATION HOSPITAL - ORANGE COUNTY - ANAHEIM #304409,Ambulatory Surgery
Error/Unknown,0,0,0,1,KAISER FOUNDATION HOSPITAL - PANORAMA CITY #190432,Ambulatory Surgery
Hispanic or Latino,914,1016,991,1027,KAISER FOUNDATION HOSPITAL - PANORAMA CITY #190432,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,1215,1170,1192,1146,KAISER FOUNDATION HOSPITAL - PANORAMA CITY #190432,Ambulatory Surgery
Unknown,4,8,6,5,KAISER FOUNDATION HOSPITAL - PANORAMA CITY #190432,Ambulatory Surgery
Hispanic or Latino,494,515,473,430,KAISER FOUNDATION HOSPITAL - FREMONT #014132,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,1476,1546,1584,1499,KAISER FOUNDATION HOSPITAL - FREMONT #014132,Ambulatory Surgery
Unknown,35,54,46,39,KAISER FOUNDATION HOSPITAL - FREMONT #014132,Ambulatory Surgery
Hispanic or Latino,275,301,269,255,KAISER FOUNDATION HOSPITAL - REDWOOD CITY #414139,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,933,960,953,935,KAISER FOUNDATION HOSPITAL - REDWOOD CITY #414139,Ambulatory Surgery
Unknown,39,71,58,54,KAISER FOUNDATION HOSPITAL - REDWOOD CITY #414139,Ambulatory Surgery
Error/Unknown,0,0,0,1,KAISER FOUNDATION HOSPITAL - RIVERSIDE #334025,Ambulatory Surgery
Hispanic or Latino,644,711,696,670,KAISER FOUNDATION HOSPITAL - RIVERSIDE #334025,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,1070,1129,1096,1048,KAISER FOUNDATION HOSPITAL - RIVERSIDE #334025,Ambulatory Surgery
Unknown,8,2,5,1,KAISER FOUNDATION HOSPITAL - RIVERSIDE #334025,Ambulatory Surgery
Error/Unknown,0,0,1,1,KAISER FOUNDATION HOSPITAL - ROSEVILLE #314024,Ambulatory Surgery
Hispanic or Latino,482,534,518,569,KAISER FOUNDATION HOSPITAL - ROSEVILLE #314024,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,3417,3620,3416,3478,KAISER FOUNDATION HOSPITAL - ROSEVILLE #314024,Ambulatory Surgery
Unknown,71,67,46,64,KAISER FOUNDATION HOSPITAL - ROSEVILLE #314024,Ambulatory Surgery
Hispanic or Latino,494,539,511,513,KAISER FOUNDATION HOSPITAL - SACRAMENTO #340913,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,3172,3341,3272,3239,KAISER FOUNDATION HOSPITAL - SACRAMENTO #340913,Ambulatory Surgery
Unknown,60,47,48,61,KAISER FOUNDATION HOSPITAL - SACRAMENTO #340913,Ambulatory Surgery
Error/Unknown,0,0,1,0,KAISER FOUNDATION HOSPITAL - SAN DIEGO - ZION #370730,Ambulatory Surgery
Hispanic or Latino,1580,1517,1483,1492,KAISER FOUNDATION HOSPITAL - SAN DIEGO - ZION #370730,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,4487,4481,4000,4097,KAISER FOUNDATION HOSPITAL - SAN DIEGO - ZION #370730,Ambulatory Surgery
Unknown,47,48,38,47,KAISER FOUNDATION HOSPITAL - SAN DIEGO - ZION #370730,Ambulatory Surgery
Error/Unknown,0,2,2,3,KAISER FOUNDATION HOSPITAL - SAN FRANCISCO #380857,Ambulatory Surgery
Hispanic or Latino,650,603,590,563,KAISER FOUNDATION HOSPITAL - SAN FRANCISCO #380857,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,3558,3627,3546,3353,KAISER FOUNDATION HOSPITAL - SAN FRANCISCO #380857,Ambulatory Surgery
Unknown,18,34,18,29,KAISER FOUNDATION HOSPITAL - SAN FRANCISCO #380857,Ambulatory Surgery
Hispanic or Latino,821,802,810,790,KAISER FOUNDATION HOSPITAL - SAN JOSE #431506,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,1989,2028,1961,1915,KAISER FOUNDATION HOSPITAL - SAN JOSE #431506,Ambulatory Surgery
Unknown,49,70,57,50,KAISER FOUNDATION HOSPITAL - SAN JOSE #431506,Ambulatory Surgery
Error/Unknown,0,1,0,0,KAISER FOUNDATION HOSPITAL - SAN LEANDRO #014337,Ambulatory Surgery
Hispanic or Latino,738,731,790,769,KAISER FOUNDATION HOSPITAL - SAN LEANDRO #014337,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,2035,2164,2358,2205,KAISER FOUNDATION HOSPITAL - SAN LEANDRO #014337,Ambulatory Surgery
Unknown,10,10,18,17,KAISER FOUNDATION HOSPITAL - SAN LEANDRO #014337,Ambulatory Surgery
Hispanic or Latino,486,500,474,496,KAISER FOUNDATION HOSPITAL - SAN MARCOS #370028,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,1777,1832,1663,1665,KAISER FOUNDATION HOSPITAL - SAN MARCOS #370028,Ambulatory Surgery
Unknown,6,9,12,5,KAISER FOUNDATION HOSPITAL - SAN MARCOS #370028,Ambulatory Surgery
Hispanic or Latino,122,128,94,107,KAISER FOUNDATION HOSPITAL - SAN RAFAEL #210992,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,1050,1083,1087,1060,KAISER FOUNDATION HOSPITAL - SAN RAFAEL #210992,Ambulatory Surgery
Unknown,11,8,10,8,KAISER FOUNDATION HOSPITAL - SAN RAFAEL #210992,Ambulatory Surgery
Error/Unknown,1,0,0,0,KAISER FOUNDATION HOSPITAL - SANTA CLARA #434153,Ambulatory Surgery
Hispanic or Latino,835,915,893,896,KAISER FOUNDATION HOSPITAL - SANTA CLARA #434153,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,3395,3492,3464,3469,KAISER FOUNDATION HOSPITAL - SANTA CLARA #434153,Ambulatory Surgery
Unknown,49,39,55,52,KAISER FOUNDATION HOSPITAL - SANTA CLARA #434153,Ambulatory Surgery
Hispanic or Latino,525,586,606,568,KAISER FOUNDATION HOSPITAL - SANTA ROSA #494019,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,3284,3413,3422,3424,KAISER FOUNDATION HOSPITAL - SANTA ROSA #494019,Ambulatory Surgery
Unknown,81,102,83,91,KAISER FOUNDATION HOSPITAL - SANTA ROSA #494019,Ambulatory Surgery
Hispanic or Latino,1610,1626,1526,1571,KAISER FOUNDATION HOSPITAL - SOUTH BAY #190431,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,3031,2980,2892,3004,KAISER FOUNDATION HOSPITAL - SOUTH BAY #190431,Ambulatory Surgery
Unknown,79,73,61,86,KAISER FOUNDATION HOSPITAL - SOUTH BAY #190431,Ambulatory Surgery
Hispanic or Latino,583,541,640,539,KAISER FOUNDATION HOSPITAL - SOUTH SACRAMENTO #342344,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,2087,2117,2202,2270,KAISER FOUNDATION HOSPITAL - SOUTH SACRAMENTO #342344,Ambulatory Surgery
Unknown,22,18,13,13,KAISER FOUNDATION HOSPITAL - SOUTH SACRAMENTO #342344,Ambulatory Surgery
Error/Unknown,0,1,0,0,KAISER FOUNDATION HOSPITAL - SOUTH SAN FRANCISCO #410806,Ambulatory Surgery
Hispanic or Latino,262,286,291,268,KAISER FOUNDATION HOSPITAL - SOUTH SAN FRANCISCO #410806,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,928,912,912,859,KAISER FOUNDATION HOSPITAL - SOUTH SAN FRANCISCO #410806,Ambulatory Surgery
Unknown,11,12,13,18,KAISER FOUNDATION HOSPITAL - SOUTH SAN FRANCISCO #410806,Ambulatory Surgery
Hispanic or Latino,389,383,436,383,KAISER FOUNDATION HOSPITAL - VACAVILLE #484044,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,1755,1849,1907,1903,KAISER FOUNDATION HOSPITAL - VACAVILLE #484044,Ambulatory Surgery
Unknown,17,11,16,13,KAISER FOUNDATION HOSPITAL - VACAVILLE #484044,Ambulatory Surgery
Error/Unknown,0,0,1,0,KAISER FOUNDATION HOSPITAL - WALNUT CREEK #070990,Ambulatory Surgery
Hispanic or Latino,432,503,532,463,KAISER FOUNDATION HOSPITAL - WALNUT CREEK #070990,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,2847,2945,2825,2687,KAISER FOUNDATION HOSPITAL - WALNUT CREEK #070990,Ambulatory Surgery
Unknown,34,33,38,58,KAISER FOUNDATION HOSPITAL - WALNUT CREEK #070990,Ambulatory Surgery
Hispanic or Latino,901,895,926,908,KAISER FOUNDATION HOSPITAL - WEST LA #190434,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,1590,1565,1548,1581,KAISER FOUNDATION HOSPITAL - WEST LA #190434,Ambulatory Surgery
Unknown,9,22,23,11,KAISER FOUNDATION HOSPITAL - WEST LA #190434,Ambulatory Surgery
Hispanic or Latino,667,735,733,693,KAISER FOUNDATION HOSPITAL - WOODLAND HILLS #191450,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,2473,2413,2239,2264,KAISER FOUNDATION HOSPITAL - WOODLAND HILLS #191450,Ambulatory Surgery
Unknown,44,52,46,45,KAISER FOUNDATION HOSPITAL - WOODLAND HILLS #191450,Ambulatory Surgery
Hispanic or Latino,11,146,187,344,"KAISER FOUNDATION HOSPITALS, AMBULATORY SURGERY CENTER, ANTE #190024",Ambulatory Surgery
Non Hispanic or Latino Ethnicity,7,156,222,385,"KAISER FOUNDATION HOSPITALS, AMBULATORY SURGERY CENTER, ANTE #190024",Ambulatory Surgery
Unknown,1,2,10,13,"KAISER FOUNDATION HOSPITALS, AMBULATORY SURGERY CENTER, ANTE #190024",Ambulatory Surgery
Hispanic or Latino,1113,1088,1029,1087,KAWEAH HEALTH MEDICAL CENTER #540734,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,1504,1438,1264,1371,KAWEAH HEALTH MEDICAL CENTER #540734,Ambulatory Surgery
Unknown,31,47,32,29,KAWEAH HEALTH MEDICAL CENTER #540734,Ambulatory Surgery
Hispanic or Latino,1657,1765,1904,1736,KECK HOSPITAL OF USC #194219,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,4061,4098,4238,3929,KECK HOSPITAL OF USC #194219,Ambulatory Surgery
Unknown,311,281,306,312,KECK HOSPITAL OF USC #194219,Ambulatory Surgery
Hispanic or Latino,705,708,768,705,KERN MEDICAL CENTER #150736,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,380,374,385,354,KERN MEDICAL CENTER #150736,Ambulatory Surgery
Unknown,7,7,0,7,KERN MEDICAL CENTER #150736,Ambulatory Surgery
Hispanic or Latino,329,366,402,456,"KERN MEDICAL SURGERY CENTER, LLC. #150421",Ambulatory Surgery
Non Hispanic or Latino Ethnicity,241,240,237,269,"KERN MEDICAL SURGERY CENTER, LLC. #150421",Ambulatory Surgery
Unknown,1,0,0,0,"KERN MEDICAL SURGERY CENTER, LLC. #150421",Ambulatory Surgery
Non Hispanic or Latino Ethnicity,2,2,,,KERN VALLEY HEALTHCARE DISTRICT #150737,Ambulatory Surgery
Hispanic or Latino,86,80,81,73,L.A. DOWNTOWN MEDICAL CENTER #190661,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,25,16,18,14,L.A. DOWNTOWN MEDICAL CENTER #190661,Ambulatory Surgery
Unknown,0,1,5,2,L.A. DOWNTOWN MEDICAL CENTER #190661,Ambulatory Surgery
Hispanic or Latino,7,5,6,3,LA PALMA INTERCOMMUNITY HOSPITAL #301234,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,17,10,15,8,LA PALMA INTERCOMMUNITY HOSPITAL #301234,Ambulatory Surgery
Hispanic or Latino,1218,1190,1235,1095,LAC/HARBOR-UCLA MEDICAL CENTER #191227,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,488,475,538,555,LAC/HARBOR-UCLA MEDICAL CENTER #191227,Ambulatory Surgery
Not Provided/Blank,3,1,2,1,LAC/HARBOR-UCLA MEDICAL CENTER #191227,Ambulatory Surgery
Unknown,46,32,40,52,LAC/HARBOR-UCLA MEDICAL CENTER #191227,Ambulatory Surgery
Hispanic or Latino,197,225,200,208,LAC/RANCHO LOS AMIGOS NATIONAL REHAB CENTER #191306,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,62,57,69,46,LAC/RANCHO LOS AMIGOS NATIONAL REHAB CENTER #191306,Ambulatory Surgery
