EXPECTED PAYER SOURCE,Q1 2024,Q2 2024,Q3 2024,Q4 2024,Facility,Report
Medicare Part B,113,99,102,122,EAST LOS ANGELES DOCTORS HOSPITAL #190256,Emergency Department
Self Pay,268,317,268,292,EAST LOS ANGELES DOCTORS HOSPITAL #190256,Emergency Department
Workers' Compensation Health Claim,4,6,6,6,EAST LOS ANGELES DOCTORS HOSPITAL #190256,Emergency Department
Other Non-federal programs,148,143,177,200,EAST LOS ANGELES DOCTORS HOSPITAL #190256,Emergency Department
Blue Cross/Blue Shield,102,120,148,124,EASTERN PLUMAS HOSPITAL-PORTOLA CAMPUS #320859,Emergency Department
CHAMPUS (TRICARE),24,24,21,19,EASTERN PLUMAS HOSPITAL-PORTOLA CAMPUS #320859,Emergency Department
Commercial Insurance Company,50,77,122,73,EASTERN PLUMAS HOSPITAL-PORTOLA CAMPUS #320859,Emergency Department
Health Maintenance Organization,4,0,0,0,EASTERN PLUMAS HOSPITAL-PORTOLA CAMPUS #320859,Emergency Department
Health Maintenance Organization (HMO) Medicare Risk,2,0,4,0,EASTERN PLUMAS HOSPITAL-PORTOLA CAMPUS #320859,Emergency Department
Medicaid (Medi-Cal),318,348,377,363,EASTERN PLUMAS HOSPITAL-PORTOLA CAMPUS #320859,Emergency Department
Medicare Part B,334,341,389,289,EASTERN PLUMAS HOSPITAL-PORTOLA CAMPUS #320859,Emergency Department
Preferred Provider Organization (PPO),1,0,1,0,EASTERN PLUMAS HOSPITAL-PORTOLA CAMPUS #320859,Emergency Department
Self Pay,26,41,41,25,EASTERN PLUMAS HOSPITAL-PORTOLA CAMPUS #320859,Emergency Department
Workers' Compensation Health Claim,10,33,25,12,EASTERN PLUMAS HOSPITAL-PORTOLA CAMPUS #320859,Emergency Department
Automobile Medical,5,5,3,1,EISENHOWER MEDICAL CENTER #331168,Emergency Department
Commercial Insurance Company,395,220,213,336,EISENHOWER MEDICAL CENTER #331168,Emergency Department
Exclusive Provider Organization (EPO),1,4,4,6,EISENHOWER MEDICAL CENTER #331168,Emergency Department
Health Maintenance Organization (HMO) Medicare Risk,4886,4675,4573,4913,EISENHOWER MEDICAL CENTER #331168,Emergency Department
Medicaid (Medi-Cal),5858,6127,6071,6270,EISENHOWER MEDICAL CENTER #331168,Emergency Department
Medicare Part B,3408,2892,2523,3105,EISENHOWER MEDICAL CENTER #331168,Emergency Department
Preferred Provider Organization (PPO),2364,2263,2068,2244,EISENHOWER MEDICAL CENTER #331168,Emergency Department
Self Pay,709,586,516,617,EISENHOWER MEDICAL CENTER #331168,Emergency Department
Workers' Compensation Health Claim,203,231,205,174,EISENHOWER MEDICAL CENTER #331168,Emergency Department
Other,1,1,0,0,EISENHOWER MEDICAL CENTER #331168,Emergency Department
Other federal program,64,77,79,76,EISENHOWER MEDICAL CENTER #331168,Emergency Department
CHAMPUS (TRICARE),57,56,57,47,EL CAMINO HEALTH #430763,Emergency Department
Exclusive Provider Organization (EPO),106,155,180,228,EL CAMINO HEALTH #430763,Emergency Department
Health Maintenance Organization,1373,1339,1295,1244,EL CAMINO HEALTH #430763,Emergency Department
Health Maintenance Organization (HMO) Medicare Risk,756,709,737,718,EL CAMINO HEALTH #430763,Emergency Department
Medicaid (Medi-Cal),4555,4680,4240,4470,EL CAMINO HEALTH #430763,Emergency Department
Medicare Part B,3051,3062,3018,3011,EL CAMINO HEALTH #430763,Emergency Department
Point of Service (POS),131,158,144,109,EL CAMINO HEALTH #430763,Emergency Department
Preferred Provider Organization (PPO),5354,5492,4968,5084,EL CAMINO HEALTH #430763,Emergency Department
Self Pay,905,922,1023,909,EL CAMINO HEALTH #430763,Emergency Department
Veterans Affairs Plan,10,7,7,12,EL CAMINO HEALTH #430763,Emergency Department
Workers' Compensation Health Claim,159,147,141,150,EL CAMINO HEALTH #430763,Emergency Department
Other,118,135,101,109,EL CAMINO HEALTH #430763,Emergency Department
Other federal program,78,119,75,96,EL CAMINO HEALTH #430763,Emergency Department
Automobile Medical,0,0,0,21,EL CENTRO REGIONAL MEDICAL CENTER #130699,Emergency Department
Blue Cross/Blue Shield,590,691,693,729,EL CENTRO REGIONAL MEDICAL CENTER #130699,Emergency Department
CHAMPUS (TRICARE),142,165,132,164,EL CENTRO REGIONAL MEDICAL CENTER #130699,Emergency Department
Commercial Insurance Company,293,253,218,648,EL CENTRO REGIONAL MEDICAL CENTER #130699,Emergency Department
Health Maintenance Organization,72,64,58,19,EL CENTRO REGIONAL MEDICAL CENTER #130699,Emergency Department
Health Maintenance Organization (HMO) Medicare Risk,779,723,751,2393,EL CENTRO REGIONAL MEDICAL CENTER #130699,Emergency Department
Medicaid (Medi-Cal),3710,3964,4023,1764,EL CENTRO REGIONAL MEDICAL CENTER #130699,Emergency Department
Medicare Part A,2,0,5,0,EL CENTRO REGIONAL MEDICAL CENTER #130699,Emergency Department
Medicare Part B,1527,1480,1445,1935,EL CENTRO REGIONAL MEDICAL CENTER #130699,Emergency Department
Preferred Provider Organization (PPO),171,201,219,121,EL CENTRO REGIONAL MEDICAL CENTER #130699,Emergency Department
Self Pay,162,213,165,168,EL CENTRO REGIONAL MEDICAL CENTER #130699,Emergency Department
Workers' Compensation Health Claim,129,112,84,76,EL CENTRO REGIONAL MEDICAL CENTER #130699,Emergency Department
Other,1,0,2,14,EL CENTRO REGIONAL MEDICAL CENTER #130699,Emergency Department
Other federal program,37,28,42,9,EL CENTRO REGIONAL MEDICAL CENTER #130699,Emergency Department
Other Non-federal programs,2,0,0,0,EL CENTRO REGIONAL MEDICAL CENTER #130699,Emergency Department
Commercial Insurance Company,15,28,29,33,EMANATE HEALTH FOOTHILL PRESBYTERIAN HOSPITAL #190298,Emergency Department
Exclusive Provider Organization (EPO),64,82,68,81,EMANATE HEALTH FOOTHILL PRESBYTERIAN HOSPITAL #190298,Emergency Department
Health Maintenance Organization,980,984,1072,1102,EMANATE HEALTH FOOTHILL PRESBYTERIAN HOSPITAL #190298,Emergency Department
Health Maintenance Organization (HMO) Medicare Risk,1024,1065,1213,1153,EMANATE HEALTH FOOTHILL PRESBYTERIAN HOSPITAL #190298,Emergency Department
Medicaid (Medi-Cal),4306,4349,4197,4419,EMANATE HEALTH FOOTHILL PRESBYTERIAN HOSPITAL #190298,Emergency Department
Medicare Part B,648,655,700,706,EMANATE HEALTH FOOTHILL PRESBYTERIAN HOSPITAL #190298,Emergency Department
Point of Service (POS),198,170,204,236,EMANATE HEALTH FOOTHILL PRESBYTERIAN HOSPITAL #190298,Emergency Department
Preferred Provider Organization (PPO),620,740,763,803,EMANATE HEALTH FOOTHILL PRESBYTERIAN HOSPITAL #190298,Emergency Department
Self Pay,636,664,663,653,EMANATE HEALTH FOOTHILL PRESBYTERIAN HOSPITAL #190298,Emergency Department
Workers' Compensation Health Claim,63,64,78,61,EMANATE HEALTH FOOTHILL PRESBYTERIAN HOSPITAL #190298,Emergency Department
Other,54,47,59,56,EMANATE HEALTH FOOTHILL PRESBYTERIAN HOSPITAL #190298,Emergency Department
Commercial Insurance Company,16,21,19,31,EMANATE HEALTH INTER-COMMUNITY HOSPITAL #190413,Emergency Department
Exclusive Provider Organization (EPO),72,84,99,103,EMANATE HEALTH INTER-COMMUNITY HOSPITAL #190413,Emergency Department
Health Maintenance Organization,761,823,845,874,EMANATE HEALTH INTER-COMMUNITY HOSPITAL #190413,Emergency Department
Health Maintenance Organization (HMO) Medicare Risk,1056,1129,1170,1179,EMANATE HEALTH INTER-COMMUNITY HOSPITAL #190413,Emergency Department
Medicaid (Medi-Cal),4252,4368,4240,4881,EMANATE HEALTH INTER-COMMUNITY HOSPITAL #190413,Emergency Department
Medicare Part B,628,627,692,636,EMANATE HEALTH INTER-COMMUNITY HOSPITAL #190413,Emergency Department
Point of Service (POS),142,142,147,146,EMANATE HEALTH INTER-COMMUNITY HOSPITAL #190413,Emergency Department
Preferred Provider Organization (PPO),457,488,520,554,EMANATE HEALTH INTER-COMMUNITY HOSPITAL #190413,Emergency Department
Self Pay,580,588,608,616,EMANATE HEALTH INTER-COMMUNITY HOSPITAL #190413,Emergency Department
Workers' Compensation Health Claim,53,46,43,47,EMANATE HEALTH INTER-COMMUNITY HOSPITAL #190413,Emergency Department
Other,28,39,49,40,EMANATE HEALTH INTER-COMMUNITY HOSPITAL #190413,Emergency Department
Commercial Insurance Company,36,31,29,18,EMANATE HEALTH QUEEN OF THE VALLEY HOSPITAL #190636,Emergency Department
Exclusive Provider Organization (EPO),85,89,90,116,EMANATE HEALTH QUEEN OF THE VALLEY HOSPITAL #190636,Emergency Department
Health Maintenance Organization,1164,1233,1218,1295,EMANATE HEALTH QUEEN OF THE VALLEY HOSPITAL #190636,Emergency Department
Health Maintenance Organization (HMO) Medicare Risk,1227,1270,1385,1400,EMANATE HEALTH QUEEN OF THE VALLEY HOSPITAL #190636,Emergency Department
Medicaid (Medi-Cal),8804,8905,8491,9078,EMANATE HEALTH QUEEN OF THE VALLEY HOSPITAL #190636,Emergency Department
Medicare Part B,700,715,741,688,EMANATE HEALTH QUEEN OF THE VALLEY HOSPITAL #190636,Emergency Department
Point of Service (POS),164,176,166,188,EMANATE HEALTH QUEEN OF THE VALLEY HOSPITAL #190636,Emergency Department
Preferred Provider Organization (PPO),598,615,618,728,EMANATE HEALTH QUEEN OF THE VALLEY HOSPITAL #190636,Emergency Department
Self Pay,1244,1283,1450,1380,EMANATE HEALTH QUEEN OF THE VALLEY HOSPITAL #190636,Emergency Department
Workers' Compensation Health Claim,81,61,110,60,EMANATE HEALTH QUEEN OF THE VALLEY HOSPITAL #190636,Emergency Department
Other,48,39,53,67,EMANATE HEALTH QUEEN OF THE VALLEY HOSPITAL #190636,Emergency Department
Automobile Medical,10,31,25,16,EMANUEL MEDICAL CENTER #500867,Emergency Department
Blue Cross/Blue Shield,13,13,13,4,EMANUEL MEDICAL CENTER #500867,Emergency Department
CHAMPUS (TRICARE),39,33,30,38,EMANUEL MEDICAL CENTER #500867,Emergency Department
Commercial Insurance Company,40,42,50,54,EMANUEL MEDICAL CENTER #500867,Emergency Department
Exclusive Provider Organization (EPO),249,250,278,232,EMANUEL MEDICAL CENTER #500867,Emergency Department
Health Maintenance Organization,276,313,344,351,EMANUEL MEDICAL CENTER #500867,Emergency Department
Health Maintenance Organization (HMO) Medicare Risk,909,924,1027,878,EMANUEL MEDICAL CENTER #500867,Emergency Department
Medicaid (Medi-Cal),8716,8939,8575,8479,EMANUEL MEDICAL CENTER #500867,Emergency Department
Medicare Part B,1217,1228,1254,1216,EMANUEL MEDICAL CENTER #500867,Emergency Department
Point of Service (POS),125,115,112,121,EMANUEL MEDICAL CENTER #500867,Emergency Department
Preferred Provider Organization (PPO),1643,1649,1590,1572,EMANUEL MEDICAL CENTER #500867,Emergency Department
Self Pay,756,774,771,767,EMANUEL MEDICAL CENTER #500867,Emergency Department
Title V,5,1,1,4,EMANUEL MEDICAL CENTER #500867,Emergency Department
Veterans Affairs Plan,6,1,5,9,EMANUEL MEDICAL CENTER #500867,Emergency Department
Workers' Compensation Health Claim,99,117,114,94,EMANUEL MEDICAL CENTER #500867,Emergency Department
Other,24,20,10,72,EMANUEL MEDICAL CENTER #500867,Emergency Department
Other federal program,9,11,12,15,EMANUEL MEDICAL CENTER #500867,Emergency Department
Other Non-federal programs,41,52,52,54,EMANUEL MEDICAL CENTER #500867,Emergency Department
Blue Cross/Blue Shield,0,1,0,0,ENCINO HOSPITAL MEDICAL CENTER #190280,Emergency Department
CHAMPUS (TRICARE),2,1,0,0,ENCINO HOSPITAL MEDICAL CENTER #190280,Emergency Department
Health Maintenance Organization,14,6,13,13,ENCINO HOSPITAL MEDICAL CENTER #190280,Emergency Department
Health Maintenance Organization (HMO) Medicare Risk,10,13,8,18,ENCINO HOSPITAL MEDICAL CENTER #190280,Emergency Department
Medicaid (Medi-Cal),728,796,763,875,ENCINO HOSPITAL MEDICAL CENTER #190280,Emergency Department
Medicare Part B,365,400,390,406,ENCINO HOSPITAL MEDICAL CENTER #190280,Emergency Department
Preferred Provider Organization (PPO),333,323,321,352,ENCINO HOSPITAL MEDICAL CENTER #190280,Emergency Department
Self Pay,89,60,82,91,ENCINO HOSPITAL MEDICAL CENTER #190280,Emergency Department
Workers' Compensation Health Claim,10,13,19,16,ENCINO HOSPITAL MEDICAL CENTER #190280,Emergency Department
Automobile Medical,42,36,23,31,ENLOE HEALTH #040962,Emergency Department
Blue Cross/Blue Shield,3005,3193,2853,3140,ENLOE HEALTH #040962,Emergency Department
CHAMPUS (TRICARE),60,51,41,62,ENLOE HEALTH #040962,Emergency Department
Commercial Insurance Company,120,95,111,141,ENLOE HEALTH #040962,Emergency Department
Health Maintenance Organization (HMO) Medicare Risk,746,813,841,830,ENLOE HEALTH #040962,Emergency Department
Medicaid (Medi-Cal),7125,7312,7111,7072,ENLOE HEALTH #040962,Emergency Department
Medicare Part A,0,1,3,0,ENLOE HEALTH #040962,Emergency Department
Medicare Part B,3173,3387,3249,3267,ENLOE HEALTH #040962,Emergency Department
Preferred Provider Organization (PPO),555,581,574,659,ENLOE HEALTH #040962,Emergency Department
Self Pay,756,719,761,718,ENLOE HEALTH #040962,Emergency Department
Veterans Affairs Plan,188,186,217,220,ENLOE HEALTH #040962,Emergency Department
Workers' Compensation Health Claim,272,324,420,320,ENLOE HEALTH #040962,Emergency Department
Other,0,16,4,0,ENLOE HEALTH #040962,Emergency Department
Automobile Medical,3,6,8,4,FAIRCHILD MEDICAL CENTER #474007,Emergency Department
Blue Cross/Blue Shield,0,0,1,1,FAIRCHILD MEDICAL CENTER #474007,Emergency Department
CHAMPUS (TRICARE),5,7,10,9,FAIRCHILD MEDICAL CENTER #474007,Emergency Department
Commercial Insurance Company,3,8,9,3,FAIRCHILD MEDICAL CENTER #474007,Emergency Department
Exclusive Provider Organization (EPO),7,9,14,8,FAIRCHILD MEDICAL CENTER #474007,Emergency Department
Health Maintenance Organization,29,21,31,26,FAIRCHILD MEDICAL CENTER #474007,Emergency Department
Health Maintenance Organization (HMO) Medicare Risk,28,42,32,42,FAIRCHILD MEDICAL CENTER #474007,Emergency Department
Medicaid (Medi-Cal),1367,1437,1307,1218,FAIRCHILD MEDICAL CENTER #474007,Emergency Department
Medicare Part B,778,823,748,726,FAIRCHILD MEDICAL CENTER #474007,Emergency Department
Point of Service (POS),10,14,11,11,FAIRCHILD MEDICAL CENTER #474007,Emergency Department
Preferred Provider Organization (PPO),412,479,481,450,FAIRCHILD MEDICAL CENTER #474007,Emergency Department
Self Pay,160,136,153,126,FAIRCHILD MEDICAL CENTER #474007,Emergency Department
Veterans Affairs Plan,63,78,70,80,FAIRCHILD MEDICAL CENTER #474007,Emergency Department
Workers' Compensation Health Claim,30,56,93,37,FAIRCHILD MEDICAL CENTER #474007,Emergency Department
Other,2,1,5,6,FAIRCHILD MEDICAL CENTER #474007,Emergency Department
Other Non-federal programs,13,9,13,8,FAIRCHILD MEDICAL CENTER #474007,Emergency Department
Blue Cross/Blue Shield,176,166,203,153,FOOTHILL REGIONAL MEDICAL CENTER #301357,Emergency Department
CHAMPUS (TRICARE),13,10,4,6,FOOTHILL REGIONAL MEDICAL CENTER #301357,Emergency Department
Commercial Insurance Company,68,65,88,80,FOOTHILL REGIONAL MEDICAL CENTER #301357,Emergency Department
Health Maintenance Organization,37,19,21,72,FOOTHILL REGIONAL MEDICAL CENTER #301357,Emergency Department
Health Maintenance Organization (HMO) Medicare Risk,43,30,35,33,FOOTHILL REGIONAL MEDICAL CENTER #301357,Emergency Department
Medicaid (Medi-Cal),653,513,535,511,FOOTHILL REGIONAL MEDICAL CENTER #301357,Emergency Department
Medicare Part A,0,0,1,0,FOOTHILL REGIONAL MEDICAL CENTER #301357,Emergency Department
Medicare Part B,0,98,74,94,FOOTHILL REGIONAL MEDICAL CENTER #301357,Emergency Department
Preferred Provider Organization (PPO),15,10,17,37,FOOTHILL REGIONAL MEDICAL CENTER #301357,Emergency Department
Self Pay,204,164,142,136,FOOTHILL REGIONAL MEDICAL CENTER #301357,Emergency Department
Workers' Compensation Health Claim,7,8,5,4,FOOTHILL REGIONAL MEDICAL CENTER #301357,Emergency Department
Blue Cross/Blue Shield,163,197,190,224,FRENCH HOSPITAL MEDICAL CENTER #400480,Emergency Department
CHAMPUS (TRICARE),31,34,27,25,FRENCH HOSPITAL MEDICAL CENTER #400480,Emergency Department
Commercial Insurance Company,1072,1236,1198,1136,FRENCH HOSPITAL MEDICAL CENTER #400480,Emergency Department
Exclusive Provider Organization (EPO),8,8,8,2,FRENCH HOSPITAL MEDICAL CENTER #400480,Emergency Department
Health Maintenance Organization,395,490,444,416,FRENCH HOSPITAL MEDICAL CENTER #400480,Emergency Department
Health Maintenance Organization (HMO) Medicare Risk,361,488,522,468,FRENCH HOSPITAL MEDICAL CENTER #400480,Emergency Department
Medicaid (Medi-Cal),481,548,566,493,FRENCH HOSPITAL MEDICAL CENTER #400480,Emergency Department
Medicare Part B,1728,1805,1991,1752,FRENCH HOSPITAL MEDICAL CENTER #400480,Emergency Department
Preferred Provider Organization (PPO),1070,1209,1162,1207,FRENCH HOSPITAL MEDICAL CENTER #400480,Emergency Department
Self Pay,118,103,142,124,FRENCH HOSPITAL MEDICAL CENTER #400480,Emergency Department
Veterans Affairs Plan,89,76,102,86,FRENCH HOSPITAL MEDICAL CENTER #400480,Emergency Department
Workers' Compensation Health Claim,28,60,37,42,FRENCH HOSPITAL MEDICAL CENTER #400480,Emergency Department
Other,1,5,9,4,FRENCH HOSPITAL MEDICAL CENTER #400480,Emergency Department
Other federal program,21,27,47,29,FRENCH HOSPITAL MEDICAL CENTER #400480,Emergency Department
Other Non-federal programs,155,183,174,174,FRENCH HOSPITAL MEDICAL CENTER #400480,Emergency Department
CHAMPUS (TRICARE),0,0,1,4,GARDEN GROVE HOSPITAL AND MEDICAL CENTER #301283,Emergency Department
Commercial Insurance Company,39,45,42,48,GARDEN GROVE HOSPITAL AND MEDICAL CENTER #301283,Emergency Department
Health Maintenance Organization,692,684,697,705,GARDEN GROVE HOSPITAL AND MEDICAL CENTER #301283,Emergency Department
Health Maintenance Organization (HMO) Medicare Risk,244,240,206,207,GARDEN GROVE HOSPITAL AND MEDICAL CENTER #301283,Emergency Department
Medicaid (Medi-Cal),3192,3112,3183,2965,GARDEN GROVE HOSPITAL AND MEDICAL CENTER #301283,Emergency Department
Medicare Part A,0,0,2,0,GARDEN GROVE HOSPITAL AND MEDICAL CENTER #301283,Emergency Department
Medicare Part B,22,16,10,7,GARDEN GROVE HOSPITAL AND MEDICAL CENTER #301283,Emergency Department
Preferred Provider Organization (PPO),395,393,432,523,GARDEN GROVE HOSPITAL AND MEDICAL CENTER #301283,Emergency Department
Self Pay,255,304,385,340,GARDEN GROVE HOSPITAL AND MEDICAL CENTER #301283,Emergency Department
Veterans Affairs Plan,1,0,3,1,GARDEN GROVE HOSPITAL AND MEDICAL CENTER #301283,Emergency Department
Other,8,3,3,2,GARDEN GROVE HOSPITAL AND MEDICAL CENTER #301283,Emergency Department
Other federal program,5,2,1,1,GARDEN GROVE HOSPITAL AND MEDICAL CENTER #301283,Emergency Department
Other Non-federal programs,5,10,5,7,GARDEN GROVE HOSPITAL AND MEDICAL CENTER #301283,Emergency Department
Blue Cross/Blue Shield,371,315,326,404,GARFIELD MEDICAL CENTER #190315,Emergency Department
CHAMPUS (TRICARE),11,2,7,9,GARFIELD MEDICAL CENTER #190315,Emergency Department
Commercial Insurance Company,127,131,132,126,GARFIELD MEDICAL CENTER #190315,Emergency Department
Exclusive Provider Organization (EPO),74,71,80,69,GARFIELD MEDICAL CENTER #190315,Emergency Department
Health Maintenance Organization,2482,2760,2729,3179,GARFIELD MEDICAL CENTER #190315,Emergency Department
Health Maintenance Organization (HMO) Medicare Risk,766,787,869,973,GARFIELD MEDICAL CENTER #190315,Emergency Department
Medicaid (Medi-Cal),292,324,248,195,GARFIELD MEDICAL CENTER #190315,Emergency Department
Medicare Part A,1,0,0,0,GARFIELD MEDICAL CENTER #190315,Emergency Department
Medicare Part B,426,449,563,545,GARFIELD MEDICAL CENTER #190315,Emergency Department
Point of Service (POS),24,25,28,33,GARFIELD MEDICAL CENTER #190315,Emergency Department
Preferred Provider Organization (PPO),48,40,67,64,GARFIELD MEDICAL CENTER #190315,Emergency Department
Self Pay,307,302,364,379,GARFIELD MEDICAL CENTER #190315,Emergency Department
Veterans Affairs Plan,3,2,4,3,GARFIELD MEDICAL CENTER #190315,Emergency Department
Workers' Compensation Health Claim,19,17,21,17,GARFIELD MEDICAL CENTER #190315,Emergency Department
Other Non-federal programs,0,0,1,1,GARFIELD MEDICAL CENTER #190315,Emergency Department
Automobile Medical,4,1,1,0,GEORGE L. MEE MEMORIAL HOSPITAL #270777,Emergency Department
Blue Cross/Blue Shield,218,189,206,200,GEORGE L. MEE MEMORIAL HOSPITAL #270777,Emergency Department
Commercial Insurance Company,295,443,404,320,GEORGE L. MEE MEMORIAL HOSPITAL #270777,Emergency Department
Health Maintenance Organization (HMO) Medicare Risk,16,18,36,29,GEORGE L. MEE MEMORIAL HOSPITAL #270777,Emergency Department
Medicaid (Medi-Cal),2942,3425,2822,2910,GEORGE L. MEE MEMORIAL HOSPITAL #270777,Emergency Department
Medicare Part B,302,303,325,253,GEORGE L. MEE MEMORIAL HOSPITAL #270777,Emergency Department
Self Pay,115,112,135,110,GEORGE L. MEE MEMORIAL HOSPITAL #270777,Emergency Department
Workers' Compensation Health Claim,39,56,42,31,GEORGE L. MEE MEMORIAL HOSPITAL #270777,Emergency Department
Other,1,1,1,0,GEORGE L. MEE MEMORIAL HOSPITAL #270777,Emergency Department
Other federal program,54,131,63,29,GEORGE L. MEE MEMORIAL HOSPITAL #270777,Emergency Department
Blue Cross/Blue Shield,5,2,6,6,GLENDALE MEMORIAL HOSPITAL AND HEALTH CENTER #190522,Emergency Department
CHAMPUS (TRICARE),7,11,11,7,GLENDALE MEMORIAL HOSPITAL AND HEALTH CENTER #190522,Emergency Department
Commercial Insurance Company,37,36,37,32,GLENDALE MEMORIAL HOSPITAL AND HEALTH CENTER #190522,Emergency Department
Health Maintenance Organization,494,502,543,547,GLENDALE MEMORIAL HOSPITAL AND HEALTH CENTER #190522,Emergency Department
Health Maintenance Organization (HMO) Medicare Risk,574,563,623,616,GLENDALE MEMORIAL HOSPITAL AND HEALTH CENTER #190522,Emergency Department
Medicaid (Medi-Cal),4142,4080,3930,4147,GLENDALE MEMORIAL HOSPITAL AND HEALTH CENTER #190522,Emergency Department
Medicare Part B,760,764,882,848,GLENDALE MEMORIAL HOSPITAL AND HEALTH CENTER #190522,Emergency Department
Preferred Provider Organization (PPO),636,668,689,694,GLENDALE MEMORIAL HOSPITAL AND HEALTH CENTER #190522,Emergency Department
Self Pay,399,422,378,402,GLENDALE MEMORIAL HOSPITAL AND HEALTH CENTER #190522,Emergency Department
Veterans Affairs Plan,11,12,12,17,GLENDALE MEMORIAL HOSPITAL AND HEALTH CENTER #190522,Emergency Department
Workers' Compensation Health Claim,51,68,61,57,GLENDALE MEMORIAL HOSPITAL AND HEALTH CENTER #190522,Emergency Department
Other,2,7,8,2,GLENDALE MEMORIAL HOSPITAL AND HEALTH CENTER #190522,Emergency Department
Other federal program,54,61,33,52,GLENDALE MEMORIAL HOSPITAL AND HEALTH CENTER #190522,Emergency Department
Blank/Invalid,11,15,75,0,GLENDALE MEMORIAL HOSPITAL AND HEALTH CENTER #190522,Emergency Department
Blue Cross/Blue Shield,93,95,92,101,GLENN MEDICAL CENTER #110889,Emergency Department
CHAMPUS (TRICARE),1,2,0,1,GLENN MEDICAL CENTER #110889,Emergency Department
Commercial Insurance Company,122,143,152,129,GLENN MEDICAL CENTER #110889,Emergency Department
Medicaid (Medi-Cal),802,811,723,716,GLENN MEDICAL CENTER #110889,Emergency Department
Medicare Part B,329,378,355,356,GLENN MEDICAL CENTER #110889,Emergency Department
Self Pay,88,94,86,87,GLENN MEDICAL CENTER #110889,Emergency Department
Workers' Compensation Health Claim,50,55,73,43,GLENN MEDICAL CENTER #110889,Emergency Department
CHAMPUS (TRICARE),1,3,0,1,GOLETA VALLEY COTTAGE HOSPITAL #420483,Emergency Department
Commercial Insurance Company,68,67,64,60,GOLETA VALLEY COTTAGE HOSPITAL #420483,Emergency Department
Health Maintenance Organization,48,51,46,43,GOLETA VALLEY COTTAGE HOSPITAL #420483,Emergency Department
Health Maintenance Organization (HMO) Medicare Risk,956,935,904,1030,GOLETA VALLEY COTTAGE HOSPITAL #420483,Emergency Department
Medicaid (Medi-Cal),1932,1897,1884,1973,GOLETA VALLEY COTTAGE HOSPITAL #420483,Emergency Department
Medicare Part B,1308,1563,1643,1544,GOLETA VALLEY COTTAGE HOSPITAL #420483,Emergency Department
Point of Service (POS),0,5,2,6,GOLETA VALLEY COTTAGE HOSPITAL #420483,Emergency Department
Preferred Provider Organization (PPO),1456,1545,1310,1547,GOLETA VALLEY COTTAGE HOSPITAL #420483,Emergency Department
Self Pay,146,168,174,194,GOLETA VALLEY COTTAGE HOSPITAL #420483,Emergency Department
Workers' Compensation Health Claim,94,132,108,101,GOLETA VALLEY COTTAGE HOSPITAL #420483,Emergency Department
Other,3,0,1,1,GOLETA VALLEY COTTAGE HOSPITAL #420483,Emergency Department
Other federal program,106,97,95,86,GOLETA VALLEY COTTAGE HOSPITAL #420483,Emergency Department
Blue Cross/Blue Shield,246,257,163,118,GOOD SAMARITAN HOSPITAL-SAN JOSE #430779,Emergency Department
CHAMPUS (TRICARE),48,39,36,61,GOOD SAMARITAN HOSPITAL-SAN JOSE #430779,Emergency Department
Commercial Insurance Company,278,309,318,337,GOOD SAMARITAN HOSPITAL-SAN JOSE #430779,Emergency Department
Health Maintenance Organization,1295,1425,1323,1401,GOOD SAMARITAN HOSPITAL-SAN JOSE #430779,Emergency Department
Health Maintenance Organization (HMO) Medicare Risk,1189,1168,1151,1233,GOOD SAMARITAN HOSPITAL-SAN JOSE #430779,Emergency Department
Medicaid (Medi-Cal),4133,4344,4024,4234,GOOD SAMARITAN HOSPITAL-SAN JOSE #430779,Emergency Department
Medicare Part B,1757,1781,1868,1800,GOOD SAMARITAN HOSPITAL-SAN JOSE #430779,Emergency Department
Preferred Provider Organization (PPO),3659,3924,3775,3916,GOOD SAMARITAN HOSPITAL-SAN JOSE #430779,Emergency Department
Self Pay,951,1113,1187,1108,GOOD SAMARITAN HOSPITAL-SAN JOSE #430779,Emergency Department
Title V,0,0,0,3,GOOD SAMARITAN HOSPITAL-SAN JOSE #430779,Emergency Department
Veterans Affairs Plan,40,44,37,35,GOOD SAMARITAN HOSPITAL-SAN JOSE #430779,Emergency Department
Workers' Compensation Health Claim,76,85,93,89,GOOD SAMARITAN HOSPITAL-SAN JOSE #430779,Emergency Department
Other,115,113,116,79,GOOD SAMARITAN HOSPITAL-SAN JOSE #430779,Emergency Department
Blank/Invalid,0,0,0,1,GOOD SAMARITAN HOSPITAL-SAN JOSE #430779,Emergency Department
Blue Cross/Blue Shield,156,170,158,193,GREATER EL MONTE COMMUNITY HOSPITAL #190352,Emergency Department
CHAMPUS (TRICARE),7,2,1,6,GREATER EL MONTE COMMUNITY HOSPITAL #190352,Emergency Department
Commercial Insurance Company,242,295,380,362,GREATER EL MONTE COMMUNITY HOSPITAL #190352,Emergency Department
Error/Unknown,0,0,0,19,GREATER EL MONTE COMMUNITY HOSPITAL #190352,Emergency Department
Exclusive Provider Organization (EPO),19,14,14,12,GREATER EL MONTE COMMUNITY HOSPITAL #190352,Emergency Department
Health Maintenance Organization,4006,4102,3959,4342,GREATER EL MONTE COMMUNITY HOSPITAL #190352,Emergency Department
Health Maintenance Organization (HMO) Medicare Risk,153,166,203,199,GREATER EL MONTE COMMUNITY HOSPITAL #190352,Emergency Department
