PREFERRED LANGUAGE SPOKEN,PREFERRED LANGUAGE SPOKEN_1,Q1 2024,Q2 2024,Q3 2024,Q4 2024,Facility,Report
HIN,Hindi,2,4,3,3,COMMUNITY HOSPITAL OF SAN BERNARDINO #361323,Emergency Department
IND,Indonesian,0,0,1,0,COMMUNITY HOSPITAL OF SAN BERNARDINO #361323,Emergency Department
JPN,Japanese,0,0,1,0,COMMUNITY HOSPITAL OF SAN BERNARDINO #361323,Emergency Department
KOR,Korean,0,1,3,4,COMMUNITY HOSPITAL OF SAN BERNARDINO #361323,Emergency Department
LAO,Lao,2,5,0,1,COMMUNITY HOSPITAL OF SAN BERNARDINO #361323,Emergency Department
CMN,Mandarin,3,1,0,3,COMMUNITY HOSPITAL OF SAN BERNARDINO #361323,Emergency Department
MKH,Mon-Khmer,1,3,3,5,COMMUNITY HOSPITAL OF SAN BERNARDINO #361323,Emergency Department
PAN,Panjabi; Punjabi,4,0,1,7,COMMUNITY HOSPITAL OF SAN BERNARDINO #361323,Emergency Department
PUS,Pashto,0,0,0,2,COMMUNITY HOSPITAL OF SAN BERNARDINO #361323,Emergency Department
RUM,Romanian,0,1,0,1,COMMUNITY HOSPITAL OF SAN BERNARDINO #361323,Emergency Department
RUS,Russian,1,0,1,0,COMMUNITY HOSPITAL OF SAN BERNARDINO #361323,Emergency Department
SGN,Sign Language,1,0,3,2,COMMUNITY HOSPITAL OF SAN BERNARDINO #361323,Emergency Department
SPA,Spanish,3131,3432,3414,3545,COMMUNITY HOSPITAL OF SAN BERNARDINO #361323,Emergency Department
TGL,Tagalog,1,0,0,1,COMMUNITY HOSPITAL OF SAN BERNARDINO #361323,Emergency Department
TIR,Tigrinya,0,1,0,0,COMMUNITY HOSPITAL OF SAN BERNARDINO #361323,Emergency Department
TON,Tonga,0,1,0,1,COMMUNITY HOSPITAL OF SAN BERNARDINO #361323,Emergency Department
UKR,Ukrainian,0,0,1,0,COMMUNITY HOSPITAL OF SAN BERNARDINO #361323,Emergency Department
URD,Urdu,0,1,2,2,COMMUNITY HOSPITAL OF SAN BERNARDINO #361323,Emergency Department
VIE,Vietnamese,4,6,4,4,COMMUNITY HOSPITAL OF SAN BERNARDINO #361323,Emergency Department
999,Unknown,18,13,12,12,COMMUNITY HOSPITAL OF SAN BERNARDINO #361323,Emergency Department
ARA,Arabic,12,26,13,10,COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA #270744,Emergency Department
BAQ,Basque,0,0,0,1,COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA #270744,Emergency Department
BOS,Bosnian,1,0,0,0,COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA #270744,Emergency Department
BUL,Bulgarian,2,0,0,0,COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA #270744,Emergency Department
CHI,Chinese,2,4,5,7,COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA #270744,Emergency Department
CZE,Czech,0,1,1,0,COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA #270744,Emergency Department
DUT,Dutch,0,0,1,0,COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA #270744,Emergency Department
ENG,English,9603,9672,9968,10051,COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA #270744,Emergency Department
EPO,Esperanto,0,0,1,0,COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA #270744,Emergency Department
FIJ,Fijian,2,2,0,0,COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA #270744,Emergency Department
FRE,French,1,1,6,5,COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA #270744,Emergency Department
GER,German,3,2,3,4,COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA #270744,Emergency Department
GUJ,Gujarati,0,0,0,2,COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA #270744,Emergency Department
HIN,Hindi,7,5,1,6,COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA #270744,Emergency Department
IBO,Igbo,0,1,0,0,COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA #270744,Emergency Department
IND,Indonesian,0,0,0,1,COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA #270744,Emergency Department
ITA,Italian,2,1,6,5,COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA #270744,Emergency Department
JPN,Japanese,4,5,6,4,COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA #270744,Emergency Department
KOR,Korean,16,19,17,11,COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA #270744,Emergency Department
CMN,Mandarin,2,1,8,4,COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA #270744,Emergency Department
NEP,Nepali,3,0,1,2,COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA #270744,Emergency Department
PAN,Panjabi; Punjabi,0,0,0,1,COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA #270744,Emergency Department
PER,Persian,9,5,8,3,COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA #270744,Emergency Department
POL,Polish,3,1,1,0,COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA #270744,Emergency Department
POR,Portuguese,0,2,3,7,COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA #270744,Emergency Department
RUM,Romanian,2,0,1,1,COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA #270744,Emergency Department
RUS,Russian,9,10,3,5,COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA #270744,Emergency Department
SCN,Sicilian,2,0,0,0,COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA #270744,Emergency Department
SGN,Sign Language,0,4,2,0,COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA #270744,Emergency Department
SPA,Spanish,1372,1421,1312,1323,COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA #270744,Emergency Department
SWE,Swedish,0,0,1,1,COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA #270744,Emergency Department
TGL,Tagalog,3,6,6,6,COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA #270744,Emergency Department
TON,Tonga,0,0,0,1,COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA #270744,Emergency Department
UKR,Ukrainian,1,0,1,0,COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA #270744,Emergency Department
VIE,Vietnamese,28,28,27,31,COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA #270744,Emergency Department
999,Unknown,10,21,24,28,COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA #270744,Emergency Department
ARM,Armenian,0,2,0,0,COMMUNITY MEMORIAL HOSPITAL - OJAI #560501,Emergency Department
CHI,Chinese,1,0,0,0,COMMUNITY MEMORIAL HOSPITAL - OJAI #560501,Emergency Department
ENG,English,2023,2151,2126,2093,COMMUNITY MEMORIAL HOSPITAL - OJAI #560501,Emergency Department
HEB,Hebrew,1,0,0,0,COMMUNITY MEMORIAL HOSPITAL - OJAI #560501,Emergency Department
JPN,Japanese,1,0,0,0,COMMUNITY MEMORIAL HOSPITAL - OJAI #560501,Emergency Department
SPA,Spanish,163,134,156,144,COMMUNITY MEMORIAL HOSPITAL - OJAI #560501,Emergency Department
SWE,Swedish,0,1,0,0,COMMUNITY MEMORIAL HOSPITAL - OJAI #560501,Emergency Department
TUR,Turkish,1,0,1,0,COMMUNITY MEMORIAL HOSPITAL - OJAI #560501,Emergency Department
YID,Yiddish,0,0,1,0,COMMUNITY MEMORIAL HOSPITAL - OJAI #560501,Emergency Department
999,Unknown,0,1,0,0,COMMUNITY MEMORIAL HOSPITAL - OJAI #560501,Emergency Department
ARA,Arabic,8,14,11,20,COMMUNITY MEMORIAL HOSPITAL-SAN BUENAVENTURA #560473,Emergency Department
ARM,Armenian,1,0,0,2,COMMUNITY MEMORIAL HOSPITAL-SAN BUENAVENTURA #560473,Emergency Department
CHI,Chinese,2,3,0,4,COMMUNITY MEMORIAL HOSPITAL-SAN BUENAVENTURA #560473,Emergency Department
ENG,English,10921,11328,11230,11422,COMMUNITY MEMORIAL HOSPITAL-SAN BUENAVENTURA #560473,Emergency Department
GER,German,1,0,1,1,COMMUNITY MEMORIAL HOSPITAL-SAN BUENAVENTURA #560473,Emergency Department
HIN,Hindi,2,0,3,3,COMMUNITY MEMORIAL HOSPITAL-SAN BUENAVENTURA #560473,Emergency Department
ITA,Italian,1,0,2,0,COMMUNITY MEMORIAL HOSPITAL-SAN BUENAVENTURA #560473,Emergency Department
JPN,Japanese,0,1,2,0,COMMUNITY MEMORIAL HOSPITAL-SAN BUENAVENTURA #560473,Emergency Department
KOR,Korean,0,1,1,0,COMMUNITY MEMORIAL HOSPITAL-SAN BUENAVENTURA #560473,Emergency Department
PER,Persian,2,1,1,0,COMMUNITY MEMORIAL HOSPITAL-SAN BUENAVENTURA #560473,Emergency Department
POR,Portuguese,0,0,1,2,COMMUNITY MEMORIAL HOSPITAL-SAN BUENAVENTURA #560473,Emergency Department
RUS,Russian,2,0,0,0,COMMUNITY MEMORIAL HOSPITAL-SAN BUENAVENTURA #560473,Emergency Department
SPA,Spanish,1667,1690,1545,1624,COMMUNITY MEMORIAL HOSPITAL-SAN BUENAVENTURA #560473,Emergency Department
TGL,Tagalog,3,1,1,1,COMMUNITY MEMORIAL HOSPITAL-SAN BUENAVENTURA #560473,Emergency Department
THA,Thai,0,0,1,0,COMMUNITY MEMORIAL HOSPITAL-SAN BUENAVENTURA #560473,Emergency Department
TUR,Turkish,0,0,1,1,COMMUNITY MEMORIAL HOSPITAL-SAN BUENAVENTURA #560473,Emergency Department
VIE,Vietnamese,1,1,0,0,COMMUNITY MEMORIAL HOSPITAL-SAN BUENAVENTURA #560473,Emergency Department
999,Unknown,5,10,12,11,COMMUNITY MEMORIAL HOSPITAL-SAN BUENAVENTURA #560473,Emergency Department
AMH,Amharic,1,0,0,1,COMMUNITY REGIONAL MEDICAL CENTER-FRESNO #100717,Emergency Department
ARA,Arabic,29,25,38,31,COMMUNITY REGIONAL MEDICAL CENTER-FRESNO #100717,Emergency Department
ARM,Armenian,6,2,4,4,COMMUNITY REGIONAL MEDICAL CENTER-FRESNO #100717,Emergency Department
BUR,Burmese,0,1,0,0,COMMUNITY REGIONAL MEDICAL CENTER-FRESNO #100717,Emergency Department
YUE,Cantonese; Yue Chinese,3,0,1,3,COMMUNITY REGIONAL MEDICAL CENTER-FRESNO #100717,Emergency Department
CHI,Chinese,3,1,4,0,COMMUNITY REGIONAL MEDICAL CENTER-FRESNO #100717,Emergency Department
ENG,English,16793,17781,18512,18210,COMMUNITY REGIONAL MEDICAL CENTER-FRESNO #100717,Emergency Department
PES,Farsi,3,12,9,13,COMMUNITY REGIONAL MEDICAL CENTER-FRESNO #100717,Emergency Department
FIL,Filipino,0,2,0,0,COMMUNITY REGIONAL MEDICAL CENTER-FRESNO #100717,Emergency Department
FRE,French,0,0,1,1,COMMUNITY REGIONAL MEDICAL CENTER-FRESNO #100717,Emergency Department
CPF,French Creole,0,0,1,1,COMMUNITY REGIONAL MEDICAL CENTER-FRESNO #100717,Emergency Department
GER,German,0,0,0,1,COMMUNITY REGIONAL MEDICAL CENTER-FRESNO #100717,Emergency Department
GRE,Greek,0,1,0,0,COMMUNITY REGIONAL MEDICAL CENTER-FRESNO #100717,Emergency Department
HIN,Hindi,41,44,56,57,COMMUNITY REGIONAL MEDICAL CENTER-FRESNO #100717,Emergency Department
HMN,Hmong,103,120,113,100,COMMUNITY REGIONAL MEDICAL CENTER-FRESNO #100717,Emergency Department
ITA,Italian,0,1,0,0,COMMUNITY REGIONAL MEDICAL CENTER-FRESNO #100717,Emergency Department
JPN,Japanese,0,0,0,1,COMMUNITY REGIONAL MEDICAL CENTER-FRESNO #100717,Emergency Department
LAO,Lao,39,47,36,44,COMMUNITY REGIONAL MEDICAL CENTER-FRESNO #100717,Emergency Department
CMN,Mandarin,5,4,2,0,COMMUNITY REGIONAL MEDICAL CENTER-FRESNO #100717,Emergency Department
IUM,Mien; lu Mien,0,0,1,0,COMMUNITY REGIONAL MEDICAL CENTER-FRESNO #100717,Emergency Department
MKH,Mon-Khmer,10,19,17,18,COMMUNITY REGIONAL MEDICAL CENTER-FRESNO #100717,Emergency Department
PAN,Panjabi; Punjabi,149,133,152,113,COMMUNITY REGIONAL MEDICAL CENTER-FRESNO #100717,Emergency Department
PUS,Pashto,0,0,0,1,COMMUNITY REGIONAL MEDICAL CENTER-FRESNO #100717,Emergency Department
PER,Persian,3,2,4,1,COMMUNITY REGIONAL MEDICAL CENTER-FRESNO #100717,Emergency Department
POR,Portuguese,1,4,0,1,COMMUNITY REGIONAL MEDICAL CENTER-FRESNO #100717,Emergency Department
RUM,Romanian,1,4,1,1,COMMUNITY REGIONAL MEDICAL CENTER-FRESNO #100717,Emergency Department
RUS,Russian,4,2,5,2,COMMUNITY REGIONAL MEDICAL CENTER-FRESNO #100717,Emergency Department
SMO,Samoan,0,0,0,1,COMMUNITY REGIONAL MEDICAL CENTER-FRESNO #100717,Emergency Department
SGN,Sign Language,18,23,18,34,COMMUNITY REGIONAL MEDICAL CENTER-FRESNO #100717,Emergency Department
SOM,Somali,1,0,0,0,COMMUNITY REGIONAL MEDICAL CENTER-FRESNO #100717,Emergency Department
SPA,Spanish,3346,3774,3783,3609,COMMUNITY REGIONAL MEDICAL CENTER-FRESNO #100717,Emergency Department
SWA,Swahili,0,1,2,4,COMMUNITY REGIONAL MEDICAL CENTER-FRESNO #100717,Emergency Department
TGL,Tagalog,2,2,0,1,COMMUNITY REGIONAL MEDICAL CENTER-FRESNO #100717,Emergency Department
THA,Thai,3,1,4,0,COMMUNITY REGIONAL MEDICAL CENTER-FRESNO #100717,Emergency Department
TIR,Tigrinya,0,0,1,0,COMMUNITY REGIONAL MEDICAL CENTER-FRESNO #100717,Emergency Department
UKR,Ukrainian,0,0,0,1,COMMUNITY REGIONAL MEDICAL CENTER-FRESNO #100717,Emergency Department
VIE,Vietnamese,8,4,8,9,COMMUNITY REGIONAL MEDICAL CENTER-FRESNO #100717,Emergency Department
ZAP,Zapotec,1,0,0,0,COMMUNITY REGIONAL MEDICAL CENTER-FRESNO #100717,Emergency Department
999,Unknown,8,41,13,11,COMMUNITY REGIONAL MEDICAL CENTER-FRESNO #100717,Emergency Department
AMH,Amharic,4,2,2,4,CONTRA COSTA REGIONAL MEDICAL CENTER #070924,Emergency Department
ARA,Arabic,45,32,55,49,CONTRA COSTA REGIONAL MEDICAL CENTER #070924,Emergency Department
BEN,Bengali,0,1,0,2,CONTRA COSTA REGIONAL MEDICAL CENTER #070924,Emergency Department
BOS,Bosnian,2,1,1,0,CONTRA COSTA REGIONAL MEDICAL CENTER #070924,Emergency Department
BUL,Bulgarian,3,1,3,0,CONTRA COSTA REGIONAL MEDICAL CENTER #070924,Emergency Department
BUR,Burmese,0,3,3,6,CONTRA COSTA REGIONAL MEDICAL CENTER #070924,Emergency Department
YUE,Cantonese; Yue Chinese,11,20,15,23,CONTRA COSTA REGIONAL MEDICAL CENTER #070924,Emergency Department
CHI,Chinese,1,1,0,0,CONTRA COSTA REGIONAL MEDICAL CENTER #070924,Emergency Department
CZE,Czech,3,0,0,0,CONTRA COSTA REGIONAL MEDICAL CENTER #070924,Emergency Department
ENG,English,6498,6714,6501,6223,CONTRA COSTA REGIONAL MEDICAL CENTER #070924,Emergency Department
PES,Farsi,65,90,106,102,CONTRA COSTA REGIONAL MEDICAL CENTER #070924,Emergency Department
FRE,French,16,11,21,12,CONTRA COSTA REGIONAL MEDICAL CENTER #070924,Emergency Department
CPF,French Creole,0,0,0,2,CONTRA COSTA REGIONAL MEDICAL CENTER #070924,Emergency Department
GRE,Greek,0,0,0,1,CONTRA COSTA REGIONAL MEDICAL CENTER #070924,Emergency Department
GUJ,Gujarati,0,1,0,0,CONTRA COSTA REGIONAL MEDICAL CENTER #070924,Emergency Department
HIN,Hindi,8,10,3,4,CONTRA COSTA REGIONAL MEDICAL CENTER #070924,Emergency Department
HUN,Hungarian,8,2,0,0,CONTRA COSTA REGIONAL MEDICAL CENTER #070924,Emergency Department
IBO,Igbo,0,0,2,0,CONTRA COSTA REGIONAL MEDICAL CENTER #070924,Emergency Department
ILO,Ilocano; Iloko,5,2,0,0,CONTRA COSTA REGIONAL MEDICAL CENTER #070924,Emergency Department
IND,Indonesian,0,0,2,1,CONTRA COSTA REGIONAL MEDICAL CENTER #070924,Emergency Department
ITA,Italian,0,0,0,2,CONTRA COSTA REGIONAL MEDICAL CENTER #070924,Emergency Department
JPN,Japanese,0,3,5,1,CONTRA COSTA REGIONAL MEDICAL CENTER #070924,Emergency Department
KOR,Korean,1,9,8,2,CONTRA COSTA REGIONAL MEDICAL CENTER #070924,Emergency Department
LAO,Lao,6,5,10,9,CONTRA COSTA REGIONAL MEDICAL CENTER #070924,Emergency Department
MAL,Malayalam,0,0,3,2,CONTRA COSTA REGIONAL MEDICAL CENTER #070924,Emergency Department
CMN,Mandarin,17,13,23,26,CONTRA COSTA REGIONAL MEDICAL CENTER #070924,Emergency Department
IUM,Mien; lu Mien,12,12,13,5,CONTRA COSTA REGIONAL MEDICAL CENTER #070924,Emergency Department
MON,Mongolian,0,8,2,3,CONTRA COSTA REGIONAL MEDICAL CENTER #070924,Emergency Department
NEP,Nepali,30,36,33,37,CONTRA COSTA REGIONAL MEDICAL CENTER #070924,Emergency Department
ZXX,No Linguistic Content,2,0,2,1,CONTRA COSTA REGIONAL MEDICAL CENTER #070924,Emergency Department
PAN,Panjabi; Punjabi,87,71,94,58,CONTRA COSTA REGIONAL MEDICAL CENTER #070924,Emergency Department
PUS,Pashto,5,12,8,21,CONTRA COSTA REGIONAL MEDICAL CENTER #070924,Emergency Department
POL,Polish,0,0,2,0,CONTRA COSTA REGIONAL MEDICAL CENTER #070924,Emergency Department
POR,Portuguese,152,159,149,176,CONTRA COSTA REGIONAL MEDICAL CENTER #070924,Emergency Department
RUM,Romanian,0,10,1,2,CONTRA COSTA REGIONAL MEDICAL CENTER #070924,Emergency Department
RUS,Russian,32,28,16,30,CONTRA COSTA REGIONAL MEDICAL CENTER #070924,Emergency Department
SMO,Samoan,0,0,2,0,CONTRA COSTA REGIONAL MEDICAL CENTER #070924,Emergency Department
SRP,Serbian,0,0,1,0,CONTRA COSTA REGIONAL MEDICAL CENTER #070924,Emergency Department
SGN,Sign Language,6,11,23,8,CONTRA COSTA REGIONAL MEDICAL CENTER #070924,Emergency Department
SPA,Spanish,2398,2574,2605,2345,CONTRA COSTA REGIONAL MEDICAL CENTER #070924,Emergency Department
SWA,Swahili,0,0,4,0,CONTRA COSTA REGIONAL MEDICAL CENTER #070924,Emergency Department
TGL,Tagalog,47,47,66,31,CONTRA COSTA REGIONAL MEDICAL CENTER #070924,Emergency Department
THA,Thai,3,5,5,1,CONTRA COSTA REGIONAL MEDICAL CENTER #070924,Emergency Department
TIR,Tigrinya,4,0,1,1,CONTRA COSTA REGIONAL MEDICAL CENTER #070924,Emergency Department
TON,Tonga,4,4,0,1,CONTRA COSTA REGIONAL MEDICAL CENTER #070924,Emergency Department
TUR,Turkish,3,14,7,18,CONTRA COSTA REGIONAL MEDICAL CENTER #070924,Emergency Department
UKR,Ukrainian,3,2,2,0,CONTRA COSTA REGIONAL MEDICAL CENTER #070924,Emergency Department
URD,Urdu,16,15,24,28,CONTRA COSTA REGIONAL MEDICAL CENTER #070924,Emergency Department
VIE,Vietnamese,30,48,28,37,CONTRA COSTA REGIONAL MEDICAL CENTER #070924,Emergency Department
999,Unknown,41,15,36,5,CONTRA COSTA REGIONAL MEDICAL CENTER #070924,Emergency Department
AFR,Afrikaans,0,1,0,0,CORONA REGIONAL MEDICAL CENTER-MAIN #331152,Emergency Department
AMH,Amharic,0,0,1,0,CORONA REGIONAL MEDICAL CENTER-MAIN #331152,Emergency Department
ARA,Arabic,51,49,61,62,CORONA REGIONAL MEDICAL CENTER-MAIN #331152,Emergency Department
ARM,Armenian,0,0,0,1,CORONA REGIONAL MEDICAL CENTER-MAIN #331152,Emergency Department
BEN,Bengali,1,0,1,1,CORONA REGIONAL MEDICAL CENTER-MAIN #331152,Emergency Department
BUR,Burmese,0,0,0,1,CORONA REGIONAL MEDICAL CENTER-MAIN #331152,Emergency Department
CHI,Chinese,38,32,45,47,CORONA REGIONAL MEDICAL CENTER-MAIN #331152,Emergency Department
DAN,Danish,0,0,1,0,CORONA REGIONAL MEDICAL CENTER-MAIN #331152,Emergency Department
ENG,English,10028,10313,10403,10622,CORONA REGIONAL MEDICAL CENTER-MAIN #331152,Emergency Department
PES,Farsi,9,8,8,17,CORONA REGIONAL MEDICAL CENTER-MAIN #331152,Emergency Department
FRE,French,3,0,0,0,CORONA REGIONAL MEDICAL CENTER-MAIN #331152,Emergency Department
GER,German,1,0,0,0,CORONA REGIONAL MEDICAL CENTER-MAIN #331152,Emergency Department
GUJ,Gujarati,2,2,2,0,CORONA REGIONAL MEDICAL CENTER-MAIN #331152,Emergency Department
HEB,Hebrew,0,0,1,0,CORONA REGIONAL MEDICAL CENTER-MAIN #331152,Emergency Department
HIN,Hindi,10,11,13,9,CORONA REGIONAL MEDICAL CENTER-MAIN #331152,Emergency Department
HUN,Hungarian,2,1,2,0,CORONA REGIONAL MEDICAL CENTER-MAIN #331152,Emergency Department
IBO,Igbo,0,1,0,0,CORONA REGIONAL MEDICAL CENTER-MAIN #331152,Emergency Department
IND,Indonesian,1,0,0,1,CORONA REGIONAL MEDICAL CENTER-MAIN #331152,Emergency Department
ITA,Italian,0,0,2,0,CORONA REGIONAL MEDICAL CENTER-MAIN #331152,Emergency Department
JPN,Japanese,1,2,1,0,CORONA REGIONAL MEDICAL CENTER-MAIN #331152,Emergency Department
KOR,Korean,10,13,5,9,CORONA REGIONAL MEDICAL CENTER-MAIN #331152,Emergency Department
LAO,Lao,1,4,1,1,CORONA REGIONAL MEDICAL CENTER-MAIN #331152,Emergency Department
MAC,Macedonian,0,0,1,0,CORONA REGIONAL MEDICAL CENTER-MAIN #331152,Emergency Department
MAL,Malayalam,1,2,0,2,CORONA REGIONAL MEDICAL CENTER-MAIN #331152,Emergency Department
CMN,Mandarin,0,0,0,1,CORONA REGIONAL MEDICAL CENTER-MAIN #331152,Emergency Department
MON,Mongolian,0,0,2,1,CORONA REGIONAL MEDICAL CENTER-MAIN #331152,Emergency Department
MKH,Mon-Khmer,2,0,0,4,CORONA REGIONAL MEDICAL CENTER-MAIN #331152,Emergency Department
NEP,Nepali,1,1,0,1,CORONA REGIONAL MEDICAL CENTER-MAIN #331152,Emergency Department
PAN,Panjabi; Punjabi,1,4,2,2,CORONA REGIONAL MEDICAL CENTER-MAIN #331152,Emergency Department
PUS,Pashto,3,7,0,9,CORONA REGIONAL MEDICAL CENTER-MAIN #331152,Emergency Department
PER,Persian,3,6,7,2,CORONA REGIONAL MEDICAL CENTER-MAIN #331152,Emergency Department
POL,Polish,0,0,0,1,CORONA REGIONAL MEDICAL CENTER-MAIN #331152,Emergency Department
POR,Portuguese,4,0,2,3,CORONA REGIONAL MEDICAL CENTER-MAIN #331152,Emergency Department
RUM,Romanian,4,8,2,3,CORONA REGIONAL MEDICAL CENTER-MAIN #331152,Emergency Department
RUS,Russian,1,1,3,4,CORONA REGIONAL MEDICAL CENTER-MAIN #331152,Emergency Department
SGN,Sign Language,1,0,0,0,CORONA REGIONAL MEDICAL CENTER-MAIN #331152,Emergency Department
SOM,Somali,0,0,0,1,CORONA REGIONAL MEDICAL CENTER-MAIN #331152,Emergency Department
SPA,Spanish,1506,1625,1616,1727,CORONA REGIONAL MEDICAL CENTER-MAIN #331152,Emergency Department
SWE,Swedish,1,1,1,0,CORONA REGIONAL MEDICAL CENTER-MAIN #331152,Emergency Department
TGL,Tagalog,7,5,5,8,CORONA REGIONAL MEDICAL CENTER-MAIN #331152,Emergency Department
TEL,Telugu,0,0,0,1,CORONA REGIONAL MEDICAL CENTER-MAIN #331152,Emergency Department
THA,Thai,0,3,1,0,CORONA REGIONAL MEDICAL CENTER-MAIN #331152,Emergency Department
TUR,Turkish,0,1,1,0,CORONA REGIONAL MEDICAL CENTER-MAIN #331152,Emergency Department
UKR,Ukrainian,0,1,0,0,CORONA REGIONAL MEDICAL CENTER-MAIN #331152,Emergency Department
URD,Urdu,8,10,10,6,CORONA REGIONAL MEDICAL CENTER-MAIN #331152,Emergency Department
VIE,Vietnamese,14,14,22,26,CORONA REGIONAL MEDICAL CENTER-MAIN #331152,Emergency Department
999,Unknown,37,37,51,58,CORONA REGIONAL MEDICAL CENTER-MAIN #331152,Emergency Department
ARA,Arabic,6,10,9,25,DAMERON HOSPITAL #390846,Emergency Department
YUE,Cantonese; Yue Chinese,0,0,2,2,DAMERON HOSPITAL #390846,Emergency Department
CHI,Chinese,5,4,6,15,DAMERON HOSPITAL #390846,Emergency Department
ENG,English,7774,7949,7850,23573,DAMERON HOSPITAL #390846,Emergency Department
PES,Farsi,1,2,1,4,DAMERON HOSPITAL #390846,Emergency Department
HIN,Hindi,1,0,2,3,DAMERON HOSPITAL #390846,Emergency Department
HMN,Hmong,5,11,9,25,DAMERON HOSPITAL #390846,Emergency Department
LAO,Lao,4,1,5,10,DAMERON HOSPITAL #390846,Emergency Department
MKH,Mon-Khmer,20,20,20,60,DAMERON HOSPITAL #390846,Emergency Department
PAN,Panjabi; Punjabi,13,7,8,28,DAMERON HOSPITAL #390846,Emergency Department
POR,Portuguese,0,2,0,2,DAMERON HOSPITAL #390846,Emergency Department
SPA,Spanish,768,724,693,2185,DAMERON HOSPITAL #390846,Emergency Department
TGL,Tagalog,3,1,12,16,DAMERON HOSPITAL #390846,Emergency Department
TON,Tonga,1,1,2,4,DAMERON HOSPITAL #390846,Emergency Department
URD,Urdu,7,11,9,27,DAMERON HOSPITAL #390846,Emergency Department
VIE,Vietnamese,5,7,9,21,DAMERON HOSPITAL #390846,Emergency Department
999,Unknown,4,9,3,16,DAMERON HOSPITAL #390846,Emergency Department
ARA,Arabic,9,4,4,3,DESERT REGIONAL MEDICAL CENTER #331164,Emergency Department
BUL,Bulgarian,2,0,1,0,DESERT REGIONAL MEDICAL CENTER #331164,Emergency Department
CHI,Chinese,11,5,5,3,DESERT REGIONAL MEDICAL CENTER #331164,Emergency Department
DAN,Danish,0,0,0,1,DESERT REGIONAL MEDICAL CENTER #331164,Emergency Department
ENG,English,11989,11867,11237,11603,DESERT REGIONAL MEDICAL CENTER #331164,Emergency Department
EST,Estonian,1,2,0,0,DESERT REGIONAL MEDICAL CENTER #331164,Emergency Department
PES,Farsi,0,1,0,0,DESERT REGIONAL MEDICAL CENTER #331164,Emergency Department
FIL,Filipino,10,5,6,2,DESERT REGIONAL MEDICAL CENTER #331164,Emergency Department
FIN,Finnish,4,3,0,0,DESERT REGIONAL MEDICAL CENTER #331164,Emergency Department
FRE,French,6,8,8,3,DESERT REGIONAL MEDICAL CENTER #331164,Emergency Department
CPF,French Creole,0,1,1,1,DESERT REGIONAL MEDICAL CENTER #331164,Emergency Department
GER,German,5,5,5,1,DESERT REGIONAL MEDICAL CENTER #331164,Emergency Department
GRE,Greek,2,1,0,1,DESERT REGIONAL MEDICAL CENTER #331164,Emergency Department
HEB,Hebrew,4,6,0,2,DESERT REGIONAL MEDICAL CENTER #331164,Emergency Department
HMN,Hmong,1,0,0,0,DESERT REGIONAL MEDICAL CENTER #331164,Emergency Department
HUN,Hungarian,2,3,2,3,DESERT REGIONAL MEDICAL CENTER #331164,Emergency Department
IND,Indonesian,2,2,0,7,DESERT REGIONAL MEDICAL CENTER #331164,Emergency Department
ITA,Italian,1,2,2,4,DESERT REGIONAL MEDICAL CENTER #331164,Emergency Department
JPN,Japanese,1,1,0,1,DESERT REGIONAL MEDICAL CENTER #331164,Emergency Department
