AGE GROUPS,Q1 2024,Q2 2024,Q3 2024,Q4 2024,Facility,Report
1--9,245,237,184,197,FAIRCHILD MEDICAL CENTER #474007,Emergency Department
10--19,310,337,321,270,FAIRCHILD MEDICAL CENTER #474007,Emergency Department
20 - 29,285,362,325,302,FAIRCHILD MEDICAL CENTER #474007,Emergency Department
30 - 39,384,428,445,367,FAIRCHILD MEDICAL CENTER #474007,Emergency Department
40 - 49,373,366,414,339,FAIRCHILD MEDICAL CENTER #474007,Emergency Department
50 - 59,345,336,312,293,FAIRCHILD MEDICAL CENTER #474007,Emergency Department
60 - 69,413,436,407,394,FAIRCHILD MEDICAL CENTER #474007,Emergency Department
70 - 79,278,324,295,311,FAIRCHILD MEDICAL CENTER #474007,Emergency Department
80 Years +,231,264,246,253,FAIRCHILD MEDICAL CENTER #474007,Emergency Department
Under 1 Year,5,4,5,5,FOOTHILL REGIONAL MEDICAL CENTER #301357,Emergency Department
1--9,29,33,27,33,FOOTHILL REGIONAL MEDICAL CENTER #301357,Emergency Department
10--19,92,82,66,75,FOOTHILL REGIONAL MEDICAL CENTER #301357,Emergency Department
20 - 29,250,255,280,239,FOOTHILL REGIONAL MEDICAL CENTER #301357,Emergency Department
30 - 39,304,235,258,298,FOOTHILL REGIONAL MEDICAL CENTER #301357,Emergency Department
40 - 49,213,186,201,192,FOOTHILL REGIONAL MEDICAL CENTER #301357,Emergency Department
50 - 59,123,148,135,116,FOOTHILL REGIONAL MEDICAL CENTER #301357,Emergency Department
60 - 69,119,83,94,96,FOOTHILL REGIONAL MEDICAL CENTER #301357,Emergency Department
70 - 79,47,32,41,49,FOOTHILL REGIONAL MEDICAL CENTER #301357,Emergency Department
80 Years +,34,25,18,23,FOOTHILL REGIONAL MEDICAL CENTER #301357,Emergency Department
Under 1 Year,48,38,46,44,FRENCH HOSPITAL MEDICAL CENTER #400480,Emergency Department
-,0,0,0,1,FRENCH HOSPITAL MEDICAL CENTER #400480,Emergency Department
1--9,204,236,209,232,FRENCH HOSPITAL MEDICAL CENTER #400480,Emergency Department
10--19,398,474,393,430,FRENCH HOSPITAL MEDICAL CENTER #400480,Emergency Department
20 - 29,706,862,758,780,FRENCH HOSPITAL MEDICAL CENTER #400480,Emergency Department
30 - 39,669,737,803,671,FRENCH HOSPITAL MEDICAL CENTER #400480,Emergency Department
40 - 49,637,733,708,726,FRENCH HOSPITAL MEDICAL CENTER #400480,Emergency Department
50 - 59,654,738,809,686,FRENCH HOSPITAL MEDICAL CENTER #400480,Emergency Department
60 - 69,771,840,988,880,FRENCH HOSPITAL MEDICAL CENTER #400480,Emergency Department
70 - 79,931,958,1111,947,FRENCH HOSPITAL MEDICAL CENTER #400480,Emergency Department
80 Years +,703,853,794,785,FRENCH HOSPITAL MEDICAL CENTER #400480,Emergency Department
Under 1 Year,22,18,21,26,GARDEN GROVE HOSPITAL AND MEDICAL CENTER #301283,Emergency Department
1--9,240,222,208,230,GARDEN GROVE HOSPITAL AND MEDICAL CENTER #301283,Emergency Department
10--19,425,438,392,430,GARDEN GROVE HOSPITAL AND MEDICAL CENTER #301283,Emergency Department
20 - 29,883,882,938,925,GARDEN GROVE HOSPITAL AND MEDICAL CENTER #301283,Emergency Department
30 - 39,867,905,973,901,GARDEN GROVE HOSPITAL AND MEDICAL CENTER #301283,Emergency Department
40 - 49,713,723,747,702,GARDEN GROVE HOSPITAL AND MEDICAL CENTER #301283,Emergency Department
50 - 59,676,630,716,656,GARDEN GROVE HOSPITAL AND MEDICAL CENTER #301283,Emergency Department
60 - 69,536,534,533,516,GARDEN GROVE HOSPITAL AND MEDICAL CENTER #301283,Emergency Department
70 - 79,275,253,253,249,GARDEN GROVE HOSPITAL AND MEDICAL CENTER #301283,Emergency Department
80 Years +,221,204,189,175,GARDEN GROVE HOSPITAL AND MEDICAL CENTER #301283,Emergency Department
Under 1 Year,77,77,97,121,GARFIELD MEDICAL CENTER #190315,Emergency Department
1--9,485,505,426,604,GARFIELD MEDICAL CENTER #190315,Emergency Department
10--19,403,430,385,533,GARFIELD MEDICAL CENTER #190315,Emergency Department
20 - 29,611,644,667,678,GARFIELD MEDICAL CENTER #190315,Emergency Department
30 - 39,731,765,737,882,GARFIELD MEDICAL CENTER #190315,Emergency Department
40 - 49,648,660,656,700,GARFIELD MEDICAL CENTER #190315,Emergency Department
50 - 59,625,651,766,702,GARFIELD MEDICAL CENTER #190315,Emergency Department
60 - 69,610,677,733,744,GARFIELD MEDICAL CENTER #190315,Emergency Department
70 - 79,432,455,550,575,GARFIELD MEDICAL CENTER #190315,Emergency Department
80 Years +,329,361,422,458,GARFIELD MEDICAL CENTER #190315,Emergency Department
Under 1 Year,115,165,133,141,GEORGE L. MEE MEMORIAL HOSPITAL #270777,Emergency Department
1--9,857,1121,760,729,GEORGE L. MEE MEMORIAL HOSPITAL #270777,Emergency Department
10--19,727,828,678,782,GEORGE L. MEE MEMORIAL HOSPITAL #270777,Emergency Department
20 - 29,561,699,662,572,GEORGE L. MEE MEMORIAL HOSPITAL #270777,Emergency Department
30 - 39,583,619,566,537,GEORGE L. MEE MEMORIAL HOSPITAL #270777,Emergency Department
40 - 49,434,495,452,439,GEORGE L. MEE MEMORIAL HOSPITAL #270777,Emergency Department
50 - 59,291,321,307,293,GEORGE L. MEE MEMORIAL HOSPITAL #270777,Emergency Department
60 - 69,182,197,219,188,GEORGE L. MEE MEMORIAL HOSPITAL #270777,Emergency Department
70 - 79,134,150,156,130,GEORGE L. MEE MEMORIAL HOSPITAL #270777,Emergency Department
80 Years +,102,84,102,71,GEORGE L. MEE MEMORIAL HOSPITAL #270777,Emergency Department
Under 1 Year,85,67,64,89,GLENDALE MEMORIAL HOSPITAL AND HEALTH CENTER #190522,Emergency Department
1--9,469,444,345,459,GLENDALE MEMORIAL HOSPITAL AND HEALTH CENTER #190522,Emergency Department
10--19,573,568,491,585,GLENDALE MEMORIAL HOSPITAL AND HEALTH CENTER #190522,Emergency Department
20 - 29,1086,1090,1086,1064,GLENDALE MEMORIAL HOSPITAL AND HEALTH CENTER #190522,Emergency Department
30 - 39,1295,1272,1273,1261,GLENDALE MEMORIAL HOSPITAL AND HEALTH CENTER #190522,Emergency Department
40 - 49,994,994,1052,1031,GLENDALE MEMORIAL HOSPITAL AND HEALTH CENTER #190522,Emergency Department
50 - 59,923,922,943,890,GLENDALE MEMORIAL HOSPITAL AND HEALTH CENTER #190522,Emergency Department
60 - 69,752,871,942,916,GLENDALE MEMORIAL HOSPITAL AND HEALTH CENTER #190522,Emergency Department
70 - 79,590,558,613,648,GLENDALE MEMORIAL HOSPITAL AND HEALTH CENTER #190522,Emergency Department
80 Years +,416,425,479,484,GLENDALE MEMORIAL HOSPITAL AND HEALTH CENTER #190522,Emergency Department
Under 1 Year,19,14,17,14,GLENN MEDICAL CENTER #110889,Emergency Department
1--9,156,166,132,123,GLENN MEDICAL CENTER #110889,Emergency Department
10--19,178,169,150,162,GLENN MEDICAL CENTER #110889,Emergency Department
20 - 29,184,196,173,186,GLENN MEDICAL CENTER #110889,Emergency Department
30 - 39,222,224,229,181,GLENN MEDICAL CENTER #110889,Emergency Department
40 - 49,175,214,196,184,GLENN MEDICAL CENTER #110889,Emergency Department
50 - 59,158,157,149,146,GLENN MEDICAL CENTER #110889,Emergency Department
60 - 69,161,181,207,184,GLENN MEDICAL CENTER #110889,Emergency Department
70 - 79,129,142,133,153,GLENN MEDICAL CENTER #110889,Emergency Department
80 Years +,103,115,95,100,GLENN MEDICAL CENTER #110889,Emergency Department
Under 1 Year,47,34,35,67,GOLETA VALLEY COTTAGE HOSPITAL #420483,Emergency Department
-,1,1,1,2,GOLETA VALLEY COTTAGE HOSPITAL #420483,Emergency Department
1--9,387,395,294,371,GOLETA VALLEY COTTAGE HOSPITAL #420483,Emergency Department
10--19,754,805,617,875,GOLETA VALLEY COTTAGE HOSPITAL #420483,Emergency Department
20 - 29,1275,1296,1024,1120,GOLETA VALLEY COTTAGE HOSPITAL #420483,Emergency Department
30 - 39,705,636,654,703,GOLETA VALLEY COTTAGE HOSPITAL #420483,Emergency Department
40 - 49,563,611,669,683,GOLETA VALLEY COTTAGE HOSPITAL #420483,Emergency Department
50 - 59,588,575,645,580,GOLETA VALLEY COTTAGE HOSPITAL #420483,Emergency Department
60 - 69,637,784,830,741,GOLETA VALLEY COTTAGE HOSPITAL #420483,Emergency Department
70 - 79,629,762,798,773,GOLETA VALLEY COTTAGE HOSPITAL #420483,Emergency Department
80 Years +,532,564,664,671,GOLETA VALLEY COTTAGE HOSPITAL #420483,Emergency Department
Under 1 Year,282,247,227,264,GOOD SAMARITAN HOSPITAL-SAN JOSE #430779,Emergency Department
1--9,1580,1648,1220,1506,GOOD SAMARITAN HOSPITAL-SAN JOSE #430779,Emergency Department
10--19,1334,1433,1222,1363,GOOD SAMARITAN HOSPITAL-SAN JOSE #430779,Emergency Department
20 - 29,1676,1844,1875,1827,GOOD SAMARITAN HOSPITAL-SAN JOSE #430779,Emergency Department
30 - 39,2023,2281,2229,2180,GOOD SAMARITAN HOSPITAL-SAN JOSE #430779,Emergency Department
40 - 49,1644,1749,1738,1781,GOOD SAMARITAN HOSPITAL-SAN JOSE #430779,Emergency Department
50 - 59,1480,1526,1592,1526,GOOD SAMARITAN HOSPITAL-SAN JOSE #430779,Emergency Department
60 - 69,1327,1437,1542,1507,GOOD SAMARITAN HOSPITAL-SAN JOSE #430779,Emergency Department
70 - 79,1139,1165,1224,1240,GOOD SAMARITAN HOSPITAL-SAN JOSE #430779,Emergency Department
80 Years +,1302,1272,1222,1221,GOOD SAMARITAN HOSPITAL-SAN JOSE #430779,Emergency Department
Under 1 Year,72,85,77,93,GREATER EL MONTE COMMUNITY HOSPITAL #190352,Emergency Department
1--9,885,822,627,936,GREATER EL MONTE COMMUNITY HOSPITAL #190352,Emergency Department
10--19,894,906,790,1000,GREATER EL MONTE COMMUNITY HOSPITAL #190352,Emergency Department
20 - 29,926,963,1000,989,GREATER EL MONTE COMMUNITY HOSPITAL #190352,Emergency Department
30 - 39,895,945,1041,924,GREATER EL MONTE COMMUNITY HOSPITAL #190352,Emergency Department
40 - 49,761,815,817,879,GREATER EL MONTE COMMUNITY HOSPITAL #190352,Emergency Department
50 - 59,676,694,733,680,GREATER EL MONTE COMMUNITY HOSPITAL #190352,Emergency Department
60 - 69,443,477,478,505,GREATER EL MONTE COMMUNITY HOSPITAL #190352,Emergency Department
70 - 79,185,201,230,218,GREATER EL MONTE COMMUNITY HOSPITAL #190352,Emergency Department
80 Years +,143,124,164,131,GREATER EL MONTE COMMUNITY HOSPITAL #190352,Emergency Department
Under 1 Year,175,156,168,185,GROSSMONT HOSPITAL #370714,Emergency Department
1--9,954,990,858,1046,GROSSMONT HOSPITAL #370714,Emergency Department
10--19,1661,1689,1837,1882,GROSSMONT HOSPITAL #370714,Emergency Department
20 - 29,4152,4439,4608,4730,GROSSMONT HOSPITAL #370714,Emergency Department
30 - 39,4406,4897,5123,4952,GROSSMONT HOSPITAL #370714,Emergency Department
40 - 49,3314,3671,3853,3751,GROSSMONT HOSPITAL #370714,Emergency Department
50 - 59,3027,3621,3588,3435,GROSSMONT HOSPITAL #370714,Emergency Department
60 - 69,3143,4060,4091,4036,GROSSMONT HOSPITAL #370714,Emergency Department
70 - 79,1976,2773,2909,2952,GROSSMONT HOSPITAL #370714,Emergency Department
80 Years +,1636,2395,2431,2437,GROSSMONT HOSPITAL #370714,Emergency Department
Under 1 Year,161,201,157,187,HAZEL HAWKINS MEMORIAL HOSPITAL #350784,Emergency Department
1--9,902,1114,748,1083,HAZEL HAWKINS MEMORIAL HOSPITAL #350784,Emergency Department
10--19,738,846,704,868,HAZEL HAWKINS MEMORIAL HOSPITAL #350784,Emergency Department
20 - 29,813,804,843,830,HAZEL HAWKINS MEMORIAL HOSPITAL #350784,Emergency Department
30 - 39,823,908,895,855,HAZEL HAWKINS MEMORIAL HOSPITAL #350784,Emergency Department
40 - 49,624,736,672,724,HAZEL HAWKINS MEMORIAL HOSPITAL #350784,Emergency Department
50 - 59,633,606,623,589,HAZEL HAWKINS MEMORIAL HOSPITAL #350784,Emergency Department
60 - 69,522,652,614,558,HAZEL HAWKINS MEMORIAL HOSPITAL #350784,Emergency Department
70 - 79,418,419,376,417,HAZEL HAWKINS MEMORIAL HOSPITAL #350784,Emergency Department
80 Years +,254,243,260,272,HAZEL HAWKINS MEMORIAL HOSPITAL #350784,Emergency Department
Under 1 Year,33,37,30,30,HEALDSBURG HOSPITAL #490964,Emergency Department
1--9,319,317,201,259,HEALDSBURG HOSPITAL #490964,Emergency Department
10--19,267,339,277,269,HEALDSBURG HOSPITAL #490964,Emergency Department
20 - 29,274,314,310,270,HEALDSBURG HOSPITAL #490964,Emergency Department
30 - 39,266,325,357,265,HEALDSBURG HOSPITAL #490964,Emergency Department
40 - 49,316,326,312,291,HEALDSBURG HOSPITAL #490964,Emergency Department
50 - 59,240,297,283,226,HEALDSBURG HOSPITAL #490964,Emergency Department
60 - 69,261,293,329,257,HEALDSBURG HOSPITAL #490964,Emergency Department
70 - 79,232,254,246,241,HEALDSBURG HOSPITAL #490964,Emergency Department
80 Years +,175,185,191,186,HEALDSBURG HOSPITAL #490964,Emergency Department
Under 1 Year,137,123,122,121,HEMET GLOBAL MEDICAL CENTER #331194,Emergency Department
1--9,922,949,793,1026,HEMET GLOBAL MEDICAL CENTER #331194,Emergency Department
10--19,1041,1070,1044,1089,HEMET GLOBAL MEDICAL CENTER #331194,Emergency Department
20 - 29,1302,1443,1409,1459,HEMET GLOBAL MEDICAL CENTER #331194,Emergency Department
30 - 39,1730,1660,1729,1668,HEMET GLOBAL MEDICAL CENTER #331194,Emergency Department
40 - 49,1290,1398,1425,1188,HEMET GLOBAL MEDICAL CENTER #331194,Emergency Department
50 - 59,1133,1196,1229,1190,HEMET GLOBAL MEDICAL CENTER #331194,Emergency Department
60 - 69,1221,1392,1317,1232,HEMET GLOBAL MEDICAL CENTER #331194,Emergency Department
70 - 79,763,903,929,767,HEMET GLOBAL MEDICAL CENTER #331194,Emergency Department
80 Years +,647,648,715,665,HEMET GLOBAL MEDICAL CENTER #331194,Emergency Department
Under 1 Year,223,226,206,232,HENRY MAYO NEWHALL HOSPITAL #190949,Emergency Department
1--9,1397,1484,1188,1712,HENRY MAYO NEWHALL HOSPITAL #190949,Emergency Department
10--19,1474,1564,1506,1557,HENRY MAYO NEWHALL HOSPITAL #190949,Emergency Department
20 - 29,1971,2056,2229,2268,HENRY MAYO NEWHALL HOSPITAL #190949,Emergency Department
30 - 39,2038,2188,2211,2244,HENRY MAYO NEWHALL HOSPITAL #190949,Emergency Department
40 - 49,1766,1843,1896,1908,HENRY MAYO NEWHALL HOSPITAL #190949,Emergency Department
50 - 59,1540,1663,1698,1697,HENRY MAYO NEWHALL HOSPITAL #190949,Emergency Department
60 - 69,1377,1396,1446,1596,HENRY MAYO NEWHALL HOSPITAL #190949,Emergency Department
70 - 79,984,1081,1111,1113,HENRY MAYO NEWHALL HOSPITAL #190949,Emergency Department
80 Years +,852,848,982,962,HENRY MAYO NEWHALL HOSPITAL #190949,Emergency Department
Under 1 Year,80,85,83,117,HI-DESERT MEDICAL CENTER #362041,Emergency Department
1--9,644,567,491,700,HI-DESERT MEDICAL CENTER #362041,Emergency Department
10--19,599,532,544,594,HI-DESERT MEDICAL CENTER #362041,Emergency Department
20 - 29,892,969,938,962,HI-DESERT MEDICAL CENTER #362041,Emergency Department
30 - 39,957,1013,950,955,HI-DESERT MEDICAL CENTER #362041,Emergency Department
40 - 49,753,774,764,736,HI-DESERT MEDICAL CENTER #362041,Emergency Department
50 - 59,681,724,732,716,HI-DESERT MEDICAL CENTER #362041,Emergency Department
60 - 69,750,795,777,782,HI-DESERT MEDICAL CENTER #362041,Emergency Department
70 - 79,525,523,574,552,HI-DESERT MEDICAL CENTER #362041,Emergency Department
80 Years +,297,270,283,319,HI-DESERT MEDICAL CENTER #362041,Emergency Department
Under 1 Year,71,83,67,72,HIGHLAND HOSPITAL #010846,Emergency Department
-,17,9,1,0,HIGHLAND HOSPITAL #010846,Emergency Department
1--9,500,455,368,512,HIGHLAND HOSPITAL #010846,Emergency Department
10--19,1066,1059,1041,1028,HIGHLAND HOSPITAL #010846,Emergency Department
20 - 29,3458,3674,3559,3360,HIGHLAND HOSPITAL #010846,Emergency Department
30 - 39,3880,4369,4236,4047,HIGHLAND HOSPITAL #010846,Emergency Department
40 - 49,3266,3326,3271,3422,HIGHLAND HOSPITAL #010846,Emergency Department
50 - 59,2767,2786,2698,2752,HIGHLAND HOSPITAL #010846,Emergency Department
60 - 69,2189,2332,2241,2238,HIGHLAND HOSPITAL #010846,Emergency Department
70 - 79,976,1032,1084,1048,HIGHLAND HOSPITAL #010846,Emergency Department
80 Years +,440,418,556,512,HIGHLAND HOSPITAL #010846,Emergency Department
Under 1 Year,212,229,233,244,HOAG MEMORIAL HOSPITAL PRESBYTERIAN #301205,Emergency Department
-,0,0,1,0,HOAG MEMORIAL HOSPITAL PRESBYTERIAN #301205,Emergency Department
1--9,1228,1207,1117,1413,HOAG MEMORIAL HOSPITAL PRESBYTERIAN #301205,Emergency Department
10--19,1958,2058,2061,2302,HOAG MEMORIAL HOSPITAL PRESBYTERIAN #301205,Emergency Department
20 - 29,3758,4073,4263,4172,HOAG MEMORIAL HOSPITAL PRESBYTERIAN #301205,Emergency Department
30 - 39,4273,4460,4721,4667,HOAG MEMORIAL HOSPITAL PRESBYTERIAN #301205,Emergency Department
40 - 49,3421,3397,3678,3679,HOAG MEMORIAL HOSPITAL PRESBYTERIAN #301205,Emergency Department
50 - 59,3080,3400,3395,3412,HOAG MEMORIAL HOSPITAL PRESBYTERIAN #301205,Emergency Department
60 - 69,3346,3394,3456,3446,HOAG MEMORIAL HOSPITAL PRESBYTERIAN #301205,Emergency Department
70 - 79,2849,3129,3139,3164,HOAG MEMORIAL HOSPITAL PRESBYTERIAN #301205,Emergency Department
80 Years +,2856,3003,3012,3096,HOAG MEMORIAL HOSPITAL PRESBYTERIAN #301205,Emergency Department
Under 1 Year,6,7,5,5,HOLLYWOOD PRESBYTERIAN MEDICAL CENTER #190382,Emergency Department
1--9,15,21,11,17,HOLLYWOOD PRESBYTERIAN MEDICAL CENTER #190382,Emergency Department
10--19,209,220,224,216,HOLLYWOOD PRESBYTERIAN MEDICAL CENTER #190382,Emergency Department
20 - 29,1283,1468,1416,1304,HOLLYWOOD PRESBYTERIAN MEDICAL CENTER #190382,Emergency Department
30 - 39,1616,1632,1675,1640,HOLLYWOOD PRESBYTERIAN MEDICAL CENTER #190382,Emergency Department
40 - 49,1143,1160,1216,1144,HOLLYWOOD PRESBYTERIAN MEDICAL CENTER #190382,Emergency Department
50 - 59,1068,1108,1182,1111,HOLLYWOOD PRESBYTERIAN MEDICAL CENTER #190382,Emergency Department
60 - 69,995,984,1026,972,HOLLYWOOD PRESBYTERIAN MEDICAL CENTER #190382,Emergency Department
70 - 79,468,534,593,646,HOLLYWOOD PRESBYTERIAN MEDICAL CENTER #190382,Emergency Department
80 Years +,271,289,309,277,HOLLYWOOD PRESBYTERIAN MEDICAL CENTER #190382,Emergency Department
Under 1 Year,11,14,12,12,HUNTINGTON BEACH HOSPITAL #301209,Emergency Department
1--9,77,125,94,115,HUNTINGTON BEACH HOSPITAL #301209,Emergency Department
10--19,208,251,235,273,HUNTINGTON BEACH HOSPITAL #301209,Emergency Department
20 - 29,501,580,639,602,HUNTINGTON BEACH HOSPITAL #301209,Emergency Department
30 - 39,533,636,632,625,HUNTINGTON BEACH HOSPITAL #301209,Emergency Department
40 - 49,390,425,497,472,HUNTINGTON BEACH HOSPITAL #301209,Emergency Department
50 - 59,406,456,480,404,HUNTINGTON BEACH HOSPITAL #301209,Emergency Department
60 - 69,328,357,369,363,HUNTINGTON BEACH HOSPITAL #301209,Emergency Department
70 - 79,145,153,198,160,HUNTINGTON BEACH HOSPITAL #301209,Emergency Department
80 Years +,122,119,130,127,HUNTINGTON BEACH HOSPITAL #301209,Emergency Department
Under 1 Year,200,236,232,235,HUNTINGTON HOSPITAL #190400,Emergency Department
-,0,4,4,2,HUNTINGTON HOSPITAL #190400,Emergency Department
1--9,1028,977,838,1160,HUNTINGTON HOSPITAL #190400,Emergency Department
10--19,904,1041,949,1072,HUNTINGTON HOSPITAL #190400,Emergency Department
20 - 29,1809,1850,2037,1921,HUNTINGTON HOSPITAL #190400,Emergency Department
30 - 39,2550,2573,2698,2631,HUNTINGTON HOSPITAL #190400,Emergency Department
40 - 49,1839,1802,1840,1814,HUNTINGTON HOSPITAL #190400,Emergency Department
50 - 59,1604,1590,1736,1723,HUNTINGTON HOSPITAL #190400,Emergency Department
60 - 69,1514,1530,1600,1735,HUNTINGTON HOSPITAL #190400,Emergency Department
70 - 79,1113,1121,1203,1353,HUNTINGTON HOSPITAL #190400,Emergency Department
80 Years +,944,1020,1055,1164,HUNTINGTON HOSPITAL #190400,Emergency Department
Under 1 Year,15,15,9,8,JOHN C FREMONT HEALTHCARE DISTRICT #220733,Emergency Department
1--9,146,149,119,134,JOHN C FREMONT HEALTHCARE DISTRICT #220733,Emergency Department
10--19,168,156,173,155,JOHN C FREMONT HEALTHCARE DISTRICT #220733,Emergency Department
20 - 29,165,210,255,174,JOHN C FREMONT HEALTHCARE DISTRICT #220733,Emergency Department
30 - 39,199,259,238,220,JOHN C FREMONT HEALTHCARE DISTRICT #220733,Emergency Department
40 - 49,159,204,215,162,JOHN C FREMONT HEALTHCARE DISTRICT #220733,Emergency Department
50 - 59,182,176,195,161,JOHN C FREMONT HEALTHCARE DISTRICT #220733,Emergency Department
60 - 69,199,238,238,253,JOHN C FREMONT HEALTHCARE DISTRICT #220733,Emergency Department
70 - 79,203,240,228,229,JOHN C FREMONT HEALTHCARE DISTRICT #220733,Emergency Department
80 Years +,168,156,178,172,JOHN C FREMONT HEALTHCARE DISTRICT #220733,Emergency Department
Under 1 Year,287,296,265,304,JOHN F. KENNEDY MEMORIAL HOSPITAL #331216,Emergency Department
1--9,1786,1652,1182,1722,JOHN F. KENNEDY MEMORIAL HOSPITAL #331216,Emergency Department
10--19,1442,1395,1317,1500,JOHN F. KENNEDY MEMORIAL HOSPITAL #331216,Emergency Department
20 - 29,2037,2208,2069,2106,JOHN F. KENNEDY MEMORIAL HOSPITAL #331216,Emergency Department
30 - 39,1882,1983,2070,1881,JOHN F. KENNEDY MEMORIAL HOSPITAL #331216,Emergency Department
40 - 49,1371,1387,1435,1449,JOHN F. KENNEDY MEMORIAL HOSPITAL #331216,Emergency Department
50 - 59,1205,1197,1234,1102,JOHN F. KENNEDY MEMORIAL HOSPITAL #331216,Emergency Department
60 - 69,1009,995,939,1008,JOHN F. KENNEDY MEMORIAL HOSPITAL #331216,Emergency Department
70 - 79,783,676,618,683,JOHN F. KENNEDY MEMORIAL HOSPITAL #331216,Emergency Department
80 Years +,544,525,470,518,JOHN F. KENNEDY MEMORIAL HOSPITAL #331216,Emergency Department
Under 1 Year,206,183,157,173,JOHN MUIR MEDICAL CENTER-CONCORD CAMPUS #071018,Emergency Department
1--9,1374,1501,1057,1294,JOHN MUIR MEDICAL CENTER-CONCORD CAMPUS #071018,Emergency Department
10--19,1388,1566,1252,1405,JOHN MUIR MEDICAL CENTER-CONCORD CAMPUS #071018,Emergency Department
20 - 29,1879,1919,1929,1858,JOHN MUIR MEDICAL CENTER-CONCORD CAMPUS #071018,Emergency Department
30 - 39,1990,2087,2171,1893,JOHN MUIR MEDICAL CENTER-CONCORD CAMPUS #071018,Emergency Department
40 - 49,1858,2001,1947,1822,JOHN MUIR MEDICAL CENTER-CONCORD CAMPUS #071018,Emergency Department
50 - 59,1662,1794,1798,1731,JOHN MUIR MEDICAL CENTER-CONCORD CAMPUS #071018,Emergency Department
60 - 69,1653,1717,1706,1838,JOHN MUIR MEDICAL CENTER-CONCORD CAMPUS #071018,Emergency Department
70 - 79,1291,1415,1347,1408,JOHN MUIR MEDICAL CENTER-CONCORD CAMPUS #071018,Emergency Department
80 Years +,963,1014,1016,986,JOHN MUIR MEDICAL CENTER-CONCORD CAMPUS #071018,Emergency Department
Under 1 Year,357,326,335,335,JOHN MUIR MEDICAL CENTER-WALNUT CREEK CAMPUS #070988,Emergency Department
1--9,1641,1557,1195,1513,JOHN MUIR MEDICAL CENTER-WALNUT CREEK CAMPUS #070988,Emergency Department
10--19,1160,1233,1084,1143,JOHN MUIR MEDICAL CENTER-WALNUT CREEK CAMPUS #070988,Emergency Department
20 - 29,1274,1343,1278,1281,JOHN MUIR MEDICAL CENTER-WALNUT CREEK CAMPUS #070988,Emergency Department
30 - 39,1563,1571,1627,1542,JOHN MUIR MEDICAL CENTER-WALNUT CREEK CAMPUS #070988,Emergency Department
40 - 49,1370,1351,1343,1426,JOHN MUIR MEDICAL CENTER-WALNUT CREEK CAMPUS #070988,Emergency Department
50 - 59,1275,1294,1270,1100,JOHN MUIR MEDICAL CENTER-WALNUT CREEK CAMPUS #070988,Emergency Department
60 - 69,1332,1379,1395,1358,JOHN MUIR MEDICAL CENTER-WALNUT CREEK CAMPUS #070988,Emergency Department
70 - 79,1545,1564,1551,1528,JOHN MUIR MEDICAL CENTER-WALNUT CREEK CAMPUS #070988,Emergency Department
80 Years +,1605,1640,1680,1682,JOHN MUIR MEDICAL CENTER-WALNUT CREEK CAMPUS #070988,Emergency Department
Under 1 Year,223,256,196,223,KAISER FOUNDATION HOSPITAL & REHAB CENTER - VALLEJO #480989,Emergency Department
1--9,1411,1417,993,1309,KAISER FOUNDATION HOSPITAL & REHAB CENTER - VALLEJO #480989,Emergency Department
10--19,1211,1316,1030,1233,KAISER FOUNDATION HOSPITAL & REHAB CENTER - VALLEJO #480989,Emergency Department
20 - 29,1621,1675,1642,1581,KAISER FOUNDATION HOSPITAL & REHAB CENTER - VALLEJO #480989,Emergency Department
30 - 39,1978,2003,1944,1911,KAISER FOUNDATION HOSPITAL & REHAB CENTER - VALLEJO #480989,Emergency Department
40 - 49,1638,1688,1741,1547,KAISER FOUNDATION HOSPITAL & REHAB CENTER - VALLEJO #480989,Emergency Department
50 - 59,1636,1568,1612,1579,KAISER FOUNDATION HOSPITAL & REHAB CENTER - VALLEJO #480989,Emergency Department
60 - 69,1823,1858,1759,1709,KAISER FOUNDATION HOSPITAL & REHAB CENTER - VALLEJO #480989,Emergency Department
70 - 79,1641,1664,1732,1615,KAISER FOUNDATION HOSPITAL & REHAB CENTER - VALLEJO #480989,Emergency Department
80 Years +,1259,1396,1224,1222,KAISER FOUNDATION HOSPITAL & REHAB CENTER - VALLEJO #480989,Emergency Department
Under 1 Year,361,318,243,315,KAISER FOUNDATION HOSPITAL - ANTIOCH  #074097,Emergency Department
-,1,1,0,0,KAISER FOUNDATION HOSPITAL - ANTIOCH  #074097,Emergency Department
1--9,2064,2262,1492,1845,KAISER FOUNDATION HOSPITAL - ANTIOCH  #074097,Emergency Department
10--19,1701,1987,1617,1624,KAISER FOUNDATION HOSPITAL - ANTIOCH  #074097,Emergency Department
20 - 29,2125,2199,1978,2101,KAISER FOUNDATION HOSPITAL - ANTIOCH  #074097,Emergency Department
30 - 39,2375,2520,2363,2278,KAISER FOUNDATION HOSPITAL - ANTIOCH  #074097,Emergency Department
40 - 49,2095,2251,2066,1978,KAISER FOUNDATION HOSPITAL - ANTIOCH  #074097,Emergency Department
50 - 59,2112,2106,2037,1990,KAISER FOUNDATION HOSPITAL - ANTIOCH  #074097,Emergency Department
60 - 69,2079,2150,2252,2057,KAISER FOUNDATION HOSPITAL - ANTIOCH  #074097,Emergency Department
70 - 79,1503,1672,1672,1675,KAISER FOUNDATION HOSPITAL - ANTIOCH  #074097,Emergency Department
